B2 U F2 B U2 R'
B2 U B F2 U2 R'
F2 U2 D L2 F R
L2 F D L2 B' R'
F D L2 F B' R'
F D L2 B' R' F
F D L2 B' F R'
F2 D U2 L2 F R
F2 D B' U2 L2 R'
F2 D B' U2 R' L2
F2 D' R2 B' U2 R'
F2 D' B' R2 U2 R
B2 U L F2 B U2 R'
B2 U L B F2 U2 R'
B2 U L' F2 B U2 R'
B2 U L' B F2 U2 R'
U2 D L2 D F R B2
U2 D L2 D F B2 R
U2 D L2 D B2 F R
B2 U L2 F2 B U2 R'
U2 D L2 F D R B2
U2 D L2 F D B2 R
B2 U L2 B F2 U2 R'
U' D R2 U' L2 F R
B' U D' L2 F U R'
B2 U F2 L B U2 R'
B2 U F2 L' B U2 R'
B2 U F2 L2 B U2 R'
B2 U F2 B L U2 R'
B2 U F2 B L' U2 R'
B2 U F2 B L2 U2 R'
B2 U F2 B U2 R' D
B2 U F2 B U2 R' D'
B2 U F2 B U2 R' D2
B2 U F2 B U2 D R'
B2 U F2 B U2 D' R'
B2 U F2 B U2 D2 R'
B2 U F2 B D U2 R'
B2 U F2 B D' U2 R'
B2 U F2 B D2 U2 R'
B2 U F2 B' L B2 U2
B2 U B L F2 U2 R'
B2 U B L' F2 U2 R'
B2 U B L2 F2 U2 R'
B2 U B U2 R' D2 B2
B2 U B U2 D2 R' B2
B2 U B D2 U2 R' B2
B2 U B F2 L U2 R'
B2 U B F2 L' U2 R'
B2 U B F2 L2 U2 R'
B2 U B F2 U2 R' D
B2 U B F2 U2 R' D'
B2 U B F2 U2 R' D2
B2 U B F2 U2 D R'
B2 U B F2 U2 D' R'
B2 U B F2 U2 D2 R'
B2 U B F2 D U2 R'
B2 U B F2 D' U2 R'
B2 U B F2 D2 U2 R'
B2 U B' L F2 B2 U2
B2 U B' L B2 F2 U2
B2 U B' F2 L B2 U2
D U' R2 U' L2 F R
B2 U' R2 D2 F' R B2
B2 U' R2 D2 F' B2 R
B2 U' R2 D2 B2 F' R
B2 U' R2 F' R2 B R'
B' U' D R2 B' U' R
B2 U' D2 R2 F' R B2
B2 U' D2 R2 F' B2 R
B2 U' D2 R2 B2 F' R
B2 U' F' R2 F' B R'
B2 U' F' R2 B F' R'
D U2 L2 D F R B2
D U2 L2 D F B2 R
D U2 L2 D B2 F R
D U2 L2 F D R B2
D U2 L2 F D B2 R
B2 U' B' D2 F2 B2 R'
B2 U' B' D2 B2 R' F2
B2 U' B' D2 B2 F2 R'
F2 U' B2 U B L U2
F2 U2 L2 D F L2 R
F2 U2 L2 D F R L2
F2 U2 L2 F R D L2
F2 U2 L2 F D L2 R
F2 U2 L2 F D R L2
F2 U2 R D L2 F R
F2 U2 R' D L2 F R
F2 U2 R2 D L2 F R
F2 U2 D L2 R F R
F2 U2 D L2 R' F R
F2 U2 D L2 R2 F R
F2 U2 D L2 D F R
F2 U2 D L2 D' F R
F2 U2 D L2 D2 F R
F2 U2 D L2 F R D
F2 U2 D L2 F R D'
F2 U2 D L2 F R D2
F2 U2 D L2 F D R
F2 U2 D L2 F D' R
F2 U2 D L2 F D2 R
F2 U2 D R L2 F R
F2 U2 D R' L2 F R
F2 U2 D R2 L2 F R
F2 U2 D F L2 R F
F2 U2 D F R L2 F
F U2 D L2 F R B'
F U2 D L2 F B' R
F U2 D L2 B' F R
F2 U2 F R D L2 F
F2 U2 F D L2 R F
F2 U2 F D R L2 F
L2 F L2 D B' L2 R'
L2 F L2 D B' R' L2
U2 F R D L2 F B'
U2 F R D L2 B' F
L2 F R D L2 B' R'
L2 F R' D L2 B' R'
L2 F R2 D L2 B' R'
B2 D L' R2 F U' F2
R' F D L2 F B' R'
R' F D L2 B' R' F
R' F D L2 B' F R'
F2 D L' U2 L' F R
B2 D L' F R2 U' F'
U2 F D L2 R F B'
U2 F D L2 R B' F
L2 F D L2 R B' R'
L2 F D L2 R' B' R'
L2 F D L2 R2 B' R'
L2 F D L2 D B' R'
L2 F D L2 D' B' R'
U2 F D L2 B' R F
L2 F D L2 D2 B' R'
U2 F D R L2 F B'
U2 F D R L2 B' F
L2 F D L2 B' R' D
L2 F D L2 B' R' D'
L2 F D L2 B' R' D2
L2 F D L2 B' D R'
L2 F D L2 B' D' R'
L2 F D L2 B' D2 R'
L2 F D R L2 B' R'
L2 F D R' L2 B' R'
L2 F D R2 L2 B' R'
R2 F D L2 F B' R'
R2 F D L2 B' R' F
R2 F D L2 B' F R'
L2 F D B' L2 R' B'
L2 F D B' R' L2 B'
F D L2 R F B' R'
F D L2 R B' R' F
R F D L2 F B' R'
F D L2 R B' F R'
R F D L2 B' R' F
R F D L2 B' F R'
F D L2 R' F B' R'
F D L2 R' B' R' F
F D L2 R' B' F R'
F2 D R U2 L2 F R
F D L2 R2 F B' R'
F D L2 R2 B' R' F
F D L2 R2 B' F R'
F D L2 D F B' R'
F D L2 D B' R' F
F D L2 D B' F R'
F D L2 D' F B' R'
F D L2 D' B' R' F
F D L2 D' B' F R'
F D L2 D2 F B' R'
F D L2 D2 B' R' F
F D L2 D2 B' F R'
F D L2 F R B' R'
F D L2 F R' B' R'
F D L2 F R2 B' R'
F D L2 F D B' R'
F D L2 F D' B' R'
F D L2 F D2 B' R'
F D L2 F B' R' D
F D L2 F B' R' D'
F D L2 F B' R' D2
F D L2 F B' D R'
F D L2 F B' D' R'
F D L2 F B' D2 R'
F2 D R B' U2 L2 R'
F2 D R B' U2 R' L2
F D L2 F' B' R' F2
F D L2 B' R F R2
F D L2 B' R' D F
F D L2 B' R' D' F
F D L2 B' R' D2 F
F D L2 B' R' F D
F D L2 B' R' F D'
F D L2 B' R' F D2
F D L2 B' D R' F
F D L2 B' D F R'
F D L2 B' D' R' F
F D L2 B' D' F R'
F D L2 B' D2 R' F
F D L2 B' D2 F R'
F D L2 B' F R' D
F D L2 B' F R' D'
F D L2 B' F R' D2
F D L2 B' F D R'
F D L2 B' F D' R'
F D L2 B' F D2 R'
F D L2 B' F' R' F2
F2 D R' U2 L2 F R
F D R L2 F B' R'
F D R L2 B' R' F
F D R L2 B' F R'
F2 D R' B' U2 L2 R'
F2 D R' B' U2 R' L2
B2 D R2 L' F U' F2
B2 D R2 U' D F' R
B2 D R2 D U' F' R
F2 D R2 U2 L2 F R
F D R' L2 F B' R'
F D R' L2 B' R' F
F D R' L2 B' F R'
F2 D R2 B' U2 L2 R'
F2 D R2 B' U2 R' L2
F D R2 L2 F B' R'
F D R2 L2 B' R' F
F D R2 L2 B' F R'
B' D U' R2 B' U' R
F2 D U2 L2 R F R
F2 D U2 L2 R' F R
F2 D U2 L2 R2 F R
F2 D U2 L2 D F R
F2 D U2 L2 D' F R
F2 D U2 L2 D2 F R
F2 D U2 L2 F R D
F2 D U2 L2 F R D'
F2 D U2 L2 F R D2
F2 D U2 L2 F D R
F2 D U2 L2 F D' R
F2 D U2 L2 F D2 R
F2 D U2 R L2 F R
F2 D U2 R' L2 F R
F2 D U2 R2 L2 F R
F2 D U2 F L2 R F
F2 D U2 F R L2 F
F D U2 L2 F R B'
F D U2 L2 F B' R
F D U2 L2 B' F R
F2 D F' L2 F B' R'
F2 D F' L2 B' R' F
F2 D F' L2 B' F R'
F' D F' U2 L2 F R
F' D F' B' U2 L2 R'
F' D F' B' U2 R' L2
F D F U2 L2 F R
F' D F2 L2 F B' R'
F' D F2 L2 B' R' F
F' D F2 L2 B' F R'
F D F B' U2 L2 R'
F D F B' U2 R' L2
F2 D B L B2 R' U2
F2 D B' L U2 L R'
F2 D B' L U2 R' L
F2 D B' L' U2 L' R'
F2 D B' L' U2 R' L'
F2 D B' R U2 L2 R2
F2 D B' R U2 R2 L2
F2 D B' R2 U2 L2 R
F2 D B' R2 U2 R L2
F2 D B' U2 L2 R' D
F2 D B' U2 L2 R' D'
F2 D B' U2 L2 R' D2
F2 D B' U2 L2 D R'
F2 D B' U2 L2 D' R'
F2 D B' U2 L2 D2 R'
F2 D B' U2 R' L2 D
F2 D B' U2 R' L2 D'
F2 D B' U2 R' L2 D2
F' D B' F' U2 L2 R'
F' D B' F' U2 R' L2
F2 D B' D2 R2 U2 R
F D B' U2 L2 R' B'
F D B' U2 R' L2 B'
F D B' F U2 L2 R'
F D B' F U2 R' L2
F2 D' L2 R2 U2 F R
F2 D' R B' R U2 R2
F2 D' R2 L2 U2 F R
F2 D' R2 D B' U2 R'
F2 D' R2 D' B' U2 R'
F' D' R2 B' U2 R' B2
F2 D' R2 D2 B' U2 R'
B' D' U L2 F U R'
F2 D' R2 B L B2 U2
F2 D' R2 B' L U2 R'
F2 D' R2 B' L' U2 R'
F2 D' R2 B' L2 U2 R'
F2 D' R2 B' U2 R' D
F2 D' R2 B' U2 R' D'
F2 D' R2 B' U2 R' D2
F2 D' R2 B' U2 D R'
F2 D' R2 B' U2 D' R'
F2 D' R2 B' U2 D2 R'
F2 D' R2 B' D U2 R'
F2 D' R2 B' D' U2 R'
F2 D' R2 B' D2 U2 R'
F D' R2 F B' U2 R'
F D' R2 B' F U2 R'
F' D' F' R2 B' U2 R'
F' D' F' B' R2 U2 R
F D' F R2 B' U2 R'
F D' F B' R2 U2 R
F2 D' B L R2 B2 U2
F2 D' B L B2 R2 U2
F2 D' B R2 L B2 U2
F2 D' B R2 B2 U2 R'
F2 D' B' L R2 U2 R
F' D' B' R2 U2 B R
F2 D' B' L' R2 U2 R
F2 D' B' L2 R2 U2 R
F2 D' B' R2 L U2 R
F2 D' B' R2 L' U2 R
F2 D' B' R2 L2 U2 R
F2 D' B' R2 U2 R D
F2 D' B' R2 U2 R D'
F2 D' B' R2 U2 R D2
F2 D' B' R2 U2 D R
F2 D' B' R2 U2 D' R
F2 D' B' R2 U2 D2 R
F2 D' B' R2 D U2 R
F2 D' B' R2 D' U2 R
F2 D' B' R2 D2 U2 R
F' D' B' F' R2 U2 R
F2 D' B' U2 D2 L2 R'
F2 D' B' U2 D2 R' L2
F2 D' B' D2 U2 L2 R'
F2 D' B' D2 U2 R' L2
F D' B' F R2 U2 R
R' F2 U2 D L2 F R
R' F2 D U2 L2 F R
R2 F2 U2 D L2 F R
R' F2 D B' U2 L2 R'
R' F2 D B' U2 R' L2
R' F2 D' R2 B' U2 R'
L2 F2 D F' L2 B' R'
R2 F2 D U2 L2 F R
R' F2 D' B' R2 U2 R
R F2 U2 D L2 F R
R2 F2 D B' U2 L2 R'
R2 F2 D B' U2 R' L2
L2 F2 D' R2 B L U2
R2 F2 D' R2 B' U2 R'
R F2 D U2 L2 F R
R2 F2 D' B' R2 U2 R
R F2 D B' U2 L2 R'
R F2 D B' U2 R' L2
R F2 D' R2 B' U2 R'
B2 D2 R2 U' F' R B2
B2 D2 R2 U' F' B2 R
B2 D2 R2 U' B2 F' R
R F2 D' B' R2 U2 R
B2 D2 U' R2 F' R B2
B2 D2 U' R2 F' B2 R
B2 D2 U' R2 B2 F' R
U F2 B' U' B' U' R'
B D2 B U' F2 B R'
B D2 B U' B R' F2
B D2 B U' B F2 R'
F2 D2 B' U F2 U R'
F2 D2 B' U2 R' D' L2
F2 D2 B' U2 D' L2 R'
F2 D2 B' U2 D' R' L2
F2 D2 B' D R2 U2 R
F2 D2 B' D' U2 L2 R'
F2 D2 B' D' U2 R' L2
F2 B L B2 U' B' U'
B2 F U F B U2 R'
B2 F U B F U2 R'
D' B' R2 U L2 U R
D' B' R2 U2 R D' B2
D' B' R2 U2 D' R B2
D' B' R2 U2 D' B2 R
D' B' R2 D F2 L' U2
D' B' R2 D' U2 R B2
D' B' R2 D' U2 B2 R
D2 B' U F2 U R' B'
F2 B' L2 U F U R'
D2 B' U2 R' D' B' L2
D2 B' U2 R' B' D' L2
D' B' U2 R' D' B2 L
D2 B' U2 D' R' B' L2
F2 B' R U' B' U' R2
D B' U' R2 U' L2 R
D B' U' R2 U' R L2
D2 B' D R2 U2 R B'
D2 B' D R2 U2 B' R
D B' U2 L2 D R' B2
D2 B' D' U2 R' B' L2
B2 F' R2 U' F' B R'
B2 F' R2 U' B F' R'
F2 B' R2 U' B' U' R
B2 F' U F' B U2 R'
B2 F' U B F' U2 R'
B2 F' U' R2 F' B R'
B2 F' U' R2 B F' R'
F2 B' U2 R' U B' U'
U B' F2 U' B' U' R'
B' F2 L2 U F U R'
B F2 L B2 U' B' U'
B' F2 R U' B' U' R2
U' B2 U F2 B L U2
U' B2 U B L F2 U2
U' B2 U B F2 L U2
R' B2 U F2 B U2 R'
R' B2 U B F2 U2 R'
B' F2 R2 U' B' U' R
F' B2 R2 U' F' B R'
F' B2 R2 U' B F' R'
R2 B2 U F2 B U2 R'
R2 B2 U B F2 U2 R'
F' B2 U F' B U2 R'
R B2 U F2 B U2 R'
F' B2 U B F' U2 R'
R B2 U B F2 U2 R'
F' B2 U' R2 F' B R'
F' B2 U' R2 B F' R'
B' F2 U2 R' U B' U'
F B2 U F B U2 R'
F B2 U B F U2 R'
