F R D R2 B L
F R' D B L R2
F R' D B R2 L
F R' B L D R2
F R' B D L R2
F R' B D R2 L
R' D F B L R'
R' D F B R' L
R' D B R' F L
R' D B F L R'
R' D B F R' L
R' F D B L R'
R' F D B R' L
R' D L' B L R' F
R' D L' B L F R'
R' D L' B R' L F
D2 R2 B U F L B'
R' D F L B L R'
R' D F L B R' L
R' D F L' B L R'
R' D F L' B R' L
R' D F L2 B L R'
R' D F L2 B R' L
R' D F B L R' D
R' D F B L R' D'
R' D F B L R' D2
R' D F B L D R'
R' D F B L D' R'
R' D F B L D2 R'
R' D F B R' L D
R' D F B R' L D'
R' D F B R' L D2
R' D F B R' D L
R' D F B R' D' L
R' D F B R' D2 L
R' D F B D L R'
R' D F B D R' L
R' D F B D' L R'
R' D F B D' R' L
R' D F B D2 L R'
R' D F B D2 R' L
R' D F' B L R' F2
R' D F' B L F2 R'
R' D F' B R' L F2
R' D F' B R' F2 L
R' D F2 B L F' R'
R' D B R F L R2
R' D B R F R2 L
R' D B R' D F L
R' D B R' D' F L
R' D B R' D2 F L
R' D B R' F L D
R' D B R' F L D'
R' D B R' F L D2
R' D B R' F D L
R' D B R' F D' L
R' D B R' F D2 L
R' D B R' F' L F2
R' D B R' F2 L F'
R' D B D R' F L
R' D B D F L R'
R' D B D F R' L
R' D B D' R' F L
R' D B D' F L R'
R' D B D' F R' L
R' D B D2 R' F L
R' D B D2 F L R'
R' D B D2 F R' L
R' D B F L R' D
R' D B F L R' D'
R' D B F L R' D2
R' D B F L D R'
R' D B F L D' R'
R' D B F L D2 R'
R' D B F R' L D
R' D B F R' L D'
R' D B F R' L D2
R' D B F R' D L
R' D B F R' D' L
R' D B F R' D2 L
R' D B F D L R'
R' D B F D R' L
R' D B F D' L R'
R' D B F D' R' L
R' D B F D2 L R'
R' D B F D2 R' L
R' D B F' L R' F2
R' D B F' L F2 R'
R' D B F' R' L F2
R' D B F' R' F2 L
R' D B F2 L F' R'
D' U F' R B U' F2
R' D' F B L D2 R2
R' D' F' B L R F2
R' D' F' B R L F2
R' D' F' B R F2 L
R' D' B F L D2 R2
R' D' B F' L R F2
R' D' B F' R L F2
R' D' B F' R F2 L
U2 D' F' R U' L' F2
U D' F' R B U' F2
R' D2 F D' B L R'
R' D2 F D' B R' L
D' U2 F' R U' L' F2
R' F L D B L R'
R' F L D B R' L
R' F L' D B L R'
R' F L' D B R' L
R' F L2 D B L R'
R' F L2 D B R' L
R2 F R D B L R'
R2 F R D B R' L
D' F U F2 R B U'
R2 F U' B L F U
R' F D L B L R'
R' F D L B R' L
R' F D L' B L R'
R' F D L' B R' L
R' F D L2 B L R'
R' F D L2 B R' L
R' F D B L R' D
R' F D B L R' D'
R' F D B L R' D2
R' F D B L D R'
R' F D B L D' R'
R' F D B L D2 R'
R' F D B R' L D
R' F D B R' L D'
R' F D B R' L D2
R' F D B R' D L
R' F D B R' D' L
R' F D B R' D2 L
R' F D B D L R'
R' F D B D R' L
R' F D B D' L R'
R' F D B D' R' L
R' F D B D2 L R'
R' F D B D2 R' L
D F D R2 B L B'
D F D B L R2 B'
D F D B L B' R2
D F D B R2 L B'
D2 F B L D R2 B'
D2 F B L D B' R2
D2 F B L B' D R2
F D R' D' R' B L
F D R2 D B L B'
B D F D L R2 B'
B D F D L B' R2
B D F D R2 L B'
D' F' R B U' L F2
D' F' R B U' F2 L
U2 F' R' U' L' F2 B
U2 F' R' U' L' B F2
U2 F' R' U' B L' F2
D' F' B R U' L F2
D' F' B R U' F2 L
D2 F' B U' L F2 B'
D2 F' B U' L B' F2
D2 F' B U' F2 L B'
D F' B R' U' L F2
D F' B R' U' F2 L
B D' F' R U' L F2
B D' F' R U' F2 L
R' F2 D F' B L R'
R' F2 D F' B R' L
R' F2 D B L F' R'
R' F2 D B F' L R'
R' F2 D B F' R' L
R' F2 D' F' B L R
R' F2 D' F' B R L
R' F2 D' B L F' R
R' F2 D' B F' L R
R' F2 D' B F' R L
R' F2 B L D' F' R
R' F2 B D' L F' R
R' F2 B D' F' L R
R' F2 B D' F' R L
B D2 F L D R2 B'
B D2 F L D B' R2
B D2 F L B' D R2
R' B R F L D R2
R' B R F D L R2
R' B R F D R2 L
B D2 F' U' L F2 B'
B D2 F' U' L B' F2
B D2 F' U' F2 L B'
R2 B R U F L B
F D2 B L B' D' R2
B F L R D R2 B
B F L R' D B R2
B F L R' B D R2
F B L R D R2 B
F B L R' D B R2
F B L R' B D R2
R' B D' F L D2 R2
R' B D' F' L R F2
R' B D' F' R L F2
R' B D' F' R F2 L
B F R L D R2 B
F' B R' U' L F2 B
F' B R' U' L B F2
D2 B F L D R2 B'
D2 B F L D B' R2
D2 B F L B' D R2
F' B R' U' F2 L B
B F R D L R2 B
B F R D R2 L B
F B R L D R2 B
F B R D L R2 B
F B R D R2 L B
B F R' L D B R2
B F R' L B D R2
D' B F' R U' L F2
D' B F' R U' F2 L
B F R' D L B R2
D2 B F' U' L F2 B'
D2 B F' U' L B' F2
D2 B F' U' F2 L B'
F B R' L D B R2
F B R' L B D R2
R' B F2 L D' F' R
F B R' D L B R2
R' B F2 D' L F' R
R' B F2 D' F' L R
R' B F2 D' F' R L
D B F' R' U' L F2
D B F' R' U' F2 L
F' B U' F2 D2 L B'
B F D R2 D L B'
F B D R2 D L B'
L2 B' R' U2 D B R'
L2 B' R' D U2 B R'
B F D2 L D' R2 B'
B F D2 L D' B' R2
F B D2 L D' R2 B'
F B D2 L D' B' R2
B F' R' U' L F2 B
B F' R' U' L B F2
B F' R' U' F2 L B
B' F' U R' U2 F2 B
B' F' U R' U2 B F2
F' B' U R' U2 F2 B
F' B' U R' U2 B F2
B F' U' F2 D2 L B'
