B' L' F U' R
B' L F L2 U' R
B' L' U2 B' U R'
B' L' D F U' R
B' L' D F U' R
B' L' D' F U' R
B' L' D2 F U' R
B' L' F U' R D
B' L' F U' R D'
B' L' F U' R D2
B' L' F U' D R
B' L' F U' D' R
B' L' F U' D2 R
B' L' F D U' R
B' L' F D' U' R
B' L' F D2 U' R
B2 L' F B U' R
B' L' F' U L' U2
B' L' F' U L' U2
B L' F B2 U' R
B2 L' B F U' R
B L' B2 F U' R
B' L2 F L U' R
L' D F U' L' R
L' D F U' R L'
B' D L' F U' R
B' D' L' F U' R
B' D' L' F U' R
B' D2 L' F U' R
B' F U' R' F' R2
D2 B' L' F U' R
D' B' L' F U' R
D B' L' F U' R
F B' U' R' F' R2
L' D F U' R D L'
L' D F U' R D' L'
L' D F U' R D2 L'
L' D F U' D L' R
L' D F U' D R L'
L' D F U' D' L' R
L' D F U' D' R L'
L' D F U' D2 L' R
L' D F U' D2 R L'
L' D F D U' L' R
L' D F D U' R L'
L' D F D' U' L' R
L' D F D' U' R L'
L' D F D2 U' L' R
L' D F D2 U' R L'
L' D F B U' L' R
L' D F B U' R L'
L' D F B' U' L' R
L' D F B' U' R L'
L' D F B2 U' L' R
L' D F B2 U' R L'
L' D F' U L' R U2
L' D F' U R L' U2
L' D B F U' L' R
L' D B F U' R L'
L' D B' F U' L' R
L' D B' F U' R L'
L' D B2 F U' L' R
L' D B2 F U' R L'
L' D' U2 B' U L R'
L' D' U2 B' U R' L
L' D' F B' U' L R
L' D' F B' U' R L
B2 U' L' B U' B' R'
B' U' R' U L' F' U'
L' D' B' F U' L R
L' D' B' F U' R L
L' F L B' L' U' R
L F L' B' L' U' R
B' U2 B' U2 L' U' R'
B' D L F L2 U' R
B' D L' U2 B' U R'
B' D L' D F U' R
B' D L' D' F U' R
B' D L' D2 F U' R
B' D L' F U' R D
B' D L' F U' R D'
B' D L' F U' R D2
B' D L' F U' D R
B' D L' F U' D' R
B' D L' F U' D2 R
B' D L' F D U' R
B' D L' F D' U' R
B' D L' F D2 U' R
B' D L' F' U L' U2
B2 D L' F B U' R
B2 D L' B F U' R
B' D L2 F L U' R
L' F D' B' U' L R
L' F D' B' U' R L
D' F B' U' R' F' R2
D2 F B' U' R' F' R2
R2 F B' R2 U' R' F'
D F B' U' R' F' R2
L2 F' L D2 B2 U' R2
B' D F U' R' F' R2
F' D F2 B' U' R F'
B2 D B L' F U' R
F' D B' U' F2 R F'
L' F' U L' U F U
F' D B' F2 U' R F'
F D B' U' R' F' R2
B' D' L F L2 U' R
B' D' L' U2 B' U R'
B' D' L' D F U' R
B' D' L' D' F U' R
B' D' L' D2 F U' R
B' D' L' F U' R D
B' D' L' F U' R D'
B' D' L' F U' R D2
B' D' L' F U' D R
B' D' L' F U' D' R
B' D' L' F U' D2 R
B' D' L' F D U' R
B' D' L' F D' U' R
B' D' L' F D2 U' R
B' D' L' F' U L' U2
B2 D' L' F B U' R
B2 D' L' B F U' R
B' D' L2 F L U' R
L2 F2 L U2 F' U R
B' D' F U' R' F' R2
F2 D' F2 B' L' F U'
B2 D' B L' F U' R
F' D' B' U L' U2 F
F2 D' B' F2 L' F U'
F D' B' U' R' F' R2
B' D2 L F L2 U' R
B' D2 L' U2 B' U R'
B' D2 L' D F U' R
B' D2 L' D' F U' R
B' D2 L' D2 F U' R
B' D2 L' F U' R D
B' D2 L' F U' R D'
B' D2 L' F U' R D2
B' D2 L' F U' D R
B' D2 L' F U' D' R
B' D2 L' F U' D2 R
B' D2 L' F D U' R
B' D2 L' F D' U' R
B' D2 L' F D2 U' R
B' D2 L' F' U L' U2
B2 D2 L' F B U' R
B2 D2 L' B F U' R
B' D2 L2 F L U' R
D2 B L' F B2 U' R
D' B L' F B2 U' R
B' D2 F U' R' F' R2
D2 B L' B2 F U' R
D' B L' B2 F U' R
D B L' F B2 U' R
D B L' B2 F U' R
F' D2 F2 B' L U' R
B2 D2 B L' F U' R
F' D2 B' L U L2 U2
F' D2 B' L U' D2 R2
F' D2 B' L D F2 U'
F' D2 B' L D2 U' R2
F' D2 B' F2 L U' R
B' F L U' R' F' R2
F D2 B' U' R' F' R2
B' F L' U' R' F' R2
B' F L2 U' R' F' R2
U2 B U2 B2 L' U' R'
L' B D F U' L' R
L' B D F U' R L'
B' F U L U2 R F
B' F U L' B' U2 R
B' F U' R U2 B U2
B' F U' R' F R2 F2
B' F U' R' F' R2 D
B' F U' R' F' R2 D'
B' F U' R' F' R2 D2
B' F U' R' F2 R2 F
B' F U' D R' F' R2
B' F U' D' R' F' R2
B' F U' D2 R' F' R2
B' F U' F R' F' R
D2 B' L F L2 U' R
D' B' L F L2 U' R
R' B' L' R F U' R
U' B' L' U' B' R' B2
B' F U2 R2 U R' F'
D2 B' L' U2 B' U R'
D2 B' L' D F U' R
D' B' L' U2 B' U R'
D2 B' L' D' F U' R
D' B' L' D F U' R
D2 B' L' D2 F U' R
D' B' L' D' F U' R
D2 B' L' F U' R D
D2 B' L' F U' R D'
D2 B' L' F U' R D2
D2 B' L' F U' D R
D2 B' L' F U' D' R
D2 B' L' F U' D2 R
D2 B' L' F D U' R
D2 B' L' F D' U' R
D2 B' L' F D2 U' R
D' B' L' D2 F U' R
D2 B' L' F' U L' U2
D' B' L' F U' R D
D' B' L' F U' R D'
D' B' L' F U' R D2
D' B' L' F U' D R
D' B' L' F U' D' R
D' B' L' F U' D2 R
D' B' L' F D U' R
D' B' L' F D' U' R
D' B' L' F D2 U' R
D' B' L' F' U L' U2
B' F U2 B' R' U R2
D B' L F L2 U' R
U2 B' L' U2 L U R'
B' F D U' R' F' R2
R2 B' L' R2 F U' R
D2 B' L2 F L U' R
D' B' L2 F L U' R
D B' L' U2 B' U R'
D B' L' D F U' R
R2 B' L' F R2 U' R'
D B' L' D' F U' R
R' B' R L' F U' R
D B' L' D2 F U' R
D B' L' F U' R D
D B' L' F U' R D'
D B' L' F U' R D2
D B' L' F U' D R
D B' L' F U' D' R
D B' L' F U' D2 R
D B' L' F D U' R
D B' L' F D' U' R
D B' L' F D2 U' R
D B' L' F' U L' U2
B' F D' U' R' F' R2
U B' L' U2 B' U B
D B' L2 F L U' R
B' F D2 U' R' F' R2
R2 B' R2 L' F U' R
F B' L U' R' F' R2
F B' L' U' R' F' R2
D2 B' D L' F U' R
D' B' D L' F U' R
F B' L2 U' R' F' R2
L' B' D F U' L' R
L' B' D F U' R L'
D2 B' D' L' F U' R
D' B' D' L' F U' R
D B' D L' F U' R
D2 B' D2 L' F U' R
D' B' D2 L' F U' R
B' F' U D' L' U2 F
D B' D' L' F U' R
F' B' U D' L' U2 F
B' F' U' D F2 R F'
D2 B' F U' R' F' R2
D' B' F U' R' F' R2
D B' D2 L' F U' R
F' B' U' D F2 R F'
F B' U L U2 R F
F B' U L' B' U2 R
R2 B' F R2 U' R' F'
D B' F U' R' F' R2
F B' U' R U2 B U2
B' F' D U' F2 R F'
F B' U' R' F R2 F2
F B' U' R' F' R2 D
F B' U' R' F' R2 D'
F B' U' R' F' R2 D2
F B' U' R' F2 R2 F
F B' U' D R' F' R2
F B' U' D' R' F' R2
B' F' D F2 U' R F'
F B' U' D2 R' F' R2
F B' U' F R' F' R
F' B' D U' F2 R F'
F' B' D F2 U' R F'
B' F' D' U L' U2 F
F B' U2 R2 U R' F'
F' B' D' U L' U2 F
F B' U2 B' R' U R2
D2 B2 L' F B U' R
D' B2 L' F B U' R
D2 B2 L' B F U' R
F2 B' D' F2 L' F U'
D' B2 L' B F U' R
F B' D U' R' F' R2
F B' D' U' R' F' R2
D B2 L' F B U' R
D B2 L' B F U' R
F B' D2 U' R' F' R2
U2 B2 U2 L' B U' R'
U2 B2 U2 B L' U' R'
L' B2 D F U' L' R
L' B2 D F U' R L'
B' F2 D' F2 L' F U'
