D' L R' F2 B R
D' L R' B F2 R
D' L R2 F2 R B
D L D2 F2 R B'
D L D2 F2 B' R
D L D2 B' F2 R
D' L F2 R' B R2
D' R F' U2 L F'
D' R F' U2 F' L
D' R' L F2 B R
D' R' L B F2 R
D' R' U2 L F2 B
D' R' U2 L B F2
D' R' U2 F2 L B
D' R2 L F2 R B
U R2 U D L B'
U R2 D U L B'
U2 D L D2 F2 B'
U2 D L D2 B' F2
L D' R' F2 B R
L D' R' B F2 R
L D' R2 F2 R B
L D' F2 R' B R2
U2 D' F2 D2 L B'
D U2 L D2 F2 B'
D U2 L D2 B' F2
D' U2 F2 D2 L B'
D' B2 R' U2 F2 B
D' B2 R' U2 B F2
D B2 U2 B2 L B'
D B2 D2 R' U2 B
F L D' R' B F2 R
F L D' R2 F2 R B
F' L D' F2 R' B R2
U2 L D' F2 R' B R
F2 L D' F2 R' B R2
F L D' F2 R' B R2
D L D' B' D' F2 R
D L D2 R F2 R B'
D L D2 R F2 B' R
D L D2 R B' F2 R
D L D2 R' F2 R B'
D L D2 R' F2 B' R
D L D2 R' B' F2 R
D L D2 R2 F2 R B'
D L D2 R2 F2 B' R
D L D2 R2 B' F2 R
D L D2 F2 R D B'
D L D2 F2 R D' B'
D L D2 F2 R D2 B'
D L D2 F2 R B' D
D L D2 F2 R B' D'
D L D2 F2 R B' D2
D L D2 F2 R' B' R2
D L D2 F2 D R B'
D L D2 F2 D B' R
D L D2 F2 D' R B'
D L D2 F2 D' B' R
D L D2 F2 D2 R B'
D L D2 F2 D2 B' R
D L D2 F2 B R B2
D L D2 F2 B' R D
D L D2 F2 B' R D'
D L D2 F2 B' R D2
D L D2 F2 B' D R
D L D2 F2 B' D' R
D L D2 F2 B' D2 R
D L D2 B F2 R B2
D L D2 B' R F2 R
D L D2 B' R' F2 R
D L D2 B' R2 F2 R
D L D2 B' F2 R D
D L D2 B' F2 R D'
D L D2 B' F2 R D2
D L D2 B' F2 D R
D L D2 B' F2 D' R
D L D2 B' F2 D2 R
D' L F R' F B R
D' L F R' B F R
D' L F R2 F R B
D' L F2 R U2 F' U2
D' L F2 R' B R2 D
D' L F2 R' B R2 D'
D' L F2 R' B R2 D2
D' L F2 R' B' R2 B2
D' L F2 R' B2 R2 B'
D L F2 R D2 F2 B'
D L F2 R D2 B' F2
D' L F2 B R' B R2
D' L F2 B' R' B R2
D L F2 D2 R F2 B'
D L F2 D2 R B' F2
D L F2 D2 B' R F2
D' L F2 B2 R' B R2
D' L B R' F2 B R
D' L B R' B F2 R
D' L B R2 F2 R B
D' L B F2 R' B R2
D' L B' R' F2 B R
D' L B' R' B F2 R
D' L B' R2 F2 R B
U2 L B' U' L R2 U
U2 L B' U' R2 L U
D L B' U2 B' L' U2
D' L B' F2 R' B R2
D L B2 L' U2 L B
D' L B2 R' F2 B R
D' L B2 R' B F2 R
D' L B2 R2 F2 R B
D' L B2 F2 R' B R2
D L' F L B2 R' U2
D L' F B2 U2 L2 R'
D L' F B2 U2 R' L2
D' L' F2 B2 L2 R' B
D' L' F2 B2 R' L2 B
D' L' F2 B2 R' B L2
D L' B' L2 F B' R'
D L' B' L2 B' R' F
D L' B' L2 B' F R'
D' L' B2 L2 R' F2 B
D' L' B2 L2 R' B F2
D' L' B2 L2 F2 R' B
D' L' B2 R' L2 F2 B
D' L' B2 R' L2 B F2
D' L' B2 R' F2 L2 B
D' L' B2 R' F2 B L2
D' L' B2 R' B L2 F2
D' L' B2 R' B F2 L2
D L' B2 U2 L2 R' B'
D L' B2 U2 R' L2 B'
D' L' B2 F2 L2 R' B
D' L' B2 F2 R' L2 B
D' L' B2 F2 R' B L2
D L' B2 F U2 L2 R'
D L' B2 F U2 R' L2
D' L2 R' B L' F2 R
U2 L2 D L B' L2 F
D L2 D2 L' R2 F2 B'
D L2 D2 L' R2 B' F2
D L2 D2 L' F2 R2 B'
D L2 D2 L' F2 B' R2
D L2 D2 L' B' R2 F2
D L2 D2 L' B' F2 R2
D L2 D2 R2 L' F2 B'
D L2 D2 R2 L' B' F2
R U R U D L B'
R' U R' U D L B'
R U R D U L B'
R' U R' D U L B'
U2 L2 B' L' D' F2 B2
U2 L2 B' L' D' B2 F2
R' U D R' U L B'
R U D R U L B'
R' U D' R' U L B
D L2 B2 L2 U2 L B'
D R L D2 F2 R B'
D R L D2 F2 B' R
D R L D2 B' F2 R
D' R U2 L' F2 L2 B'
D R U2 L D2 F2 B'
D R U2 L D2 B' F2
D' R U2 F2 L2 B' L'
U R D R U L B'
D' R D2 F' B2 R' U2
D' R D2 B2 F' R' U2
D' R F' R U2 L F
D' R F' U2 L D F'
D' R F' U2 L D' F'
D' R F' U2 L D2 F'
D' R F' U2 L F' D
D' R F' U2 L F' D'
D' R F' U2 L F' D2
D' R F' U2 L' F' L2
D' R F' U2 D L F'
D' R F' U2 D F' L
D' R F' U2 D' L F'
D' R F' U2 D' F' L
D' R F' U2 D2 L F'
D' R F' U2 D2 F' L
D' R F' U2 F L F2
D' R F' U2 F' L D
D' R F' U2 F' L D'
D' R F' U2 F' L D2
D' R F' U2 F' D L
D' R F' U2 F' D' L
D' R F' U2 F' D2 L
D' R F' D U2 L F'
D' R F' D U2 F' L
D' R F' D' U2 L F'
D' R F' D' U2 F' L
D' R F' D2 U2 L F'
D' R F' D2 U2 F' L
D' R F' B' U2 F' L'
D' R B' F' U2 F' L'
D R B2 U2 B2 L B'
D R B2 D2 R' U2 B
D' R' L F2 D B R
D' R' L F2 D' B R
D' R' L F2 D2 B R
D' R' L F2 B R D
D' R' L F2 B R D'
D' R' L F2 B R D2
D' R' L F2 B D R
D' R' L F2 B D' R
D' R' L F2 B D2 R
D' R' L F2 B' R B2
D' R' L F2 B2 R B'
D' R' L B R F2 R
D' R' L B R' F2 R
D' R' L B R2 F2 R
D' R' L B F2 R D
D' R' L B F2 R D'
D' R' L B F2 R D2
D' R' L B F2 D R
D' R' L B F2 D' R
D' R' L B F2 D2 R
D' R' L B' F2 R B2
D' R' L B2 F2 R B'
D R' L D2 F2 R B'
D R' L D2 F2 B' R
D R' L D2 B' F2 R
D' R' L2 B L' F2 R
B' R' U L R' F' U
B' R' U R' L F' U
B' R' U R' F' L U
B2 R' U R' U' F' U2
D' R' U2 L F2 D B
D' R' U2 L F2 D' B
D' R' U2 L F2 D2 B
D' R' U2 L F2 B D
D' R' U2 L F2 B D'
D' R' U2 L F2 B D2
D' R' U2 L B F2 D
D' R' U2 L B F2 D'
D' R' U2 L B F2 D2
D' R' U2 L' F2 L2 B
D' R' U2 L' F2 B L2
D' R' U2 L' B L2 F2
D' R' U2 L' B F2 L2
D' R' U2 L2 B L' F2
D' R' U2 F' L F' B
D' R' U2 F' L B F'
D R' U2 L D2 F2 B'
D R' U2 L D2 B' F2
D' R' U2 F2 L D B
D' R' U2 F2 L D' B
D' R' U2 F2 L D2 B
D' R' U2 F2 L B D
D' R' U2 F2 L B D'
D' R' U2 F2 L B D2
D' R' U2 F2 L' B L2
D' R' U2 F2 L2 B L'
D' R' U2 F2 D L B
D' R' U2 F2 D' L B
D' R' U2 F2 D2 L B
U R' D R' U L B'
U R' D' R' U L B
D' R' D2 B2 R' U2 B'
D' R' F U2 F L B
D' R' F' U2 L F' B
D' R' F' U2 L B F'
D' R' F' U2 F' L B
D' R' B2 R' U2 F2 B'
D' R' B2 R' U2 B' F2
L U2 D L' F B2 U2
L U2 D L' B2 F U2
L U2 D B2 L' F U2
D R' B2 U2 B2 L B'
D R' B2 D2 R' U2 B
D' R2 L F2 R D B
D' R2 L F2 R D' B
D' R2 L F2 R D2 B
D' R2 L F2 R B D
D' R2 L F2 R B D'
D' R2 L F2 R B D2
D' R2 L F2 D R B
D' R2 L F2 D' R B
D' R2 L F2 D2 R B
D' R2 L F2 B R B
D' R2 L F2 B' R B
D' R2 L F2 B2 R B
D' R2 L B F2 R B
D' R2 L B' F2 R B
D' R2 L B2 F2 R B
D R2 L D2 F2 R B'
D R2 L D2 F2 B' R
D R2 L D2 B' F2 R
U2 R2 U R2 D L B'
U R2 U D L D B'
U R2 U D L D' B'
U R2 U D L D2 B'
U R2 U D L B' D
U R2 U D L B' D'
U R2 U D L B' D2
D' R2 U2 L' F2 B' L2
D' R2 U2 L' B' L2 F2
D' R2 U2 L' B' F2 L2
D' R2 U2 F2 L' B' L2
D R2 U2 L D2 F2 B'
D R2 U2 L D2 B' F2
U R2 D L' U L2 B'
U R2 D U L D B'
U R2 D U L D' B'
U R2 D U L D2 B'
U R2 D U L B' D
U R2 D U L B' D'
U R2 D U L B' D2
U R2 D F U L B'
U R2 D F' U L B'
U R2 D F2 U L B'
D' R2 D2 B2 R' F' U2
U R2 D2 F L' U L2
L D L' F B2 R' U2
L D L' B2 R' F U2
U R2 F U D L B'
L D L' B2 F R' U2
U R2 F D U L B'
U R2 F' U D L B'
U R2 F' D U L B'
U R2 F2 U D L B'
U R2 F2 D U L B'
R' D U R' U L B'
D' R2 B2 R' F' U2 F'
U R2 B' L B U L
R D U R U L B'
B' U L R' F' R' U
D R2 B2 U2 B2 L B'
D R2 B2 D2 R' U2 B
U2 D L U2 B2 U2 B
U2 D L D B' D F2
U2 D L D' B' D' F2
U2 D L D2 F2 D B'
U2 D L D2 F2 D' B'
U2 D L D2 F2 D2 B'
U2 D L D2 F2 B' D
U2 D L D2 F2 B' D'
U2 D L D2 F2 B' D2
U2 D L D2 B' F2 D
U2 D L D2 B' F2 D'
U2 D L D2 B' F2 D2
U2 D L F D2 F2 B'
U2 D L F D2 B' F2
U2 D L F' D2 F2 B'
U2 D L F' D2 B' F2
U2 D L F2 D2 F2 B'
U2 D L F2 D2 B' F2
U2 D L B' L2 F L2
U2 D L B' U2 B' U2
L D U2 L' F B2 U2
L D U2 L' B2 F U2
L D U2 B2 L' F U2
U2 D L' B' L2 F B'
U2 D L' B' L2 B' F
U2 D L2 D2 L' F2 B'
U2 D L2 D2 L' B' F2
B' U R' L F' R' U
D' U R' U L F2 B
D' U R' U L B F2
D' U R' U F2 L B
B' U R' F' L R' U
B' U R' F' R' L U
F' U R2 U D L B'
F' U R2 D U L B'
B2 U R2 U' R F' U2
F2 U R2 U D L B'
F2 U R2 D U L B'
F U R2 U D L B'
U2 D F L D2 F2 B'
U2 D F L D2 B' F2
F U R2 D U L B'
L D B2 L' F U2 L
U2 D F' L D2 F2 B'
U2 D F' L D2 B' F2
U2 D F2 L D2 F2 B'
U2 D F2 L D2 B' F2
U2 D' L R' B R F2
R' D' U R' U L B
L D' R' F2 D B R
L D' R' F2 D' B R
L D' R' F2 D2 B R
L D' R' F2 B R D
L D' R' F2 B R D'
L D' R' F2 B R D2
L D' R' F2 B D R
L D' R' F2 B D' R
L D' R' F2 B D2 R
L D' R' F2 B' R B2
L D' R' F2 B2 R B'
L D' R' B R F2 R
L D' R' B R' F2 R
L D' R' B R2 F2 R
L D' R' B F2 R D
L D' R' B F2 R D'
L D' R' B F2 R D2
L D' R' B F2 D R
L D' R' B F2 D' R
L D' R' B F2 D2 R
U2 D' L F2 R' B R
L D' R' B' F2 R B2
L D' R' B2 F2 R B'
L D' R2 F2 R D B
L D' R2 F2 R D' B
L D' R2 F2 R D2 B
L D' R2 F2 R B D
L D' R2 F2 R B D'
L D' R2 F2 R B D2
L D' R2 F2 D R B
L D' R2 F2 D' R B
L D' R2 F2 D2 R B
L D' R2 F2 B R B
L D' R2 F2 B' R B
L D' R2 F2 B2 R B
L D' R2 B F2 R B
L D' R2 B' F2 R B
L D' R2 B2 F2 R B
B' U' L F R2 B U
U' D' R' U' L F2 B
U' D' R' U' L B F2
D' U' R' U' L F2 B
D' U' R' U' L B F2
U' D' R' U' F2 L B
D' U' R' U' F2 L B
U2 D' R' L B R F2
L D' F R' F B R
L D' F R' B F R
L D' F R2 F R B
U D' R' U L F2 B
U D' R' U L B F2
U D' R' U F2 L B
L D' F2 R U2 F' U2
L D' F2 R' B R2 D
L D' F2 R' B R2 D'
L D' F2 R' B R2 D2
L D' F2 R' B' R2 B2
L D' F2 R' B2 R2 B'
U2 D' F D2 F L B'
L D' F2 B R' B R2
L D' F2 B' R' B R2
L D' F2 B2 R' B R2
U2 D' F' D2 L F' B'
U2 D' F' D2 L B' F'
L D' B R' F2 B R
L D' B R' B F2 R
U2 D' F' D2 F' L B'
L D' B R2 F2 R B
U2 D' F2 L R' B R
U2 D' F2 R' L B R
L D' B F2 R' B R2
L' D' B2 U' R' F2 B
L' D' B2 U' R' B F2
L' D' B2 U' F2 R' B
U2 D' F2 D2 L D B'
U2 D' F2 D2 L D' B'
U2 D' F2 D2 L D2 B'
U2 D' F2 D2 L B' D
U2 D' F2 D2 L B' D'
U2 D' F2 D2 L B' D2
L D' B' R' F2 B R
L D' B' R' B F2 R
L D' B' R2 F2 R B
L D' B' F2 R' B R2
L D' B2 R' F2 B R
L D' B2 R' B F2 R
L D' B2 R2 F2 R B
B U' D' R' B U' F2
L D' B2 F2 R' B R2
D' U2 L R' B R F2
D' U2 L F2 R' B R
D U2 L U2 B2 U2 B
D U2 L D B' D F2
D U2 L D' B' D' F2
D U2 L D2 F2 D B'
D U2 L D2 F2 D' B'
D U2 L D2 F2 D2 B'
D U2 L D2 F2 B' D
D U2 L D2 F2 B' D'
D U2 L D2 F2 B' D2
D U2 L D2 B' F2 D
D U2 L D2 B' F2 D'
D U2 L D2 B' F2 D2
D U2 L F D2 F2 B'
D U2 L F D2 B' F2
D U2 L F' D2 F2 B'
D U2 L F' D2 B' F2
D U2 L F2 D2 F2 B'
D U2 L F2 D2 B' F2
D U2 L B' L2 F L2
D U2 L B' U2 B' U2
D U2 L' B' L2 F B'
D U2 L' B' L2 B' F
D U2 L2 D2 L' F2 B'
D U2 L2 D2 L' B' F2
D' U2 R' L B R F2
D' U2 F D2 F L B'
D U2 F L D2 F2 B'
D U2 F L D2 B' F2
D' U2 F' D2 L F' B'
D' U2 F' D2 L B' F'
D' U2 F' D2 F' L B'
D' U2 F2 L R' B R
D' U2 F2 R' L B R
D U2 F' L D2 F2 B'
D U2 F' L D2 B' F2
D' U2 F2 D2 L D B'
D' U2 F2 D2 L D' B'
D' U2 F2 D2 L D2 B'
D' U2 F2 D2 L B' D
D' U2 F2 D2 L B' D'
D' U2 F2 D2 L B' D2
D U2 F2 L D2 F2 B'
D U2 F2 L D2 B' F2
F' U2 D L D2 F2 B'
F' U2 D L D2 B' F2
F2 U2 D L D2 F2 B'
F2 U2 D L D2 B' F2
F U2 D L D2 F2 B'
F' U2 D' F2 D2 L B'
F U2 D L D2 B' F2
F2 U2 D' F2 D2 L B'
D F L D2 F2 R B'
D F L D2 F2 B' R
D F L D2 B' F2 R
F U2 D' F2 D2 L B'
B' U2 F' L' D' F2 B2
B' U2 F' L' D' B2 F2
D' F R F' U2 L F2
D' F R F' U2 F2 L
D' F R' U2 F L B
U F R2 U D L B'
U F R2 D U L B'
F' D L D2 F2 R B'
F' D L D2 F2 B' R
F' D L D2 B' F2 R
D' F U2 D2 F L B'
F2 D L D2 F2 R B'
F2 D L D2 F2 B' R
F2 D L D2 B' F2 R
D' F U2 F D2 L B'
D F U2 L D2 F2 B'
D F U2 L D2 B' F2
F D L D2 F2 R B'
F D L D2 F2 B' R
F D L D2 B' F2 R
U2 F D L D2 F2 B'
U2 F D L D2 B' F2
U2 F D' F2 D2 L B'
D' F D2 U2 F L B'
D' F B2 R' U2 F B
D' F B2 R' U2 B F
F' D U2 L D2 F2 B'
F' D U2 L D2 B' F2
D F B2 U2 B2 L B'
F2 D U2 L D2 F2 B'
F2 D U2 L D2 B' F2
D F B2 D2 R' U2 B
D F' L D2 F2 R B'
D F' L D2 F2 B' R
D F' L D2 B' F2 R
F D U2 L D2 F2 B'
F D U2 L D2 B' F2
D' F' R F' U2 L F
U F' R2 U D L B'
D2 F' U' L2 R U' L'
D2 F' U' R L2 U' L'
U F' R2 D U L B'
F' D B2 U2 B2 L B'
F' D B2 D2 R' U2 B
B2 D B2 U2 D L B'
B2 D B2 D U2 L B'
F2 D B2 U2 B2 L B'
F2 D B2 D2 R' U2 B
F' D' L R' F2 B R
F' D' L R' B F2 R
F' D' L R2 F2 R B
F2 D' L R' F2 B R
F2 D' L R' B F2 R
F2 D' L R2 F2 R B
F' D' L F2 R' B R2
D' F' U2 D2 L F' B'
D' F' U2 D2 L B' F'
D' F' U2 D2 F' L B'
D' F' U2 F' D2 L B'
F2 D' L F2 R' B R2
F D B2 U2 B2 L B'
F D B2 D2 R' U2 B
F D' L R' F2 B R
F D' L R' B F2 R
D F' U2 L D2 F2 B'
D F' U2 L D2 B' F2
F D' L R2 F2 R B
U2 F' D L D2 F2 B'
U2 F' D L D2 B' F2
F D' L F2 R' B R2
F' D' R F' U2 L F'
F' D' R F' U2 F' L
D' F' D2 U2 L F' B'
D' F' D2 U2 L B' F'
U2 F' D' F2 D2 L B'
D' F' D2 U2 F' L B'
F2 D' R F' U2 L F'
F2 D' R F' U2 F' L
F' D' R' L F2 B R
F' D' R' L B F2 R
F' D' R' U2 L F2 B
F' D' R' U2 L B F2
F' D' R' U2 F2 L B
F2 D' R' L F2 B R
F2 D' R' L B F2 R
F2 D' R' U2 L F2 B
F2 D' R' U2 L B F2
F2 D' R' U2 F2 L B
F' D' R2 L F2 R B
F D' R F' U2 L F'
F D' R F' U2 F' L
F2 D' R2 L F2 R B
F D' R' L F2 B R
F D' R' L B F2 R
F D' R' U2 L F2 B
F D' R' U2 L B F2
F D' R' U2 F2 L B
F D' R2 L F2 R B
D F' B2 U2 B2 L B'
D F' B2 D2 R' U2 B
F' D' U2 F2 D2 L B'
B D' U' R' B U' F2
F2 D' U2 F2 D2 L B'
D' F2 L' B2 L2 R' B
D' F2 L' B2 R' L2 B
D' F2 L' B2 R' B L2
D F2 L D2 F2 R B'
D F2 L D2 F2 B' R
D F2 L D2 B' F2 R
F D' U2 F2 D2 L B'
D' F2 R F' U2 F L
F' D' B2 R' U2 F2 B
F' D' B2 R' U2 B F2
U F2 R2 U D L B'
F2 D' B2 R' U2 F2 B
F2 D' B2 R' U2 B F2
U F2 R2 D U L B'
F D' B2 R' U2 F2 B
F D' B2 R' U2 B F2
D F2 U2 L D2 F2 B'
D F2 U2 L D2 B' F2
U2 F2 D L D2 F2 B'
U2 F2 D L D2 B' F2
U2 F2 D' F2 D2 L B'
L F2 D' R' F2 B R2
L F2 D' R' B R2 F2
L F2 D' R' B F2 R2
D F2 B2 U2 B2 L B'
D F2 B2 D2 R' U2 B
U' B D' R' B U' F2
L B D' F2 R D B2
L2 B' L' D' F2 R B2
L2 B' L' D' F2 B2 R
L2 B' L' D' B2 F2 R
U B' L B R2 U L
D' B' R F' U2 F' L'
D' B' R' B L F2 R
U2 B' U' L R2 F U
U2 B' U' L F R2 U
U2 B' U' R2 L F U
D B' D2 B' R' U2 B
D B2 L' R' F L U2
D B2 L' F L R' U2
D B2 L' F R' L U2
D' B2 R F' R2 B U2
D' B2 R' U2 F2 D B
D' B2 R' U2 F2 D' B
D' B2 R' U2 F2 D2 B
D' B2 R' U2 F2 B D
D' B2 R' U2 F2 B D'
D' B2 R' U2 F2 B D2
D' B2 R' U2 B F2 D
D' B2 R' U2 B F2 D'
D' B2 R' U2 B F2 D2
D' B2 R' D2 B2 U2 B'
D' B2 R' F U2 F B
D' B2 R' F U2 B F
D' B2 R' F' U2 F' B
D' B2 R' F' U2 B F'
D' B2 R' B' U2 F2 B2
D' B2 R' B' U2 B2 F2
D' B2 R' B2 U2 F2 B'
D' B2 R' B2 U2 B' F2
L' B2 R2 U L2 R B
L' B2 R2 U R L2 B
L' B2 R2 U R B L2
D' B2 R2 U2 F2 L' B'
R2 B2 R' U R U B
D B2 R' L' F L U2
D B2 R' U L U B'
D B2 R' U2 L B' L'
D B2 R2 D2 R F' U2
D2 B2 D R' U2 F2 B
D2 B2 D R' U2 B F2
D B2 U' B2 U' L B'
D B2 U2 L B2 L B
D B2 U2 B' L B' L
D B2 U2 B2 L D B'
D B2 U2 B2 L D' B'
D B2 U2 B2 L D2 B'
D B2 U2 B2 L B' D
D B2 U2 B2 L B' D'
D B2 U2 B2 L B' D2
D2 B2 D' B2 U2 L B'
D' B2 D2 B2 U2 L B'
D' B2 F R' U2 F B
D' B2 F R' U2 B F
D B2 D2 R F' R2 U2
D B2 D2 R' U2 D B
D B2 D2 R' U2 D' B
D B2 D2 R' U2 D2 B
D B2 D2 R' U2 B D
D B2 D2 R' U2 B D'
D B2 D2 R' U2 B D2
D B2 D2 R' D U2 B
D B2 D2 R' D' U2 B
D B2 D2 R' D2 U2 B
D B2 D2 R' F U2 B
D B2 D2 R' F' U2 B
D B2 D2 R' F2 U2 B
D B2 D2 F R' U2 B
D B2 D2 F' R' U2 B
D B2 D2 F2 R' U2 B
D B2 F U2 B2 L B'
D B2 F D2 R' U2 B
D B2 F' U2 B2 L B'
D B2 F' D2 R' U2 B
D B2 F2 U2 B2 L B'
D B2 F2 D2 R' U2 B
