F' L' U2 L U
F L F2 L' R U'
F L F2 R L' U'
F' L' R U2 L U
F' L' R' U2 L U
F' L' R2 U2 L U
F' L' U2 L U D
F' L' U2 L U D'
F' L' U2 L U D2
F' L' U2 L D U
F' L' U2 L D' U
F' L' U2 L D2 U
F' L' U2 D L U
F' L' U2 D' L U
F' L' U2 D2 L U
F' L' D U2 L U
F' L' D' U2 L U
F' L' D2 U2 L U
F' L' B2 R' B2 U'
F' L2 D' L U' B2
F' L2 D2 L R2 U'
F' L2 D2 R2 L U'
F' R L' U2 L U
F' R' L' U2 L U
F' R2 L' U2 L U
L2 D' F' L' U' B2
L2 D2 F' L' R2 U'
L2 D2 F' R2 L' U'
B' U2 F' B L U'
B' U2 F' B L U'
B' U2 B L F' U'
B' U2 B F' L U'
F' D L' U2 L U
L' F' L' U' D' B2
L' F' L' U2 L2 U
L' F' L' D' U' B2
L' F' L' D2 R2 U'
D2 F' L' U2 L U
D' F' L' U2 L U
L2 F' L' U2 L' U
D F' L' U2 L U
F' D' L' U2 L U
U2 F' U2 F R U
L2 F' D' L' U' B2
L2 F' D2 L' R2 U'
L2 F' D2 R2 L' U'
L F2 R F L' U'
F' D2 L' U2 L U
B2 F' L' B2 R' U'
F' B2 L' B2 R' U'
F' L' U2 F L F' U
F' L' U2 F2 L F2 U
F' L' D R U2 L U
F' L' D R' U2 L U
F' L' D R2 U2 L U
F' L' D U2 L U D
F' L' D U2 L U D'
F' L' D U2 L U D2
F' L' D U2 L D U
F' L' D U2 L D' U
F' L' D U2 L D2 U
F' L' D B2 R' B2 U'
F' L' D' R U2 L U
F' L' D' R' U2 L U
F' L' D' R2 U2 L U
F' L' D' U2 L U D
F' L' D' U2 L U D'
F' L' D' U2 L U D2
F' L' D' U2 L D U
F' L' D' U2 L D' U
F' L' D' U2 L D2 U
F' L' D' B2 R' B2 U'
F' L' D2 R U2 L U
F' L' D2 R' U2 L U
F' L' D2 R2 U2 L U
F' L' D2 U2 L U D
F' L' D2 U2 L U D'
F' L' D2 U2 L U D2
F' L' D2 U2 L D U
F' L' D2 U2 L D' U
F' L' D2 U2 L D2 U
F' L' D2 B2 R' B2 U'
D' L' F' L' U' D' B2
D' L' F' L' U2 L2 U
D2 L' F' L' U' D' B2
D2 L' F' L' U2 L2 U
D' L' F' L' D' U' B2
D2 L' F' L' D' U' B2
D' L' F' L' D2 R2 U'
D2 L' F' L' D2 R2 U'
D L' F' L' U' D' B2
D L' F' L' U2 L2 U
D L' F' L' D' U' B2
D L' F' L' D2 R2 U'
U2 L' F' U2 F R U
B2 L' F' B2 L' R' U'
B2 L' F' B2 R' L' U'
F L' F2 L' U' D' B2
F L' F2 L' U2 L2 U
F L' F2 L' D' U' B2
F L' F2 L' D2 R2 U'
U L' B' U' F' U' B
F' L' B2 R B2 R2 U'
F' L' B2 R' U' D L2
F' L' B2 R' D U' L2
F' L' B2 R' B2 U' D
F' L' B2 R' B2 U' D'
F' L' B2 R' B2 U' D2
F' L' B2 R' B2 D U'
F' L' B2 R' B2 D' U'
F' L' B2 R' B2 D2 U'
F' L' B2 R2 B2 R U'
F' L' B2 D R' U' L2
B2 L' B2 F' L' R' U'
B2 L' B2 F' R' L' U'
F' L2 R D' L U' B2
F' L2 R D2 L R2 U'
F' L2 R D2 R2 L U'
L2 R2 D2 R2 F' L' U'
R2 L2 D2 R2 F' L' U'
F' L2 R' D' L U' B2
F' L2 R' D2 L R2 U'
F' L2 R' D2 R2 L U'
F' L2 R2 D' L U' B2
F' L2 R2 D2 L R2 U'
F' L2 R2 D2 R2 L U'
L2 R2 B L2 F R U
R2 L2 B L2 F R U
F' L2 U2 L2 U2 L' U'
F' L2 D L U F2 U2
F' L2 D L U' D2 B2
F' L2 D L D R2 U'
F' L2 D L D2 U' B2
F' L2 D' L R U' B2
F' L2 D' L R' U' B2
F' L2 D' L R2 U' B2
F' L2 D' L U' B2 D
F' L2 D' L U' B2 D'
F' L2 D' L U' B2 D2
F' L2 D' L D' R2 U'
F' L2 D' R L U' B2
F' L2 D' R' L U' B2
F' L2 D' R2 L U' B2
D2 L2 D' F' L' U' B2
D' L2 D' F' L' U' B2
D L2 D' F' L' U' B2
F' L2 D2 L R2 U' D
F' L2 D2 L R2 U' D'
F' L2 D2 L R2 U' D2
F' L2 D2 L R2 D U'
F' L2 D2 L R2 D' U'
F' L2 D2 L R2 D2 U'
F' L2 D2 L U' D B2
F' L2 D2 L D U' B2
F' L2 D2 R2 L U' D
F' L2 D2 R2 L U' D'
F' L2 D2 R2 L U' D2
F' L2 D2 R2 L D U'
F' L2 D2 R2 L D' U'
F' L2 D2 R2 L D2 U'
F' L2 D2 R2 D L U'
F' L2 D2 R2 D' L U'
F' L2 D2 R2 D2 L U'
D2 L2 D2 F' L' R2 U'
D2 L2 D2 F' R2 L' U'
D' L2 D2 F' L' R2 U'
D' L2 D2 F' R2 L' U'
D L2 D2 F' L' R2 U'
D L2 D2 F' R2 L' U'
D2 L2 F' L' U2 L' U
D' L2 F' L' U2 L' U
D L2 F' L' U2 L' U
D2 L2 F' D' L' U' B2
D' L2 F' D' L' U' B2
D2 L2 F' D2 L' R2 U'
D2 L2 F' D2 R2 L' U'
D' L2 F' D2 L' R2 U'
D' L2 F' D2 R2 L' U'
U2 L2 F' U2 F R U
D L2 F' D' L' U' B2
D L2 F' D2 L' R2 U'
D L2 F' D2 R2 L' U'
F L2 F2 L' U2 L' U
F L2 F2 D' L' U' B2
F L2 F2 D2 L' R2 U'
F L2 F2 D2 R2 L' U'
F' R L' U2 L U D
F' R L' U2 L U D'
F' R L' U2 L U D2
F' R L' U2 L D U
F' R L' U2 L D' U
F' R L' U2 L D2 U
F' R L' U2 D L U
F' R L' U2 D' L U
F' R L' U2 D2 L U
F' R L' D U2 L U
F' R L' D' U2 L U
F' R L' D2 U2 L U
F' R L' B2 R' B2 U'
F' R L2 D' L U' B2
F' R L2 D2 L R2 U'
F' R L2 D2 R2 L U'
R U F' L' B' U2 B
F R U D R2 D2 L2
F R U' D' L2 U2 L2
R U B U2 B' R' F'
F' R D L' U2 L U
F R U2 F2 U' D' L2
F R U2 F2 U2 F2 U
F R U2 F2 D' U' L2
F R U2 F2 D2 B2 U'
F R D U R2 D2 L2
F' R D' L' U2 L U
F' R D2 L' U2 L U
F R D' U' L2 U2 L2
B' R F R F' B U
B' R F R B F' U
F2 R F L' U2 L U
R U' L' U2 L F R
F R D2 B2 U D L2
F R D2 B2 U2 B2 U'
F R D2 B2 D U L2
F R D2 B2 D2 F2 U
R U' R B L U2 L'
L2 U' R' D' F' R B2
L2 U' R' D' F' B2 R
L2 U' R' D' B2 F' R
F R B U2 F2 B' U'
F R B U2 B' F2 U'
F' R B2 L' B2 R' U'
F R B' U2 F2 B U'
F R B' U2 B F2 U'
F R B2 U D L2 R2
F R B2 U D R2 L2
F R B2 U2 F2 B2 U'
F R B2 U2 B2 F2 U'
F R B2 D U L2 R2
F R B2 D U R2 L2
F R B2 D2 F2 B2 U
F R B2 D2 B2 F2 U
F' R' L' U2 L U D
F' R' L' U2 L U D'
F' R' L' U2 L U D2
F' R' L' U2 L D U
F' R' L' U2 L D' U
F' R' L' U2 L D2 U
F' R' L' U2 D L U
F' R' L' U2 D' L U
F' R' L' U2 D2 L U
F' R' L' D U2 L U
F' R' L' D' U2 L U
F' R' L' D2 U2 L U
F' R' L' B2 R' B2 U'
F' R' L2 D' L U' B2
F' R' L2 D2 L R2 U'
F' R' L2 D2 R2 L U'
U2 R' U2 R F' L' U'
F' R' D L' U2 L U
F' R' D' L' U2 L U
L' U2 L U2 F' L' U'
F' R' D2 L' U2 L U
F2 R' F L' U2 L U
L U2 L' U2 F' L' U'
L2 U2 L2 U2 F' L' U'
F' R' B2 L' B2 R' U'
F' R2 L' U2 L U D
F' R2 L' U2 L U D'
F' R2 L' U2 L U D2
F' R2 L' U2 L D U
F' R2 L' U2 L D' U
F' R2 L' U2 L D2 U
F' R2 L' U2 D L U
F' R2 L' U2 D' L U
F' R2 L' U2 D2 L U
F' R2 L' D U2 L U
F' R2 L' D' U2 L U
F' R2 L' D2 U2 L U
F' R2 L' B2 R' B2 U'
F' R2 L2 D' L U' B2
F' R2 L2 D2 L R2 U'
F' R2 L2 D2 R2 L U'
U2 R2 U2 R2 F' L' U'
F' R2 D L' U2 L U
F' R2 D' L' U2 L U
F' R2 D2 L' U2 L U
F2 R2 F L' U2 L U
B' R2 F B R F2 U
B' R2 F' B U2 L' U'
B2 R2 B U2 B L U'
B' R2 B F R F2 U
B' R2 B F' U2 L' U'
U2 R2 B U2 L R2 U'
U2 R2 B U2 R2 L U'
U2 R2 B' R' B2 L U
F' R2 B2 L' B2 R' U'
B2 U L F D L2 R2
B2 U L F D R2 L2
L' D F' L' U' D' B2
L' D F' L' U2 L2 U
L' D F' L' D' U' B2
L' D F' L' D2 R2 U'
L2 D F' L' R2 U' B
L2 D F' L' U F' U2
L2 D F' R2 L' U' B
L D F2 R F L' U'
U2 D F' U2 F R U
L2 D' L F' L' U' B2
L2 D' L' F' L' U' B2
L2 D' L2 F' L' U' B2
F' U B' U' L' U' B
F' U B2 U' L' U' B2
L' D' F' L' U' D' B2
L' D' F' L' U2 L2 U
L' D' F' L' D' U' B2
L' D' F' L' D2 R2 U'
L2 D' F' L' R U' B2
L2 D' F' L' R' U' B2
L2 D' F' L' R2 U' B2
L2 D' F' L' U' B2 D
L2 D' F' L' U' B2 D'
L2 D' F' L' U' B2 D2
L2 D' F' L' D' R2 U'
L2 D' F' R L' U' B2
L2 D' F' R' L' U' B2
L2 D' F' R2 L' U' B2
L2 D' F' D' L' R2 U'
L2 D' F' D' R2 L' U'
L D' F2 R F L' U'
U2 D' F' U2 F R U
L2 D2 L F' L' R2 U'
L2 D2 L F' R2 L' U'
L2 D2 L' F' L' R2 U'
L2 D2 L' F' R2 L' U'
L2 D2 L2 F' L' R2 U'
L2 D2 L2 F' R2 L' U'
B' U2 L F' B L U'
B' U2 L B L F' U'
B' U2 L B F' L U'
B' U2 L' F' B L U'
B' U2 L' B L F' U'
B' U2 L' B F' L U'
L' D2 F' L' U' D' B2
L' D2 F' L' U2 L2 U
L' D2 F' L' D' U' B2
L' D2 F' L' D2 R2 U'
D' U2 F' U2 F R U
D2 U2 F' U2 F R U
B' U2 L2 F' B L U'
L2 D2 F' L' R2 U' D
L2 D2 F' L' R2 U' D'
L2 D2 F' L' R2 U' D2
L2 D2 F' L' R2 D U'
L2 D2 F' L' R2 D' U'
L2 D2 F' L' R2 D2 U'
L2 D2 F' L' U' D B2
L2 D2 F' L' D U' B2
B' U2 L2 B L F' U'
B' U2 L2 B F' L U'
L2 D2 F' R2 L' U' D
L2 D2 F' R2 L' U' D'
L2 D2 F' R2 L' U' D2
L2 D2 F' R2 L' D U'
L2 D2 F' R2 L' D' U'
L2 D2 F' R2 L' D2 U'
L2 D2 F' R2 D L' U'
L2 D2 F' R2 D' L' U'
L2 D2 F' R2 D2 L' U'
U2 D2 F' U2 F R U
L2 D2 F' D L' U' B2
F' U2 R U2 L' R' U'
F' U2 R U2 R' L' U'
D U2 F' U2 F R U
L2 D2 F2 R2 F L' U'
F' U2 R' U2 L' R U'
F' U2 R' U2 R L' U'
F U2 R U2 R' F2 U'
F U2 R U2 F2 R' U'
L D2 F2 R F L' U'
F U2 R D2 B2 L U
F' U2 R2 U2 L' R2 U'
F' U2 R2 U2 R2 L' U'
B' U2 D F' B L U'
B' U2 D B L F' U'
B' U2 D B F' L U'
B' U2 D' F' B L U'
B' U2 D' B L F' U'
B' U2 D' B F' L U'
D' F L F2 L' R U'
D' F L F2 R L' U'
D2 F L F2 L' R U'
D2 F L F2 R L' U'
B' U2 D2 F' B L U'
B' U2 D2 B L F' U'
B' U2 D2 B F' L U'
D F L F2 L' R U'
D F L F2 R L' U'
F2 U2 F L' U2 F' U
B' U2 F B L F2 U'
L2 F L' F2 L' R U'
L2 F L' F2 R L' U'
F U2 D2 R B2 L U
B' U2 F' L B L U'
B' U2 F' L' B L U'
B' U2 F' L2 B L U'
L' F L2 F2 L' R U'
L' F L2 F2 R L' U'
B' U2 F' D B L U'
B' U2 F' D' B L U'
B' U2 F' D2 B L U'
B' U2 F' B L U' D
B' U2 F' B L U' D'
B' U2 F' B L U' D2
B' U2 F' B L D U'
B' U2 F' B L D' U'
B' U2 F' B L D2 U'
B' U2 F' B D L U'
B' U2 F' B D' L U'
B' U2 F' B D2 L U'
B2 U2 F' B L B U'
B' U2 B L D F' U'
B' U2 B L D' F' U'
B' U2 B L D2 F' U'
B' U2 B L F' U' D
B' U2 B L F' U' D'
B' U2 B L F' U' D2
B' U2 B L F' D U'
B' U2 B L F' D' U'
B' U2 B L F' D2 U'
B U2 F' B L B2 U'
B' U2 B L' F' L2 U'
B U2 F' B' U2 R' U
B2 U2 B L F' B U'
B2 U2 B L B F' U'
B' U2 B D L F' U'
B' U2 B D F' L U'
B' U2 B D' L F' U'
F U2 F2 L' U' D' L2
F U2 F2 L' U2 F2 U
B' U2 B D' F' L U'
F U2 F2 L' D' U' L2
F U2 F2 L' D2 B2 U'
B' U2 B D2 L F' U'
B' U2 B D2 F' L U'
B' U2 B F L F2 U'
B' U2 B F' L U' D
B' U2 B F' L U' D'
B' U2 B F' L U' D2
B' U2 B F' L D U'
B' U2 B F' L D' U'
B' U2 B F' L D2 U'
B' U2 B F' D L U'
B' U2 B F' D' L U'
B' U2 B F' D2 L U'
B2 U2 B F' L B U'
F U2 F2 U2 F2 R U
B U2 B L F' B2 U'
R F R B U2 B' U'
B U2 B L B2 F' U'
F U2 F2 D' L' U' L'
F U2 F2 D2 L' B2 U'
F U2 F2 D2 B2 L' U'
B U2 B F' L B2 U'
B U2 B' F' U2 R' U
F' D L' R U2 L U
F' D L' R' U2 L U
F' D L' R2 U2 L U
F' D L' U2 L U D
F' D L' U2 L U D'
F' D L' U2 L U D2
F' D L' U2 L D U
F' D L' U2 L D' U
F' D L' U2 L D2 U
F' D L' U2 D L U
F' D L' U2 D' L U
F' D L' U2 D2 L U
U' F D R' F' R' B
F' D L' D U2 L U
F' D L' D' U2 L U
F' D L' D2 U2 L U
F' D L' B2 R' B2 U'
F' D L2 D' L U' B2
F' D L2 D2 L R2 U'
F' D L2 D2 R2 L U'
F' D R L' U2 L U
F' D R' L' U2 L U
F' D R2 L' U2 L U
R2 F B R U2 B' U'
D' F' L' R U2 L U
D2 F' L' R U2 L U
D' F' L' R' U2 L U
D2 F' L' R' U2 L U
D' F' L' R2 U2 L U
D2 F' L' R2 U2 L U
B' D U2 F' B L U'
L' F' L' R U' D' B2
L' F' L' R U2 L2 U
L' F' L' R D' U' B2
L' F' L' R D2 R2 U'
B' D U2 B L F' U'
L' F' L' R' U' D' B2
L' F' L' R' U2 L2 U
L' F' L' R' D' U' B2
L' F' L' R' D2 R2 U'
B' D U2 B F' L U'
D' F' L' U2 L U D
D' F' L' U2 L U D'
D' F' L' U2 L U D2
D' F' L' U2 L D U
D' F' L' U2 L D' U
D' F' L' U2 L D2 U
D2 F' L' U2 L U D
D2 F' L' U2 L U D'
D2 F' L' U2 L U D2
D2 F' L' U2 L D U
D2 F' L' U2 L D' U
D2 F' L' U2 L D2 U
L' F' L' R2 U' D' B2
L' F' L' R2 U2 L2 U
L' F' L' R2 D' U' B2
D' F' L' U2 D L U
L' F' L' R2 D2 R2 U'
D' F' L' U2 D' L U
D2 F' L' U2 D L U
D' F' L' U2 D2 L U
D2 F' L' U2 D' L U
D2 F' L' U2 D2 L U
L' F' L' U D F2 U2
D' F' L' D U2 L U
D2 F' L' D U2 L U
L' F' L' U' D' B2 D
L' F' L' U' D' B2 D'
L' F' L' U' D' B2 D2
D' F' L' D' U2 L U
D2 F' L' D' U2 L U
L' F' L' U' B D' B2
L' F' L' U' B' D' B2
L' F' L' U' B2 D' B2
L' F' L' U2 L2 U D
L' F' L' U2 L2 U D'
L' F' L' U2 L2 U D2
L' F' L' U2 L2 D U
L' F' L' U2 L2 D' U
L' F' L' U2 L2 D2 U
U2 F' L B L B' U'
D' F' L' D2 U2 L U
D2 F' L' D2 U2 L U
L' F' L' D U F2 U2
L' F' L' D' R U' B2
L' F' L' D' R' U' B2
L' F' L' D' R2 U' B2
L' F' L' D' U' B2 D
L' F' L' D' U' B2 D'
L' F' L' D' U' B2 D2
L' F' L' D2 R2 U' D
L' F' L' D2 R2 U' D'
L' F' L' D2 R2 U' D2
L' F' L' D2 R2 D U'
L' F' L' D2 R2 D' U'
L' F' L' D2 R2 D2 U'
L2 F' L' R U2 L' U
L2 F' L' R' U2 L' U
L2 F' L' R2 U2 L' U
D2 F' L' B2 R' B2 U'
D' F' L' B2 R' B2 U'
L2 F' L' U2 L' U D
L2 F' L' U2 L' U D'
L2 F' L' U2 L' U D2
L2 F' L' U2 L' D U
L2 F' L' U2 L' D' U
L2 F' L' U2 L' D2 U
L2 F' L' U2 D L' U
L2 F' L' U2 D' L' U
L2 F' L' U2 D2 L' U
L2 F' L' D U2 L' U
L2 F' L' D' U2 L' U
L2 F' L' D2 U2 L' U
D F' L' R U2 L U
R2 F' L' U2 L B U
D F' L' R' U2 L U
D' F' L2 D' L U' B2
D2 F' L2 D' L U' B2
D F' L' R2 U2 L U
L2 F' L' F2 R F2 U'
D2 F' L2 D2 L R2 U'
D' F' L2 D2 L R2 U'
D2 F' L2 D2 R2 L U'
D' F' L2 D2 R2 L U'
D F' L' U2 L U D
D F' L' U2 L U D'
D F' L' U2 L U D2
D F' L' U2 L D U
D F' L' U2 L D' U
D F' L' U2 L D2 U
D F' L' U2 D L U
D F' L' U2 D' L U
D F' L' U2 D2 L U
D F' L' D U2 L U
D F' L' D' U2 L U
D F' L' D2 U2 L U
D2 F' R L' U2 L U
D' F' R L' U2 L U
L' F' R L' U' D' B2
L' F' R L' U2 L2 U
L' F' R L' D' U' B2
L' F' R L' D2 R2 U'
D F' L' B2 R' B2 U'
L F' L' D R' U' B
U2 F' L2 B L B2 U'
L F' L' F' R F U'
U2 F' L2 B' U2 R' U
D F' L2 D' L U' B2
L2 F' R L' U2 L' U
D F' L2 D2 L R2 U'
D F' L2 D2 R2 L U'
D2 F' R' L' U2 L U
D' F' R' L' U2 L U
L2 F' R D' L' U' B2
L' F' R' L' U' D' B2
L' F' R' L' U2 L2 U
L2 F' R D2 L' R2 U'
L' F' R' L' D' U' B2
L' F' R' L' D2 R2 U'
L2 F' R D2 R2 L' U'
L F' L2 D' L U' B'
D F' R L' U2 L U
L2 F' R' L' U2 L' U
D' F' R2 L' U2 L U
D2 F' R2 L' U2 L U
L2 F' R' D' L' U' B2
L' F' R2 L' U' D' B2
L' F' R2 L' U2 L2 U
L' F' R2 L' D' U' B2
L' F' R2 L' D2 R2 U'
L2 F' R' D2 L' R2 U'
L2 F' R' D2 R2 L' U'
D F' R' L' U2 L U
L2 F' R2 L' U2 L' U
L2 F' R2 D' L' U' B2
L2 F' R2 D2 L' R2 U'
L2 F' R2 D2 R2 L' U'
D F' R2 L' U2 L U
F' D B2 L' B2 R' U'
U2 F' U' L D F L'
L' F' U2 L U D F2
L' F' U2 L U2 L2 U'
L' F' U2 L D U F2
L' F' U2 L D2 R2 U
F' D' L' R U2 L U
F' D' L' R' U2 L U
F' D' L' R2 U2 L U
L2 F' U2 L2 U2 L U'
U2 F' U2 R F R U
F' D' L' U2 L U D
F' D' L' U2 L U D'
F' D' L' U2 L U D2
F' D' L' U2 L D U
F' D' L' U2 L D' U
F' D' L' U2 L D2 U
D2 F' D L' U2 L U
U2 F' U2 R' F R U
F' D' L' U2 D L U
F' D' L' U2 D' L U
D' F' D L' U2 L U
F' D' L' U2 D2 L U
U2 F' U2 R2 F R U
F' D' L' D U2 L U
U2 F' U2 D F R U
F' D' L' D' U2 L U
U2 F' U2 D' F R U
L' F' D L' U' D' B2
L' F' D L' U2 L2 U
F' D' L' D2 U2 L U
L' F' D L' D' U' B2
L' F' D L' D2 R2 U'
U2 F' U2 D2 F R U
U2 F' U2 F R U D
U2 F' U2 F R U D'
U2 F' U2 F R U D2
U2 F' U2 F R D U
U2 F' U2 F R D' U
U2 F' U2 F R D2 U
U2 F' U2 F D R U
U2 F' U2 F D' R U
U2 F' U2 F D2 R U
F' D' L' B2 R' B2 U'
L2 F' D L' U F2 U2
L2 F' D L' U' D2 B2
L2 F' D L' D R2 U'
L2 F' D L' D2 U' B2
D2 F' D' L' U2 L U
D' F' D' L' U2 L U
F' D' L2 D' L U' B2
F' D' L2 D2 L R2 U'
F' D' L2 D2 R2 L U'
L' F' D' L' U' D' B2
L' F' D' L' U2 L2 U
L' F' D' L' D' U' B2
L' F' D' L' D2 R2 U'
U2 F' D U2 F R U
D F' D L' U2 L U
F' D' R L' U2 L U
L2 F' D' L' R U' B2
L2 F' D' L' R' U' B2
L2 F' D' L' R2 U' B2
L2 F' D' L' U' B2 D
L2 F' D' L' U' B2 D'
L2 F' D' L' U' B2 D2
L2 F' D' L' D' R2 U'
L2 F' D' R L' U' B2
L F' D L' R' U' B
L2 F' D' R' L' U' B2
D2 F' D2 L' U2 L U
D' F' D2 L' U2 L U
L2 F' D' R2 L' U' B2
L F' D R' L' U' B
L' F' D2 L' U' D' B2
L' F' D2 L' U2 L2 U
L' F' D2 L' D' U' B2
L' F' D2 L' D2 R2 U'
U2 F' D' U2 F R U
D F' D' L' U2 L U
F' D' R' L' U2 L U
L2 F' D2 L' R2 U' D
L2 F' D2 L' R2 U' D'
L2 F' D2 L' R2 U' D2
L2 F' D2 L' R2 D U'
L2 F' D2 L' R2 D' U'
L2 F' D2 L' R2 D2 U'
L2 F' D2 L' U' D B2
L2 F' D2 L' D U' B2
L F' D' L' U F U2
L2 F' D2 R2 L' U' D
L2 F' D2 R2 L' U' D'
L2 F' D2 R2 L' U' D2
L2 F' D2 R2 L' D U'
L2 F' D2 R2 L' D' U'
L2 F' D2 R2 L' D2 U'
L2 F' D2 R2 D L' U'
L2 F' D2 R2 D' L' U'
L2 F' D2 R2 D2 L' U'
U2 F' D2 U2 F R U
D F' D2 L' U2 L U
F D' R U' L2 U2 L2
F' D' R2 L' U2 L U
U2 F' B L2 B' L' U'
D2 F' B2 L' B2 R' U'
D' F' B2 L' B2 R' U'
R2 F' B U2 B' L' U'
L' F' B2 L' R' B2 U'
L' F' B2 R' L' B2 U'
L' F' B2 R' B2 L' U'
U2 F' B' U2 R' F U
U2 F' B' U2 F R' U
U2 F' B2 L2 B' L U'
D F' B2 L' B2 R' U'
B' D' U2 F' B L U'
B' D' U2 B L F' U'
B' D' U2 B F' L U'
U' F2 R' F' D R2 B
L F2 R F L' U' D
L F2 R F L' U' D'
L F2 R F L' U' D2
L F2 R F L' D U'
L F2 R F L' D' U'
L F2 R F L' D2 U'
L F2 R F D L' U'
L F2 R F D' L' U'
L F2 R F D2 L' U'
L F2 R' F L' R2 U'
L F2 R' F R2 L' U'
F' D' B2 L' B2 R' U'
L F2 R2 F L' R' U'
L F2 R2 F R' L' U'
F' D2 L' R U2 L U
F' D2 L' R' U2 L U
F' D2 L' R2 U2 L U
F' D2 L' U2 L U D
F' D2 L' U2 L U D'
F' D2 L' U2 L U D2
F' D2 L' U2 L D U
F' D2 L' U2 L D' U
F' D2 L' U2 L D2 U
F' D2 L' U2 D L U
F' D2 L' U2 D' L U
F' D2 L' U2 D2 L U
F' D2 L' D U2 L U
F' D2 L' D' U2 L U
