B' R U2 B'
R B' U2 B'
B' R U2 D B'
B' R U2 D' B'
B' R U2 D2 B'
B' R U2 B' D
B' R U2 B' D'
B' R U2 B' D2
B' R D U2 B'
B' R D' U2 B'
B' R D2 U2 B'
B' R F U2 B'
B' R F' U2 B'
B' R F2 U2 B'
D2 R F2 B' U2
D2 R B' F2 U2
R D2 F2 B' U2
R D2 B' F2 U2
B' D R U2 B'
R F B' U2 B'
B' D' R U2 B'
R F' B' U2 B'
B' D2 R U2 B'
D2 F2 B' U2 L'
R F2 B' U2 B'
R' B' R2 U2 B'
R2 B' U2 B' L
D2 B' R F2 U2
F2 B' U2 B' L'
R B' U2 D B'
R B' U2 D' B'
R B' U2 D2 B'
R B' U2 B' D
R B' U2 B' D'
R B' U2 B' D2
R B' D U2 B'
R B' D' U2 B'
R B' D' U2 B'
D2 B' F2 U2 L'
R B' D2 U2 B'
R B' F U2 B'
R B' F' U2 B'
R B' F2 U2 B'
B' F2 U2 B' L'
B' D' F2 U2 B' L'
R' F2 R2 B' U2 B'
D2 F2 R' B' U2 L'
B2 D' B R U2 B'
R2 F2 R' B' U2 B'
D2 F2 R2 B' U2 L'
D2 F2 U2 L2 F L
D2 F2 D B' U2 L'
B' D2 R U2 D B'
B' D2 R U2 D' B'
B' D2 R U2 D2 B'
B' D2 R U2 B' D
B' D2 R U2 B' D'
B' D2 R U2 B' D2
B' D2 R D U2 B'
B' D2 R D' U2 B'
L' F2 B2 L' R' F
B' D2 R D2 U2 B'
L' F2 B2 L' F R'
D2 F2 D' B' U2 L'
B' D2 R F U2 B'
B' D2 R F' U2 B'
L' F2 B2 R' L' F
B' D2 R F2 U2 B'
R' F2 B' R2 U2 B'
D2 F2 D2 B' U2 L'
D2 F2 B' R U2 L'
D2 F2 B' R' U2 L'
D2 F2 B' R2 U2 L'
D2 F2 B' U2 L' D
D2 F2 B' U2 L' D'
D2 F2 B' U2 L' D2
D2 F2 B' U2 D L'
D2 F2 B' U2 D' L'
D2 F2 B' U2 D2 L'
R2 F2 B' U2 B' L
D2 F2 B' D U2 L'
D2 F2 B' D' U2 L'
D2 F2 B' D2 U2 L'
R F2 D2 F2 B' U2
R F2 D2 B' F2 U2
R F2 B' U2 D B'
R F2 B' U2 D' B'
R F2 B' U2 D2 B'
R F2 B' U2 B' D
R F2 B' U2 B' D'
R F2 B' U2 B' D2
R F2 B' D U2 B'
R F2 B' D' U2 B'
R F2 B' D2 U2 B'
B D2 U2 F2 L' B
B D2 U2 F2 B L'
B D2 U2 B F2 L'
B' D2 F2 U2 B' L'
D2 B R F2 B2 U2
D2 B R B2 F2 U2
R' B R2 F' B2 U2
F2 D2 F2 R B' U2
R' B R2 B2 F' U2
B2 D2 B R U2 B'
F2 D2 F2 B' R U2
F D2 F2 B' U2 L
F2 D2 B' F2 R U2
F D2 B' F2 U2 L
R B U2 D2 F2 B
R B U2 D2 B F2
U2 B D2 F2 L' B
U2 B D2 F2 B L'
U2 B D2 B F2 L'
R B D2 U2 F2 B
R B D2 U2 B F2
B' F U2 D2 B' L
D2 B' R U2 D2 B2
D2 B' R D2 U2 B2
U2 B' R U2 R' B'
D' B' R U' R U'
R2 B' R U2 B' L
D2 B' R F2 U2 D
D2 B' R F2 U2 D'
D2 B' R F2 U2 D2
D2 B' R F2 D U2
D2 B' R F2 D' U2
D2 B' R F2 D2 U2
R' B' R2 U2 D B'
R' B' R2 U2 D' B'
R' B' R2 U2 D2 B'
R' B' R2 U2 B' D
R' B' R2 U2 B' D'
R' B' R2 U2 B' D2
R' B' R2 D U2 B'
R' B' R2 D' U2 B'
R' B' R2 D2 U2 B'
B' F D2 U2 B' L
R' B' R2 F U2 B'
R' B' R2 F' U2 B'
R' B' R2 F2 U2 B'
R2 B' R' U2 B' L
D B' R U L2 U
D2 B' R' F2 R2 U2
D B' R U2 D' B2
D B' R D F2 U2
D B' R D' U2 B2
R2 B' R2 U2 B' L
D2 B' R2 F2 R' U2
R B' L2 F L2 U2
R' B' U2 D2 B' L2
R' B' U2 B' D2 L2
F2 B' R U2 B' L'
R2 B' U2 B' L D
R2 B' U2 B' L D'
R2 B' U2 B' L D2
R2 B' U2 B' D L
R2 B' U2 B' D' L
R2 B' U2 B' D2 L
D' B' D R U2 B2
F2 B' R' U2 B' L'
D' B' D' R F2 U2
R' B' D2 U2 B' L2
D B' D R F2 U2
R B' U' R U' B'
F2 B' R2 U2 B' L'
R B' U' R' U' B'
D' B' D' F2 U2 L'
R B' U' R2 U' B'
R B' U' R2 U' B'
D2 B' D2 R U2 B2
R' B' F R2 U2 B'
D B' D F2 U2 L'
D B' D' R U2 B2
R B' U2 R' B' R
R B' U2 R2 B' R2
R' B' F' R2 U2 B'
R B' U2 D B' D
R B' U2 D B' D'
R B' U2 D B' D2
R B' U2 D' B' D
R B' U2 D' B' D'
R B' U2 D' B' D2
R B' U2 D2 B' D
R B' U2 D2 B' D'
R B' U2 D2 B' D2
R B' U2 B2 D B
R B' U2 B2 D' B
R B' U2 B2 D2 B
R2 B' F U2 B' L
R' B' F2 R2 U2 B'
F' B' U2 B L B2
R B' D U2 B' D
R B' D U2 B' D'
R B' D U2 B' D2
R B' D F U2 B'
R B' D F' U2 B'
B' F' U2 B L B2
R B' D F2 U2 B'
R2 B' F' U2 B' L
D2 B' F2 R U2 L'
D2 B' F2 R' U2 L'
D2 B' F2 R2 U2 L'
F2 B' U2 D B' L'
F2 B' U2 D' B' L'
D2 B' F2 U2 L' D
D2 B' F2 U2 L' D'
D2 B' F2 U2 L' D2
F2 B' U2 D2 B' L'
D2 B' F2 U2 D L'
D2 B' F2 U2 D' L'
D2 B' F2 U2 D2 L'
D2 B' F2 D U2 L'
D2 B' F2 D' U2 L'
R B' D' U2 B' D
R B' D' U2 B' D'
R B' D' U2 B' D2
D2 B' F2 D2 U2 L'
R B' D' F U2 B'
F2 B' U2 B L' B2
R B' D' F' U2 B'
F2 B' U2 B' L' D
F2 B' U2 B' L' D'
F2 B' U2 B' L' D2
F2 B' U2 B' D L'
R B' D' F2 U2 B'
F2 B' U2 B' D' L'
F2 B' U2 B' D2 L'
F2 B' U2 B2 L' B
R2 B' F2 U2 B' L
F2 B' D U2 B' L'
R B' D2 U2 B' D
R B' D2 U2 B' D'
R B' D2 U2 B' D'
R B' D2 U2 B' D2
R B' D2 F U2 B'
R B' D2 F' U2 B'
R B' D2 F2 U2 B'
F B' U2 D2 B' L
F2 B' D' U2 B' L'
R B' F U2 D B'
R B' F U2 D' B'
R B' F U2 D2 B'
R B' F U2 B' D
R B' F U2 B' D'
R B' F U2 B' D2
R B' F D U2 B'
R B' F D' U2 B'
R B' F D' U2 B'
R B' F D2 U2 B'
R B' F' U2 D B'
R B' F' U2 D' B'
R B' F' U2 D2 B'
R B' F' U2 B' D
R B' F' U2 B' D'
R B' F' U2 B' D2
R B' F' D U2 B'
F2 B' D2 U2 B' L'
R B' F' D' U2 B'
R B' F' D2 U2 B'
R B' F2 U2 D B'
R B' F2 U2 D' B'
R B' F2 U2 D2 B'
R B' F2 U2 B' D
R B' F2 U2 B' D'
R B' F2 U2 B' D2
R B' F2 D U2 B'
R B' F2 D' U2 B'
R B' F2 D2 U2 B'
R B' F2 D2 U2 B'
F B' D2 U2 B' L
B' F2 R U2 B' L'
B' F2 R' U2 B' L'
B' F2 R2 U2 B' L'
U2 B2 U2 B R U2
B' F2 U2 D B' L'
B' F2 U2 D' B' L'
B' F2 U2 D2 B' L'
B' F2 U2 B L' B2
B' F2 U2 B' L' D
B' F2 U2 B' L' D'
B' F2 U2 B' L' D2
B' F2 U2 B' D L'
B' F2 U2 B' D' L'
B' F2 U2 B' D2 L'
B' F2 U2 B2 L' B
L' B2 F2 L' R' F
L' B2 F2 L' F R'
L' B2 F2 R' L' F
B' F2 D U2 B' L'
B' F2 D' U2 B' L'
B' F2 D2 U2 B' L'
R B2 D B U2 B'
R B2 D' B U2 B'
R B2 D2 B U2 B'
U2 L R U2 R' F' B2
U2 L R U2 R' B2 F'
B' L R D L' U2 B'
B' L R D' L' U2 B'
B' L R D2 L' U2 B'
B' L R F2 U2 R B
U2 L R2 B2 L R2 F
U2 L R2 B2 L F R2
U2 L R2 B2 R2 L F
L2 R U2 F B2 D2 R2
L2 R U2 B2 D2 R2 F
L2 R U2 B2 D2 F R2
L2 R U2 B2 F D2 R2
B2 L U2 L' B R U2
F2 L U2 L2 B2 R' F'
U2 L U2 R B U2 B
L R D2 L' F2 B' U2
L R D2 L' B' F2 U2
B2 L U2 B L' R U2
B2 L U2 B R L' U2
R L D2 L' F2 B' U2
R L D2 L' B' F2 U2
B' L D L' R U2 B'
B' L D R L' U2 B'
L2 R D2 F2 U2 F' R2
L' R F L B' U2 B'
B' L D' L' R U2 B'
B' L D' R L' U2 B'
L' R F' L B' U2 B'
R2 L F B2 L F R
L2 R F' L2 U2 F2 B2
L2 R F' L2 U2 B2 F2
B' L D2 L' R U2 B'
B' L D2 R L' U2 B'
L' R F2 L B' U2 B'
L2 R F2 L2 U2 F' B2
L2 R F2 L2 U2 B2 F'
L R F2 R B2 L F
R L F2 R B2 L F
B L D2 F2 L' B R
B L D2 F2 B L' R
B L D2 F2 B R L'
B L D2 B F2 L' R
B L D2 B F2 R L'
U2 L F L F L' B2
U2 L F L F B2 L'
U2 L F L B2 F L'
R2 L F2 B2 L R F
R2 L F2 B2 R L F
L R B L' B' U2 B2
R L B L' B' U2 B2
L2 R B L2 B' U2 B2
U2 L F B2 L F L'
B2 L F' R2 F' L' R
B2 L F' R2 F' R L'
L2 R B' L2 F B' U2
L2 R B' L2 B' F U2
U2 L F2 L F L2 B2
U2 L F2 L F B2 L2
U2 L F2 L B2 F L2
B2 L F2 L' R2 F' R'
B2 L F2 R D2 L' F
B2 L F2 R2 L' F' R'
R2 L B2 L D2 R2 F
R2 L B2 L D2 F R2
R2 L B2 L F D2 R2
B' L F2 U2 L' R B
B' L F2 U2 R L' B
B' L F2 U2 R B L'
L' R B2 R' F2 L' F
L R B2 L' B' U2 B
L2 R B2 L2 B' U2 B
R L B2 L' B' U2 B
U2 L F2 B2 L F L2
R2 L B2 F L F R
R2 L B2 F2 L R F
R2 L B2 F2 R L F
U2 L B2 L F2 L' F'
U2 L B2 L2 F2 L' F
U2 L B2 U2 R B U2
U2 L B2 F L F L'
U2 L B2 F2 L F L2
D2 L' R F2 L B' U2
B' L' R F L U2 B'
B' L' R F' L U2 B'
B' L' R F2 L U2 B'
B L' R B2 U2 R' B
L2 R' D2 R2 F L2 B'
L2 R' D2 F L2 R2 B'
L2 R' D2 F L2 B' R2
L2 R' D2 F R2 L2 B'
U L' U F2 L' F B2
U L' U F2 L' B2 F
U L' U F2 B2 L' F
R L' F L B' U2 B'
U L' U B2 F2 L' F
U' L' U' F2 L' F B2
U' L' U' F2 L' B2 F
U' L' U' F2 B2 L' F
U' L' U' B2 F2 L' F
L2 R' F B2 D2 L2 R2
L2 R' F B2 D2 R2 L2
F2 L' U2 L B' U2 B'
B2 L' U2 L B R U2
R L' F' L B' U2 B'
R L' F2 L B' U2 B'
B' L' D2 L R F' U2
B' L' D2 R L F' U2
B' L' D2 R F' L U2
R2 L' B2 L' R' F L2
R2 L' B2 L' F L2 R'
R2 L' B2 L' F R' L2
U2 L' F L' F L' B2
U2 L' F L' F B2 L'
U2 L' F L' B2 F L'
R2 L' B2 R' L' F L2
R L' B2 R' F2 L' F
L2 R' B2 D2 R2 F L2
L2 R' B2 D2 F L2 R2
L2 R' B2 D2 F R2 L2
L2 R' B2 F D2 L2 R2
L2 R' B2 F D2 R2 L2
U2 L' F B2 L' F L'
F L' F B2 L' R' F
F L' F B2 L' F R'
F L' F B2 R' L' F
F' L' F' B2 L' R' F
F' L' F' B2 L' F R'
F' L' F' B2 R' L' F
D2 L' F2 L U2 L2 F
D2 L' F2 L B' U2 L2
B' L' F2 L U2 B' L2
U2 L' F2 L' F B2 D
U2 L' F2 L' F B2 D'
U2 L' F2 L' F B2 D2
U2 L' F2 L' B2 D F
U2 L' F2 L' B2 D' F
U2 L' F2 L' B2 D2 F
U2 L' F2 L' B2 F D
U2 L' F2 L' B2 F D'
U2 L' F2 L' B2 F D2
B2 L' F2 L' D2 R2 F'
U L' F2 U L' F B2
U L' F2 U L' B2 F
U L' F2 U B2 L' F
U2 L' F2 B L' F B
U2 L' F2 B L' B F
U2 L' F2 B2 L' D F
U2 L' F2 B2 L' D' F
U2 L' F2 B2 L' D2 F
U2 L' F2 B2 L' F D
U2 L' F2 B2 L' F D'
U2 L' F2 B2 L' F D2
R L2 U2 F B2 D2 R2
U2 L' B F2 L' F B
U2 L' B F2 L' B F
R L2 U2 B2 D2 R2 F
R L2 U2 B2 D2 F R2
R L2 U2 B2 F D2 R2
F2 L' B2 L' R' F L
F2 L' B2 L' F L R'
F2 L' B2 L' F R' L
F' L' B2 R' F' L' F
U2 L' B2 L' F2 L' F'
F2 L' B2 R' L' F L
F L' B2 L' R' F L'
F2 L' B2 R2 D2 R F'
F L' B2 L' F L' R'
F L' B2 L' F R' L'
B L' B2 R U2 R2 B'
B L' B2 R U2 B' R2
F L' B2 R' L' F L'
F L' B2 R' F L' F
F' L' B2 F' L' R' F
F' L' B2 F' L' F R'
F' L' B2 F' R' L' F
F2 L' B2 D2 R F' R2
U2 L' B2 F L' F L'
U2 L' B2 F2 L' D F
U2 L' B2 F2 L' D' F
U2 L' B2 F2 L' D2 F
U2 L' B2 F2 L' F D
U2 L' B2 F2 L' F D'
U2 L' B2 F2 L' F D2
R' L2 D2 R2 F L2 B'
F L' B2 F L' R' F
F L' B2 F L' F R'
F L' B2 F R' L' F
U2 L2 R U2 R' F B2
U2 L2 R U2 R' B2 F
B' L2 R D2 F U2 R2
U2 L2 R U2 F R' B2
R' L2 D2 F L2 R2 B'
R' L2 D2 F L2 B' R2
R' L2 D2 F R2 L2 B'
B' L2 R F L2 U2 D
B' L2 R F L2 U2 D'
B' L2 R F L2 U2 D2
B' L2 R F L2 D U2
B' L2 R F L2 D' U2
B' L2 R F L2 D2 U2
B' L2 R F U2 D2 R2
B' L2 R F D2 U2 R2
B' L2 R F' L2 F2 U2
D2 L2 R F2 L2 U2 F'
F2 L2 R F L B2 R'
B' L2 R F2 L2 F' U2
B' L2 R' F L2 R2 U2
R L2 D2 F2 U2 F' R2
B' L2 R' F R2 L2 U2
L2 R2 F L B2 L R'
L2 R2 F L B2 R' L
R2 L2 F L B2 L R'
R2 L2 F L B2 R' L
F2 L2 R' F L B2 R'
R' L2 F B2 D2 L2 R2
R' L2 F B2 D2 R2 L2
U' L2 R2 U' F B2 L
U' L2 R2 U' B2 F L
B' L2 R2 F L2 R' U2
B' L2 R2 F R' L2 U2
L2 R2 F B2 D2 L R2
L2 R2 F B2 D2 R2 L
F2 L2 R2 F L B2 R'
L R2 F B2 L F R
R2 L2 F B2 D2 L R2
R2 L2 F B2 D2 R2 L
U L2 R2 U F B2 L
U L2 R2 U B2 F L
U2 L2 R2 F B2 L R2
U2 L2 R2 F B2 R2 L
U2 L2 R2 B2 R2 F L
R L2 F' L2 U2 F2 B2
R L2 F' L2 U2 B2 F2
U2 L2 R2 B2 F L R2
U2 L2 R2 B2 F R2 L
U' L2 U R U2 F B2
U' L2 U R U2 B2 F
F2 L2 U F L B2 R'
R L2 F2 L2 U2 F' B2
R L2 F2 L2 U2 B2 F'
U L2 U F2 L' F' B2
U L2 U F2 L' B2 F'
U L2 U F2 B2 L' F'
D L2 U' L2 R B' U2
D L2 U' L2 B' R U2
D L2 U' R L2 B' U2
U L2 U B2 F2 L' F'
F2 L2 U' F L B2 R'
U' L2 U' F2 L' F' B2
U' L2 U' F2 L' B2 F'
L R2 F2 B2 L R F
L R2 F2 B2 R L F
U' L2 U' F2 B2 L' F'
U L2 U' R U2 F B2
U L2 U' R U2 B2 F
U' L2 U' B2 F2 L' F'
R L2 B L2 B' U2 B2
B2 L2 U2 L2 B R U2
U2 L2 U2 R U2 F B2
U2 L2 U2 R U2 B2 F
F2 L2 U2 F L B2 R'
B2 L2 U2 B L2 R U2
B2 L2 U2 B R L2 U2
R L2 B' L2 F B' U2
R L2 B' L2 B' F U2
L' R2 B2 L' R' F L2
L' R2 B2 L' F L2 R'
L' R2 B2 L' F R' L2
L' R2 B2 R' L' F L2
L R2 B2 L D2 R2 F
L R2 B2 L D2 F R2
L R2 B2 L F D2 R2
R' L2 B2 D2 R2 F L2
R' L2 B2 D2 F L2 R2
R' L2 B2 D2 F R2 L2
R' L2 B2 F D2 L2 R2
R' L2 B2 F D2 R2 L2
R L2 B2 L2 B' U2 B
L' U L R B' U2 B'
L2 R2 B2 D2 R2 F L
L2 R2 B2 D2 F L R2
L2 R2 B2 D2 F R2 L
R2 L2 B2 D2 R2 F L
R2 L2 B2 D2 F L R2
R2 L2 B2 D2 F R2 L
L2 R2 B2 F D2 L R2
L2 R2 B2 F D2 R2 L
R2 L2 B2 F D2 L R2
R2 L2 B2 F D2 R2 L
L R2 B2 F L F R
L R2 B2 F2 L R F
L R2 B2 F2 R L F
L' U L B' R U2 B'
D2 L2 D2 R2 F B2 L
D2 L2 D2 R2 B2 F L
B2 L2 D2 F' R2 F' L'
B2 L2 D2 F2 L' R2 F'
B2 L2 D2 F2 R2 L' F'
B L2 D2 F2 L' B R2
B L2 D2 F2 B L' R2
B L2 D2 F2 B R2 L'
F2 L2 F L R B2 R'
F2 L2 F L R' B2 R'
F2 L2 F L R2 B2 R'
B L2 D2 B F2 L' R2
B L2 D2 B F2 R2 L'
F2 L2 F L B2 R' D
F2 L2 F L B2 R' D'
F2 L2 F L B2 R' D2
F2 L2 F L B2 D R'
F2 L2 F L B2 D' R'
F2 L2 F L B2 D2 R'
F2 L2 F R L B2 R'
F2 L2 F R' L B2 R'
F2 L2 F R2 L B2 R'
F L2 F L B2 L2 R'
F L2 F L B2 R' L2
L2 U L2 R B' U2 B'
R2 U L2 U F B2 L
R2 U L2 U B2 F L
R U L2 R U F B2
R U L2 R U B2 F
U2 L2 F B' D2 B' L
F' L2 F' L' F2 R B2
F' L2 F' L' F2 B2 R
F' L2 F' L' B2 F2 R
R U L2 R' U F B2
R U L2 R' U B2 F
R U L2 R2 U F B2
R U L2 R2 U B2 F
F2 L2 F' L F2 B2 R'
F2 L2 F' L B2 R' F2
F2 L2 F' L B2 F2 R'
R U L2 U F B2 D
R U L2 U F B2 D'
R U L2 U F B2 D2
R U L2 U B2 D F
R U L2 U B2 D' F
R U L2 U B2 D2 F
R U L2 U B2 F D
R U L2 U B2 F D'
R U L2 U B2 F D2
L' U R L B' U2 B'
F L2 F B2 D2 L' R2
F L2 F B2 D2 R2 L'
L2 U L2 B' R U2 B'
L2 U R L2 B' U2 B'
F' L2 F' B2 L' F2 R
B2 L2 F' D2 R2 F' L'
D2 L2 F2 L2 U2 L F'
D2 L2 F2 L2 U2 F' L
B' L2 F2 L2 F' U2 L
F2 L2 F2 L F' B2 R'
U2 L2 F2 L F' L2 B2
R U R L2 U F B2
U2 L2 F2 L F' B2 L2
R U R L2 U B2 F
F2 L2 F2 L B2 F' R'
U2 L2 F2 L B2 L2 F'
U2 L2 F2 L B2 F' L2
U2 L2 F2 L' F' B2 D
U2 L2 F2 L' F' B2 D'
U2 L2 F2 L' F' B2 D2
U2 L2 F2 L' B2 D F'
U2 L2 F2 L' B2 D' F'
U2 L2 F2 L' B2 D2 F'
U2 L2 F2 L' B2 F' D
U2 L2 F2 L' B2 F' D'
U2 L2 F2 L' B2 F' D2
U2 L2 F2 L2 F' L B2
R U R U' B' U2 B'
R U R D L2 U F
B2 L2 F2 D2 L' R2 F'
B2 L2 F2 D2 R2 L' F'
U2 L2 F2 B L' F' B
U2 L2 F2 B L' B F'
U L2 F2 U L' F' B2
U L2 F2 U L' B2 F'
U2 L2 F2 B2 L F' L2
U2 L2 F2 B2 L' D F'
U2 L2 F2 B2 L' D' F'
U2 L2 F2 B2 L' D2 F'
U2 L2 F2 B2 L' F' D
U2 L2 F2 B2 L' F' D'
U2 L2 F2 B2 L' F' D2
U2 L2 F2 B2 L2 F' L
