F2 L2 U F B
F2 L2 U B F
D' U L2 F B
D' U L2 B F
U D' L2 F B
U D' L2 B F
F2 U B D2 F2
F2 U' B' U2 B2
L2 F2 U F' B
L2 F2 U B F'
D' F' U L2 B F
F2 D' L2 U F B
F2 D' L2 U B F
L' F2 L' U F B
L' F2 L' U B F
B2 D' R2 F' B' L2
B2 D' R2 B' L2 F'
B2 D' R2 B' F' L2
L2 F2 L U F' B
L2 F2 L U B F'
F2 D' U B D2 F2
L F2 L U F B
L F2 L U B F
F2 D' U' B' U2 B2
L2 F2 L' U F' B
L2 F2 L' U B F'
R2 F2 L2 U F B'
L2 F2 L2 U F' B
R2 F2 L2 U B' F
L2 F2 L2 U B F'
D' F2 U L2 F B
D' F2 U L2 B F
L2 F2 U D F' B
L2 F2 U D B F'
L2 F2 U D' F' B
L2 F2 U D' B F'
L2 F2 U D2 F' B
L2 F2 U D2 B F'
L2 F2 U F' D B
L2 F2 U F' D' B
L2 F2 U F' D2 B
L2 F2 U F' B D
L2 F2 U F' B D'
L2 F2 U F' B D2
L2 F2 U B D F'
L2 F2 U B D' F'
L2 F2 U B D2 F'
L2 F2 U B F' D
L2 F2 U B F' D'
L2 F2 U B F' D2
R2 F2 U' F B' U2
R2 F2 U' B' F U2
L2 F2 D U F' B
L2 F2 D U B F'
F2 D2 L2 U F B
F2 D2 L2 U B F
L2 F2 D' U F' B
L2 F2 D' U B F'
L2 F2 D2 U F' B
L2 F2 D2 U B F'
F2 D2 U B D2 F2
F2 D2 U' B' U2 B2
U B D' L2 D' F2
U B D2 F2 D L2
U' B' U F2 U B2
U' B' U2 B2 D' L2
U' B' U2 B2 D' L2
B' L U F2 B U B
B' L U B F2 U B
F2 L U B U L U'
F2 L D L U F B
F2 L D L U B F
F2 L D' L U F B
F2 L D' L U B F
U L D' L F L B
U L D' B L F L
F2 L D2 L U F B
F2 L D2 L U B F
F' L F' L U F B
F' L F' L U B F
U L B L D' F L2
U L B L' D' L2 F
U L B D' L F L
D' L' U L' D F B
D' L' U L' D B F
D' L' U L' D' F B
D' L' U L' D' B F
D' L' U L' D2 F B
D' L' U L' D2 B F
D' L' U L' F D B
D' L' U L' F D' B
D' L' U L' F D2 B
D' L' U L' F B D
D' L' U L' F B D'
D' L' U L' F B D2
D' L' U L' B D F
D' L' U L' B D' F
D' L' U L' B D2 F
D' L' U L' B F D
D' L' U L' B F D'
D' L' U L' B F D2
F2 L' U L' F L B
F L' U L' F B L
F L' U L' B F L
F L' U L2 B L F
D' L' U B L' D F
D' L' U B L' D' F
D' L' U B L' D2 F
D' L' U B L' F D
D' L' U B L' F D'
D' L' U B L' F D2
D' L' U B' L' F B2
D' L' U B' L' B2 F
B' L' U F2 B U B
F2 L' U B L' F L
B' L' U B F2 U B
F L' U B L' F L2
F2 L' U2 L' U' F B
F2 L' U2 L' U' B F
F' L' F' L' U F B
F' L' F' L' U B F
U L' B L D' L2 F
U L' B L' D' F L2
F2 L2 R2 U F D2 B2
F2 L2 R2 U' F' U2 F2
F2 L2 U L B L' F
D2 L2 U D F L2 B
D2 L2 U D F B L2
F2 L2 U R F R' B
D2 L2 U D B F L2
D2 L2 U F D L2 B
D2 L2 U F D B L2
F2 L2 U D F D B
F2 L2 U D F D' B
F2 L2 U D F D2 B
F2 L2 U D F B D
F2 L2 U D F B D'
F2 L2 U D F B D2
F2 L2 U D B D F
F2 L2 U D B D' F
F2 L2 U D B D2 F
F2 L2 U D B F D
F2 L2 U D B F D'
F2 L2 U D B F D2
F' L2 U F D' L2 B
F' L2 U F D' B L2
F2 L2 U D' F D B
F2 L2 U D' F D' B
F2 L2 U D' F D2 B
F2 L2 U D' F B D
F2 L2 U D' F B D'
F2 L2 U D' F B D2
F' L2 U F B D' L2
F2 L2 U D' B D F
F2 L2 U D' B D' F
F2 L2 U D' B D2 F
F2 L2 U D' B F D
F2 L2 U D' B F D'
F2 L2 U D' B F D2
F2 L2 U D2 F D B
F2 L2 U D2 F D' B
F2 L2 U D2 F D2 B
F2 L2 U D2 F B D
F2 L2 U D2 F B D'
F2 L2 U D2 F B D2
F2 L2 U D2 B D F
F2 L2 U D2 B D' F
F2 L2 U D2 B D2 F
F2 L2 U D2 B F D
F2 L2 U D2 B F D'
F2 L2 U D2 B F D2
F2 L2 U F L B L'
F2 L2 U F L2 B L2
B' L2 U F2 B U B
F2 L2 U F D B D
F2 L2 U F D B D'
F2 L2 U F D B D2
F2 L2 U F D' B D
F2 L2 U F D' B D'
F2 L2 U F D' B D2
F2 L2 U F D2 B D
F2 L2 U F D2 B D'
F2 L2 U F D2 B D2
F2 L2 U F B2 D B'
F2 L2 U F B2 D' B'
F2 L2 U F B2 D2 B'
B' L2 U B F2 U B
F' L2 U B F D' L2
L2 R2 F2 L2 U F' B'
L2 R2 F2 L2 U B' F'
D L2 U D2 F L2 B
D L2 U D2 F B L2
D L2 U D2 B F L2
F2 L2 U F2 D F' B
F2 L2 U F2 D B F'
R2 L2 F2 L2 U F' B'
R2 L2 F2 L2 U B' F'
F2 L2 U F2 D' F' B
F2 L2 U F2 D' B F'
F2 L2 U F2 D2 F' B
F2 L2 U F2 D2 B F'
F2 L2 U F2 B D F'
F2 L2 U F2 B D' F'
F2 L2 U F2 B D2 F'
D L2 U F D2 L2 B
F2 L2 U B R F R'
D L2 U F D2 B L2
D L2 U F B D2 L2
F2 L2 U B R2 F R2
F2 L2 U B D F D
F2 L2 U B D F D'
F2 L2 U B D F D2
F2 L2 U B D' F D
F2 L2 U B D' F D'
F2 L2 U B D' F D2
F2 L2 U B D2 F D
F2 L2 U B D2 F D'
F2 L2 U B D2 F D2
F2 L2 U B F2 D F'
F2 L2 U B F2 D' F'
F2 L2 U B F2 D2 F'
F L2 U F B D L2
F2 L2 U B2 D F B'
F2 L2 U B2 D B' F
F2 L2 U B2 D' F B'
F2 L2 U B2 D' B' F
F2 L2 U B2 D2 F B'
F2 L2 U B2 D2 B' F
F2 L2 U B2 F D B'
F2 L2 U B2 F D' B'
F2 L2 U B2 F D2 B'
D L2 U B D2 F L2
D L2 U B F D2 L2
L2 R2 F2 U F' D2 B2
R2 L2 F2 U F' D2 B2
L2 R2 F2 U' F U2 F2
F L2 U B D F L2
R2 L2 F2 U' F U2 F2
F L2 U B F D L2
U2 L2 U' D' F L2 B
D L2 U' R2 F' U2 F2
U2 L2 U' D' F B L2
U2 L2 U' D' B F L2
F2 L2 U' F' U2 F2 B
F2 L2 U' F' U2 B F2
F2 L2 U' F2 U2 F' B
F2 L2 U' F2 U2 B F'
F2 L2 U' B' U2 F B2
U2 L2 U' B D' F L2
F2 L2 U' B' U2 B2 F
F2 L2 U' B2 U2 F B'
F2 L2 U' B2 U2 B' F
U L2 U' F2 U F' B
U L2 U' F2 U B F'
D2 L2 U2 B2 U' F B'
D2 L2 U2 B2 U' B' F
U2 L2 U2 F2 U F' B
U2 L2 U2 F2 U B F'
D2 L2 D U F L2 B
D2 L2 D U F B L2
F L2 U2 B' U' F B2
F L2 U2 B' U' B2 F
D2 L2 D U B F L2
F2 L2 D U F D B
F2 L2 D U F D' B
F2 L2 D U F D2 B
F2 L2 D U F B D
F2 L2 D U F B D'
F2 L2 D U F B D2
F2 L2 D U B D F
F2 L2 D U B D' F
F2 L2 D U B D2 F
F2 L2 D U B F D
F2 L2 D U B F D'
F2 L2 D U B F D2
F' L2 D F' U F2 B
F' L2 D F' U B F2
U L2 D F D2 L2 B
U L2 D F D2 B L2
U L2 D F B D2 L2
B2 L2 D' L2 R2 F' B'
B2 L2 D' L2 R2 B' F'
U L2 D B D2 F L2
U L2 D B F D2 L2
B2 L2 D' R2 L2 F' B'
B2 L2 D' R2 L2 B' F'
F2 L2 D' U F D B
F2 L2 D' U F D' B
F2 L2 D' U F D2 B
F2 L2 D' U F B D
F2 L2 D' U F B D'
F2 L2 D' U F B D2
F2 L2 D' U B D F
F2 L2 D' U B D' F
F2 L2 D' U B D2 F
F2 L2 D' U B F D
F2 L2 D' U B F D'
F2 L2 D' U B F D2
U2 L2 D' U' F L2 B
U2 L2 D' U' F B L2
U2 L2 D' U' B F L2
F' L2 D' F' U F2 B
F' L2 D' F' U B F2
U L2 D' L2 B D2 F2
L' U L D' L2 F B
L' U L D' L2 B F
D L2 D' F2 U F' B
D L2 D' F2 U B F'
U L2 D' F L' B L'
U L2 D' F L2 D B
U L2 D' F L2 D' B
U L2 D' F L2 D2 B
U L2 D' F L2 B D
U L2 D' F L2 B D'
U L2 D' F L2 B D2
U L2 D' F B L2 D
U L2 D' F B L2 D'
U L2 D' F B L2 D2
U L2 D' F B' L2 B2
U L2 D' F' L2 F2 B
U L2 D' F' L2 B F2
U L2 D' F' B L2 F2
U L2 D' F2 L2 F' B
U L2 D' F2 L2 B F'
U L2 D' F2 B L2 F'
U L2 D' B F L2 D
U L2 D' B F L2 D'
U L2 D' B F L2 D2
U L2 D' B F' L2 F2
U L2 D' B F2 L2 F'
U L2 D' B' F L2 B2
F2 L2 D2 U F D B
F2 L2 D2 U F D' B
F2 L2 D2 U F D2 B
F2 L2 D2 U F B D
F2 L2 D2 U F B D'
F2 L2 D2 U F B D2
F2 L2 D2 U B D F
F2 L2 D2 U B D' F
F2 L2 D2 U B D2 F
F2 L2 D2 U B F D
F2 L2 D2 U B F D'
F2 L2 D2 U B F D2
D2 L2 D2 F2 U F' B
D2 L2 D2 F2 U B F'
F' L2 D2 F' U F2 B
F' L2 D2 F' U B F2
D L2 D2 U F L2 B
D L2 D2 U F B L2
D L2 D2 U B F L2
L' U L' D' F L2 B
L' U L' D' F B L2
L' U L' D' B F L2
U2 L2 D2 B2 U' F B'
U2 L2 D2 B2 U' B' F
L' U L' B D' F L2
U L2 D2 F D L2 B
U L2 D2 F D B L2
D' L2 F B U' B' U
U L2 F L2 B D L2
D' L2 F B2 D' R2 B'
D' L2 F B2 D' B' R2
F' L2 F' L U F2 B
F' L2 F' L U B F2
F' L2 F' L' U F2 B
F' L2 F' L' U B F2
F' L2 F' L2 U F2 B
F' L2 F' L2 U B F2
U L2 F U' F U B
L2 U L2 D' L2 F B
L2 U L2 D' L2 B F
F' L2 F' U F2 D B
F' L2 F' U F2 D' B
F' L2 F' U F2 D2 B
F' L2 F' U F2 B D
F' L2 F' U F2 B D'
F' L2 F' U F2 B D2
F' L2 F' U B F2 D
F' L2 F' U B F2 D'
F' L2 F' U B F2 D2
U L2 F B U' F U
D' L2 B U' B' U F
D' L2 B F U' B' U
U L2 B L2 D' L2 F
U L2 B U' F2 U F'
U L2 B D F D2 L2
U L2 B D' F L2 D
U L2 B D' F L2 D'
U L2 B D' F L2 D2
U L2 B D' F' L2 F2
U L2 B D' F2 L2 F'
U L2 B D2 F D L2
U L2 B F U' F U
L2 U D F D2 L2 B
L2 U D F D2 B L2
L2 U D F B D2 L2
L2 U D B D2 F L2
L2 U D B F D2 L2
D' L2 B2 D' R2 F B'
D' L2 B2 D' R2 B' F
D' L2 B2 D' F R2 B'
D' L2 B2 D' F B' R2
D' L2 B2 D' B' R2 F
D' L2 B2 D' B' F R2
L2 U D' L2 B D2 F2
D' L2 B2 F D' R2 B'
D' L2 B2 F D' B' R2
R2 U D' L2 F D2 B2
L2 U D' F L' B L'
L2 U D' F L2 D B
L2 U D' F L2 D' B
L2 U D' F L2 D2 B
L2 U D' F L2 B D
L2 U D' F L2 B D'
L2 U D' F L2 B D2
L2 U D' F B L2 D
L2 U D' F B L2 D'
L2 U D' F B L2 D2
L2 U D' F B' L2 B2
L2 U D' F' L2 F2 B
L2 U D' F' L2 B F2
L2 U D' F' B L2 F2
L2 U D' F2 L2 F' B
L2 U D' F2 L2 B F'
L2 U D' F2 B L2 F'
L2 U D' B F L2 D
L2 U D' B F L2 D'
L2 U D' B F L2 D2
L2 U D' B F' L2 F2
L2 U D' B F2 L2 F'
R2 U D' F2 L2 F B'
R2 U D' F2 L2 B' F
L2 U D' B' F L2 B2
U L2 B2 D' F B' L2
U L2 B2 D' B' F L2
L2 U D2 F D L2 B
L2 U D2 F D B L2
L2 U F L2 B D L2
L2 U F U' F U B
L2 U F B U' F U
L' U B L D' L2 F
L' U B L' D' F L2
D R U' R F' B' U2
D R U' R B' F' U2
F' R U' B' R' U2 B
L2 U B L2 D' L2 F
D R U' B' R F' U2
L2 U B U' F2 U F'
L2 U B D F D2 L2
L2 U B D' F L2 D
L2 U B D' F L2 D'
L2 U B D' F L2 D2
L2 U B D' F' L2 F2
L2 U B D' F2 L2 F'
L2 U B D2 F D L2
L2 U B F U' F U
L2 U B2 D' F B' L2
L2 U B2 D' B' F L2
L2 U' D R2 F' U2 F2
R2 U' D R2 B' U2 B2
R2 U' D F' R2 B' U2
R2 U' D F' B' R2 U2
R2 U' D B' R2 U2 B
R2 U' D B' F' R2 U2
R2 U' D' F' U2 L2 F
R2 U' D' F' B' U2 L2
R2 U' D' B' F' U2 L2
R2 U' F' B' U F' U
F2 R' U' B' U' R' U'
R2 U' B' D R2 U2 B
R2 U' B' D F' R2 U2
R2 U' B' D' F' U2 L2
R2 U' B' F' U F' U
U R' D' L2 R F B
U R' D' L2 R B F
U R' D' R L2 F B
U R' D' R L2 B F
L2 U2 D2 B2 U' F B'
L2 U2 D2 B2 U' B' F
F2 R2 L2 U F D2 B2
F2 R2 L2 U' F' U2 F2
D' R2 U L2 F D2 B2
D' R2 U F2 L2 F B'
D' R2 U F2 L2 B' F
D' R2 U' F' U2 L2 F
D' R2 U' F' B' U2 L2
F2 R2 U' D F' B' U2
F2 R2 U' D B' F' U2
F2 R2 U' D' F' B' U2
F2 R2 U' D' B' F' U2
F2 R2 U' D2 F' B' U2
F2 R2 U' D2 B' F' U2
D' R2 U' B' F' U2 L2
F2 R2 U' F' D B' U2
F2 R2 U' F' D' B' U2
F2 R2 U' F' D2 B' U2
F2 R2 U' F' B' U2 D
F2 R2 U' F' B' U2 D'
F2 R2 U' F' B' U2 D2
F2 R2 U' F' B' D U2
F2 R2 U' F' B' D' U2
F2 R2 U' F' B' D2 U2
F2 R2 U' B' D F' U2
F2 R2 U' B' D' F' U2
F2 R2 U' B' D2 F' U2
F2 R2 U' B' F' U2 D
F2 R2 U' B' F' U2 D'
F2 R2 U' B' F' U2 D2
F2 R2 U' B' F' D U2
F2 R2 U' B' F' D' U2
F2 R2 U' B' F' D2 U2
U' R2 D R2 B' U2 B2
U' R2 D F' R2 B' U2
U' R2 D F' B' R2 U2
F2 R2 D U' F' B' U2
F2 R2 D U' B' F' U2
U' R2 D B' R2 U2 B
U' R2 D B' F' R2 U2
U' R2 D' F' U2 L2 F
U' R2 D' F' B' U2 L2
F2 R2 D' U' F' B' U2
F2 R2 D' U' B' F' U2
U' R2 D' B' F' U2 L2
B2 R2 D' F' R2 B' L2
B2 R2 D' F' B' L2 R2
B2 R2 D' F' B' R2 L2
B2 R2 D' B' L2 F' R2
B2 R2 D' B' F' L2 R2
B2 R2 D' B' F' R2 L2
F2 R2 D2 U' F' B' U2
F2 R2 D2 U' B' F' U2
F R2 F U' F2 B' U2
F R2 F U' B' F2 U2
F R2 F D' L2 U F
U' R2 F' B' U F' U
D' R2 F2 U L2 F B'
D' R2 F2 U L2 B' F
D R2 F' B' U B U
B2 R2 F2 B2 U F B
B2 R2 F2 B2 U B F
U' R2 B' D R2 U2 B
U' R2 B' D F' R2 U2
U' R2 B' D' F' U2 L2
U' R2 B' F' U F' U
L2 D U F D2 L2 B
L2 D U F D2 B L2
L2 D U F B D2 L2
D R2 B' F' U B U
L2 D U B D2 F L2
L2 D U B F D2 L2
B2 R2 B2 F2 U F B
B2 R2 B2 F2 U B F
D' U L D L F B
D' U L D L B F
L2 D U' R2 F' U2 F2
D' U L D' L F B
D' U L D' L B F
D' U L D2 L F B
D' U L D2 L B F
R2 D U' R2 B' U2 B2
D' U L F L F B
D' U L F L B F
R2 D U' F' R2 B' U2
D' U L F' L F B
D' U L F' L B F
R2 D U' F' B' R2 U2
D' U L F2 L F B
D' U L F2 L B F
R2 D U' B' R2 U2 B
R2 D U' B' F' R2 U2
B' U L F2 B U B
B' U L B F2 U B
F2 U L B L F L2
D' U L' B L' D F
D' U L' B L' D' F
D' U L' B L' D2 F
D' U L' B L' F D
D' U L' B L' F D'
D' U L' B L' F D2
D' U L' B' L' F B2
D' U L' B' L' B2 F
B' U L' F2 B U B
B' U L' B F2 U B
D' U L2 R F R' B
D' U L2 D F D B
D' U L2 D F D' B
D' U L2 D F D2 B
D' U L2 D F B D
D' U L2 D F B D'
D' U L2 D F B D2
D' U L2 D B D F
D' U L2 D B D' F
D' U L2 D B D2 F
D' U L2 D B F D
D' U L2 D B F D'
D' U L2 D B F D2
D2 U L2 D F L2 B
D2 U L2 D F B L2
D2 U L2 D B F L2
D' U L2 D' F D B
D' U L2 D' F D' B
D' U L2 D' F D2 B
D' U L2 D' F B D
D' U L2 D' F B D'
D' U L2 D' F B D2
D' U L2 D' B D F
D' U L2 D' B D' F
D' U L2 D' B D2 F
D' U L2 D' B F D
D' U L2 D' B F D'
D' U L2 D' B F D2
D' U L2 D2 F D B
D' U L2 D2 F D' B
D' U L2 D2 F D2 B
D' U L2 D2 F B D
D' U L2 D2 F B D'
D' U L2 D2 F B D2
D' U L2 D2 B D F
D' U L2 D2 B D' F
D' U L2 D2 B D2 F
D' U L2 D2 B F D
D' U L2 D2 B F D'
D' U L2 D2 B F D2
D' U L2 F L B L'
D' U L2 F L2 B L2
D' U L2 F D B D
D' U L2 F D B D'
D' U L2 F D B D2
D' U L2 F D' B D
D' U L2 F D' B D'
D' U L2 F D' B D2
D' U L2 F D2 B D
D' U L2 F D2 B D'
D' U L2 F D2 B D2
D' U L2 F B2 D B'
D' U L2 F B2 D' B'
D' U L2 F B2 D2 B'
D2 U L2 F D L2 B
D2 U L2 F D B L2
F' U L2 F D' L2 B
F' U L2 F D' B L2
F' U L2 F B D' L2
D' U L2 F2 D F' B
D' U L2 F2 D B F'
D' U L2 F2 D' F' B
D' U L2 F2 D' B F'
D' U L2 F2 D2 F' B
D' U L2 F2 D2 B F'
D' U L2 F2 B D F'
D' U L2 F2 B D' F'
D' U L2 F2 B D2 F'
D' U L2 B R F R'
D' U L2 B R2 F R2
D' U L2 B D F D
D' U L2 B D F D'
D' U L2 B D F D2
D' U L2 B D' F D
D' U L2 B D' F D'
D' U L2 B D' F D2
D' U L2 B D2 F D
D' U L2 B D2 F D'
D' U L2 B D2 F D2
D' U L2 B F2 D F'
D' U L2 B F2 D' F'
D' U L2 B F2 D2 F'
B' U L2 F2 B U B
F' U L2 B F D' L2
B' U L2 B F2 U B
D' U L2 B2 D F B'
D' U L2 B2 D B' F
D' U L2 B2 D' F B'
D' U L2 B2 D' B' F
D' U L2 B2 D2 F B'
D' U L2 B2 D2 B' F
D' U L2 B2 F D B'
D' U L2 B2 F D' B'
D' U L2 B2 F D2 B'
F2 U L2 F L' B L'
F2 U L2 F L2 D B
F2 U L2 F L2 D' B
F2 U L2 F L2 D2 B
F2 U L2 F L2 B D
F2 U L2 F L2 B D'
F2 U L2 F L2 B D2
F2 U L2 F B L2 D
F2 U L2 F B L2 D'
F2 U L2 F B L2 D2
F2 U L2 F B' L2 B2
F2 U L2 F' L2 F2 B
F2 U L2 F' L2 B F2
F2 U L2 F' B L2 F2
D' U R L2 F R' B
F2 U L2 F2 L2 F' B
F2 U L2 F2 L2 B F'
F2 U L2 F2 B L2 F'
F2 U L2 B F L2 D
F2 U L2 B F L2 D'
F2 U L2 B F L2 D2
F2 U L2 B F' L2 F2
F2 U L2 B F2 L2 F'
F2 U L2 B' F L2 B2
D U L2 D2 F L2 B
D U L2 D2 F B L2
D U L2 D2 B F L2
D U L2 F D2 L2 B
D U L2 F D2 B L2
D U L2 F B D2 L2
D U L2 B D2 F L2
D U L2 B F D2 L2
F U L2 F B D L2
U D L2 D2 F L2 B
U D L2 D2 F B L2
U' D R B' R F' U2
U D L2 D2 B F L2
U D L2 F D2 L2 B
U D L2 F D2 B L2
U D L2 F B D2 L2
F U L2 B D F L2
F U L2 B F D L2
U D L2 B D2 F L2
U D L2 B F D2 L2
U' D R2 D F' B' U2
U' D R2 D B' F' U2
U' D R2 D' F' B' U2
U' D R2 D' B' F' U2
U' D R2 D2 F' B' U2
U' D R2 D2 B' F' U2
U' D R2 F' D B' U2
U' D R2 F' D' B' U2
U' D R2 F' D2 B' U2
U' D R2 F' B' U2 D
U' D R2 F' B' U2 D'
U' D R2 F' B' U2 D2
U' D R2 F' B' D U2
U' D R2 F' B' D' U2
U' D R2 F' B' D2 U2
U' D R2 B' D F' U2
U' D R2 B' D' F' U2
U' D R2 B' D2 F' U2
U' D R2 B' F' U2 D
U' D R2 B' F' U2 D'
U' D R2 B' F' U2 D2
U' D R2 B' F' D U2
U' D R2 B' F' D' U2
U' D R2 B' F' D2 U2
D' U F L' B L' F
D' U F L2 D F B
D' U F L2 D B F
D' U F L2 D' F B
D' U F L2 D' B F
D' U F L2 D2 F B
D' U F L2 D2 B F
D' U F L2 F D B
D' U F L2 F D' B
D' U F L2 F D2 B
D' U F L2 F B D
D' U F L2 F B D'
D' U F L2 F B D2
D' U F L2 B D F
D' U F L2 B D' F
D' U F L2 B D2 F
D' U F L2 B F D
D' U F L2 B F D'
D' U F L2 B F D2
F2 U R2 B2 R2 F' B
F2 U R2 B2 R2 B F'
U' D F R2 F' B' U2
U' D F R2 B' F' U2
F2 U D L2 F L2 B
F2 U D L2 F B L2
F2 U D L2 B F L2
D U R2 F' B' U2 R2
D2 U F D L2 F B
D2 U F D L2 B F
D' U F B L2 D2 F2
D U R2 B' U2 R2 B
D U R2 B' F' U2 R2
F2 U D F B D2 F2
U' D F B' R2 U2 B2
F2 U D F' B D2 F2
F2 U D F2 B D2 F2
U D R2 F' B' U2 R2
F2 U D B U2 B2 U2
D' U F' L' B L' F
F2 U D B D2 F2 D
F2 U D B D2 F2 D'
F2 U D B D2 F2 D2
F2 U D B F D2 F2
F2 U D B F' D2 F2
F2 U D B F2 D2 F2
D' U F' L2 D F B
D' U F' L2 D B F
D' U F' L2 D' F B
D' U F' L2 D' B F
D' U F' L2 D2 F B
D' U F' L2 D2 B F
D' U F' L2 F D B
D' U F' L2 F D' B
D' U F' L2 F D2 B
D' U F' L2 F B D
D' U F' L2 F B D'
D' U F' L2 F B D2
D' U F' L2 B D F
D' U F' L2 B D' F
D' U F' L2 B D2 F
D' U F' L2 B F D
D' U F' L2 B F D'
D' U F' L2 B F D2
U D R2 B' U2 R2 B
U D R2 B' F' U2 R2
U' D F' R2 F' B' U2
U' D F' R2 B' F' U2
F2 U D' L2 F L2 B
F2 U D' L2 F B L2
F2 U D' L2 B F L2
B2 U D' R2 F' B' L2
B2 U D' R2 B' L2 F'
B2 U D' R2 B' F' L2
D2 U F' D L2 F B
D2 U F' D L2 B F
F2 U D' F B D2 F2
D U F D2 L2 F B
D U F D2 L2 B F
F2 U D' F' B D2 F2
D' U F' B L2 D2 F2
D U F B D2 L2 F2
D U F B D2 F2 L2
F2 U D' F2 B D2 F2
U' D F' B' R2 U2 B2
F2 U D' B U2 B2 U2
F2 U D' B D2 F2 D
F2 U D' B D2 F2 D'
F2 U D' B D2 F2 D2
F2 U D' B F D2 F2
F2 U D' B F' D2 F2
F2 U D' B F2 D2 F2
D' U F2 L' B L' F
D' U F2 L2 D F B
D' U F2 L2 D B F
D' U F2 L2 D' F B
D' U F2 L2 D' B F
D' U F2 L2 D2 F B
D' U F2 L2 D2 B F
D' U F2 L2 F D B
D' U F2 L2 F D' B
D' U F2 L2 F D2 B
D' U F2 L2 F B D
D' U F2 L2 F B D'
D' U F2 L2 F B D2
U D F D2 L2 F B
U D F D2 L2 B F
D' U F2 L2 B D F
D' U F2 L2 B D' F
D' U F2 L2 B D2 F
D' U F2 L2 B F D
D' U F2 L2 B F D'
D' U F2 L2 B F D2
F2 U D2 L2 F L2 B
F2 U D2 L2 F B L2
U D F B D2 L2 F2
U D F B D2 F2 L2
F2 U D2 L2 B F L2
U' D F2 R2 F' B' U2
U' D F2 R2 B' F' U2
