D' L' B2 R2 F'
D' L R2 F L2 B2
D' L R2 F B2 L2
D' L R2 B2 F L2
D' L F L2 R2 B2
D' L F L2 B2 R2
D' L F R2 L2 B2
D' L F R2 B2 L2
D' L F B2 L2 R2
D' L F B2 R2 L2
D' L B2 R2 F L2
D' L B2 F L2 R2
D' L B2 F R2 L2
D2 L' D B2 R2 F'
D' L' F B2 R2 F'
D' L' F' B2 R2 F'
D' L' F2 B2 R2 F'
D' L' B2 R2 D F'
D' L' B2 R2 D' F'
D' L' B2 R2 D2 F'
D' L' B2 R2 F' D
D' L' B2 R2 F' D'
D' L' B2 R2 F' D2
D' L' B2 F R2 F'
D' L' B2 F' R2 F'
D' L' B2 F2 R2 F'
B2 L2 U L' F L2
D' R2 L F L2 B2
D' R2 L F B2 L2
D' R2 L B2 F L2
D' R2 B2 L F L2
R' D' L' B2 R2 F'
R2 D' L' B2 R2 F'
R D' L' B2 R2 F'
F2 D' R2 B2 L F
D' F2 R2 B2 L F
D' B2 L R2 F L2
D' B2 L F L2 R2
D' B2 L F R2 L2
U' B2 L2 U L F
D' B2 R2 L F L2
D L' B D2 B2 F2 R
D L' B' L' F2 U2 L
D' L' B2 L' R2 F' L
D' L' B2 L2 R2 F' L2
U' L' B2 L' U L F
D' L' B2 R' D R' F'
D' L' B2 R' D' R' F'
D' L' B2 R' D2 R' F'
D' L' B2 R' F R' F'
D' L' B2 R' F' R' F'
D' L' B2 R' F2 R' F'
D' L' B2 R2 L' F' L
D' L' B2 R2 L2 F' L2
D' L' B2 R2 D F' D
D' L' B2 R2 D F' D'
D' L' B2 R2 D F' D2
D' L' B2 R2 D' F' D
D' L' B2 R2 D' F' D'
D' L' B2 R2 D' F' D2
D' L' B2 R2 D2 F' D
D' L' B2 R2 D2 F' D'
D' L' B2 R2 D2 F' D2
D' L' B2 R2 F2 D F
D' L' B2 R2 F2 D' F
D' L' B2 R2 F2 D2 F
D' L' B2 U2 B U2 R2
D2 L' B2 D R2 F' B2
D2 L' B2 D R2 B2 F'
D' L' B2 F R2 D F'
D' L' B2 F R2 D' F'
D' L' B2 F R2 D2 F'
D' L' B2 F R2 F' D
D' L' B2 F R2 F' D'
D' L' B2 F R2 F' D2
D' L' B2 F' R2 D F'
D' L' B2 F' R2 D' F'
D' L' B2 F' R2 D2 F'
D' L' B2 F' R2 F' D
D' L' B2 F' R2 F' D'
D' L' B2 F' R2 F' D2
D' L' B2 F2 R2 D F'
D' L' B2 F2 R2 D' F'
D' L' B2 F2 R2 D2 F'
D' L' B2 F2 R2 F' D
D' L' B2 F2 R2 F' D'
D' L' B2 F2 R2 F' D2
B2 L2 R U L' F L2
B2 L2 R' U L' F L2
B2 L2 R2 U L' F L2
D' L2 U L B2 R2 F'
U' L2 U L D' R2 F
U' L2 U L D' F R2
U' L2 U L F D' R2
B2 L2 U L U2 B' U2
B2 L2 U L' F L2 D
B2 L2 U L' F L2 D'
B2 L2 U L' F L2 D2
B2 L2 U L' F' L2 F2
B2 L2 U L' F2 L2 F'
U' L2 U D' L R2 F
U' L2 U D' L F R2
U' L2 U D' R2 L F
B2 L2 U F L' F L2
B2 L2 U F' L' F L2
B2 L2 U F2 L' F L2
D' L2 U' L B2 R2 F'
D' L2 U2 L B2 R2 F'
B2 L2 U2 L' U' F L2
D L2 U2 L' F L2 B'
B2 L2 D F' R U L
B2 L2 D F2 U L F
U' L2 D' U L R2 F
U' L2 D' U L F R2
U' L2 D' U R2 L F
B2 L2 D2 R U L F'
B2 L2 D2 R U F' L
D' L2 F L B2 R2 F'
L2 U L' F L2 D' R2
B2 L2 F U L' F L2
F' L2 F B2 U L' F
D' L2 F' L B2 R2 F'
B2 L2 F' U L' F L2
D' L2 F2 L B2 R2 F'
F L2 F' B2 U L' F
B2 L2 F2 U L' F L2
D L2 F2 U2 L' F L2
F2 L2 F2 B2 U L' F
D' L2 B2 R2 F2 L' F
F' L2 B2 U L' F L'
F' L2 B2 U F L' F
U' L2 B2 U' R' U2 F'
F2 L2 B2 U F2 L' F
F' L2 B2 F U L' F
F2 L2 B2 F2 U L' F
F L2 B2 F' U L' F
D' R L B2 R F L2
D' R L' B2 R2 F' R'
B2 R L2 U L' F L2
U2 R D' L' R2 F' B2
U2 R D' L' R2 B2 F'
U2 R D' R2 L' F' B2
U2 R D' R2 L' B2 F'
U2 R D' R2 B2 L' F'
D R D2 L' B2 R2 F'
D' R B2 L R F L2
D' R B2 R L F L2
U' R B2 L2 U L F
U2 R B2 L2 U F L
D' R' L F L2 R' B2
D' R' L F R' L2 B2
D' R' L F R' B2 L2
B2 R' L2 U L' F L2
D' R' U2 L' R' F' B2
D' R' U2 L' R' B2 F'
D' R' U2 R' L' F' B2
D' R' U2 R' L' B2 F'
D' R' U2 R' B2 L' F'
R' U' B2 L2 U L F
L' U' B2 L' R2 U F'
L' U' B2 L' U' B U2
L' U' B2 R2 L' U F'
R2 U' B2 L2 U L F
U2 R' D' L' F' R2 B2
U2 R' D' L' F' B2 R2
U2 R' D' L' B2 F' R2
R U' B2 L2 U L F
U2 R' D' B2 L' F' R2
D R' D2 L' B2 R2 F'
U' R' B2 L2 U L F
U2 R' B2 L2 U L F'
U2 R' B2 L2 U F' L
D' R2 L F L' B2 L'
D' R2 L F L2 B2 D
D' R2 L F L2 B2 D'
D' R2 L F L2 B2 D2
D' R2 L F B L2 B
D' R2 L F B2 L2 D
D' R2 L F B2 L2 D'
D' R2 L F B2 L2 D2
D' R2 L F' L2 F2 B2
D' R2 L F' L2 B2 F2
D' R2 L F' B2 L2 F2
D2 R2 L F2 U' L2 F'
D2 R2 L F2 U' F' L2
D' R2 L F2 L2 F' B2
D' R2 L F2 L2 B2 F'
D' R2 L F2 B2 L2 F'
D' R2 L B F L2 B
D' R2 L B2 F L2 D
D' R2 L B2 F L2 D'
D' R2 L B2 F L2 D2
D' R2 L B2 F' L2 F2
D' R2 L B2 F2 L2 F'
D' R2 L' U2 B' U2 B'
D' R2 L' B D2 F2 B
D' R2 L' B D2 B F2
D' R2 L' B2 R2 F' R2
D' R2 L' B2 U2 B U2
B2 R2 L2 U L' F L2
D' R2 U2 L' B2 R' F'
L' U2 B' U B' L' U
D' R2 D2 L F L2 B'
F2 R2 D' B2 L R2 F
F2 R2 D' B2 L F R2
F2 R2 D' B2 R2 L F
D R2 D2 L' B2 R2 F'
D' R2 F' L F L' B2
D' R2 F' L F B2 L'
D' R2 F' L B2 F L'
D' R2 F' B2 L F L'
D' R2 B L F L2 B
D' R2 B L F B L2
D' R2 B L B F L2
D' R2 B L' B D2 F2
D' R2 B2 L F L2 D
D' R2 B2 L F L2 D'
D' R2 B2 L F L2 D2
D' R2 B2 L F' L2 F2
D' R2 B2 L F2 L2 F'
D' R2 B2 L' U2 B' U2
U' R2 B2 L2 U L F
F2 R2 B2 L2 U L' F
D' R2 B2 D L F L2
D' R2 B2 D' L F L2
D' R2 B2 D2 L F L2
D' R2 B2 F' L F L'
U2 D L2 F2 U2 L F
D' U R2 B2 D L' F
R' D' L R2 F L2 B2
R' D' L R2 F B2 L2
R' D' L R2 B2 F L2
R' D' L F L2 R2 B2
R' D' L F L2 B2 R2
R' D' L F R2 L2 B2
R' D' L F R2 B2 L2
R' D' L F B2 L2 R2
R' D' L F B2 R2 L2
R' D' L B2 R2 F L2
R' D' L B2 F L2 R2
R' D' L B2 F R2 L2
B2 U D' B2 D L' F
R2 D' L R2 F L2 B2
R2 D' L R2 F B2 L2
R2 D' L R2 B2 F L2
R2 D' L F L2 R2 B2
R2 D' L F L2 B2 R2
R2 D' L F R2 L2 B2
R2 D' L F R2 B2 L2
R' D' L' F B2 R2 F'
R2 D' L F B2 L2 R2
R2 D' L F B2 R2 L2
R' D' L' F' B2 R2 F'
R' D' L' F2 B2 R2 F'
U2 D F2 L2 R B U2
R D' L R2 F L2 B2
R D' L R2 F B2 L2
R D' L R2 B2 F L2
U2 D F2 R L2 B U2
R' D' L' B2 R2 D F'
R' D' L' B2 R2 D' F'
R' D' L' B2 R2 D2 F'
R' D' L' B2 R2 F' D
R' D' L' B2 R2 F' D'
R' D' L' B2 R2 F' D2
R2 D' L B2 R2 F L2
U2 D F2 R B L2 U2
R' D' L' B2 F R2 F'
R' D' L' B2 F' R2 F'
R' D' L' B2 F2 R2 F'
R2 D' L B2 F L2 R2
R2 D' L B2 F R2 L2
R D' L F L2 R2 B2
R D' L F L2 B2 R2
R D' L F R2 L2 B2
R D' L F R2 B2 L2
R D' L F B2 L2 R2
R D' L F B2 R2 L2
R2 D' L' F B2 R2 F'
R D' L B2 R2 F L2
R2 D' L' F' B2 R2 F'
R D' L B2 F L2 R2
R D' L B2 F R2 L2
R2 D' L' F2 B2 R2 F'
R2 D' L' B2 R2 D F'
R2 D' L' B2 R2 D' F'
R2 D' L' B2 R2 D2 F'
R2 D' L' B2 R2 F' D
R2 D' L' B2 R2 F' D'
R2 D' L' B2 R2 F' D2
R2 D' L' B2 F R2 F'
R2 D' L' B2 F' R2 F'
R2 D' L' B2 F2 R2 F'
R D' L' F B2 R2 F'
R D' L' F' B2 R2 F'
R D' L' F2 B2 R2 F'
R D' L' B2 R2 D F'
R D' L' B2 R2 D' F'
R D' L' B2 R2 D2 F'
R D' L' B2 R2 F' D
R D' L' B2 R2 F' D'
R D' L' B2 R2 F' D2
R D' L' B2 F R2 F'
R D' L' B2 F' R2 F'
R D' L' B2 F2 R2 F'
D' U B2 R2 D L' F
R' D' R2 L F L2 B2
R' D' R2 L F B2 L2
R' D' R2 L B2 F L2
B' U B' L2 R' U L
R' D' R2 B2 L F L2
B' U B' R' L2 U L
R2 D' R2 L F L2 B2
R2 D' R2 L F B2 L2
R2 D' R2 L B2 F L2
R D' R2 L F L2 B2
R D' R2 L F B2 L2
R D' R2 L B2 F L2
U2 D' L' R' F' R' B2
R2 D' R2 B2 L F L2
R D' R2 B2 L F L2
U2 D' L' B2 R' F' R'
U2 D' R' L' F' R' B2
R' D' F2 R2 B2 L F
U2 D' R2 B2 D2 L' F
R2 D' F2 R2 B2 L F
U D' R2 B2 D L' F
R D' F2 R2 B2 L F
R' D' B2 L R2 F L2
R' D' B2 L F L2 R2
R' D' B2 L F R2 L2
R' D' B2 R2 L F L2
R2 D' B2 L R2 F L2
R2 D' B2 L F L2 R2
R2 D' B2 L F R2 L2
R2 D' B2 R2 L F L2
R D' B2 L R2 F L2
R D' B2 L F L2 R2
R D' B2 L F R2 L2
L D' B2 R' U' R' F
L D' B2 R' U' F R'
R D' B2 R2 L F L2
R' D2 L' D B2 R2 F'
U2 D' B2 L' R' F' R'
R2 D2 L' D B2 R2 F'
U2 D' B2 R' L' F' R'
U2 D' B2 R2 D2 L' F
R D2 L' D B2 R2 F'
D' U2 L' R' F' R' B2
U D' B2 R2 D L' F
D' U2 L' B2 R' F' R'
B' U' B' L2 U L F
B U' B L2 U L F
D' U2 R' L' F' R' B2
D U2 L2 F2 U2 L F
D' U2 R2 B2 D2 L' F
D U2 F2 L2 R B U2
D U2 F2 R L2 B U2
D U2 F2 R B L2 U2
D' U2 B2 L' R' F' R'
D' U2 B2 R' L' F' R'
D' U2 B2 R2 D2 L' F
D' F L F R2 B2 L
D' F L' B2 R2 F' L'
L F L' D' L' R2 B2
L F L' D' L' B2 R2
L F L' D' R2 L' B2
L F L' D' R2 B2 L'
L F L' D' B2 L' R2
L F L' D' B2 R2 L'
L F L2 U' L' B2 U
L F L2 U' B2 L' U
B2 D L U F L2 B'
F2 D L2 F2 U2 L' F
D' F' L R2 F L' B2
D' F' L R2 F B2 L'
D' F' L R2 B2 F L'
D' F' L F L' R2 B2
D' F' L F L' B2 R2
D' F' L F R2 L' B2
D' F' L F R2 B2 L'
D' F' L F B2 L' R2
D' F' L F B2 R2 L'
D' F' L B2 R2 F L'
D' F' L B2 F L' R2
D' F' L B2 F R2 L'
D' F' R2 L F L' B2
D' F' R2 L F B2 L'
D' F' R2 L B2 F L'
D' F' R2 B2 L F L'
B2 D' L U F L2 B2
B2 D' L U F B2 L2
B2 D' L U B2 F L2
F2 D' L R2 F B2 L
F2 D' L R2 B2 F L
B2 D' L' B2 D' R2 F'
F D' L F R2 B2 L
F D' L' B2 R2 F' L'
F2 D' R2 L F B2 L
F2 D' R2 L B2 F L
D' F' B2 L R2 F L'
D' F' B2 L F L' R2
D' F' B2 L F R2 L'
F2 D' R2 F B2 L F
F2 D' R2 F' B2 L F
F2 D' R2 F2 B2 L F
D' F' B2 R2 L F L'
F2 D' R2 B2 L D F
F2 D' R2 B2 L D' F
F2 D' R2 B2 L D2 F
F2 D' R2 B2 L F D
F2 D' R2 B2 L F D'
F2 D' R2 B2 L F D2
F2 D' R2 B2 D L F
F2 D' R2 B2 D' L F
F2 D' R2 B2 D2 L F
F2 D' R2 B2 F L F
F2 D' R2 B2 F' L F
F2 D' R2 B2 F2 L F
D' F2 L R2 F B2 L
D' F2 L R2 B2 F L
B2 D' U B2 D L' F
D F2 L' R B' L' U2
D F2 L' B' L' R U2
D F2 L' B' R L' U2
F D' F R2 B2 L F
D F2 L2 U2 F2 L' F
D F2 L2 D2 R U2 F'
F2 D' F2 L' B2 R2 F'
F D' F' L' B2 R2 F'
D F2 R L' B' L' U2
D' F2 R2 L F B2 L
D' F2 R2 L B2 F L
D' F2 R2 F B2 L F
D' F2 R2 F' B2 L F
D' F2 R2 F2 B2 L F
D' F2 R2 B2 L D F
D' F2 R2 B2 L D' F
D' F2 R2 B2 L D2 F
D' F2 R2 B2 L F D
D' F2 R2 B2 L F D'
D' F2 R2 B2 L F D2
D' F2 R2 B2 D L F
D' F2 R2 B2 D' L F
D' F2 R2 B2 D2 L F
D' F2 R2 B2 F L F
D' F2 R2 B2 F' L F
D' F2 R2 B2 F2 L F
R' F2 D' R2 B2 L F
R2 F2 D' R2 B2 L F
R F2 D' R2 B2 L F
D' B L F L2 B R2
D' B L F B L2 R2
D' B L F B R2 L2
D' B L B R2 F L2
D' B L B F L2 R2
D' B L B F R2 L2
D2 B L' D B2 R2 F'
D' B L' B R2 D2 F2
D' B L' B2 R2 F' B'
D' B L' B2 R2 B' F'
D2 B D L' B2 R2 F'
B2 F L2 F' U L' F
D B D2 L' B2 R2 F'
D2 B' L' D B2 R2 F'
D' B' R2 B' L F L2
U B' R' B' L2 U L
B2 F' L2 U L' F L'
B2 F' L2 U F L' F
B2 F' L2 F U L' F
D2 B' D L' B2 R2 F'
D B' D2 L' B2 R2 F'
D' B2 L R' F L2 R'
D' B2 L R' F R' L2
D' B2 L R2 F L2 D
D' B2 L R2 F L2 D'
D' B2 L R2 F L2 D2
D' B2 L R2 F' L2 F2
D' B2 L R2 F2 L2 F'
D' B2 L F L2 R2 D
D' B2 L F L2 R2 D'
D' B2 L F L2 R2 D2
D' B2 L F R2 L2 D
D' B2 L F R2 L2 D'
D' B2 L F R2 L2 D2
D' B2 L F' L2 R2 F2
D' B2 L F' L2 F2 R2
D' B2 L F' R2 L2 F2
D' B2 L F' R2 F2 L2
D' B2 L F2 L2 F' R2
D' B2 L' R2 U2 B' U2
L' B2 L' R2 U L F'
L' B2 L' R2 U F' L
D2 B2 L' D B2 R2 F'
D' B2 L' U2 B' U2 R2
U' B2 L2 R U L F
U' B2 L2 R' U L F
U' B2 L2 R2 U L F
U' B2 L2 U L D F
U' B2 L2 U L D' F
U' B2 L2 U L D2 F
U' B2 L2 U L F D
U' B2 L2 U L F D'
U' B2 L2 U L F D2
U' B2 L2 U D L F
U' B2 L2 U D' L F
U' B2 L2 U D2 L F
U' B2 L2 U F L F
U' B2 L2 U F' L F
U' B2 L2 U F2 L F
U' B2 L2 D U L F
D' B2 L' B2 R2 F' B2
D' B2 L' B2 R2 B2 F'
R' B2 L2 U L' F L2
U' B2 L2 D' U L F
U' B2 L2 D2 U L F
U' B2 L2 F R U L
U' B2 R L2 U L F
U2 B2 L2 R' U L F'
U2 B2 L2 R' U F' L
R2 B2 L2 U L' F L2
U' B2 R' L2 U L F
D' B2 R' L F L2 R'
D' B2 R' L F R' L2
U' B2 R2 L2 U L F
F' B2 L2 U L' F L'
U2 B2 R' L2 U L F'
U2 B2 R' L2 U F' L
R B2 L2 U L' F L2
F' B2 L2 U F L' F
D' B2 R2 L F L2 D
D' B2 R2 L F L2 D'
D' B2 R2 L F L2 D2
D' B2 R2 L F' L2 F2
D' B2 R2 L F2 L2 F'
D' B2 R2 L' U2 B' U2
B2 F2 L2 U F2 L' F
L' B2 R2 L' U L F'
L' B2 R2 L' U F' L
F2 B2 L2 U F2 L' F
F' B2 L2 F U L' F
D' B2 R2 D L F L2
D' B2 R2 D' L F L2
D' B2 R2 D2 L F L2
B2 F2 L2 F2 U L' F
D' B2 R2 F' L F L'
F2 B2 L2 F2 U L' F
L2 B2 R2 U F2 L' F
L2 B2 R2 F2 U L' F
F B2 L2 F' U L' F
L2 B2 U' D2 R' B U2
D2 B2 D L' B2 R2 F'
L B2 U2 R' U' F L2
L2 B2 D2 U' R' B U2
D B2 D2 L' B2 R2 F'
D' B2 F' L R2 F L'
D' B2 F' L F L' R2
D' B2 F' L F R2 L'
D' B2 F' R2 L F L'
