L2 U R' U' F' U
B L2 B' U L' R'
B L2 B' U R' L'
U R' U' L2 F' U
U R' U' F' L2 U
L2 U2 F' U' L' R'
L2 U2 F' U' R' L'
L2 U2 F' U' D L' R'
L2 U2 F' U' D R' L'
L2 U2 F' U' D' L' R'
L2 U2 F' U' D' R' L'
L2 U2 F' U' D2 L' R'
L2 U2 F' U' D2 R' L'
L2 U2 F' D U' L' R'
L2 U2 F' D U' R' L'
L2 U2 F' D' U' L' R'
L2 U2 F' D' U' R' L'
L2 U2 F' D2 U' L' R'
L2 U2 F' D2 U' R' L'
L2 D U R' U' F' U
L2 D U2 F' U' L' R'
L2 D U2 F' U' R' L'
D' U R' U' F' U B2
F' U R' U' L2 F' U
F' U R' U' F' L2 U
F2 U R' U' L2 F' U
F2 U R' U' F' L2 U
D' U R' B2 U' F' U
F U R' U' L2 F' U
F U R' U' F' L2 U
R2 D' R F2 B L B
R2 D' R B L F2 B
R2 D' R B L B F2
R2 D' R B F2 L B
L2 D' U R' U' F' U
L2 D' U2 F' U' L' R'
L2 D' U2 F' U' R' L'
U D' R' U' F' U B2
U D' R' B2 U' F' U
R2 D' B L B R F2
U2 D' F' U' L' R' B2
U2 D' F' U' R' L' B2
U2 D' F' U' R' B2 L'
L2 D2 U R' U' F' U
L2 D2 U2 F' U' L' R'
L2 D2 U2 F' U' R' L'
D' U2 F' U' L' R' B2
D' U2 F' U' R' L' B2
D' U2 F' U' R' B2 L'
D2 U2 F' R2 U' L' R
D2 U2 F' R2 U' R L'
U2 D2 F' R2 U' L' R
U2 D2 F' R2 U' R L'
U F L2 U F' L' R'
U F L2 U F' R' L'
L2 F U R' U' F' U
L2 F U2 F' U' L' R'
L2 F U2 F' U' R' L'
U F' R' F D' L2 B2
U F' R' F D' B2 L2
L2 F' U R' U' F' U
U2 F' U' R' D' L' B2
U2 F' U' R' D' B2 L'
U2 F' U' D' L' R' B2
U2 F' U' D' R' L' B2
U2 F' U' D' R' B2 L'
U2 F' U2 L2 U L R'
U2 F' U2 L2 U R' L
L2 F' U2 F' U' L' R'
L2 F' U2 F' U' R' L'
U2 F' D' U' L' R' B2
U2 F' D' U' R' L' B2
U2 F' D' U' R' B2 L'
U2 F' D2 R2 U' L' R
U2 F' D2 R2 U' R L'
L2 F2 U R' U' F' U
L2 F2 U2 F' U' L' R'
L2 F2 U2 F' U' R' L'
R' B L U' L R U
R' B L U' R L U
R' B L2 R U L' R'
R' B L2 R U R' L'
L' B L' B' U L2 R'
L' B L' B' U R' L2
R' B R L2 U L' R'
R' B R L2 U R' L'
R2 B L2 R2 U L' R'
R2 B L2 R2 U R' L'
R2 B R2 L2 U L' R'
R2 B R2 L2 U R' L'
R' B U' L2 R U L'
R' B U' R L2 U L'
L2 B U2 F U' L R
L2 B U2 F U' R L
F' B L2 B' U L' R'
F' B L2 B' U R' L'
F2 B L2 B' U L' R'
F2 B L2 B' U R' L'
R2 B D' L R F2 B2
R2 B D' L R B2 F2
R2 B D' L B2 R F2
R2 B D' R L F2 B2
R2 B D' R L B2 F2
R2 B D' R F2 L B2
B F L2 B' U L' R'
B F L2 B' U R' L'
F B L2 B' U L' R'
F B L2 B' U R' L'
B F' L2 B' U L' R'
B F' L2 B' U R' L'
R2 B' D' B2 L R F2
R2 B' D' B2 R L F2
R2 B' D' B2 R F2 L
B F2 L2 B' U L' R'
B F2 L2 B' U R' L'
