L' R F' U' L2 B
L' R F' U' B L2
R L' F' U' L2 B
R L' F' U' B L2
L D R F2 B R'
L D R B R' F2
L D R B F2 R'
L D F2 R B R'
R2 D2 L' U' L2 B' R'
R D2 L' F' U' L2 B
R D2 L' F' U' B L2
D2 U2 L' F U' B' L2
U2 D2 L' F U' B' L2
U D2 L' F R U' L2
L' F R F' U' L2 B
L' F R F' U' B L2
U F R F' L' U' L2
F' D L R F' B R'
F' D L R B F' R'
F' D R L F' B R'
F' D R L B F' R'
L F D R F2 B R'
L F D R B R' F2
L F D R B F2 R'
F2 D R U L B R'
F' D R F' L B R'
L F D F2 R B R'
D' F' L D R F' B
D' F' L D R B F'
L' F' R F' U' L2 B
L' F' R F' U' B L2
D' F' D L R F' B
D' F' D L R B F'
D' F' D R L F' B
D' F' D R L B F'
D' F' D R F' L B
L F' D R F2 B R'
L F' D R B R' F2
L F' D R B F2 R'
L F' D F2 R B R'
L' F2 R F' U' L2 B
L' F2 R F' U' B L2
D F2 R U L B R'
L F2 D R F2 B R'
L F2 D R B R' F2
L F2 D R B F2 R'
L F2 D F2 R B R'
L' B R F' U' L2 B
L' B R F' U' B L2
L B D R F2 B R'
L B D R B R' F2
L B D R B F2 R'
L B D F2 R B R'
L' B' R F' U' L2 B
L' B' R F' U' B L2
L B' D R F2 B R'
L B' D R B R' F2
L B' D R B F2 R'
L B' D F2 R B R'
L' B2 R F' U' L2 B
L' B2 R F' U' B L2
L B2 D R F2 B R'
L B2 D R B R' F2
L B2 D R B F2 R'
L B2 D F2 R B R'
