B R' D L2 F' U'
B R' D F' L2 U'
B R' D2 F' U' F'
B R' F' U B2 U2
B R' F' U' D2 F2
B R' F' D L2 U'
B R' F' D2 U' F2
B D L2 R' F' U'
B D R' L2 F' U'
B D R' F' L2 U'
B D2 R' F' U' F'
L2 B R' F' U' F2
B D R' F' D U' F2
B D F L2 R' F' U'
B D F R' L2 F' U'
B D F R' F' L2 U'
B D F' L2 R' F' U'
B D F' R' L2 F' U'
B D F' R' F' L2 U'
B D F2 L2 R' F' U'
B D F2 R' L2 F' U'
B D F2 R' F' L2 U'
L2 F' B R' F' U' F'
B D' R' F' U2 R' U
B D2 L R' F' U' F'
B D2 L' R' F' U' F'
B D2 L2 R' F' U' F'
B D2 R' L F' U' F'
B D2 R' L' F' U' F'
B D2 R' L2 F' U' F'
B D2 R' D' L2 F' U'
B D2 R' D' F' L2 U'
B D2 R' F' L U' F'
B D2 R' F' L' U' F'
B D2 R' F' L2 U' F'
B D2 R' F' U' D F'
B D2 R' F' U' D' F'
B D2 R' F' U' D2 F'
B D2 R' F' U' F' D
B D2 R' F' U' F' D'
B D2 R' F' U' F' D2
B D2 R' F' D U' F'
B D2 R' F' D' U' F'
B D2 R' F' D2 U' F'
L' B L' R' F' U' F2
L B L R' F' U' F2
B D2 F R' F' U' F2
U' B R' U L B2 U2
U' B R' U B2 U2 R'
L' B R' L' F' U' F2
L' B R' F' L' U' F
L2 B R' U' F D R2
B D2 F2 R' F' U' F
L2 B R' D F' U' F2
L2 B R' D' F' U' F2
L2 B R' D2 F' U' F2
L2 B R' F' L U' F2
L2 B R' F' L' U' F2
L2 B R' F' L2 U' F2
L2 B R' F' U' F2 D
L2 B R' F' U' F2 D'
L2 B R' F' U' F2 D2
L2 B R' F' D' L2 U'
L B R' L F' U' F2
L B R' F' L U' F
L2 B D R' F' U' F2
L2 B D' R' F' U' F2
F' B R' D L2 F' U'
F' B R' D F' L2 U'
L2 B D2 R' F' U' F2
F' B R' D2 F' U' F'
F' B R' F' U B2 U2
F' B R' F' U' D2 F2
F' B R' F' D L2 U'
F' B R' F' D2 U' F2
F2 B R' D L2 F' U'
F2 B R' D F' L2 U'
F2 B R' D2 F' U' F'
F2 B R' F' U B2 U2
F2 B R' F' U' D2 F2
F2 B R' F' D L2 U'
F2 B R' F' D2 U' F2
L2 B F R' F' U' F
B F R' D L2 F' U'
B F R' D F' L2 U'
B F R' D2 F' U' F'
B F R' F' U B2 U2
B F R' F' U' D2 F2
B F R' F' D L2 U'
B F R' F' D2 U' F2
F B R' D L2 F' U'
F B R' D F' L2 U'
F B R' D2 F' U' F'
L2 B F' R' F' U' F'
F B R' F' U B2 U2
F B R' F' U' D2 F2
F B R' F' D L2 U'
F B R' F' D2 U' F2
F' B D L2 R' F' U'
F' B D R' L2 F' U'
F' B D R' F' L2 U'
F2 B D L2 R' F' U'
F2 B D R' L2 F' U'
F2 B D R' F' L2 U'
B F D L2 R' F' U'
B F D R' L2 F' U'
B F D R' F' L2 U'
F B D L2 R' F' U'
F B D R' L2 F' U'
F B D R' F' L2 U'
F' B D2 R' F' U' F'
F2 B D2 R' F' U' F'
B F D2 R' F' U' F'
F B D2 R' F' U' F'
U B' U' B2 R' F' U'
B F' R' D L2 F' U'
B F' R' D F' L2 U'
B F' R' D2 F' U' F'
B F' R' F' U B2 U2
B F' R' F' U' D2 F2
B F' R' F' D L2 U'
B F' R' F' D2 U' F2
B F' D L2 R' F' U'
B F' D R' L2 F' U'
B F' D R' F' L2 U'
B F' D2 R' F' U' F'
B F2 R' D L2 F' U'
B F2 R' D F' L2 U'
B F2 R' D2 F' U' F'
B F2 R' F' U B2 U2
B F2 R' F' U' D2 F2
B F2 R' F' D L2 U'
B F2 R' F' D2 U' F2
B F2 D L2 R' F' U'
B F2 D R' L2 F' U'
B F2 D R' F' L2 U'
B F2 D2 R' F' U' F'
