D L' R' F L B
D L' F L R' B
D L' F R' L B
D R' L' F L B
D R' B L' F L
L D L' R' F B
L D L' R' B F
D R2 D2 R F' B
D R2 D2 R B F'
L D L' F R' B
L D R' L' F B
L D R' L' B F
L D R' B L' F
D F' R2 D2 R B F'
D2 F' D' R' D' F2 B
D2 F' D' R' D' B F2
D2 F' D' R' B D' F2
R' F' D' U R U' F'
F' D' R F' R2 D B2
F' D' R' U R2 U' F'
U F' D' R U' F' R2
R' F' B' U L R U'
R' F' B' U R L U'
F' D' U R U' F' R2
D F2 L' R' F L B
D F2 L' F L R' B
D F2 L' F R' L B
D F2 R' L' F L B
D F2 R' B L' F L
D F2 R2 D2 R F' B
D F2 R2 D2 R B F'
R' B U' D R' U B
R' B D U' R' U B
R' B F U' L' R' U
R' B F U' R' L' U
B F U' L' R' B' U
B F U' R' L' B' U
F B U' L' R' B' U
F B U' R' L' B' U
R' B' U D' L U' B'
R' B' D' U L U' B'
R' B' F' U L R U'
R' B' F' U R L U'
