F2 L' R2 B' U B'
R2 L' F2 B' U B'
R2 L' B' F2 U B'
F2 L' B' R2 U B'
L' R2 F2 B' U B'
L' R2 B' F2 U B'
F2 R2 L' B' U B'
F2 R2 U B' R' B'
B' R2 F2 U B' R'
F2 R2 B' U B' R'
R2 F2 L' B' U B'
L' F2 R2 B' U B'
L F2 R2 B U B
R2 F2 U B' R' B'
L' F2 B' R2 U B'
R2 F2 B' U B' R'
L' B' R2 F2 U B'
F2 B' R2 U B' R'
L' B' F2 R2 U B'
R2 B' F2 U B' R'
B' F2 R2 U B' R'
L F2 R2 B D U B
L F2 R2 B D' U B
L F2 R2 B D2 U B
U F2 R2 B' U R' B'
R2 F2 U B' R B' R2
R2 F2 U B' R' D B'
R2 F2 U B' R' D' B'
R2 F2 U B' R' D2 B'
R2 F2 U B' R' B' D
R2 F2 U B' R' B' D'
R2 F2 U B' R' B' D2
R2 F2 U B' R2 B' R
R2 F2 U B' D R' B'
R2 F2 U B' D' R' B'
R2 F2 U B' D2 R' B'
R2 F2 U' F U2 R B2
R2 F2 U' F U2 B2 R
R2 F2 U' F' L' U2 B2
R2 F2 U2 R' F' U' B2
L' F2 D B' L2 U F
R2 F2 D L' B' L' U
L' F2 B' R2 U D B'
L' F2 B' R2 U D' B'
L' F2 B' R2 U D2 B'
L' F2 B' R2 U B' D
L' F2 B' R2 U B' D'
L' F2 B' R2 U B' D2
L' F2 B' R2 D U B'
R2 F2 B L' B' U B2
L' F2 B' R2 D' U B'
L' F2 B' R2 D2 U B'
L' F2 B' U D' F2 B'
L' F2 B' U D' B' F2
L' F2 B' U B' D' F2
R2 F2 B U B' R' B2
L' F2 B' D' U F2 B'
L' F2 B' D' U B' F2
R2 F2 B' U R B' R'
R2 F2 B' U R' B' R'
R2 F2 B' U R2 B' R'
R2 F2 B' U D B' R'
R2 F2 B' U D' B' R'
R2 F2 B' U D2 B' R'
R2 F2 B' U B' R' D
R2 F2 B' U B' R' D'
R2 F2 B' U B' R' D2
R2 F2 B' U B' D R'
R2 F2 B' U B' D' R'
R2 F2 B' U B' D2 R'
R2 F2 B' D U B' R'
R2 F2 B' D' U B' R'
R2 F2 B' D2 U B' R'
R2 F2 B2 L' B' U B
U F2 B' R2 U R B'
U F2 B' R2 U B' R
L F2 B' R2 B U B2
L F2 B2 R2 B U B'
R2 B L' F2 B' U B2
R2 B L' B' F2 U B2
F2 B L' B' R2 U B2
L' B D' L2 F2 B R2
L' B D' L2 B R2 F2
L' B D' L2 B F2 R2
L' B D' R2 F2 L2 B'
L' B D' F2 L2 B R2
L' B D' F2 B L2 R2
L' B D' F2 B R2 L2
L' B D' B L2 R2 F2
L' B D' B L2 F2 R2
L' B D' B R2 L2 F2
L' B D' B R2 F2 L2
L' B D' B F2 L2 R2
L' B D' B F2 R2 L2
L2 B D' L2 F2 B R'
L2 B D' L2 B R' F2
L2 B D' L2 B F2 R'
L2 B D' F2 L2 B R'
L2 B D' F2 B L2 R'
L2 B D' F2 B R' L2
L2 B D' B L2 R' F2
L2 B D' B L2 F2 R'
L2 B D' B R' L2 F2
L2 B D' B R' F2 L2
L2 B D' B F2 L2 R'
L2 B D' B F2 R' L2
U B D' L2 F2 B R
U B D' L2 B F2 R
B' F R2 F U B' R'
F2 B R2 U' F' L' U2
R2 B F2 L' B' U B2
B2 F U' R2 F U R
R2 B F2 U B' R' B2
B2 F U' F R2 U R'
L' B' L2 F2 R2 U B
L' B' R' F2 R' U B'
L' B' R2 U D' B' L2
L' B' R2 U B' D' L2
L' B' R2 D' U B' L2
L' B' R2 F2 U D B'
L' B' R2 F2 U D' B'
L' B' R2 F2 U D2 B'
L' B' R2 F2 U B' D
L' B' R2 F2 U B' D'
L' B' R2 F2 U B' D2
L' B' R2 F2 D U B'
L' B' R2 F2 D' U B'
L' B' R2 F2 D2 U B'
R B' R F2 U B' R'
L' B' U D' F2 B' L2
L' B' U D' B' L2 F2
L' B' U D' B' F2 L2
L' B' U B' D' L2 F2
L' B' U B' D' F2 L2
R2 B' U D' B' L2 R'
R2 B' U D' B' R' L2
R2 B' U B' R' D' L2
R2 B' U B' D' L2 R'
R2 B' U B' D' R' L2
L' B' D' U F2 B' L2
L' B' D' U B' L2 F2
L' B' D' U B' F2 L2
F2 B' R2 U R B' R'
F2 B' R2 U R' B' R'
F2 B' R2 U R2 B' R'
F2 B' R2 U D B' R'
F2 B' R2 U D' B' R'
F2 B' R2 U D2 B' R'
F2 B' R2 U B' R' D
F2 B' R2 U B' R' D'
F2 B' R2 U B' R' D2
F2 B' R2 U B' D R'
F2 B' R2 U B' D' R'
F2 B' R2 U B' D2 R'
F2 B' R2 D U B' R'
F2 B' R2 D' U B' R'
F2 B' R2 D2 U B' R'
L2 B' D' B' L2 F2 R
R2 B' D' U B' L2 R'
R2 B' D' U B' R' L2
F2 B' U D' F2 B' R'
F2 B' U D' B' R' F2
F2 B' U D' B' F2 R'
F2 B' U B' D' R' F2
F2 B' U B' D' F2 R'
L' B' F R2 F U B'
U B' D' R' F2 B' L2
U B' D' R' B' L2 F2
U B' D' R' B' F2 L2
F B' R2 F U B' R'
U B' D' F2 R' B' L2
L' B' F2 R2 U D B'
L' B' F2 R2 U D' B'
L' B' F2 R2 U D2 B'
L' B' F2 R2 U B' D
L' B' F2 R2 U B' D'
L' B' F2 R2 U B' D2
L' B' F2 R2 D U B'
L' B' F2 R2 D' U B'
L' B' F2 R2 D2 U B'
L' B' F2 U D' F2 B'
L' B' F2 U D' B' F2
L' B' F2 U B' D' F2
L' B' F2 D' U F2 B'
L' B' F2 D' U B' F2
R2 B' F2 U R B' R'
R2 B' F2 U R' B' R'
R2 B' F2 U R2 B' R'
R2 B' F2 U D B' R'
R2 B' F2 U D' B' R'
R2 B' F2 U D2 B' R'
R2 B' F2 U B' R' D
R2 B' F2 U B' R' D'
R2 B' F2 U B' R' D2
R2 B' F2 U B' D R'
R2 B' F2 U B' D' R'
R2 B' F2 U B' D2 R'
R2 B' F2 D U B' R'
R2 B' F2 D' U B' R'
R2 B' F2 D2 U B' R'
F2 B' D' U F2 B' R'
F2 B' D' U B' R' F2
F2 B' D' U B' F2 R'
U B' F2 R2 U R B'
U B' F2 R2 U B' R
L B' F2 R2 B U B2
R2 B2 L' F2 B' U B
R2 B2 L' B' F2 U B
B2 F2 L' R2 B' U B
F2 B2 L' R2 B' U B
B F2 L' B' R2 U B2
B' F2 R2 U R B' R'
B' F2 R2 U R' B' R'
B' F2 R2 U R2 B' R'
B' F2 R2 U D B' R'
B' F2 R2 U D' B' R'
B' F2 R2 U D2 B' R'
B' F2 R2 U B' R' D
B' F2 R2 U B' R' D'
B' F2 R2 U B' R' D2
B' F2 R2 U B' D R'
B' F2 R2 U B' D' R'
B' F2 R2 U B' D2 R'
B' F2 R2 D U B' R'
B' F2 R2 D' U B' R'
B' F2 R2 D2 U B' R'
L' B2 U' F2 B R2 U
L' B2 U' B R2 F2 U
L' B2 U' B F2 R2 U
B2 F2 R2 L' B' U B
F2 B2 R2 L' B' U B
B' F2 U D' F2 B' R'
B' F2 U D' B' R' F2
B' F2 U D' B' F2 R'
B2 F2 R2 B U B' R'
F2 B2 R2 B U B' R'
B' F2 U B' D' R' F2
B' F2 U B' D' F2 R'
B F2 R2 U' F' L' U2
U' B2 D' L2 F R F
L B2 U' F2 R2 B U
U' B2 D' F R F L2
F B2 U' R2 F U R
F B2 U' F R2 U R'
B' F2 D' U F2 B' R'
B' F2 D' U B' R' F2
B' F2 D' U B' F2 R'
R2 B2 F2 L' B' U B
L B2 F2 R2 B U B'
