U L B' U L' B2
U L B' U B2 L'
U2 L' F U' F' B
U2 L' F U' B F'
L' U2 F U' F' B
L' U2 F U' B F'
F2 U2 D' L2 B R'
F2 U2 D' B L2 R'
F2 U2 D' B R' L2
F2 D R2 F' U2 R
F2 D' U2 L2 B R'
F2 D' U2 B L2 R'
F2 D' U2 B R' L2
F2 D' B L2 R' F
F2 D' B L2 F R'
F2 D' B R' L2 F
L B' R2 U F' B2
L B' R2 U B2 F'
L B' U' B U2 B
D' U L U B R' L'
L' D U2 F U' F' B
L' D U2 F U' B F'
D' U L' U L B R'
F2 U L F2 B' U B2
F2 U L B' F2 U B2
F U L F' B' U B2
F U L B' F' U B2
D' U L2 U L2 B R'
D' U L2 U B L2 R'
D' U L2 U B R' L2
B U L2 U' F L2 R
B U L2 U' F R L2
B' U R2 B2 D F' R
L D B' R2 U F' B2
L D B' R2 U B2 F'
L D B' U' B U2 B
F' U D' F U B R'
F U D F' U B R
U2 D F' U' B R F
F' U F L B' U B2
F U D' F' U B R'
F' U F U D' B R'
D' U B R' U' R U
F' U F D' U B R'
D' U B R2 D' R F2
F U F' L B' U B2
F2 U F2 L B' U B2
F U F' U D' B R'
F2 U F2 U D' B R'
F U F' D' U B R'
F2 U F2 D' U B R'
U D' L U L' B R'
U D' L U B L' R'
U D' L U B R' L'
U D' L' U L B R'
L' D' U2 F U' F' B
L' D' U2 F U' B F'
U D' L2 U L2 B R'
U D' L2 U B L2 R'
U D' L2 U B R' L2
U2 D' F U' F' B R'
U2 D' F U' B F' R'
U2 D' F' U' F B R'
U2 D' F' U' B R' F
U2 D' F' U' B F R'
U2 D' F2 U' F2 B R'
U2 D' F2 U' B R' F2
U2 D' F2 U' B F2 R'
L D' B' R2 U F' B2
L D' B' R2 U B2 F'
L D' B' U' B U2 B
U2 D' B R' U B' U'
U D' B R' U' R U
U D' B R2 D' R F2
U2 D' B2 D B' L2 R'
U2 D' B2 D B' R' L2
B' U' B U2 D' B R'
B' U' B D' U2 B R'
B2 U' B2 U2 D' B R'
B2 U' B2 D' U2 B R'
L' D2 U2 F U' F' B
L' D2 U2 F U' B F'
F2 U2 L B D' L2 R2
F2 U2 L B D' R2 L2
D' U2 F U' F' B R'
D' U2 F U' B F' R'
D' U2 F' U' F B R'
D' U2 F' U' B R' F
D' U2 F' U' B F R'
D' U2 F2 U' F2 B R'
D' U2 F2 U' B R' F2
D' U2 F2 U' B F2 R'
D U2 F' U' B R F
D' U2 B R' U B' U'
D' U2 B2 D B' L2 R'
D' U2 B2 D B' R' L2
L D2 B' R2 U F' B2
L D2 B' R2 U B2 F'
L D2 B' U' B U2 B
F2 U2 D' L' B L' R'
F2 U2 D' L' B R' L'
F2 U2 D' L2 B R' D
F2 U2 D' L2 B R' D'
F2 U2 D' L2 B R' D2
F2 U2 D' L2 B D R'
F2 U2 D' L2 B D' R'
F2 U2 D' L2 B D2 R'
F2 U2 D' B L2 R' D
F2 U2 D' B L2 R' D'
F2 U2 D' B L2 R' D2
F2 U2 D' B L2 D R'
F2 U2 D' B L2 D' R'
F2 U2 D' B L2 D2 R'
F2 U2 D' B R' L2 D
F2 U2 D' B R' L2 D'
F2 U2 D' B R' L2 D2
U2 F L' F U' F2 B
U2 F L' F U' B F2
D F L' U F' U B
U F L B' U L' B2
U F L B' U B2 L'
D' F U F' U B R'
F2 D L R2 F' U2 R
U2 F U' D F' B R
U2 F U' D B F' R
U2 F U' D' F' B R'
U2 F U' D' B F' R'
U2 F U' F' D' B R'
U2 F U' B D F' R
L F U F' B' U B2
L F U B' F' U B2
L' F U2 F' U F B
L' F U2 F' U B F
F2 D L' R2 F' U2 R
B' D L2 R2 U F' R
B' D L2 U R2 F' R
F2 D L2 R2 F' U2 R
U2 F D U' F' B R
U2 F D U' B F' R
U2 F D' U' F' B R'
U2 F D' U' B F' R'
B' D R2 L2 U F' R
F2 D R2 L F' U2 R
F2 D R2 L' F' U2 R
F2 D R2 L2 F' U2 R
F2 D R2 F L' F2 U2
F2 D R2 F' L U2 R
F2 D R2 F' L' U2 R
F2 D R2 F' L2 U2 R
F2 D R2 F' U2 R D
F2 D R2 F' U2 R D'
F2 D R2 F' U2 R D2
F2 D R2 F' U2 D R
F2 D R2 F' U2 D' R
F2 D R2 F' U2 D2 R
F2 D R2 F' D U2 R
F2 D R2 F' D' U2 R
F2 D R2 F' D2 U2 R
F D U F' U B R
F2 D F L' R2 F' U2
F2 D F R2 L' F' U2
U F' L B' U L' B2
U F' L B' U B2 L'
F2 D F' R2 F' U2 R'
F2 D F2 R2 F' L' U2
B D F2 D' L2 F R
D' F' U F U B R'
U2 F' U' D' F B R'
U2 F' U' D' B R' F
U2 F' U' D' B F R'
F2 D' L U2 L B R'
U2 F' U' F D' B R'
L F' U F B' U B2
L F' U B' F U B2
F2 D' L' U2 L' B R'
F2 D' L' U2 B L' R'
F2 D' L' U2 B R' L'
U2 F' D' U' F B R'
U2 F' D' U' B R' F
U2 F' D' U' B F R'
B2 D' R2 U B R' B2
B2 D' R2 B U R' B2
F' D' U F U B R'
F D' U F' U B R'
F2 D' U2 L' B L' R'
F2 D' U2 L' B R' L'
F2 D' U2 L2 B R' D
F2 D' U2 L2 B R' D'
F2 D' U2 L2 B R' D2
F2 D' U2 L2 B D R'
F2 D' U2 L2 B D' R'
F2 D' U2 L2 B D2 R'
F2 D' U2 B L2 R' D
F2 D' U2 B L2 R' D'
F2 D' U2 B L2 R' D2
F2 D' U2 B L2 D R'
F2 D' U2 B L2 D' R'
F2 D' U2 B L2 D2 R'
F2 D' U2 B R' L2 D
F2 D' U2 B R' L2 D'
F2 D' U2 B R' L2 D2
U2 F2 L' F U' F B
U2 F2 L' F U' B F
F2 D' F U2 L2 B R'
F2 D' F U2 B L2 R'
F2 D' F U2 B R' L2
U F2 L B' U L' B2
U F2 L B' U B2 L'
F2 D' F B L2 R' F
F2 D' F B L2 F R'
F2 D' F B R' L2 F
F2 D' F' U2 L2 B R'
F2 D' F' U2 B L2 R'
F2 D' F' U2 B R' L2
F2 D' F' B L2 R' F
F2 D' F' B L2 F R'
F2 D' F' B R' L2 F
F2 D' F2 U2 L2 B R'
F2 D' F2 U2 B L2 R'
F2 D' F2 U2 B R' L2
F2 D' F2 B L2 R' F
F2 D' F2 B L2 F R'
F2 D' F2 B R' L2 F
F2 D' B L2 R F R2
F2 D' B L2 R' D F
F2 D' B L2 R' D' F
F2 D' B L2 R' D2 F
F2 D' B L2 R' F D
F2 D' B L2 R' F D'
F2 D' B L2 R' F D2
F2 D' B L2 D R' F
F2 D' B L2 D F R'
F2 D' B L2 D' R' F
F2 D' B L2 D' F R'
F2 D' B L2 D2 R' F
F2 D' B L2 D2 F R'
F2 D' B L2 F R' D
F2 D' B L2 F R' D'
F2 D' B L2 F R' D2
F2 D' B L2 F D R'
F2 D' B L2 F D' R'
F2 D' B L2 F D2 R'
F2 D' B L2 F' R' F2
F2 D' B R L2 F R2
B2 D' B R2 U R B2
B2 D' B R2 U B2 R
F2 D' B R' L2 D F
F2 D' B R' L2 D' F
F2 D' B R' L2 D2 F
F2 D' B R' L2 F D
F2 D' B R' L2 F D'
F2 D' B R' L2 F D2
F2 D' B R' F L2 F
F2 D' B R' F' L2 F
F2 D' B R' F2 L2 F
F2 D' B F L2 R' F
F2 D' B F L2 F R'
F2 D' B F R' L2 F
F2 D' B F' L2 R' F
F2 D' B F' L2 F R'
F2 D' B F' R' L2 F
F2 D' B F2 L2 R' F
F2 D' B F2 L2 F R'
F2 D' B F2 R' L2 F
D' F2 U F2 U B R'
U2 F2 U' F2 D' B R'
L F2 U F2 B' U B2
D' F2 U2 B R' D' L2
D' F2 U2 B D' L2 R'
D' F2 U2 B D' R' L2
L F2 U B' F2 U B2
R2 F2 D R2 F L' U2
R2 F2 D F L' R2 U2
R2 F2 D F R2 L' U2
D F2 D R2 F' L' U2
L F2 U2 B D' L2 R2
L F2 U2 B D' R2 L2
U2 F2 D' L2 U' B R'
D F2 D' B L2 F R
D' F2 B R' D' L2 F
D' F2 B D' L2 R' F
D' F2 B D' L2 F R'
D' F2 B D' R' L2 F
B2 D2 R' B U F2 B2
B2 D2 R' B U B2 F2
D F2 B D' L2 F R
L F2 B D' L2 R2 F
L F2 B D' L2 F R2
L F2 B D' R2 L2 F
U B L B' U L' B
U B L B' U B L'
L' B L2 B' U F B
L' B L2 B' U B F
U2 B L2 U' F U R
D' B R' F2 D' L2 F
L B L2 B2 U F B2
L B L2 B2 U B2 F
U B U L' F U' F'
D' B F2 R' D' L2 F
D' B F2 D' L2 R' F
D' B F2 D' L2 F R'
D' B F2 D' R' L2 F
D B F2 D' L2 F R
L B F2 D' L2 R2 F
L B F2 D' L2 F R2
L B F2 D' R2 L2 F
L B' L R2 U F' B2
L B' L R2 U B2 F'
L B' L U' B U2 B
U B' L B' U B' L'
L B' L' R2 U F' B2
L B' L' R2 U B2 F'
L B' L' U' B U2 B
L B' L2 R2 U F' B2
L B' L2 R2 U B2 F'
L B' L2 U' B U2 B
D' B' R2 U F' B2 R'
D' B' R2 U B2 F' R'
D' B' U R' B2 R' F'
D' B' U R2 F' B2 R'
D' B' U R2 B2 F' R'
D B' R2 U F' R B2
D B' R2 U F' B2 R
D B' R2 U B2 F' R
D' B' U' L B U2 B
L B' R2 L U F' B2
L B' R2 L U B2 F'
L B' R2 L' U F' B2
L B' R2 L' U B2 F'
L B' R2 L2 U F' B2
L B' R2 L2 U B2 F'
L B' R2 U F' B2 D
L B' R2 U F' B2 D'
L B' R2 U F' B2 D2
L B' R2 U B2 D F'
L B' R2 U B2 D' F'
L B' R2 U B2 D2 F'
L B' R2 U B2 F' D
L B' R2 U B2 F' D'
L B' R2 U B2 F' D2
L B' R2 D L2 U F'
D' B' U' B U2 B R'
D B' U R2 F' R B2
D B' U R2 F' B2 R
D B' U R2 B2 F' R
L B' U L2 B2 L2 F
L B' U R2 F' R2 B2
L B' U R2 F' B2 R2
L B' U R2 B2 F' R2
L B' U B' D2 F2 B'
L B' U B' D2 B' F2
L B' U B2 L2 F L2
L B' U B2 U2 B' U2
L B' U' D2 F2 B U2
L B' U' D2 B F2 U2
L B' U' F B U2 B
L B' U' F' B U2 B
L B' U' F2 B U2 B
L B' U' B U2 D B
L B' U' B U2 D' B
L B' U' B U2 D2 B
L B' U' B U2 B D
L B' U' B U2 B D'
L B' U' B U2 B D2
L B' U' B D U2 B
L B' U' B D' U2 B
L B' U' B D2 U2 B
L B' U' B F U2 B
L B' U' B F' U2 B
L B' U' B F2 U2 B
L B' U2 R2 U' F' B2
L B' U2 R2 U' B2 F'
L B' U2 D' R2 U' F'
L B' D L2 R2 U F'
L B' D L2 U' B U2
L B' D R2 L2 U F'
L B' D' U2 R2 U' F'
L B' D2 U' F2 B U2
L B' D2 U' B F2 U2
U B2 L2 U L2 B' R'
L2 B2 U D2 F2 B' R'
L2 B2 U D2 B' R' F2
L2 B2 U D2 B' F2 R'
L2 B2 D' R2 U B' R'
U2 B2 D' B R' B2 L
R2 B2 D' R2 U B R'
L2 B2 D2 U F2 B' R'
L2 B2 D2 U B' R' F2
L2 B2 D2 U B' F2 R'
L B2 D' B R2 U B2
L B2 D2 B U F2 B2
L B2 D2 B U B2 F2
