U L R2 F U' L2
R2 L F U' L2 R
R2 L F U' R L2
U L F R2 U' L2
L R2 F U' L2 R
L R2 F U' R L2
U R2 L F U' L2
L' D F R F B2
L' D F R B2 F
L' D F B2 R F
L' D B2 F R F
L F R2 U' L2 R'
L F R2 U' R' L2
L' F D R F2 B2
L' F D R B2 F2
L' F D B2 R F2
B D L' F R B2
B D L' F B2 R
B D L' B2 F R
L' F' D F2 R B2
L' F' D F2 B2 R
L' F' D B2 F2 R
B D B2 L' F R
L' R2 F L2 U' L2 R
L' R2 F L2 U' R L2
L R2 F U' L2 R D
L R2 F U' L2 R D'
L R2 F U' L2 R D2
L R2 F U' L2 D R
L R2 F U' L2 D' R
L R2 F U' L2 D2 R
L R2 F U' R L2 D
L R2 F U' R L2 D'
L R2 F U' R L2 D2
L R2 F D' B2 U' R
L R2 F B U' L2 R
L R2 F B U' R L2
L R2 F B' U' L2 R
L R2 F B' U' R L2
L R2 F B2 U' L2 R
L R2 F B2 U' R L2
L R2 F' U L' U2 L'
L R2 B F U' L2 R
L R2 B F U' R L2
L R2 B' F U' L2 R
L R2 B' F U' R L2
R' U L R' F U' L2
L' U L R2 F L U'
L R2 B2 F U' L2 R
L R2 B2 F U' R L2
R' U L F R' U' L2
L' U L F L R2 U'
L' U L F R2 L U'
R U L R F U' L2
D2 L2 F U L R F
D2 L2 F U R L F
R U R L F U' L2
R' U R' L F U' L2
L' U R2 L F L U'
R' U' L R' F' U' L2
R' U' R' L F' U' L2
U' R' L F' R' U' L2
U R' L F R' U' L2
U2 R2 L B' U' L2 R'
U2 R2 L B' U' R' L2
U R2 L D' F B2 U'
U R2 L D' B2 F U'
F R2 L F' U' L' R'
F R2 L F' U' R' L'
U R2 L F U' L2 D
U R2 L F U' L2 D'
U R2 L F U' L2 D2
U R2 L F D' B2 U'
U R2 L F B U' L2
U R2 L F B' U' L2
U R2 L F B2 U' L2
U R2 L B F U' L2
U R2 L B' F U' L2
U R2 L B2 F U' L2
R2 U2 B' U L' R' F'
R2 U2 B' U R' L' F'
U R2 D L F U' L2
U R2 D' L F U' L2
R2 D L F U' L2 R
R2 D L F U' R L2
U R2 D2 L F U' L2
F R2 F' L U' L2 R'
F R2 F' L U' R' L2
L' D R F R F B2
L' D R F R B2 F
L' D R F B2 R F
U R2 F' L F U' L'
L' D R B2 F R F
L' D R' F R F B2
L' D R' F R B2 F
L' D R' F B2 R F
L' D R' B2 F R F
L' D R2 F R F B2
L' D R2 F R B2 F
L' D R2 F B2 R F
L' D R2 B2 F R F
D' U L F U' L2 B'
L' D F R F B2 D
L' D F R F B2 D'
L' D F R F B2 D2
L' D F R B2 D F
L' D F R B2 D' F
L' D F R B2 D2 F
L' D F R B2 F D
L' D F R B2 F D'
L' D F R B2 F D2
L' D F R' F R2 B2
L' D F R' F B2 R2
L' D F R' B2 R2 F
L' D F R' B2 F R2
L' D F R2 F R' B2
D U L F U' L2 B2
D U L F U' B2 L2
U D L F U' L2 B2
U D L F U' B2 L2
L' D F B' R F B'
L' D F B' R B' F
L' D F B2 R D F
L' D F B2 R D' F
L' D F B2 R D2 F
L' D F B2 R F D
L' D F B2 R F D'
L' D F B2 R F D2
L' D F B2 R' F R2
L' D F B2 R2 F R'
L' D F B2 D R F
L' D F B2 D' R F
L' D F B2 D2 R F
L' D F2 B D2 B R'
L' D B F2 D2 B R'
L' D B' F R F B'
L' D B' F R B' F
L' D B2 R F R F
L' D B2 R' F R F
L' D B2 R2 F R F
L' D B2 F R D F
L' D B2 F R D' F
L' D B2 F R D2 F
L' D B2 F R F D
L' D B2 F R F D'
L' D B2 F R F D2
L' D B2 F R' F R2
L' D B2 F R2 F R'
L' D B2 F D R F
L' D B2 F D' R F
L' D B2 F D2 R F
R2 D' L F U' L2 R
R2 D' L F U' R L2
U D' L F U' L2 B'
R2 D2 L F U' L2 R
R2 D2 L F U' R L2
L' D2 F D' R F2 B2
L' D2 F D' R B2 F2
L' D2 F D' B2 R F2
L' D2 F' D' F2 R B2
L' D2 F' D' F2 B2 R
L' D2 F' D' B2 F2 R
L' F L2 R2 U' L2 R'
L' F L2 R2 U' R' L2
L' F R U L2 R U'
L' F R U R L2 U'
L F L2 D R F2 B2
L F L2 D R B2 F2
L F L2 D B2 R F2
L' F R2 L2 U' L2 R'
L' F R2 L2 U' R' L2
L2 F R2 U' L R' F'
L2 F R2 U' R' L F'
L2 F R2 U' R' F' L
L' F U L2 R2 U' R'
L' F U R2 L2 U' R'
L F R2 U' L2 R' D
L F R2 U' L2 R' D'
L F R2 U' L2 R' D2
L F R2 U' L2 D R'
L F R2 U' L2 D' R'
L F R2 U' L2 D2 R'
L F R2 U' R' L2 D
L F R2 U' R' L2 D'
L F R2 U' R' L2 D2
L F R2 F U' L2 R'
L F R2 F U' R' L2
L F R2 F' U' L2 R'
L F R2 F' U' R' L2
L F R2 F2 U' L2 R'
L F R2 F2 U' R' L2
L F U' L2 D R B2
L F U' L2 D B2 R
L' F D R F2 B2 D
L' F D R F2 B2 D'
L' F D R F2 B2 D2
L' F D R B2 F2 D
L' F D R B2 F2 D'
L' F D R B2 F2 D2
L' F D R' F2 R2 B2
L' F D R' F2 B2 R2
L' F D R' B2 R2 F2
L' F D R' B2 F2 R2
L' F D R2 F2 R' B2
B D L' R F R B2
B D L' R F B2 R
B D L' R B2 F R
B D L' R' F R B2
B D L' R' F B2 R
B D L' R' B2 F R
B D L' R2 F R B2
B D L' R2 F B2 R
B D L' R2 B2 F R
L' F D B' R F2 B'
L' F D B' R B' F2
L' F D B2 R F2 D
L' F D B2 R F2 D'
L' F D B2 R F2 D2
L' F D B2 R' F2 R2
L' F D B2 R2 F2 R'
B D L' F R B2 D
B D L' F R B2 D'
B D L' F R B2 D2
B D L' F R' B2 R2
B D L' F B' R B'
B D L' F B2 R D
B D L' F B2 R D'
B D L' F B2 R D2
L' F D' R D2 F2 B2
B D L' F B2 D R
B D L' F B2 D' R
B D L' F B2 D2 R
L' F D' R D2 B2 F2
B D L' B' F R B'
B D L' B2 R F R
B D L' B2 R' F R
B D L' B2 R2 F R
B D L' B2 D F R
B D L' B2 D' F R
B D L' B2 D2 F R
B D L' B2 F R D
B D L' B2 F R D'
B D L' B2 F R D2
B D L' B2 F D R
B D L' B2 F D' R
B D L' B2 F D2 R
B D R L' F R B2
B D R L' F B2 R
B D R L' B2 F R
B D R B2 L' F R
L' F B D R F2 B2
L' F B D R B2 F2
B D R' L' F R B2
B D R' L' F B2 R
L' F B D B2 R F2
B D R' L' B2 F R
L' F B' D R F2 B2
L' F B' D R B2 F2
L' F B' D B2 R F2
B D R' B2 L' F R
B D R2 L' F R B2
B D R2 L' F B2 R
B D R2 L' B2 F R
L F B R2 U' L2 R'
L F B R2 U' R' L2
L' F B2 D R F2 B2
L' F B2 D R B2 F2
L' F B2 D B2 R F2
B D R2 B2 L' F R
L F B' R2 U' L2 R'
L F B' R2 U' R' L2
L F B2 R2 U' L2 R'
L F B2 R2 U' R' L2
U F' L R2 F U' L'
U F' L F R2 U' L'
L F' L2 D F2 B2 R'
L F' L2 D B2 R' F2
L F' L2 D B2 F2 R'
B D B L' F B R
B D B L' B F R
U F' R2 L F U' L'
B' D B2 D L' F R
L F' R2 U L' U2 L'
L F' R2 F2 U' L2 R
L F' R2 F2 U' R L2
B D B2 L' R F R
B D B2 L' R' F R
B D B2 L' R2 F R
B D B2 L' D F R
B D B2 L' D' F R
B D B2 L' D2 F R
B D B2 L' F R D
B D B2 L' F R D'
B D B2 L' F R D2
B D B2 L' F D R
B D B2 L' F D' R
B D B2 L' F D2 R
B D B2 R L' F R
B D B2 R' L' F R
B D B2 R2 L' F R
L F' U' L2 D B2 R'
L' F' D R F2 R B2
L' F' D R F2 B2 R
L' F' D R B2 F2 R
L' F' D R' F2 R B2
L' F' D R' F2 B2 R
L' F' D R' B2 F2 R
L' F' D R2 F2 R B2
L' F' D R2 F2 B2 R
L' F' D R2 B2 F2 R
L' F' D F2 R B2 D
L' F' D F2 R B2 D'
L' F' D F2 R B2 D2
L' F' D F2 R' B2 R2
L' F' D F2 B' R B'
L' F' D F2 B2 R D
L' F' D F2 B2 R D'
L' F' D F2 B2 R D2
L' F' D F2 B2 D R
L' F' D F2 B2 D' R
L' F' D F2 B2 D2 R
L' F' D B' F2 R B'
L' F' D B2 R F2 R
L' F' D B2 R' F2 R
L' F' D B2 R2 F2 R
L' F' D B2 F2 R D
L' F' D B2 F2 R D'
L' F' D B2 F2 R D2
L' F' D B2 F2 D R
L' F' D B2 F2 D' R
L' F' D B2 F2 D2 R
L' F' B D F2 R B2
L' F' B D F2 B2 R
L' F' B D B2 F2 R
L' F' B' D F2 R B2
L' F' B' D F2 B2 R
L' F' B' D B2 F2 R
L' F' B2 D F2 R B2
L' F' B2 D F2 B2 R
L' F' B2 D B2 F2 R
B D' F2 R U2 F' R
L F2 R2 F' U' L2 R
L F2 R2 F' U' R L2
L B R2 F U' L2 R
L B R2 F U' R L2
L' B D F R F B2
L' B D F R B2 F
L' B D F B2 R F
L' B D B2 F R F
D B D L' F B R
D B D L' B F R
U2 B D B2 L' R' F
U2 B D B2 L' F R'
U2 B D B2 R' L' F
D B D B L' F R
L' B F D R F2 B2
L' B F D R B2 F2
L' B F D B2 R F2
L' B F' D F2 R B2
L' B F' D F2 B2 R
L' B F' D B2 F2 R
L B F R2 U' L2 R'
L B F R2 U' R' L2
L B' R2 F U' L2 R
L B' R2 F U' R L2
L' B' D F R F B2
L' B' D F R B2 F
L' B' D F B2 R F
L' B' D B2 F R F
L' B' F D R F2 B2
L' B' F D R B2 F2
L' B' F D B2 R F2
L' B' F' D F2 R B2
L' B' F' D F2 B2 R
L' B' F' D B2 F2 R
L B' F R2 U' L2 R'
L B' F R2 U' R' L2
D B2 L' F R D' F2
L B2 R2 F U' L2 R
L B2 R2 F U' R L2
L' B2 D F R F B2
L' B2 D F R B2 F
L' B2 D F B2 R F
L' B2 D B2 F R F
L' B2 F D R F2 B2
L' B2 F D R B2 F2
L' B2 F D B2 R F2
L' B2 F' D F2 R B2
L' B2 F' D F2 B2 R
L' B2 F' D B2 F2 R
L B2 F R2 U' L2 R'
L B2 F R2 U' R' L2
