F2 D L U2 L F
B2 D R2 U' R F'
D2 B2 R' D' L2 F'
D2 B2 R' D' F' L2
D2 B2 D' L2 R' F'
D2 B2 D' R' L2 F'
D2 B2 D' R' F' L2
D2 B2 R' F' U' F' U
D' B2 R' D' B2 L F'
D' B2 R' D' B2 F' L
R2 B2 R U' F' R2 B
D' B2 R' F' D' B2 L
R' B2 U F2 U2 R' F
R' B2 U F2 U2 F R'
D B2 R2 U' L2 R F'
D B2 R2 U' R L2 F'
D B2 R2 U' R F' L2
R' B2 U' D2 F' R' B2
R' B2 U' F' R2 B R
D2 B2 U' F2 U R' F'
F' B2 R2 U' B R F'
R2 B2 U' R F' R2 B
U B2 U F2 U2 R' F'
U B2 U' R' D2 F' B2
U B2 U' R' D2 B2 F'
D2 B2 D' L R' F' L
U B2 U' D2 R' F' B2
U B2 U' D2 R' B2 F'
D2 B2 D' L2 R' D F'
D2 B2 D' L2 R' D' F'
D2 B2 D' L2 R' D2 F'
D2 B2 D' L2 R' F' D
D2 B2 D' L2 R' F' D'
D2 B2 D' L2 R' F' D2
D2 B2 D' L2 D R' F'
D2 B2 D' L2 D' R' F'
D2 B2 D' L2 D2 R' F'
D2 B2 D' L2 F R' F'
D2 B2 D' L2 F' R' F'
D2 B2 D' L2 F2 R' F'
D2 B2 D' R' L F' L
D2 B2 D' R' L2 D F'
D2 B2 D' R' L2 D' F'
D2 B2 D' R' L2 D2 F'
D2 B2 D' R' L2 F' D
D2 B2 D' R' L2 F' D'
D2 B2 D' R' L2 F' D2
D2 B2 D' R' F L2 F2
D2 B2 D' R' F' L2 D
D2 B2 D' R' F' L2 D'
D2 B2 D' R' F' L2 D2
D2 B2 D' F L2 R' F'
D2 B2 D' F R' L2 F'
D2 B2 D' F R' F' L2
D2 B2 D' F' L2 R' F'
D2 B2 D' F' R' L2 F'
D2 B2 D' F' R' F' L2
D2 B2 D' F2 L2 R' F'
D2 B2 D' F2 R' L2 F'
D2 B2 D' F2 R' F' L2
D2 B2 D2 R' D L2 F'
D2 B2 D2 R' D F' L2
D2 B2 D2 R' F' D L2
R' B2 D2 U' F' R' B2
B F2 U' B L U' R'
D2 B2 F R' F' D' L2
U B2 D2 U' R' F' B2
U B2 D2 U' R' B2 F'
