U B' L' U F'
U L' U D F' R
U L' D U F' R
B2 U L' B U F'
B2 U L' B U F'
B U L' B2 U F'
D2 U B' L' U F'
D' U B' L' U F'
D U B' L' U F'
U D B' L' U F'
B2 U B L' U F'
B U B2 L' U F'
U D' B' L' U F'
U D2 B' L' U F'
U B L' B2 U F'
U2 B' L' U L F'
U2 B' L' U F' L
U B' L' U D F'
U B' L' U D' F'
U B' L' U D2 F'
U B' L' U F' D
U B' L' U F' D'
U B' L' U F' D2
U B' L' U F' D2
U B' L' D U F'
U B' L' D' U F'
U B' L' D2 U F'
U B' D L' U F'
U B' D' L' U F'
U B' D2 L' U F'
U B2 L' B U F'
U B' D' L' U D F'
U B' D' L' U D' F'
U B' D' L' U D2 F'
U B' D' L' U F' D
U B' D' L' U F' D'
U B' D' L' U F' D2
U B' D' L' D U F'
U B' D' L' D' U F'
U B' D' L' D2 U F'
R2 B' D2 L' U L' F2
U B' D2 L' U D F'
U B' D2 L' U D' F'
U B' D2 L' U D2 F'
U B' D2 L' U F' D
U B' D2 L' U F' D'
U B' D2 L' U F' D2
U B' D2 L' D U F'
U B' D2 L' D' U F'
U B' D2 L' D2 U F'
U B2 L B L2 U F'
U B2 L' D B U F'
U B2 L' D' B U F'
U B2 L' D2 B U F'
U B2 L' B U D F'
U B2 L' B U D' F'
U B2 L' B U D2 F'
U B2 L' B U F' D
U B2 L' B U F' D'
U B2 L' B U F' D2
U B2 L' B D U F'
U B2 L' B D' U F'
U B2 L' B D2 U F'
D2 B2 U L' B U F'
D' B2 U L' B U F'
D2 B2 U B L' U F'
D' B2 U B L' U F'
D B2 U L' B U F'
U2 B2 U' L' B U F'
D B2 U B L' U F'
L2 B2 U' F R' U' F2
U2 B2 U' B L' U F'
U B2 D L' B U F'
U B2 D B L' U F'
U B2 D' L' B U F'
L2 B2 F R' U' F2 L'
U B2 D' B L' U F'
U B2 D2 L' B U F'
U B2 D2 B L' U F'
