D L D2 F' R B'
D L D2 F' B' R
D L D2 B' F' R
D' L F' R' B R2
D L F' B R' B2
D L B F' R' B2
L D' F' R' B R2
F' D L B R' B2
D' F' L R' B R2
D F' L B R' B2
D' F' R' L B R2
D' F' D2 L R B'
D' F' D2 L B' R
D' F' D2 R L B'
L D' F' R' B R2 D2
L D' F' R' B' R2 B2
L D' F' R' B2 R2 B'
U' D' F' L R' B R2
D' U' F' L R' B R2
L D' F' B R' B R2
L D' F' B' R' B R2
L D' F' B2 R' B R2
D' U' F' R' L B R2
U' D' F' R' L B R2
L D' F2 R' F B R
L D' F2 R' B F R
L D' F2 R2 F R B
D' U' F' D2 L R B'
U' D' F' D2 L R B'
D' U' F' D2 L B' R
U' D' F' D2 L B' R
U' D' F' D2 R L B'
D' U' F' D2 R L B'
U2 D' F' L R' B R2
U2 D' F' R' L B R2
D U' F' L B R' B2
U2 D' F' D2 L R B'
U2 D' F' D2 L B' R
U2 D' F' D2 R L B'
U D' F' L R' B R2
U D' F' R' L B R2
L D' B F' R' B R2
U D' F' D2 L R B'
U D' F' D2 L B' R
U D' F' D2 R L B'
L D' B' F' R' B R2
L D' B2 F' R' B R2
D' U2 L F' R' B R2
D U2 L D2 F' R B'
D U2 L D2 F' B' R
D U2 L D2 B' F' R
D U2 L F' B R' B2
D U2 L B F' R' B2
D' U2 F' L R' B R2
D' U2 F' R' L B R2
D' U2 F' D2 L R B'
D' U2 F' D2 L B' R
D' U2 F' D2 R L B'
D U2 F' L B R' B2
D F L F2 B R' B2
D F L B R' F2 B2
D F L B R' B2 F2
D F L B F2 R' B2
D' F R' F2 L B R
D' F R2 F2 L R B
D' F R2 F2 R L B
F' D L R B R' B2
F' D L R' B R' B2
F' D L R2 B R' B2
F' D L B R B2 R2
F' D L B R' B2 D
F' D L B R' B2 D'
F' D L B R' B2 D2
F' D L B R2 B2 R
F' D L B' U2 L U2
F' D L' B L2 R' B'
F' D L' B R' L2 B'
F' D L' B2 L2 B' R'
F' D L2 B L' R' B'
F' D L2 B R' L' B'
F' D L2 B2 L' B' R'
F' D R L B R' B2
F' D R' L B R' B2
F' D R2 L B R' B2
D' F' L R U2 F' U2
D' F' L R' B R2 D
D' F' L R' B R2 D'
D' F' L R' B R2 D2
D' F' L R' B' R2 B2
D' F' L R' B2 R2 B'
D' F' L B R' B R2
D' F' L B' R' B R2
D' F' L B2 R' B R2
D' F' L' R' B L2 R2
D' F' L' R' B R2 L2
D F' L R B R' B2
D F' L R' B R' B2
D F' L R2 B R' B2
F2 D F L B R' B2
D' F' L2 R' B L' R2
D' F' L2 R' B R2 L'
D F' L B R B2 R2
D F' L B R' B2 D
D F' L B R' B2 D'
D F' L B R' B2 D2
D F' L B R2 B2 R
D F' L B' U2 L U2
D' F' R L U2 F' U2
D F' L' B L2 R' B'
D F' L' B R' L2 B'
D F' L' B2 L2 B' R'
D' F' R U2 F' U2 L
D' F' R' L B R2 D
D' F' R' L B R2 D'
D' F' R' L B R2 D2
D' F' R' L B' R2 B2
D' F' R' L B2 R2 B'
D' F' R' L' B L2 R2
D' F' R' L' B R2 L2
D F' L2 B L' R' B'
D' F' R' L2 B L' R2
D' F' R' L2 B R2 L'
D F' L2 B R' L' B'
D F' L2 B2 L' B' R'
D F' R L B R' B2
F' D B L R' B' L
F' D B R' L B' L
F' D B R' B' L B'
D F' R' L B R' B2
D F' R2 L B R' B2
F' D' L R' D2 B R'
U' F' D L B R' B2
D' F' D R D L B'
U2 F' D L B R' B2
D' F' D' R D' L B'
U F' D L B R' B2
D' F' D2 L R D B'
D' F' D2 L R D' B'
D' F' D2 L R D2 B'
D' F' D2 L R B' D
D' F' D2 L R B' D'
D' F' D2 L R B' D2
D' F' D2 L R' B' R2
D' F' D2 L D R B'
D' F' D2 L D B' R
D' F' D2 L D' R B'
D' F' D2 L D' B' R
D' F' D2 L D2 R B'
D' F' D2 L D2 B' R
D' F' D2 L B R B2
D' F' D2 L B' R D
D' F' D2 L B' R D'
D' F' D2 L B' R D2
D' F' D2 L B' D R
D' F' D2 L B' D' R
D' F' D2 L B' D2 R
D' F' D2 R L D B'
D' F' D2 R L D' B'
D' F' D2 R L D2 B'
D' F' D2 R L B' D
D' F' D2 R L B' D'
D' F' D2 R L B' D2
D' F' D2 R' L B' R2
F' D' R' L D2 B R'
L F' D B D2 R' B
F' D' R' D2 L B R'
L F' D' R' D2 B R'
D' F' B' R' B L R2
D' F' B' R' B R2 L
D F' B L R' B' L
D F' B R' L B' L
D F' B R' B' L B'
D' F2 R' F L B R
D' F2 R2 F L R B
D' F2 R2 F R L B
D' F2 D2 F L R B'
D' F2 D2 F L B' R
D' F2 D2 F R L B'
D B L F' R' B' L
L B D' F' R D B2
D B F' L R' B' L
D B F' R' L B' L
D B F' R' B' L B'
D B' L U2 F' B' L'
D B' L U2 B' F' L'
L2 B' L' D' F' R B2
L2 B' L' D' F' B2 R
L2 B' L' D' B2 F' R
D' B' F' R' B L R2
D' B' F' R' B R2 L
