D L2 R' F B U2
D L2 R' B F U2
D L2 F R' B U2
D R' L2 F B U2
D R' L2 B F U2
D R' B L2 U2 B2
D' R2 F2 B' L' F
D' R2 B' F2 L' F
B2 F2 U L F B
B2 F2 U L B F
F2 B2 U L F B
F2 B2 U L B F
D R' F2 L2 B F U2
D R' F2 B L2 U2 B2
D R' B L U2 B2 R'
D R' B L2 U2 B2 D
D R' B L2 U2 B2 D'
D R' B L2 U2 B2 D2
D R' B L2 D2 F2 U2
D R' B L2 F U2 B2
D R' B L2 F' U2 B2
D R' B L2 F2 U2 B2
D R' B U2 B2 D2 R2
D R' B D2 F2 U2 R2
D R' B F L2 U2 B2
D R' B F' L2 U2 B2
D R' B F2 L2 U2 B2
D R' B' L2 B2 U2 B2
D' R' B2 L B' U2 B2
D R' B2 L2 U2 F B
D R' B2 L2 U2 B F
D' R2 F B' L' F L'
L2 D L2 R' B U2 B2
R2 D L2 R F U2 F2
R2 D R L2 F U2 F2
D' R2 F2 B L' F B2
D' R2 F2 B L' B2 F
D' R2 F2 B' L' D F
D' R2 F2 B' L' D' F
D' R2 F2 B' L' D2 F
D' R2 F2 B' L' F D
D' R2 F2 B' L' F D'
D' R2 F2 B' L' F D2
D' R2 F2 B2 L' F B
D' R2 F2 B2 L' B F
L2 D R' L2 B U2 B2
L2 D R' F L2 B U2
L2 D R' F B L2 U2
L2 D R' B L2 U2 B'
D' R2 B F2 L' F B2
D' R2 B F2 L' B2 F
L2 D R' B F L2 U2
D' R2 B' L' F2 L' F'
D' R2 B' F L' F L'
D' R2 B' F2 L' D F
D' R2 B' F2 L' D' F
D' R2 B' F2 L' D2 F
D' R2 B' F2 L' F D
D' R2 B' F2 L' F D'
D' R2 B' F2 L' F D2
D' R2 B2 F2 L' F B
D' R2 B2 F2 L' B F
L2 D F L2 R' B U2
L2 D F R' L2 B U2
L2 D F R' B L2 U2
U' D L2 R' F B U2
U' D L2 R' B F U2
U2 D L2 R' F B U2
U2 D L2 R' B F U2
U' D L2 F R' B U2
B2 U L2 D' L' F B
B2 U L2 D' L' B F
B2 U L2 D' B L' F
D U L2 R' F B U2
D U L2 R' B F U2
U2 D L2 F R' B U2
B2 U L2 B D' L' F
U D L2 R' F B U2
U D L2 R' B F U2
D U L2 F R' B U2
U D L2 F R' B U2
U' D R' L2 F B U2
U' D R' L2 B F U2
U2 D R' L2 F B U2
U2 D R' L2 B F U2
U' D R' B L2 U2 B2
D U R' L2 F B U2
D U R' L2 B F U2
U2 D R' B L2 U2 B2
U D R' L2 F B U2
U D R' L2 B F U2
D' U R2 F2 B' L' F
D U R' B L2 U2 B2
D' U R2 B' F2 L' F
U D R' B L2 U2 B2
B2 U D' L B D2 F2
B2 U D' L' F L2 B
B2 U D' L' F B L2
B2 U D' L' B F L2
B2 U F L D F2 B
B2 U F L D B F2
B2 U F L B D F2
L D' R2 F2 L' F B'
L D' R2 F2 L' B' F
D U' L2 R' F B U2
D U' L2 R' B F U2
D U' L2 F R' B U2
D U' R' L2 F B U2
D U' R' L2 B F U2
D' U' R2 F2 B' L' F
U' D' R2 F2 B' L' F
U' D' R2 B' F2 L' F
D' U' R2 B' F2 L' F
D U' R' B L2 U2 B2
U2 D' R2 F2 B' L' F
U2 D' R2 B' F2 L' F
R2 D' F2 R2 B' L' F
U D' R2 F2 B' L' F
R2 D' F2 B' L' R2 F
R2 D' F2 B' L' F R2
R2 D' F2 B' R2 L' F
U D' R2 B' F2 L' F
R2 D' B' F2 L' R2 F
R2 D' B' F2 L' F R2
R2 D' B' F2 R2 L' F
B' U' F' R B' U L
B' U' F' B' R U L
B' U' F2 B' U L F
D U2 L2 R' F B U2
D U2 L2 R' B F U2
D U2 L2 F R' B U2
B' U' B' F' R U L
B' U' B' F2 U L F
D U2 R' L2 F B U2
D U2 R' L2 B F U2
D' U2 R2 F2 B' L' F
D' U2 R2 B' F2 L' F
D U2 R' B L2 U2 B2
D F L2 R' F B U2
D F L2 R' B F U2
D F L2 F R' B U2
D F R' L2 F B U2
D F R' L2 B F U2
D' F R2 F2 B' L' F
D' F R2 B' F2 L' F
D F R' B L2 U2 B2
D F' L2 R' F B U2
D F' L2 R' B F U2
R' F' R B2 U L B
D F' L2 F R' B U2
D F' R' L2 F B U2
D F' R' L2 B F U2
D' F' R2 F2 B' L' F
D' F' R2 B' F2 L' F
R' F' U R B2 U B
D F' R' B L2 U2 B2
B2 D' L' U F L2 B
B2 D' L' U F B L2
B2 D' L' U B F L2
B2 D' U L B D2 F2
L' F' B2 R U L B'
B2 D' U L' F L2 B
B2 D' U L' F B L2
B2 D' U L' B F L2
D F2 L2 R' F B U2
D F2 L2 R' B F U2
D F2 L2 F R' B U2
D F2 R' L2 F B U2
D F2 R' L2 B F U2
D' F2 R2 F2 B' L' F
D' F2 R2 B' F2 L' F
D F2 R' B L2 U2 B2
U' F2 B2 U L F B
U' F2 B2 U L B F
D2 F2 B2 U' L F B
D2 F2 B2 U' L B F
L' F2 B2 U L F B'
L' F2 B2 U L B' F
U2 F2 B2 U L F B
U2 F2 B2 U L B F
U F2 B2 U L F B
U F2 B2 U L B F
B2 F L' U B L2 F
B2 F U L D F2 B
B2 F U L D B F2
B2 F U L B D F2
D' B' L' R2 D2 F L'
B2 F U2 L' U' L2 B
B2 F U2 L' U' B L2
D' B' R2 L' D2 F L'
B2 F' R U D2 L B'
B' F' R B' U L B
B2 F' R D2 U L B'
F' B' R B' U L B
B' F' U' R B' U L
F' B' U' R B' U L
D B' D2 L' R2 F L'
D B' D2 L' F L' R2
D B' D2 L' F R2 L'
B' F' U' B' R U L
D B' D2 R2 L' F L'
D B' D2 R2 F L' F
D B' D2 F L' R2 F
D B' D2 F L' F R2
F' B' U' B' R U L
D B' D2 F R2 L' F
D' B2 L B R2 D2 F2
D' B2 L B2 R2 F' B'
D' B2 L B2 R2 B' F'
D' B2 L' F L2 B R2
D' B2 L' F B L2 R2
D' B2 L' F B R2 L2
D' B2 L' B R2 F L2
D' B2 L' B F L2 R2
D' B2 L' B F R2 L2
F B2 L' U B L2 F
F' B2 R U D2 L B'
F' B2 R D2 U L B'
B2 F2 U L D F B
B2 F2 U L D B F
B2 F2 U L D' F B
B2 F2 U L D' B F
B2 F2 U L D2 F B
B2 F2 U L D2 B F
B2 F2 U L F D B
B2 F2 U L F D' B
B2 F2 U L F D2 B
B2 F2 U L F B D
B2 F2 U L F B D'
B2 F2 U L F B D2
B2 F2 U L B D F
B2 F2 U L B D' F
B2 F2 U L B D2 F
B2 F2 U L B F D
B2 F2 U L B F D'
B2 F2 U L B F D2
F2 B2 U L D F B
F2 B2 U L D B F
F2 B2 U L D' F B
F2 B2 U L D' B F
B2 F2 U L2 B L' F
F2 B2 U L D2 F B
F2 B2 U L D2 B F
F2 B2 U L F D B
F2 B2 U L F D' B
F2 B2 U L F D2 B
F2 B2 U L F B D
F2 B2 U L F B D'
F2 B2 U L F B D2
F2 B2 U L B D F
F2 B2 U L B D' F
F2 B2 U L B D2 F
F2 B2 U L B F D
F2 B2 U L B F D'
F2 B2 U L B F D2
F2 B2 U L2 B L' F
B2 F2 U D L F B
B2 F2 U D L B F
B2 F2 U D' L F B
B2 F2 U D' L B F
B2 F2 U D2 L F B
B2 F2 U D2 L B F
F2 B2 U D L F B
F2 B2 U D L B F
B2 F2 U F L F B
B2 F2 U F L B F
F2 B2 U D' L F B
F2 B2 U D' L B F
B2 F2 U F' L F B
B2 F2 U F' L B F
F2 B2 U D2 L F B
F2 B2 U D2 L B F
B2 F2 U F2 L F B
B2 F2 U F2 L B F
F2 B2 U F L F B
F2 B2 U F L B F
F2 B2 U F' L F B
F2 B2 U F' L B F
F2 B2 U F2 L F B
F2 B2 U F2 L B F
F B2 U L D F2 B
F B2 U L D B F2
F B2 U L B D F2
B2 F2 D U L F B
B2 F2 D U L B F
F2 B2 D U L F B
F2 B2 D U L B F
F B2 U2 L' U' L2 B
F B2 U2 L' U' B L2
L' B2 F' R U L B'
B2 F2 D' U L F B
B2 F2 D' U L B F
F2 B2 D' U L F B
F2 B2 D' U L B F
U' B2 F2 U L F B
U' B2 F2 U L B F
D2 B2 F2 U' L F B
D2 B2 F2 U' L B F
L' B2 F2 U L F B'
L' B2 F2 U L B' F
B2 F2 D2 U L F B
B2 F2 D2 U L B F
F2 B2 D2 U L F B
F2 B2 D2 U L B F
U2 B2 F2 U L F B
U2 B2 F2 U L B F
U B2 F2 U L F B
U B2 F2 U L B F
