B' R U L' U
R B' U L' U
U L' U F2 L' F
U L' F2 U L' F
B' R U L' U D
B' R U L' U D'
B' R U L' U D2
B' R U L' D U
B' R U L' D' U
B' R U L' D2 U
B' R U D L' U
B' R U D' L' U
B' R U D2 L' U
L' U' L R B' U2
B' R D U L' U
L' U' L B' R U2
B' R D' U L' U
B' R D2 U L' U
L' U' R L B' U2
B' R F2 U' R U'
D' R B' U L' U
D2 R B' U L' U
D R B' U L' U
B R B2 U L' U
B' U L' U' R U2
B' U L' F2 U L'
R D B' U L' U
R D' B' U L' U
R D2 B' U L' U
B' D R U L' U
B' D' R U L' U
B' D2 R U L' U
R F2 B' U' R U'
D2 B' R U L' U
D' B' R U L' U
R' B' R2 U L' U
D B' R U L' U
R B' U L' U D
R B' U L' U D'
R B' U L' U D2
R B' U L' D U
R B' U L' D' U
R B' U L' D2 U
R B' U D L' U
R B' U D' L' U
R B' U D2 L' U
F2 B' U' R U' L'
R B' D U L' U
R B' D' U L' U
R B' D2 U L' U
R B' F2 U' R U'
B' F2 U' R U' L'
D' B' R D2 U L' U
D2 B' R F2 U' R U'
D' B' R F2 U' R U'
U2 B' R U L' U R'
D B' R U L' U D
D B' R U L' U D'
D B' R U L' U D2
D B' R U L' D U
D B' R U L' D' U
D B' R U L' D2 U
D B' R U D L' U
D B' R U D' L' U
D B' R U D2 L' U
D B' R D U L' U
D B' R D' U L' U
D B' R D2 U L' U
R' B' R2 U L' U D
R' B' R2 U L' U D'
R' B' R2 U L' U D2
R' B' R2 U L' D U
R' B' R2 U L' D' U
R' B' R2 U L' D2 U
R' B' R2 U D L' U
R' B' R2 U D' L' U
R' B' R2 U D2 L' U
D B' R F2 U' R U'
R' B' R2 D U L' U
R' B' R2 D' U L' U
R' B' R2 D2 U L' U
R' B' R2 F2 U' R U'
R' B' U L' U D2 L2
R' B' U L' U' R2 U2
D2 B' U L' U' R U2
R' B' U L' D' F2 U
R' B' U L' D2 U L2
D2 B' U L' F2 U L'
D' B' U L' U' R U2
D' B' U L' F2 U L'
R' B' U D' L' F2 U
R' B' U D2 L' U L'
D B' U L' U' R U2
D B' U L' F2 U L'
R2 B' U D L' F U
R B' U L U D' B2
R B' U L D' U B2
R B' U L2 D L U
R B' U L2 D' L U
R B' U L2 D2 L U
D2 B' D R U L' U
R B' U D L' U D
R B' U D L' U D'
R B' U D L' U D2
R B' U D L' D U
R B' U D L' D' U
R B' U D L' D2 U
R B' U D' L' U D
R B' U D' L' U D'
R B' U D' L' U D2
R B' U D' L' D U
R B' U D' L' D' U
R B' U D' L' D2 U
R B' U D2 L' U D
R B' U D2 L' U D'
R B' U D2 L' U D2
R B' U D2 L' D U
R B' U D2 L' D' U
R B' U D2 L' D2 U
D' B' D R U L' U
R B' U B' L' B U
R B' U B2 L' B2 U
F2 B' R' U' R2 U' L'
F2 B' R' U2 L' D B2
F2 B' R' U2 D L' B2
F2 B' R' U2 D B2 L'
R B' U' R U2 L' U
F2 B' R' D U2 L' B2
F2 B' R' D U2 B2 L'
R B' U' R' U2 L' U
F2 B' R' D' F2 R U2
R B' U' R2 U2 L' U
D2 B' D' R U L' U
R2 B' U2 B' L D' B2
D' B' D' R U L' U
R' B' D' U L' F2 U
R B' U' F2 R F2 U'
D B' D R U L' U
R B' U2 L D' L' B2
R B' U2 L D' B2 L'
R2 B' D U L' F U
F2 B' R2 U' R' U' L'
B' F' U L F L' U
D2 B' D2 R U L' U
D' B' D2 R U L' U
F' B' U L F L' U
R' B' D2 U L' U L'
R B' U2 B U' L' U
R B' U2 B' U' L' U
R B' U2 B2 U' L' U
D B' D' R U L' U
R B' D U L' U D
R B' D U L' U D'
R B' D U L' U D2
R B' D U L' D U
R B' D U L' D' U
R B' D U L' D2 U
R B' D F2 U' R U'
D B' D2 R U L' U
F2 B' U' R U' L' D
F2 B' U' R U' L' D'
F2 B' U' R U' L' D2
F2 B' U' R U' D L'
F2 B' U' R U' D' L'
F2 B' U' R U' D2 L'
F2 B' U' R D U' L'
F2 B' U' R D' U' L'
F2 B' U' R D2 U' L'
F2 B' U' R B U' L'
F2 B' U' R B' U' L'
F2 B' U' R B2 U' L'
F2 B' U' D R U' L'
F2 B' U' D' R U' L'
F2 B' U' D2 R U' L'
R B' D' U L' U D
R B' D' U L' U D'
R B' D' U L' U D2
R B' D' U L' D U
R B' D' U L' D' U
R B' D' U L' D2 U
B' F' U2 D' B L B'
F2 B' U' B R U' L'
F2 B' U' B' R U' L'
R B' D' F2 U' R U'
F2 B' U' B2 R U' L'
B' F' U2 B D' L B'
F2 B' U2 L' U R U'
F' B' U2 D' B L B'
R' B' F2 R2 U' R' U'
D2 B' F2 U' R U' L'
B' F' D R F' U2 L'
F' B' U2 B D' L B'
B' F' D R' U2 B L
R B' D2 U L' U D
R B' D2 U L' U D'
R B' D2 U L' U D2
R B' D2 U L' D U
R B' D2 U L' D' U
R B' D2 U L' D2 U
D' B' F2 U' R U' L'
B' F' D F R F' U2
R B' D2 F2 U' R U'
F' B' D R F' U2 L'
F' B' D R' U2 B L
F' B' D F R F' U2
F2 B' D U' R U' L'
R B' F U L' U B'
R B' F U' R U' B
B' F' D' U2 B L B'
D B' F2 U' R U' L'
F' B' D' U2 B L B'
F2 B' D' U' R U' L'
R B' F2 U' R U' D
R B' F2 U' R U' D'
R B' F2 U' R U' D2
R B' F2 U' R D U'
R B' F2 U' R D' U'
R B' F2 U' R D2 U'
R B' F2 U' D R U'
R B' F2 U' D' R U'
R B' F2 U' D2 R U'
R B' F2 D U' R U'
F2 B' D2 U' R U' L'
R B' F2 D' U' R U'
R B' F2 D2 U' R U'
R' B2 R2 U L' U F'
B' F2 R' U' R2 U' L'
B' F2 R' U2 L' D B2
B' F2 R' U2 D L' B2
B' F2 R' U2 D B2 L'
B' F2 R' D U2 L' B2
B' F2 R' D U2 B2 L'
B' F2 R' D' F2 R U2
L' B2 U F2 L' R' F
L' B2 U F2 L' F R'
L' B2 U F2 R' L' F
B' F2 R2 U' R' U' L'
R B2 U L' R2 U F'
R B2 U L' U' B U2
R B2 U R2 L' U F'
B' F2 U' R U' L' D
B' F2 U' R U' L' D'
B' F2 U' R U' L' D2
B' F2 U' R U' D L'
B' F2 U' R U' D' L'
B' F2 U' R U' D2 L'
B' F2 U' R D U' L'
B' F2 U' R D' U' L'
B' F2 U' R D2 U' L'
B' F2 U' R B U' L'
B' F2 U' R B' U' L'
B' F2 U' R B2 U' L'
B' F2 U' D R U' L'
B' F2 U' D' R U' L'
B' F2 U' D2 R U' L'
B' F2 U' B R U' L'
B' F2 U' B' R U' L'
B' F2 U' B2 R U' L'
B' F2 U2 L' U R U'
B' F2 D U' R U' L'
R B2 D B U L' U
B' F2 D' U' R U' L'
R B2 D' B U L' U
B' F2 D2 U' R U' L'
L' B2 F2 U L' R' F
L' B2 F2 U L' F R'
L' B2 F2 U R' L' F
R B2 D2 B U L' U
