B L D R2 F U'
B L D F R2 U'
B L D2 F U' B2
B L F U F U2
B D L R2 F U'
B D L F R2 U'
B D R2 L F U'
B D2 L F U' B2
D2 B L F U' B
D B L R2 F U'
D B L F R2 U'
D B R2 L F U'
B R2 D L F R2 U'
B R2 D R2 L F U'
B R2 D2 L F U' B2
R2 D R2 B L F U'
L D F B L R2 U'
L D F B R2 L U'
L D B R2 F L U'
L D B F L R2 U'
L D B F R2 L U'
B U F2 U' L F U'
L D2 F B L U' B
L D2 B F L U' B
L F L B L U' B'
L F L2 B L U' B2
F2 U2 B U' B' R' F'
B D L R' F R' U'
B D L R2 D F U'
B D L R2 D' F U'
B D L R2 D2 F U'
B D L R2 F U' D
B D L R2 F U' D'
B D L R2 F U' D2
B D L R2 F D U'
B D L R2 F D' U'
B D L R2 F D2 U'
B D L D F U' B2
B D L F R2 U' D
B D L F R2 U' D'
B D L F R2 U' D2
B D L F R2 D U'
B D L F R2 D' U'
B D L F R2 D2 U'
B D L F U' D B2
B D L F D U' B2
B D L F' R2 F2 U'
D2 F B L F U' B
B D R' L F R' U'
D F B L R2 F U'
D F B L F R2 U'
D F B R2 L F U'
B D R2 L D F U'
B D R2 L D' F U'
B D R2 L D2 F U'
B D R2 L F U' D
B D R2 L F U' D'
B D R2 L F U' D2
B D R2 L F D U'
B D R2 L F D' U'
B D R2 L F D2 U'
B D R2 D L F U'
B D R2 D' L F U'
B D R2 D2 L F U'
B D R2 F L F U'
B D R2 F' L F U'
B D R2 F2 L F U'
B D F L R2 F U'
B D F L F R2 U'
B D F R2 L F U'
B D F' L R2 F U'
B D F' L F R2 U'
B D F' R2 L F U'
B D F2 L R2 F U'
B D F2 L F R2 U'
B D F2 R2 L F U'
R2 F' U' F' L' B' U2
B D' L F U2 L U
D2 F' B L F U' B
D F' B L R2 F U'
D F' B L F R2 U'
D F' B R2 L F U'
B D2 L R F U' B2
B D2 L R' F U' B2
B D2 L R2 F U' B2
B D2 L D' R2 F U'
B D2 L D' F R2 U'
B D2 L F R U' B2
B D2 L F R' U' B2
B D2 L F R2 U' B2
B D2 L F U' B2 D
B D2 L F U' B2 D'
B D2 L F U' B2 D2
B D2 L F D' R2 U'
U F2 U' B L F U'
B D2 R L F U' B2
D2 F2 B L F U' B
B D2 R' L F U' B2
D F2 B L R2 F U'
D F2 B L F R2 U'
D F2 B R2 L F U'
B D2 R2 L F U' B2
D2 B L D F U' B
D2 B L D' F U' B
D2 B L D2 F U' B
D2 B L F U' D B
D2 B L F U' D' B
D2 B L F U' D2 B
D2 B L F U' B D
D2 B L F U' B D'
D2 B L F U' B D2
D2 B L F D U' B
D2 B L F D' U' B
D2 B L F D2 U' B
D' B L F U2 L U
L' B L D2 F2 U' B2
D B L R' F R' U'
D B L R2 D F U'
D B L R2 D' F U'
D B L R2 D2 F U'
D B L R2 F U' D
D B L R2 F U' D'
D B L R2 F U' D2
D B L R2 F D U'
D B L R2 F D' U'
D B L R2 F D2 U'
D B L D F U' B2
D B L F R2 U' D
D B L F R2 U' D'
D B L F R2 U' D2
D B L F R2 D U'
D B L F R2 D' U'
D B L F R2 D2 U'
D B L F U' D B2
D B L F D U' B2
D B L F' R2 F2 U'
L2 B L' F L2 U' B'
B D2 F L F U' B2
B D2 F' L F U' B2
B D2 F2 L F U' B2
D B R' L F R' U'
D B R2 L D F U'
D B R2 L D' F U'
D B R2 L D2 F U'
D B R2 L F U' D
D B R2 L F U' D'
D B R2 L F U' D2
D B R2 L F D U'
D B R2 L F D' U'
D B R2 L F D2 U'
D B R2 D L F U'
D B R2 D' L F U'
D B R2 D2 L F U'
D B R2 F L F U'
D B R2 F' L F U'
D B R2 F2 L F U'
F' B L R2 F U' B
F' B L F U F2 U2
F' B L F U' D2 B2
F' B L F D R2 U'
F' B L F D2 U' B2
F2 B L F R2 U' B
F2 B L F U F' U2
D2 B D L F U' B
D2 B D' L F U' B
D' B D' L F U' B2
D B D L F U' B2
D2 B D2 L F U' B
D' B D2 L R2 F U'
D' B D2 L F R2 U'
L' B D2 L F2 U' B2
D' B D2 R2 L F U'
L B D R2 F L U'
L B D F L R2 U'
L B D F R2 L U'
L' B D2 F2 L U' B2
D2 B F L F U' B
F' B R2 L F U' B
D2 B F' L F U' B
D B F L R2 F U'
D B F L F R2 U'
D2 B F2 L F U' B
L B D2 F L U' B2
D B F R2 L F U'
D B F' L R2 F U'
D B F' L F R2 U'
D B F' R2 L F U'
D B F2 L R2 F U'
D B F2 L F R2 U'
D B F2 R2 L F U'
L' B' R' D2 F2 U B2
B F' L R2 F U' B
B F' L F U F2 U2
B F' L F U' D2 B2
B F' L F D R2 U'
B F' L F D2 U' B2
B F' R2 L F U' B
L' B' D2 R' F2 U B2
L' B' D2 F2 R' U B2
B F2 L F R2 U' B
B F2 L F U F' U2
D2 B2 U B' L U' R'
D B2 R2 B' L F U'
