U' L R2 U' F L2
B L' D F2 B2 R'
B L' D B2 R' F2
B L' D B2 F2 R'
U' R2 L U' F L2
B U' L R2 U' L2
B U' R2 L U' L2
B U2 L' D F2 B2
B U2 L' D B2 F2
B2 U2 D L' F B2
B2 U2 D L' B2 F
B2 U2 D B2 L' F
B2 D L' F B2 R'
B2 D L' B2 R' F
B2 D L' B2 F R'
B2 D U2 L' F B2
B2 D U2 L' B2 F
B2 D U2 B2 L' F
B2 D' F2 R U2 F'
D L2 U' L F B2 R'
D L2 U' L B2 R' F
D L2 U' L B2 F R'
L2 U L D B2 R' F'
U2 L2 F' L D F2 B2
U2 L2 F' L D B2 F2
L U L2 D B2 R' F'
F2 R U' L R U' F
F2 R U' R L U' F
B R U' L R U' L2
B R U' R L U' L2
R' U' L R' U' F L2
L2 U' L D F B2 R'
L2 U' L D B2 R' F
L2 U' L D B2 F R'
R U' L R U' F L2
L2 U' L F D B2 R'
R U' R L U' F L2
R' U' R' L U' F L2
F2 R B U' L R U'
F2 R B U' R L U'
B R' U' L R' U' L2
B R' U' R' L U' L2
B' R' U2 R' U' L' R
B' R' U2 R' U' R L'
R U2 R U' L' R' F'
R U2 R U' R' L' F'
U' R2 L U' F L2 D
U' R2 L U' F L2 D'
U' R2 L U' F L2 D2
U' R2 L U' F' L2 F2
U' R2 L U' F2 L2 F'
U' R2 L D' B2 U' F
B R2 L U L' U2 L'
U' R2 L B U' F L2
U' R2 L B' U' F L2
U' R2 L B2 U' F L2
B R2 L F2 U' L2 R
B R2 L F2 U' R L2
U' R2 L2 U' L' F L2
U2 R2 U' L' R' F' R'
U2 R2 U' R' L' F' R'
U2 R2 U' R2 D2 L' F
B' R2 U2 R U L' R'
B' R2 U2 R U R' L'
U' R2 U2 R' U L' F'
U' R2 D L U' F L2
U' R2 D' L U' F L2
U' R2 D2 L U' F L2
U' R2 B L U' F L2
U' R2 B' L U' F L2
U' R2 B2 L U' F L2
U' D L U' F L2 B2
U' D L U' F B2 L2
U' D L U' B2 F L2
D2 U L2 R' U L F'
D2 U L2 R' U F' L
D2 U R' L2 U L F'
D2 U R' L2 U F' L
L2 D F2 U' L F B2
L2 D F2 U' L B2 F
B' U R' U2 R' U' L'
D U R' U L' F' B2
D U R' U L' B2 F'
D U R' U B2 L' F'
U D R' U L' F' B2
U D R' U L' B2 F'
U D R' U B2 L' F'
B' U D R' U L' B2
B' U D R' U B2 L'
L' D B2 R2 D' R F'
L' D B2 D' R F' R2
B' U D2 L2 R' U L
B' U D2 R' L2 U L
D' U' L U' F L2 B'
U' D' L U' F L2 B'
D U' L U' F L2 B2
D U' L U' F B2 L2
D U' L U' B2 F L2
F' U' L R2 U' F L'
B U' L R2 U' L2 D
B U' L R2 U' L2 D'
B U' L R2 U' L2 D2
B U' L R2 D' B2 U'
B U' L R2 B U' L2
B U' L R2 B' U' L2
B U' L R2 B2 U' L2
B U' L U' L2 D B2
B U' L B R2 U' L2
B U' L B' R2 U' L2
B U' L B2 R2 U' L2
F' U' R2 L U' F L'
B' U' R2 U2 R U L'
B2 U' R2 U' D L' F
B2 U' R2 D U' L' F
B2 U' R2 B' L U' L2
B U' R2 L U' L2 D
B U' R2 L U' L2 D'
B U' R2 L U' L2 D2
B U' R2 L D' B2 U'
B U' R2 L B U' L2
B U' R2 L B' U' L2
B U' R2 L B2 U' L2
B U' R2 U' L' D F2
B U' R2 D L U' L2
B U' R2 D' L U' L2
B U' R2 D2 L U' L2
B U' D L U' L2 B2
B U' D L U' B2 L2
B2 U' B' L R2 U' L2
U D2 L2 R' U L F'
U D2 L2 R' U F' L
B2 U' B' R2 L U' L2
B' U' B2 L R2 U' L2
B' U' B2 R2 L U' L2
U D2 R' L2 U L F'
U D2 R' L2 U F' L
B U2 L R2 U' L2 R2
B U2 L R2 U' R2 L2
B U2 L' U L2 R2 U'
B U2 L' U R2 L2 U'
B U2 L' D F2 B2 D
B U2 L' D F2 B2 D'
B U2 L' D F2 B2 D2
B U2 L' D B2 F2 D
B U2 L' D B2 F2 D'
B U2 L' D B2 F2 D2
B U2 L' F D F2 B2
B U2 L' F D B2 F2
B U2 L' F' D F2 B2
B U2 L' F' D B2 F2
B U2 L' F2 D F2 B2
B U2 L' F2 D B2 F2
B U2 L' B D F2 B2
B U2 L' B D B2 F2
B U2 L' B' D F2 B2
B U2 L' B' D B2 F2
B U2 L' B2 D F2 B2
B U2 L' B2 D B2 F2
B U2 R2 L U' L2 R2
B U2 R2 L U' R2 L2
B2 U2 D L' F B2 D
B2 U2 D L' F B2 D'
B2 U2 D L' F B2 D2
B2 U2 D L' B2 D F
B2 U2 D L' B2 D' F
B2 U2 D L' B2 D2 F
B2 U2 D L' B2 F D
B2 U2 D L' B2 F D'
B2 U2 D L' B2 F D2
B' U2 D B2 L' D F2
B2 U2 D B L' F B
B2 U2 D B L' B F
B2 U2 D B2 L' D F
B2 U2 D B2 L' D' F
B2 U2 D B2 L' D2 F
B2 U2 D B2 L' F D
B2 U2 D B2 L' F D'
B2 U2 D B2 L' F D2
B U2 D L' B2 D F2
B2 U2 B' L' D F2 B2
B2 U2 B' L' D B2 F2
B' U2 B' D L' F B2
B' U2 B' D L' B2 F
B' U2 B' D B2 L' F
B U2 B D L' F B2
B U2 B D L' B2 F
B U2 B D B2 L' F
B' U2 B2 L' D F2 B2
B' U2 B2 L' D B2 F2
B2 D L' R F B2 R'
B2 D L' R B2 R' F
B2 D L' R B2 F R'
B2 D L' R' F B2 R'
B2 D L' R' B2 R' F
B2 D L' R' B2 F R'
B2 D L' R2 F B2 R'
B2 D L' R2 B2 R' F
B2 D L' R2 B2 F R'
B D L U' L2 B2 R'
B2 D L' F R B2 R'
B2 D L' F R' B2 R'
B2 D L' F R2 B2 R'
B2 D L' F B2 R' D
B2 D L' F B2 R' D'
B2 D L' F B2 R' D2
B2 D L' F B2 D R'
B2 D L' F B2 D' R'
B2 D L' F B2 D2 R'
B2 D L' F' B2 R' F2
B2 D L' B2 R F R2
B2 D L' B2 R' D F
B2 D L' B2 R' D' F
B2 D L' B2 R' D2 F
B2 D L' B2 R' F D
B2 D L' B2 R' F D'
B2 D L' B2 R' F D2
B2 D L' B2 D R' F
B2 D L' B2 D F R'
B2 D L' B2 D' R' F
B2 D L' B2 D' F R'
B2 D L' B2 D2 R' F
B2 D L' B2 D2 F R'
B2 D L' B2 F R' D
B2 D L' B2 F R' D'
B2 D L' B2 F R' D2
B2 D L' B2 F D R'
B2 D L' B2 F D' R'
B2 D L' B2 F D2 R'
B2 D L' B2 F' R' F2
B D L' B2 R' D F2
B D L' B2 D R' F2
B D L' B2 D F2 R'
B2 D R L' F B2 R'
B2 D R L' B2 R' F
B2 D R L' B2 F R'
B2 D R U2 L' F B2
B2 D R U2 L' B2 F
B2 D R U2 B2 L' F
B2 D R' L' F B2 R'
B2 D R' L' B2 R' F
B2 D R' L' B2 F R'
B2 D R' U2 L' F B2
B2 D R' U2 L' B2 F
B2 D R' U2 B2 L' F
B2 D R2 L' F B2 R'
B2 D R2 L' B2 R' F
B2 D R2 L' B2 F R'
B2 D R2 U2 L' F B2
B2 D R2 U2 L' B2 F
B2 D R2 U2 B2 L' F
B' D U R' U L' B2
B' D U R' U B2 L'
B D U' L U' L2 B2
B D U' L U' B2 L2
B2 D U2 L' F B2 D
B2 D U2 L' F B2 D'
B2 D U2 L' F B2 D2
B2 D U2 L' B2 D F
B2 D U2 L' B2 D' F
B2 D U2 L' B2 D2 F
B2 D U2 L' B2 F D
B2 D U2 L' B2 F D'
B2 D U2 L' B2 F D2
B' D U2 B2 L' D F2
B2 D U2 B L' F B
B2 D U2 B L' B F
B2 D U2 B2 L' D F
B2 D U2 B2 L' D' F
B2 D U2 B2 L' D2 F
B2 D U2 B2 L' F D
B2 D U2 B2 L' F D'
B2 D U2 B2 L' F D2
B D U2 L' B2 D F2
B2 D B U2 L' F B
B2 D B U2 L' B F
B2 D B U2 B L' F
B2 D B' U2 B' L' F
B2 D' R F2 R U2 F
B2 D' R' F2 B R U2
B2 D' R' B F2 R U2
B2 D' R2 F2 R B U2
D' F2 R U R' U F'
D' F2 R U' L U' F
B' D' F2 R U R2 U
B' D' F2 R U2 D' F2
B' D' F2 R D B2 U2
B' D' F2 R D' U2 F2
D' F2 R B U' L U'
D' F2 R B' U R' U
B2 D' F2 R U2 D F'
B2 D' F2 R U2 D' F'
B2 D' F2 R U2 D2 F'
B2 D' F2 R U2 F' D
B2 D' F2 R U2 F' D'
B2 D' F2 R U2 F' D2
B2 D' F2 R D U2 F'
B2 D' F2 R D' U2 F'
B2 D' F2 R D2 U2 F'
B2 D' F2 R B U2 F'
B2 D' F2 R B' U2 F'
B2 D' F2 R B2 U2 F'
B2 D' F2 R' B R2 U2
B2 D' F2 B R U2 F'
B2 D' F2 B' R U2 F'
B2 D' F2 B2 R U2 F'
B D' F2 R U' L U'
B2 D' B F2 R U2 F'
B2 D' B' F2 R U2 F'
B2 D' B2 F2 R U2 F'
D' F2 U2 F2 D' L' F
U' F2 D R2 B2 L F
D' F2 B R U' L U'
D' F2 B' R U R2 U
D' F2 B' R U2 D' F2
D' F2 B' R D B2 U2
D' F2 B' R D' U2 F2
B' D2 U L2 R' U L
B' D2 U R' L2 U L
U' B L R2 U' F L2
D' F2 B2 D' R U2 F'
R2 B L U L' U2 L'
R2 B L F2 U' L2 R
R2 B L F2 U' R L2
U' B R2 L U' F L2
R' B U' L U' L2 B'
D B U' L U' L2 B
D B U' L U' B L2
D B U2 L' D F2 B
D B U2 L' D B F2
R B U' L R U' L2
D B U2 L' B D F2
R B U' R L U' L2
D B U2 B D L' F
F2 B R U' L R U'
F2 B R U' R L U'
D' B F2 R U' L U'
U' B' L R2 U' F L2
U' B' R2 L U' F L2
D2 B' U L2 R' U L
D2 B' U R' L2 U L
D B' U R' U B' L'
R2 B' U2 R' U L' R
R2 B' U2 R' U R L'
D B' U2 B' D L' F
D' B' F2 R U R2 U
D' B' F2 R U2 D' F2
D' B' F2 R D B2 U2
D' B' F2 R D' U2 F2
U' B2 L R2 U' F L2
U' B2 R2 L U' F L2
B F2 R U' L R U'
B F2 R U' R L U'
L' B2 D' R F' R2 B
B2 F2 D' R F2 U2 F
F2 B2 D' R F2 U2 F
D' B2 F2 D' R U2 F'
