R' U' F' L2 B' U
R' F U2 D' L2 F' B2
R' F U2 D' L2 B2 F'
R' F U2 D' F' L2 B2
R' F U2 D' F' B2 L2
R' F U2 D' B2 L2 F'
R' F U2 D' B2 F' L2
R' F D R2 F2 B U2
R' F D R2 B F2 U2
R' F D F2 R2 U2 F
R' F D' U2 L2 F' B2
R' F D' U2 L2 B2 F'
R' F D' U2 F' L2 B2
R' F D' U2 F' B2 L2
R' F D' U2 B2 L2 F'
R' F D' U2 B2 F' L2
L2 F D' B2 U F' L'
L2 F D2 U F' L' R2
L2 F D2 U F' R2 L'
R' F' L2 U' L2 U2 F
R' F' L2 U' B' L2 U2
U' F' L2 B' U' R' U2
U F' L2 U D L F2
U F' L2 U D F2 L
U F' L2 U2 L2 U' L'
U F' L2 D U L F2
U F' L2 D U F2 L
U F' L2 D2 R2 U L
R' F' U L2 U L2 F
L2 F' U F' L' F2 R
L2 F' U' L2 B' R' U2
U F' U' D' L' B2 R'
R2 F' U2 D' F L' B2
R2 F' U2 D' F B2 L'
R2 F' U2 D' B2 F L'
R2 F' D' U2 F L' B2
R2 F' D' U2 F B2 L'
R2 F' D' U2 B2 F L'
R2 F' D' F L' B2 R'
U' F' B L2 B' U L'
U F' D' U' L' B2 R'
U' F' B2 L2 B' U L
D F2 R U' B U' F2
D F2 R' U F' U F'
D F2 U F' U L' F'
D F2 U' B U' L F2
D F2 U' B U' F2 L
R' B U' F' L2 B' U
U' B F' L2 B' U L'
U' B' L2 U' R' U2 R
R' B' U' F' L2 B' U
U B' U2 L2 B U L
U B' U2 B L2 U L'
R B' D L2 D2 R2 B2
R B' D L2 D2 B2 R2
R B' D F2 U2 L2 F2
R B' D F2 U2 F2 L2
U B' D2 R2 F' U' L'
L' B2 R' U' L' F' U
R' B2 U' F' L2 B' U
U' B2 F' L2 B' U L
