F L R F2 U B'
F' L U D F2 B'
F' L U D B' F2
F' L U B' D F2
F' L D U F2 B'
F' L D U B' F2
F' L D2 R2 U B'
U L F D' B' L2
U L F B' D' L2
U L B' F D' L2
F' L' U' F U2 F'
F R L F2 U B'
F R F2 L U B'
R2 U2 B L U' B'
U2 R2 B L U' B'
F' U2 L' U F U2
D F L' R F2 U
D F R L' F2 U
L F R F2 U B'
D F' U2 L' R U'
D F' U2 R L' U'
D F' L2 U2 L R U'
D F' L2 U2 R L U'
D2 F' R' U2 L' U' B
D2 F' R2 U2 L' U' B'
D F' R' U2 L' R2 U'
D F' R' U2 R2 L' U'
D F' R2 U2 L' R' U'
D F' R2 U2 R' L' U'
L' F' U' F2 U R U
D2 F' U2 L' R' U' B
L' F' U2 L' U F2 U2
D2 F' U2 R' L' U' B
L' F' U2 L' U' D2 B2
L' F' U2 L' D R2 U'
L' F' U2 L' D2 U' B2
L' F' U2 D L' R2 U'
L' F' U2 D R2 L' U'
L' F' U2 D2 L' U' B2
L2 F' U2 L' R U' B
L F' U B' U L' U'
L2 F' U2 R L' U' B
D F' U2 L' R U' D
D F' U2 L' R U' D'
D F' U2 L' R U' D2
D F' U2 L' R D U'
D F' U2 L' R D' U'
D F' U2 L' R D2 U'
D F' U2 L' D R U'
D F' U2 L' D' R U'
D F' U2 L' D2 R U'
D F' U2 R L' U' D
D F' U2 R L' U' D'
D F' U2 R L' U' D2
D F' U2 R L' D U'
D F' U2 R L' D' U'
D F' U2 R L' D2 U'
D F' U2 R D L' U'
D F' U2 R D' L' U'
D F' U2 R D2 L' U'
L' F' D U2 L' R2 U'
L' F' D U2 R2 L' U'
D F' U2 D L' R U'
D F' U2 D R L' U'
D F' U2 D' L' R U'
D F' U2 D' R L' U'
D F' U2 D2 L' R U'
D F' U2 D2 R L' U'
L' F' D' L2 U2 L U'
D F' D U2 L' R U'
D F' D U2 R L' U'
L' F' D2 U2 L' U' B2
D F' D' U2 L' R U'
D F' D' U2 R L' U'
D F' D2 U2 L' R U'
D F' D2 U2 R L' U'
U F2 L D F B' L'
U F2 L D B' F L'
U F2 L D' F B' L
U F2 L D' B' F L
U F2 L F D' B' L
U F2 L B' D F L'
D2 F2 D' F L' U F
F' D2 R' U2 L' U' B
F' D2 R2 U2 L' U' B'
U2 B L R2 B U' B2
F' D2 U2 L' R' U' B
U2 B L U2 F' U B'
F' D2 U2 R' L' U' B
U B L F D' B' L2
U B L F B' D' L2
U B L B' F D' L2
U2 B R2 L B U' B2
U B' L F D' B' L2
U B' L F B' D' L2
U B' L B' F D' L2
U B2 L F D' B' L2
U B2 L F B' D' L2
U B2 L B' F D' L2
