B D F' R U2 R2
L2 U' R2 F' B L' R'
L2 U' R2 F' B R' L'
L2 U' R2 B F' L' R'
L2 U' R2 B F' R' L'
L2 U' F' B U2 L' R'
L2 U' F' B U2 R' L'
L2 U' B F' U2 L' R'
L2 U' B F' U2 R' L'
D2 R2 U F' L' B R
D2 R2 U F' B L' R
D2 R2 U F' B R L'
D2 R2 U B F' L' R
D2 R2 U B F' R L'
D2 R2 U' F' B L R
D2 R2 U' F' B R L
D2 R2 U' B L F' R
D2 R2 U' B F' L R
D2 R2 U' B F' R L
L' F U' F2 B U2 R'
L' F U' B F2 U2 R'
B D L F' R U2 R2
B D L' F' R U2 R2
B D L2 F' R U2 R2
R2 F' L B R' D L2
R2 F' L B D L2 R'
R2 F' L B D R' L2
B2 D F' R B' U2 R'
B2 D F' B' R U2 R2
B D F' L R U2 R2
B D F' L' R U2 R2
B D F' L2 R U2 R2
B D F' R L U2 R2
B D F' R L' U2 R2
B D F' R L2 U2 R2
B D F' R U2 R2 D
B D F' R U2 R2 D'
B D F' R U2 R2 D2
B D F' R D2 L2 U2
B D F' U2 R' D2 L2
B D F' D R U2 R2
B D F' D' R U2 R2
B D F' D2 R U2 R2
B2 D B' F' R U2 R2
D2 F' D B R' U2 R2
D F' D' B R U2 R2
D' F' B R' U B U
L' F' B U F2 U R'
L' F' B U2 R' D' L2
L' F' B U2 D' L2 R'
L' F' B U2 D' R' L2
L' F' B D R2 U2 R
L' F' B D' U2 L2 R'
L' F' B D' U2 R' L2
L F' B U2 R' D L2
L F' B U2 D L2 R'
L F' B U2 D R' L2
L F' B D U2 L2 R'
L F' B D U2 R' L2
L F' B D' R2 U2 R
R2 F' B2 D' B' L R'
R2 F' B2 D' B' R' L
B2 D' F' B' U2 L R'
B2 D' F' B' U2 R' L
F' D' B R' U B U
B2 D' B' F' U2 L R'
B2 D' B' F' U2 R' L
R2 F2 B R' D F L'
R2 F2 B D R' F L'
R2 F2 B D F L' R'
R2 F2 B D F R' L'
R2 B L' F' R' D' L2
R2 B L' F' D' L2 R'
R2 B L' F' D' R' L2
F' B L' U F U R'
U' B D F' R U2 R2
U2 B D F' R U2 R2
D' B D' F' R' U2 R2
R2 B D F L' R' F2
R2 B D F L' F2 R'
R2 B D F R' L' F2
R2 B D F' R' D2 L2
U B D F' R U2 R2
L B D F' U2 L2 R'
L B D F' U2 R' L2
L B D' R2 U2 B R
L B D' F' R2 U2 R
D' B F' R' U B U
L' B F' U F2 U R'
L' B F' U2 R' D' L2
L' B F' U2 D' L2 R'
L' B F' U2 D' R' L2
L' B F' D R2 U2 R
L' B F' D' U2 L2 R'
L' B F' D' U2 R' L2
R2 B F2 R' D F L'
L B F' U2 R' D L2
L B F' U2 D L2 R'
L B F' U2 D R' L2
R2 B F2 D R' F L'
L B F' D U2 L2 R'
L B F' D U2 R' L2
R2 B F2 D F L' R'
R2 B F2 D F R' L'
L B F' D' R2 U2 R
F2 B D F U2 L' R'
F2 B D F U2 R' L'
B' F' L B2 U' B U'
F' B' L B2 U' B U'
B F' L' U F U R'
L B' U L F' B2 U2
L B' U L B2 F' U2
L B' U F' L B2 U2
L B' U F' B2 U2 R'
L B' U B2 F' U2 R'
B2 F' D' B' U2 L R'
B2 F' D' B' U2 R' L
R2 B2 D' F' B' L R'
R2 B2 D' F' B' R' L
R2 B2 D' B' L F' R'
R2 B2 D' B' F' L R'
R2 B2 D' B' F' R' L
B F2 D F U2 L' R'
B F2 D F U2 R' L'
F' B2 D' B' U2 L R'
F' B2 D' B' U2 R' L
R2 B2 F' D' B' L R'
R2 B2 F' D' B' R' L
