B' R U' F U'
R B' U' F U'
L2 R U B' U F
R L2 U B' U F
B' L2 R U B' U
B' R L2 U B' U
B' R U' D F U'
B' R U' D' F U'
B' R U' D2 F U'
B' R U' F U' D
B' R U' F U' D'
B' R U' F U' D2
B' R U' F D U'
B' R U' F D' U'
B' R U' F D2 U'
B' R D U' F U'
B' R D' U' F U'
B' R D2 U' F U'
D' R B' U' F U'
D2 R B' U' F U'
D R B' U' F U'
B R B2 U' F U'
R U' F L2 U' F
R U' F U B' U2
R D B' U' F U'
F U F' R B' U2
F U F' B' R U2
F U B' F' R U2
R D' B' U' F U'
R D2 B' U' F U'
U' F L2 U' F L'
U' F U' L2 F L'
B' D R U' F U'
B' D' R U' F U'
B' D2 R U' F U'
D2 B' R U' F U'
D' B' R U' F U'
R' B' R2 U' F U'
D B' R U' F U'
R B' L2 U B' U
R B' U' D F U'
R B' U' D' F U'
R B' U' D2 F U'
R B' U' F U' D
R B' U' F U' D'
R B' U' F U' D2
R B' U' F D U'
R B' U' F D' U'
R B' U' F D2 U'
R B' D U' F U'
R B' D' U' F U'
R B' D2 U' F U'
B' R U' D2 F D2 U'
B2 R U' D' F L' U'
B' R U' F' U' D R2
B' R U' F' D U' R2
L2 U F2 B' U L' F'
B' R U' F2 D F' U'
B' R U' F2 D' F' U'
B' R U' F2 D2 F' U'
B R U' D F L2 U'
D R U' F L2 U' F
D R U' F U B' U2
B R U' D2 F U' F
B R U' F U B2 U2
B R U' F U' D2 F2
B R U' F D L2 U'
B R U' F D2 U' F2
B' R U2 R U F U'
B' R U2 R' U F U'
B' R U2 R2 U F U'
B2 R U2 R F' D R2
B' R U2 F' D R2 F
B' R U2 F' D F R2
B' R D L2 U B' U
L2 U B' U F2 L' F'
L2 U B' U' R U2 F
B' R D U' F U' D
B' R D U' F U' D'
B' R D U' F U' D2
B' R D U' F D U'
B' R D U' F D' U'
B' R D U' F D2 U'
D2 R D B' U' F U'
L2 U B' F2 U L' F'
D' R D B' U' F U'
R U B' U2 F U' F'
B R D U' F L2 U'
B' R D' L2 U B' U
D R D B' U' F U'
B' R D' U' F U' D
B' R D' U' F U' D'
B' R D' U' F U' D2
B' R D' U' F D U'
B' R D' U' F D' U'
B' R D' U' F D2 U'
B2 R D' U' F L' U'
D2 R D' B' U' F U'
D' R D' B' U' F U'
B' R D2 L2 U B' U
D R D' B' U' F U'
B' R D2 U' F U' D
B' R D2 U' F U' D'
B' R D2 U' F U' D2
B' R D2 U' F D U'
B' R D2 U' F D' U'
B' R D2 U' F D2 U'
D2 R D2 B' U' F U'
D' R D2 B' U' F U'
B R D2 U' F U' F
D R D2 B' U' F U'
B' R F' D F U2 R2
B' R F' D' L2 U2 B'
R U' L2 U2 B' U F
B' R F' D' F L2 U2
D' R B' L2 U B' U
D2 R B' L2 U B' U
D' R B' U' D F U'
D2 R B' U' D F U'
D' R B' U' D' F U'
D2 R B' U' D' F U'
D' R B' U' D2 F U'
D2 R B' U' D2 F U'
D' R B' U' F U' D
D' R B' U' F U' D'
D' R B' U' F U' D2
D' R B' U' F D U'
D' R B' U' F D' U'
D' R B' U' F D2 U'
D2 R B' U' F U' D
D2 R B' U' F U' D'
D2 R B' U' F U' D2
D2 R B' U' F D U'
D2 R B' U' F D' U'
D2 R B' U' F D2 U'
D2 R B' D U' F U'
D' R B' D U' F U'
D R B' L2 U B' U
D2 R B' D' U' F U'
D' R B' D' U' F U'
D2 R B' D2 U' F U'
D' R B' D2 U' F U'
U2 R B' U' F U' B
D R B' U' D F U'
D R B' U' D' F U'
D R B' U' D2 F U'
D R B' U' F U' D
D R B' U' F U' D'
D R B' U' F U' D2
D R B' U' F D U'
D R B' U' F D' U'
D R B' U' F D2 U'
D R B' D U' F U'
D R B' D' U' F U'
D R B' D2 U' F U'
B R B2 L2 U B' U
R U' D F L2 U' F
R U' D F U B' U2
B R B2 U' D F U'
B R B2 U' D' F U'
B R B2 U' D2 F U'
B R B2 U' F U' D
B R B2 U' F U' D'
B R B2 U' F U' D2
B R B2 U' F D U'
B R B2 U' F D' U'
B R B2 U' F D2 U'
B R B2 D U' F U'
B R B2 D' U' F U'
B R B2 D2 U' F U'
R' U' D2 F U' L2 F
R U' D' F L2 U' F
R U' D' F U B' U2
R' U' F U R2 B' U2
R' U' F U B' R2 U2
R' U' F U' D2 L2 F
R U' D2 F L2 U' F
R U' D2 F U B' U2
R' U' F D2 U' L2 F
R2 U' F U R' B' U2
R U' F L2 U' D F
R U' F L2 U' D' F
R U' F L2 U' D2 F
R U' F L2 U' F D
R U' F L2 U' F D'
R U' F L2 U' F D2
R U' F L2 D U' F
R U' F L2 D' U' F
R U' F L2 D2 U' F
R U' F U D B' U2
R U' F U D' B' U2
R U' F U D2 B' U2
R U' F U B' U2 D
R U' F U B' U2 D'
R U' F U B' U2 D2
R U' F U B' D U2
R U' F U B' D' U2
R U' F U B' D2 U2
R U' F U' L2 F L2
R U' F D L2 U' F
R U' F D U B' U2
R U' F D' L2 U' F
R U' F D' U B' U2
R U' F D2 L2 U' F
R U' F D2 U B' U2
R U' F' L2 F2 U' F'
B' R' U' D F B2 U'
B' R' U' D B2 F U'
B' R' U' D2 F U' L2
R U' F2 L2 F' U' F2
B' R' U' F U R2 U2
B' R' U' F U' D2 L2
B' R' U' F D B2 U'
B' R' U' F D2 U' L2
B' R' D U' F B2 U'
B' R' D U' B2 F U'
B' R' D2 U' F U' L2
D2 R' B' R2 U' F U'
D' R' B' R2 U' F U'
D R' B' R2 U' F U'
B R' B2 R2 U' F U'
F R2 L2 U' F L' B
F R2 L2 U' F B L'
F R2 L2 U' B F L'
L2 U2 F2 L' D F' R
B' R2 U' F U R' U2
B' R2 U' F B2 U' L
B' R2 U' B2 F U' L
F R2 U' L2 F L' B
F R2 U' L2 F B L'
F R2 U' L2 B F L'
B' R2 D R' U' F U'
B' R2 D' R' U' F U'
B' R2 D2 R' U' F U'
R D L2 U B' U F
L2 D R U B' U F
L D R U2 R' F' R
R2 D R' B' U' F U'
B R2 B2 U' F U' L
R D U' F L2 U' F
R D U' F U B' U2
R' D B' U' F B' U'
R' D B' U' B' F U'
U' D F L2 U' F L'
U' D F U' L2 F L'
R D B' L2 U B' U
R D B' U' D F U'
R D B' U' D' F U'
R D B' U' D2 F U'
R D B' U' F U' D
R D B' U' F U' D'
R D B' U' F U' D2
R D B' U' F D U'
R D B' U' F D' U'
R D B' U' F D2 U'
R D B' D U' F U'
R D B' D' U' F U'
R D B' D2 U' F U'
L D' L' R B' L U2
F U D2 F' B' U2 L
F U D2 B' F' U2 L
L D' L' B' L R U2
L D' L' B' R L U2
R D' L2 U B' U F
L2 D' R U B' U F
F U F' R D B' U2
F U F' R D' B' U2
F U F' R D2 B' U2
F U F' R B' U2 D
F U F' R B' U2 D'
F U F' R B' U2 D2
F U F' R B' D U2
F U F' R B' D' U2
F U F' R B' D2 U2
F U F' R' B' R2 U2
F U F' D R B' U2
F U F' D B' R U2
L D' R L' B' L U2
F U F' D' R B' U2
F U F' D' B' R U2
F U F' D2 R B' U2
F U F' D2 B' R U2
F U F' B R B2 U2
F U F' B' R U2 D
F U F' B' R U2 D'
F U F' B' R U2 D2
F U F' B' R D U2
F U F' B' R D' U2
F U F' B' R D2 U2
F U F' B' D R U2
F U F' B' D' R U2
F U F' B' D2 R U2
L D' R B U2 R' F'
L D' R B' L U2 F
R2 D' R' B' U' F U'
F U B F' R B2 U2
F U B' F' R U2 D
F U B' F' R U2 D'
F U B' F' R U2 D2
F U B' F' R D U2
F U B' F' R D' U2
F U B' F' R D2 U2
F U B' F' D R U2
F U B' F' D' R U2
F U B' F' D2 R U2
R D' U' F L2 U' F
R D' U' F U B' U2
D' U' F L2 U' F L'
U' D' F L2 U' F L'
D2 U' F L2 U' F L'
D' U' F U' L2 F L'
U' D' F U' L2 F L'
D2 U' F U' L2 F L'
F U' L2 F L' D2 B2
F U' L2 F D2 L' B2
F U' L2 F D2 B2 L'
D U' F L2 U' F L'
D U' F U' L2 F L'
L D' B' L R U2 F
L D' B' R L U2 F
R D' B' L2 U B' U
R D' B' U' D F U'
R D' B' U' D' F U'
R D' B' U' D2 F U'
R D' B' U' F U' D
R D' B' U' F U' D'
R D' B' U' F U' D2
R D' B' U' F D U'
R D' B' U' F D' U'
R D' B' U' F D2 U'
R D' B' D U' F U'
R D' B' D' U' F U'
R D' B' D2 U' F U'
B' U' F U' F L' F'
B' U' F U2 F U L'
B U' D2 F U' F L'
B' U' F D2 B' U' L
L2 D2 R U B' U F
R D2 L2 U B' U F
L D2 R U' F' L' U'
F U' F' B' R U2 R'
R2 D2 R' B' U' F U'
R' D2 U' F U' L2 F
F U' B' F' R U2 R'
U' D2 F L2 U' F L'
U' D2 F U' L2 F L'
R D2 U' F L2 U' F
R D2 U' F U B' U2
R' D2 B' U' F U' L2
R D2 B' L2 U B' U
R D2 B' U' D F U'
R D2 B' U' D' F U'
R D2 B' U' D2 F U'
R D2 B' U' F U' D
R D2 B' U' F U' D'
R D2 B' U' F U' D2
R D2 B' U' F D U'
R D2 B' U' F D' U'
R D2 B' U' F D2 U'
R D2 B' D U' F U'
R D2 B' D' U' F U'
R D2 B' D2 U' F U'
U' F L' U' L' F L'
U' F L' U' F L' F
U' F L2 U' F L' D
U' F L2 U' F L' D'
U' F L2 U' F L' D2
U' F L2 U' F D L'
U' F L2 U' F D' L'
U' F L2 U' F D2 L'
U' F L2 B U' F L'
U' F L2 B' U' F L'
U' F L2 B2 U' F L'
B2 U2 F' D R2 F' L'
R' F U R2 B' U2 B2
U' F U D2 B' U2 L
R' F U F' R2 B' U2
D' F U F' R B' U2
R' F U F' B' R2 U2
D' F U F' B' R U2
D2 F U F' R B' U2
D2 F U F' B' R U2
R' F U B' R2 U2 B
R' F U B' F' R2 U2
D' F U B' F' R U2
U' F U' L' F L' F
D2 F U B' F' R U2
U' F U' L2 F L' D
U' F U' L2 F L' D'
U' F U' L2 F L' D2
U' F U' L2 F D L'
U' F U' L2 F D' L'
U' F U' L2 F D2 L'
U' F U' F L2 F L
R2 F U F' R' B' U2
D F U F' R B' U2
D F U F' B' R U2
D F U B' F' R U2
B' D L2 R U B' U
B' D R L2 U B' U
B' D R U' D F U'
B' D R U' D' F U'
B' D R U' D2 F U'
B' D R U' F U' D
B' D R U' F U' D'
B' D R U' F U' D2
B' D R U' F D U'
B' D R U' F D' U'
B' D R U' F D2 U'
B' D R D U' F U'
B' D R D' U' F U'
B' D R D2 U' F U'
U' F D2 U B' U2 L
B D R U' F L2 U'
F' D F R B' U2 R
F' D F B' R U2 R
B2 D B R U' F U'
F' D B' F R U2 R
B' D' L2 R U B' U
B' D' R L2 U B' U
B' D' R U' D F U'
B' D' R U' D' F U'
B' D' R U' D2 F U'
B' D' R U' F U' D
B' D' R U' F U' D'
B' D' R U' F U' D2
B' D' R U' F D U'
B' D' R U' F D' U'
B' D' R U' F D2 U'
B' D' R D U' F U'
B' D' R D' U' F U'
B' D' R D2 U' F U'
R F' D F B' U2 R2
R F' D B' F U2 R2
R F' D' L2 U2 F B'
R F' D' L2 U2 B' F
R F' D' F L2 U2 F
R F' D' F B' L2 U2
R F' D' B' L2 U2 B'
R F' D' B' F L2 U2
R F' B' D F U2 R2
R F' B' D' L2 U2 B'
R F' B' D' F L2 U2
F' D' F L2 R U2 F
F' D' F R L2 U2 F
F' D' F R B' L2 U2
U' F2 L2 F' U' L F2
U' F2 L2 F' U' F2 L
F' D' F B' L2 R U2
F' D' F B' R L2 U2
U2 F2 L2 F L D R2
U2 F2 L2 F D L R2
U2 F2 L2 F D R2 L
B2 D' B R U' F U'
F' D' B' F L2 R U2
F' D' B' F R L2 U2
B' D2 L2 R U B' U
B' D2 R L2 U B' U
B' D2 R U' D F U'
B' D2 R U' D' F U'
B' D2 R U' D2 F U'
B' D2 R U' F U' D
B' D2 R U' F U' D'
B' D2 R U' F U' D2
B' D2 R U' F D U'
B' D2 R U' F D' U'
B' D2 R U' F D2 U'
B' D2 R D U' F U'
B' D2 R D' U' F U'
B' D2 R D2 U' F U'
B D2 R U' F U' F
F D2 U F' B' U2 L
F D2 U B' F' U2 L
B D2 U' F U' F L'
D2 B R B2 U' F U'
D' B R B2 U' F U'
L2 B R U B2 U F
L2 B R U2 D' R2 F
L2 B R U2 D' F R2
L2 B R U2 F D' R2
L2 B R D L2 B' U2
L2 B R D' U2 R2 F
L2 B R D' U2 F R2
B2 D2 B R U' F U'
D B R B2 U' F U'
R B L2 B2 U B U
R' B R2 B2 U' F U'
L2 B D L2 R B' U2
R B U' D F L2 U'
L2 B D L2 B' R U2
L2 B D R L2 B' U2
R B U' D2 F U' F
R B U' F U B2 U2
R B U' F U' D2 F2
R B U' F D L2 U'
R B U' F D2 U' F2
L2 B D' R U2 R F
U' B D2 F U' F L'
R B D U' F L2 U'
R B D2 U' F U' F
B2 F U F' B R U2
B2 F U B F' R U2
B F U F' R B2 U2
B F U F' B2 R U2
B F U B2 F' R U2
F B U F' R B2 U2
F B U F' B2 R U2
F B U B2 F' R U2
D2 B' L2 R U B' U
D' B' L2 R U B' U
R' B' L2 R2 U B' U
U' B' R U' R' F U'
U' B' R U' F R' U'
D2 B' R L2 U B' U
D' B' R L2 U B' U
D2 B' R U' D F U'
D2 B' R U' D' F U'
D2 B' R U' D2 F U'
D2 B' R U' F U' D
D2 B' R U' F U' D'
D2 B' R U' F U' D2
D2 B' R U' F D U'
D2 B' R U' F D' U'
D2 B' R U' F D2 U'
D' B' R U' D F U'
D' B' R U' D' F U'
D' B' R U' D2 F U'
D' B' R U' F U' D
D' B' R U' F U' D'
D' B' R U' F U' D2
D' B' R U' F D U'
D' B' R U' F D' U'
D' B' R U' F D2 U'
D2 B' R D U' F U'
D2 B' R D' U' F U'
D' B' R D U' F U'
D2 B' R D2 U' F U'
D B' L2 R U B' U
D' B' R D' U' F U'
R2 B' L2 U B' U L
D' B' R D2 U' F U'
R B' L' U B' U R'
R B' L' U' F U' R
D B' R L2 U B' U
D B' R U' D F U'
D B' R U' D' F U'
D B' R U' D2 F U'
D B' R U' F U' D
D B' R U' F U' D'
D B' R U' F U' D2
D B' R U' F D U'
D B' R U' F D' U'
D B' R U' F D2 U'
R B' L2 U D B' U
R B' L2 U D' B' U
R B' L2 U D2 B' U
R B' L2 U B' U D
R B' L2 U B' U D'
R B' L2 U B' U D2
R B' L2 U B' D U
R B' L2 U B' D' U
R B' L2 U B' D2 U
D B' R D U' F U'
D B' R D' U' F U'
R' B' R2 L2 U B' U
D B' R D2 U' F U'
R B' L2 D U B' U
R B' L2 D' U B' U
R' B' R2 U' D F U'
R' B' R2 U' D' F U'
R' B' R2 U' D2 F U'
R' B' R2 U' F U' D
R' B' R2 U' F U' D'
R' B' R2 U' F U' D2
R' B' R2 U' F D U'
R' B' R2 U' F D' U'
R' B' R2 U' F D2 U'
R B' L2 D2 U B' U
R' B' R2 D U' F U'
R' B' R2 D' U' F U'
R' B' R2 D2 U' F U'
R' B' U' D F B2 U'
R' B' U' D B2 F U'
R' B' U' D2 F U' L2
R' B' U' F U R2 U2
R' B' U' F U' D2 L2
R' B' U' F D B2 U'
R' B' U' F D2 U' L2
R B' U L2 B' L2 U
R2 B' U' D2 F U' L'
R2 B' U' F B' U' L
D2 B' D R U' F U'
D' B' D R U' F U'
R2 B' U' B' F U' L
R' B' D U' F B2 U'
R' B' D U' B2 F U'
R B' U B U2 F U'
R B' U B' U2 F U'
R B' U B2 U2 F U'
R B' U' R F R' U'
R B' U' R2 F R2 U'
D2 B' D' R U' F U'
R B' U' D F U' D
R B' U' D F U' D'
R B' U' D F U' D2
R B' U' D F D U'
R B' U' D F D' U'
R B' U' D F D2 U'
R B' U' D' F U' D
R B' U' D' F U' D'
R B' U' D' F U' D2
R B' U' D' F D U'
R B' U' D' F D' U'
R B' U' D' F D2 U'
D' B' D' R U' F U'
R B' U' D2 F U' D
R B' U' D2 F U' D'
R B' U' D2 F U' D2
R B' U' D2 F D U'
R B' U' D2 F D' U'
R B' U' D2 F D2 U'
R B' U' F' U' D R2
R B' U' F' D U' R2
R B' U' F2 D F' U'
R B' U' F2 D' F' U'
R B' U' F2 D2 F' U'
D B' D R U' F U'
R B' U2 R U F U'
R B' U2 R' U F U'
R B' U2 R2 U F U'
D2 B' D2 R U' F U'
D' B' D2 R U' F U'
R' B' D2 U' F U' L2
R B' U2 F' D R2 F
R B' U2 F' D F R2
D B' D' R U' F U'
R B' D L2 U B' U
R B' D U' F U' D
R B' D U' F U' D'
R B' D U' F U' D2
R B' D U' F D U'
R B' D U' F D' U'
R B' D U' F D2 U'
D B' D2 R U' F U'
R2 B' D2 U' F U' L'
R B' D' L2 U B' U
R B' D' U' F U' D
R B' D' U' F U' D'
R B' D' U' F U' D2
R B' D' U' F D U'
R B' D' U' F D' U'
R B' D' U' F D2 U'
R B' D2 L2 U B' U
R B' D2 U' F U' D
R B' D2 U' F U' D'
R B' D2 U' F U' D2
R B' D2 U' F D U'
R B' D2 U' F D' U'
R B' D2 U' F D2 U'
B' F' D F R U2 R
F' B' D F R U2 R
B' F' D' F L2 R U2
B' F' D' F R L2 U2
F' B' D' F L2 R U2
F' B' D' F R L2 U2
R B' F' D F U2 R2
R B' F' D' L2 U2 B'
R B' F' D' F L2 U2
R B2 L D' B U2 R'
R' B2 R2 U' F U' F2
R' B2 R2 U2 F' D R2
R B2 L2 B U B2 U
R B2 L2 B U2 D' R2
R B2 L2 B D L2 U2
R B2 L2 B D' U2 R2
R B2 U' F U B U2
R B2 U2 R2 F' D R2
F B2 U F' B R U2
F B2 U B F' R U2
R B2 U2 F' D R2 F'
R B2 D B U' F U'
R B2 D' B U' F U'
R B2 D2 B U' F U'
