L2 R D2 F' R B'
L2 R D2 F' B' R
L2 R D2 B' F' R
L2 R F' B R' B2
L2 R B F' R' B2
B2 L2 R F' B' R'
B2 L2 R B' F' R'
B2 L2 R B' F' R'
R L2 D2 F' R B'
B L2 R F' R2 B'
R L2 D2 F' B' R
B L2 R F' B' R2
R L2 D2 B' F' R
B L2 R B' F' R2
F2 L2 R2 B R' F'
B L2 R' B' D2 F2
B2 L2 R2 B' R' F'
R L2 F' B R' B2
L2 R2 B R' F' B2
L2 R2 B R' B2 F'
R2 L2 B R' F' B2
R2 L2 B R' B2 F'
R L2 B F' R' B2
B' L2 F2 R F' B'
B' L2 F2 R B' F'
B' L2 F2 B' R F'
B2 L2 B' R F' R2
B' L2 B' F2 R F'
B2 R L2 F' B' R'
B2 R L2 B' F' R'
B R L2 F' R2 B'
B R L2 F' B' R2
B R L2 B' F' R2
B R' L2 B' D2 F2
F R' B U2 L2 R'
F R' B U2 R' L2
B R' B2 L2 F B'
B R' B2 L2 B' F
F2 R2 L2 B R' F'
B2 R2 L2 B' R' F'
D2 R2 F L' U2 F
F2 R2 B L2 R' F'
F2 R2 B R' L2 F'
F2 R2 B R' F' L2
D2 F L' R2 U2 F
D2 F R2 L' U2 F
R' F B U2 L2 R'
R' F B U2 R' L2
R2 B L2 R' F' B'
R2 B L2 R' B' F'
L2 B R F' R2 B2
L2 B R F' B2 R2
L2 B R B2 F' R2
R2 B R' L2 F' B'
R2 B R' L2 B' F'
R B L2 F' R' B'
R' B U2 L2 R' B'
R' B U2 R' L2 B'
R' B F U2 L2 R'
R' B F U2 R' L2
R' B2 L2 F B' R'
R' B2 L2 B' R' F
R' B2 L2 B' F R'
R2 B2 L2 B' R' F'
R B2 L2 F' B' R'
R B2 L2 B' F' R'
B L2 R' D2 B' D2 F2
B L2 R' F B' D2 F2
B L2 R' F' B' D2 F2
B2 L2 R' B' R' D2 F2
B2 L2 R' B' D2 R' F2
B2 L2 R' B' D2 F2 R'
B L2 R' F2 B' D2 F2
B L2 R' B' U2 B2 U2
B L2 R' B' D2 F2 D
B L2 R' B' D2 F2 D'
B L2 R' B' D2 F2 D2
B L2 R' B' F D2 F2
B L2 R' B' F' D2 F2
B L2 R' B' F2 D2 F2
L2 R2 F B R' F' B2
L2 R2 F B R' B2 F'
R2 L2 F B R' F' B2
R2 L2 F B R' B2 F'
B2 L2 R2 D B' R' F'
B2 L2 R2 D' B' R' F'
B2 L2 R2 D2 B' R' F'
F2 L2 R2 F B R' F'
B2 L2 R2 F B' R' F'
F2 L2 R2 F' B R' F'
R L2 F B R' F2 B2
R L2 F B R' B2 F2
U' L2 R2 B R' F' B2
U' L2 R2 B R' B2 F'
B2 L2 R2 F' B' R' F'
F2 L2 R2 F2 B R' F'
F2 L2 R2 B R' D F'
F2 L2 R2 B R' D' F'
F2 L2 R2 B R' D2 F'
F2 L2 R2 B R' F' D
F2 L2 R2 B R' F' D'
F2 L2 R2 B R' F' D2
F2 L2 R2 B D R' F'
B2 L2 R2 F2 B' R' F'
F2 L2 R2 B D' R' F'
F2 L2 R2 B D2 R' F'
F2 L2 R2 B F R' F'
F2 L2 R2 B F' R' F'
F2 L2 R2 B F2 R' F'
U2 L2 R2 B R' F' B2
U2 L2 R2 B R' B2 F'
B2 L2 R2 B' R' D F'
B2 L2 R2 B' R' D' F'
B2 L2 R2 B' R' D2 F'
B2 L2 R2 B' R' F' D
B2 L2 R2 B' R' F' D'
B2 L2 R2 B' R' F' D2
B2 L2 R2 B' D R' F'
B2 L2 R2 B' D' R' F'
B2 L2 R2 B' D2 R' F'
B2 L2 R2 B' F R' F'
B2 L2 R2 B' F' R' F'
B2 L2 R2 B' F2 R' F'
B L2 R2 B' R' F' R2
R L2 F' R B R' B2
R L2 F' R' B R' B2
U L2 R2 B R' F' B2
U L2 R2 B R' B2 F'
R L2 F' R2 B R' B2
L2 R2 F' B R' F' B2
L2 R2 F' B R' B2 F'
R2 L2 F' B R' F' B2
R2 L2 F' B R' B2 F'
R L2 F' B R B2 R2
R L2 F' B R' B2 D
R L2 F' B R' B2 D'
R L2 F' B R' B2 D2
R L2 F' B R2 B2 R
R L2 F' B' U2 L U2
L' R2 B L' R' F' B'
L' R2 B L' R' B' F'
L2 R2 F2 B R' F' B2
L2 R2 F2 B R' B2 F'
R2 L2 F2 B R' F' B2
R2 L2 F2 B R' B2 F'
R' L2 B R' B2 D2 F2
L' R2 B R' L' F' B'
L' R2 B R' L' B' F'
R L2 F2 B R' F B2
R L2 F2 B R' B2 F
L2 R2 B R' F' B2 D
L2 R2 B R' F' B2 D'
L2 R2 B R' F' B2 D2
L2 R2 B R' B2 D F'
L2 R2 B R' B2 D' F'
L2 R2 B R' B2 D2 F'
L2 R2 B R' B2 F' D
L2 R2 B R' B2 F' D'
L2 R2 B R' B2 F' D2
R2 L2 B R' F' B2 D
R2 L2 B R' F' B2 D'
R2 L2 B R' F' B2 D2
R2 L2 B R' B2 D F'
R2 L2 B R' B2 D' F'
R2 L2 B R' B2 D2 F'
R2 L2 B R' B2 F' D
R2 L2 B R' B2 F' D'
R2 L2 B R' B2 F' D2
L2 R2 B R2 B2 R F'
R2 L2 B R2 B2 R F'
L2 R2 B F R' F' B2
L2 R2 B F R' B2 F'
L2 R2 B F' R' F' B2
L2 R2 B F' R' B2 F'
R2 L2 B F R' F' B2
R2 L2 B F R' B2 F'
L2 R2 B F2 R' F' B2
L2 R2 B F2 R' B2 F'
R2 L2 B F' R' F' B2
R2 L2 B F' R' B2 F'
R2 L2 B F2 R' F' B2
R2 L2 B F2 R' B2 F'
R' L2 B' U2 L B2 U2
R L2 B F R' F2 B2
R L2 B F R' B2 F2
R' L2 B' U2 B2 U2 R'
R L2 B F' R B2 R2
R L2 B F' R' B2 D
R L2 B F' R' B2 D'
R L2 B F' R' B2 D2
R L2 B F' R2 B2 R
R L2 B F2 R' F B2
R L2 B F2 R' B2 F
L2 R2 B' U2 L U2 F
R2 L2 B' U2 L U2 F
L' R2 B2 L' B' R' F'
R L2 B' U2 L U2 F'
R L2 B' F' U2 L U2
B2 L2 F R F' B' R'
B2 L2 F R B' F' R'
B2 L2 F R2 B' R' F'
B L2 F R F' R2 B'
B L2 F R F' B' R2
B L2 F R B' F' R2
B L2 F R' B' D2 F2
F L2 F R2 B R' F'
B2 L2 F B' R F' R2
B' L2 F' R F' R B'
B' L2 F' R F' B' R
B' L2 F' R B' F' R
F' L2 F' R2 B R' F'
B2 L2 F' R F' B' R'
B2 L2 F' R B' F' R'
B2 L2 F' R2 B' R' F'
B L2 F' R F' R2 B'
B L2 F' R F' B' R2
B L2 F' R B' F' R2
R U L2 D2 F' R B'
R U L2 D2 F' B' R
R U L2 D2 B' F' R
B L2 F' R' B' D2 F2
R U L2 F' B R' B2
B' L2 F' B' R F' R
R U L2 B F' R' B2
B2 L2 F' B' R F' R2
B' L2 F2 R D F' B'
B' L2 F2 R D B' F'
B' L2 F2 R D' F' B'
B' L2 F2 R D' B' F'
B' L2 F2 R D2 F' B'
B' L2 F2 R D2 B' F'
B' L2 F2 R F' D B'
B' L2 F2 R F' D' B'
B' L2 F2 R F' D2 B'
B' L2 F2 R F' B' D
B' L2 F2 R F' B' D'
B' L2 F2 R F' B' D2
B' L2 F2 R B' D F'
B' L2 F2 R B' D' F'
B' L2 F2 R B' D2 F'
B' L2 F2 R B' F' D
B' L2 F2 R B' F' D'
B' L2 F2 R B' F' D2
B2 L2 F2 R F' B' R'
B2 L2 F2 R B' F' R'
B2 L2 F2 R2 B' R' F'
B L2 F2 R F' R2 B'
B L2 F2 R F' B' R2
B L2 F2 R B' F' R2
B L2 F2 R' B' D2 F2
B' L2 F2 B R F' B2
B' L2 F2 B R B2 F'
B' L2 F2 B' R D F'
B' L2 F2 B' R D' F'
B' L2 F2 B' R D2 F'
B' L2 F2 B' R F' D
B' L2 F2 B' R F' D'
B' L2 F2 B' R F' D2
B2 L2 F2 B' R F' R2
F' L2 B R F' R2 B
U' L2 B R F' R2 B2
U' L2 B R F' B2 R2
U' L2 B R B2 F' R2
B2 L2 B R F' B2 R'
U2 L2 B R F' R2 B2
U2 L2 B R F' B2 R2
B2 L2 B R B2 F' R'
U2 L2 B R B2 F' R2
B2 L2 B R2 B2 R' F'
U L2 B R F' R2 B2
U L2 B R F' B2 R2
B' L2 B F2 R F' B2
B' L2 B F2 R B2 F'
U L2 B R B2 F' R2
B' L2 B' R F2 R F
B2 L2 B' R F R2 F2
B2 L2 B' R F' R2 D
B2 L2 B' R F' R2 D'
B2 L2 B' R F' R2 D2
B2 L2 B' R F2 R2 F
B2 L2 B' R' U2 B U2
B L2 B' R D2 F' R
B' L2 B' F' R F' R
B' L2 B' F2 R D F'
B' L2 B' F2 R D' F'
B' L2 B' F2 R D2 F'
B' L2 B' F2 R F' D
B' L2 B' F2 R F' D'
B' L2 B' F2 R F' D2
B2 L2 B' F R F' R2
B2 L2 B' F' R F' R2
B2 L2 B' F2 R F' R2
B' R L U2 L F' B'
B' R L U2 L B' F'
B' R L U2 F' L B'
B2 R L F' L B' R'
B R L F' L R2 B'
B R L F' L B' R2
B R L F' R2 L B'
R' U F B U2 L2 R'
R' U F B U2 R' L2
F' R L2 D2 F' R B2
F' R L2 D2 F' B2 R
F' R L2 D2 B2 F' R
U' R L2 D2 F' R B'
U' R L2 D2 F' B' R
U' R L2 D2 B' F' R
B2 R L2 D F' B' R'
B2 R L2 D B' F' R'
F' R L2 F' R2 B R'
B2 R L2 D' F' B' R'
B2 R L2 D' B' F' R'
U' R L2 F' B R' B2
B' R L2 F2 R F B'
B' R L2 F2 R B' F
B2 R L2 D2 F' B' R'
B2 R L2 D2 B' F' R'
F2 R L2 D2 F' R B
B' R L2 F2 B' R F
U2 R L2 D2 F' R B'
U2 R L2 D2 F' B' R
U2 R L2 D2 B' F' R
B2 R L2 F B' R' F2
B2 R L2 F' R B' R'
B2 R L2 F' R' B' R'
B2 R L2 F' R2 B' R'
U' R L2 B F' R' B2
B2 R L2 F' D B' R'
F2 R L2 F' R B R'
B2 R L2 F' D' B' R'
B2 R L2 F' D2 B' R'
B2 R L2 F' B' R' D
B2 R L2 F' B' R' D'
B2 R L2 F' B' R' D2
B2 R L2 F' B' D R'
B2 R L2 F' B' D' R'
B2 R L2 F' B' D2 R'
B' R L2 B' F2 R F
U2 R L2 F' B R' B2
B2 R L2 F2 B' R' F
B R L2 F R2 F2 B'
B R L2 F R2 B' F2
B R L2 F B' R2 F2
B2 R L2 B' D F' R'
U2 R L2 B F' R' B2
B2 R L2 B' D' F' R'
B2 R L2 B' D2 F' R'
B R L2 F' R B' R
B2 R L2 B' F R' F2
B2 R L2 B' F' R' D
B2 R L2 B' F' R' D'
B2 R L2 B' F' R' D2
B2 R L2 B' F' D R'
B2 R L2 B' F' D' R'
B2 R L2 B' F' D2 R'
B R L2 F' R2 D B'
B2 R L2 B' F2 R' F
B R L2 F' R2 D' B'
B R L2 F' R2 D2 B'
B R L2 F' R2 B' D
B R L2 F' R2 B' D'
B R L2 F' R2 B' D2
B R L2 F' B R2 B2
B R L2 F' B' R2 D
B R L2 F' B' R2 D'
B R L2 F' B' R2 D2
B R L2 F2 R2 F B'
B R L2 F2 R2 B' F
B R L2 F2 B' R2 F
B R L2 B F' R2 B2
U R L2 D2 F' R B'
U R L2 D2 F' B' R
U R L2 D2 B' F' R
B R L2 B' F R2 F2
B R L2 B' F' R2 D
B R L2 B' F' R2 D'
B R L2 B' F' R2 D2
B R L2 B' F2 R2 F
U R L2 F' B R' B2
U R L2 B F' R' B2
B R U L2 F' R2 B'
B R U L2 F' B' R2
B R U L2 B' F' R2
B R U' L2 F' R2 B'
B R U' L2 F' B' R2
B R U' L2 B' F' R2
R' U B U2 L2 R' B'
R' U B U2 R' L2 B'
R' U B F U2 L2 R'
R' U B F U2 R' L2
R U B L2 F' R' B'
B R U2 L2 F' R2 B'
B R U2 L2 F' B' R2
B R U2 L2 B' F' R2
F R U2 L2 D2 F' R
R' U B2 L2 F B' R'
R' U B2 L2 B' R' F
R' U B2 L2 B' F R'
R U B2 L2 F' B' R'
R U B2 L2 B' F' R'
D2 R F L' U2 F L'
B' R F L U2 L F2
B' R F L U2 F2 L
B' R F U2 L2 F2 R
B R F U2 L2 R2 F2
B R F U2 L2 F2 R2
B R F U2 R2 L2 F2
B R F U2 R2 F2 L2
B R F U2 F2 L2 R2
B R F U2 F2 R2 L2
F' R F' L2 R2 B R'
F' R F' R2 L2 B R'
F2 R F' L2 R B R'
F' R F' R2 B L2 R'
F' R F' R2 B R' L2
F2 R F' R L2 B R'
F2 R F' R B L2 R'
F2 R F' R B R' L2
B R F' L2 R2 D2 B2
B R F' R2 L2 D2 B2
R U' L2 D2 F' R B'
R U' L2 D2 F' B' R
R U' L2 D2 B' F' R
F R F' L2 B R' B2
R U' L2 F' B R' B2
R U' L2 B F' R' B2
F R F' B L2 R' B'
F R F' B R' L2 B'
F R F' B2 L2 B' R'
B R F2 R2 F L2 B
B R F2 R2 F B L2
B R F2 R2 B F L2
U' R B L2 F' R' B'
U2 R B L2 F' R' B'
B R B L2 F' R2 B'
B R B L2 F' B' R2
B R B L2 B' F' R2
U R B L2 F' R' B'
B' R B' L2 F' B' R'
B' R B' L2 B' F' R'
F R B U2 L2 F' R'
F R B U2 F' L2 R'
F R B U2 F' R' L2
B2 R B' L2 F' R' B'
F R B F' L2 R' B'
F R B F' R' L2 B'
B R B' L2 F' R2 B'
B R B' L2 F' B' R2
B R B' L2 B' F' R2
F R B' L U2 L F'
F R B' L U2 F' L
B' R B2 L2 F' R' B'
U' R B2 L2 F' B' R'
U' R B2 L2 B' F' R'
U2 R B2 L2 F' B' R'
U2 R B2 L2 B' F' R'
B R B2 L2 F' R2 B'
B R B2 L2 F' B' R2
B R B2 L2 B' F' R2
U R B2 L2 F' B' R'
U R B2 L2 B' F' R'
F R B2 F' L2 B' R'
R' U' F B U2 L2 R'
R' U' F B U2 R' L2
F R' L' B U2 L' R'
F R' L' B U2 R' L'
B' R' L2 B' D2 F2 R
B R' L2 U2 B U2 B2
B R' L2 D B' D2 F2
B R' L2 D' B' D2 F2
B2 R' L2 B' R' D2 F2
B2 R' L2 B' D2 R' F2
B2 R' L2 B' D2 F2 R'
B R' L2 D2 B' D2 F2
B R' L2 F B' D2 F2
B R' L2 F' B' D2 F2
B R' L2 F2 B' D2 F2
B R' L2 B' U2 B2 U2
B R' L2 B' D2 F2 D
B R' L2 B' D2 F2 D'
B R' L2 B' D2 F2 D2
B R' L2 B' F D2 F2
B R' L2 B' F' D2 F2
B R' L2 B' F2 D2 F2
R' U' B U2 L2 R' B'
R' U' B U2 R' L2 B'
R' U' B F U2 L2 R'
R' U' B F U2 R' L2
R U' B L2 F' R' B'
B R' U2 F B U2 L2
B R' U2 B U2 L2 B'
B R' U2 B F U2 L2
R' U' B2 L2 F B' R'
R' U' B2 L2 B' R' F
R' U' B2 L2 B' F R'
R U' B2 L2 F' B' R'
R U' B2 L2 B' F' R'
L' U2 L' R F' B R'
L' U2 L' R B F' R'
D2 R' F L' R' U2 F
D2 R' F R' L' U2 F
F R' D2 R2 U2 F' R
U' R' F B U2 L2 R'
U' R' F B U2 R' L2
B2 R' F B L U2 L
U2 R' F B U2 L2 R'
U2 R' F B U2 R' L2
L' U2 R L' F' B R'
L' U2 R L' B F' R'
U R' F B U2 L2 R'
U R' F B U2 R' L2
R U2 L2 D2 F' R B'
R U2 L2 D2 F' B' R
R U2 L2 D2 B' F' R
R U2 L2 F' B R' B2
L' U2 R B L' F' R'
R U2 L2 B F' R' B2
F' R' F2 B U2 L2 R'
F' R' F2 B U2 R' L2
B2 R' B L U2 L B'
U' R' B U2 L2 R' B'
U' R' B U2 R' L2 B'
F2 R' B R' B L2 F
F2 R' B U2 L2 R' B
F2 R' B U2 R' L2 B
F2 R' B U2 R' B L2
U' R' B F U2 L2 R'
U' R' B F U2 R' L2
F R' B L U2 L R'
F R' B L U2 R' L
U2 R' B U2 L2 R' B'
U2 R' B U2 R' L2 B'
F' R' B F2 U2 L2 R'
F' R' B F2 U2 R' L2
F R' B L' U2 L' R'
F R' B L' U2 R' L'
B2 R' B F L U2 L
F R' B R U2 L2 R2
F R' B R U2 R2 L2
U2 R' B F U2 L2 R'
U2 R' B F U2 R' L2
F R' B R2 U2 L2 R
F R' B R2 U2 R L2
F R' B U2 L2 R' D
F R' B U2 L2 R' D'
F R' B U2 L2 R' D2
F R' B U2 L2 D R'
F R' B U2 L2 D' R'
F R' B U2 L2 D2 R'
F R' B U2 R' L2 D
F R' B U2 R' L2 D'
F R' B U2 R' L2 D2
U R' B U2 L2 R' B'
U R' B U2 R' L2 B'
F R' B D2 R2 U2 R
B R' B' L2 D2 F2 B'
B R' B' L2 D2 B' F2
U R' B F U2 L2 R'
U R' B F U2 R' L2
F R' B' L B2 R' U2
B' R' B2 L2 R' F B'
B' R' B2 L2 R' B' F
U' R' B2 L2 F B' R'
B' R' B2 L2 F R' B'
U' R' B2 L2 B' R' F
U' R' B2 L2 B' F R'
B' R' B2 R' L2 F B'
B' R' B2 R' L2 B' F
U2 R' B2 L2 F B' R'
U2 R' B2 L2 B' R' F
U2 R' B2 L2 B' F R'
B R' B2 L2 D F B'
B R' B2 L2 D B' F
B R' B2 L2 D' F B'
B R' B2 L2 D' B' F
B R' B2 L2 D2 F B'
B R' B2 L2 D2 B' F
B R' B2 L2 F D B'
B R' B2 L2 F D' B'
B R' B2 L2 F D2 B'
B R' B2 L2 F B' D
B R' B2 L2 F B' D'
B R' B2 L2 F B' D2
B R' B2 L2 B' D F
B R' B2 L2 B' D' F
B R' B2 L2 B' D2 F
B R' B2 L2 B' F D
B R' B2 L2 B' F D'
B R' B2 L2 B' F D2
B' R2 L U2 L F B'
B' R2 L U2 L B' F
U R' B2 L2 F B' R'
U R' B2 L2 B' R' F
U R' B2 L2 B' F R'
F R' B2 U2 L2 F R
R' U2 F B U2 L2 R'
R' U2 F B U2 R' L2
F2 R2 L' B L' R' F'
F2 R2 L' B R' L' F'
B2 R2 L2 D B' R' F'
B2 R2 L2 D' B' R' F'
B2 R2 L2 D2 B' R' F'
U' R2 L2 B R' F' B2
U' R2 L2 B R' B2 F'
B2 R2 L2 F B' R' F'
F2 R2 L2 F B R' F'
B2 R2 L2 F' B' R' F'
F2 R2 L2 F' B R' F'
B2 R2 L2 F2 B' R' F'
F2 R2 L2 F2 B R' F'
F2 R2 L2 B R' D F'
F2 R2 L2 B R' D' F'
F2 R2 L2 B R' D2 F'
F2 R2 L2 B R' F' D
F2 R2 L2 B R' F' D'
F2 R2 L2 B R' F' D2
B2 R2 L2 B' R' D F'
B2 R2 L2 B' R' D' F'
B2 R2 L2 B' R' D2 F'
B2 R2 L2 B' R' F' D
B2 R2 L2 B' R' F' D'
B2 R2 L2 B' R' F' D2
F2 R2 L2 B D R' F'
F2 R2 L2 B D' R' F'
B2 R2 L2 B' D R' F'
F2 R2 L2 B D2 R' F'
B2 R2 L2 B' D' R' F'
F2 R2 L2 B F R' F'
