L R D L2 F B
L R D L2 B F
L' R D F L2 B
L' R D F B L2
L' R D B F L2
R L D L2 F B
R L D L2 B F
L' R F D L2 B
L' R F D B L2
R L' D F L2 B
R L' D F B L2
R L' D B F L2
R L' F D L2 B
R L' F D B L2
D L2 D R F' B
D L2 D R B F'
D2 R D' L2 F' B
D2 R D' L2 B F'
D2 R D' F' L2 B
D2 R D' F' B L2
D2 R D' B L2 F'
D2 R D' B F' L2
D2 R B D' L2 F'
D2 R B D' F' L2
L' D R F L2 B
L' D R F B L2
L' D R B F L2
L D L2 R F B
L D L2 R B F
L D R L2 F B
L D R L2 B F
D2 L2 R B D' L2 F'
D2 L2 R B D' F' L2
L' R2 F R' D L2 B
L' R2 F R' D B L2
R L2 B U B L U'
D L2 D R D F' B
D L2 D R D B F'
D L2 D R D' F' B
D L2 D R D' B F'
D L2 D R D2 F' B
D L2 D R D2 B F'
D L2 D R F' D B
D L2 D R F' D' B
D L2 D R F' D2 B
D L2 D R F' B D
D L2 D R F' B D'
D L2 D R F' B D2
D L2 D R B D F'
D L2 D R B D' F'
D L2 D R B D2 F'
D L2 D R B F' D
D L2 D R B F' D'
D L2 D R B F' D2
D L2 D B R F' B
D L2 D B R B F'
D L2 D B' R F' B
D L2 D B' R B F'
D L2 D B2 R F' B
D L2 D B2 R B F'
R U L' B2 U' F B'
R U L' B2 U' B' F
D L2 B D R F' B
D L2 B D R B F'
D L2 B' D R F' B
D L2 B' D R B F'
D L2 B2 D R F' B
D L2 B2 D R B F'
D2 R L D' L2 F' B
D2 R L D' L2 B F'
D2 R L D' F' L2 B
D2 R L D' F' B L2
D2 R L D' B L2 F'
D2 R L D' B F' L2
U2 R L D L2 F B'
U2 R L D L2 B' F
D2 R L B D' L2 F'
D2 R L B D' F' L2
D2 R L' D' L2 F' B
D2 R L' D' L2 B F'
D2 R L' D' F' L2 B
D2 R L' D' F' B L2
D2 R L' D' B L2 F'
D2 R L' D' B F' L2
B' R L' D F L' B
B' R L' D F B L'
B' R L' D B F L'
U2 R L' D F B' L2
U2 R L' D B' F L2
D2 R L' B D' L2 F'
D2 R L' B D' F' L2
B' R L' B D F L'
D R L' D' L' F B
D R L' D' L' B F
U2 R L' F D B' L2
D R L' D' B L' F
B R L' D' F L' B
B R L' D' F B L'
B R L' D' B F L'
D2 R L2 D' L2 F' B
D2 R L2 D' L2 B F'
D2 R L2 D' F' L2 B
D2 R L2 D' F' B L2
D2 R L2 D' B L2 F'
D2 R L2 D' B F' L2
D R L' B D' L' F
B R L' B D' F L'
D2 R L2 B D' L2 F'
D2 R L2 B D' F' L2
D2 R U' F2 U F B
D2 R U' F2 U B F
D2 R D F' D2 L2 B
D2 R D F' D2 B L2
D2 R D F' B D2 L2
D' R D F2 L' F B
D' R D F2 L' B F
D' R D F2 B L' F
D2 R D B D2 L2 F'
D2 R D B D2 F' L2
D2 R D B F' D2 L2
D' R D B F2 L' F
D2 R D' L F' L B
L' U B2 U' R F B
L' U B2 U' R B F
D2 R D' L' B L' F'
D2 R D' L2 D F' B
D2 R D' L2 D B F'
D2 R D' L2 D' F' B
D2 R D' L2 D' B F'
D2 R D' L2 D2 F' B
D2 R D' L2 D2 B F'
D2 R D' L2 F' D B
D2 R D' L2 F' D' B
D2 R D' L2 F' D2 B
D2 R D' L2 F' B D
D2 R D' L2 F' B D'
D2 R D' L2 F' B D2
D2 R D' L2 B D F'
D2 R D' L2 B D' F'
D2 R D' L2 B D2 F'
D2 R D' L2 B F' D
D2 R D' L2 B F' D'
D2 R D' L2 B F' D2
D2 R D' F L2 F2 B
D2 R D' F L2 B F2
D2 R D' F B L2 F2
D2 R D' F' L' B L'
D2 R D' F' L2 D B
D2 R D' F' L2 D' B
D2 R D' F' L2 D2 B
D2 R D' F' L2 B D
D2 R D' F' L2 B D'
D2 R D' F' L2 B D2
D2 R D' F' B L2 D
D2 R D' F' B L2 D'
D2 R D' F' B L2 D2
D2 R D' F' B' L2 B2
D2 R D' B L F' L
D2 R D' B L2 D F'
D2 R D' B L2 D' F'
D2 R D' B L2 D2 F'
D2 R D' B L2 F' D
D2 R D' B L2 F' D'
D2 R D' B L2 F' D2
D2 R D' B F L2 F2
D2 R D' B F' L2 D
D2 R D' B F' L2 D'
D2 R D' B F' L2 D2
D2 R D' B' L2 F' B2
D2 R D' B' L2 B2 F'
D2 R D' B' F' L2 B2
D2 R D2 F' D L2 B
D2 R D2 F' D B L2
D2 R F' U' F' U B
D2 R F' B U' F' U
D' R F2 D L' F B
D' R F2 D L' B F
D' R F2 D B L' F
D2 R B L D' L2 F'
D2 R B L D' F' L2
B' R B L D L2 F
D2 R B L' D' L2 F'
D2 R B L' D' F' L2
B' R B L' D F L2
D2 R B L2 D' L2 F'
D2 R B L2 D' F' L2
B' R B L' F D L2
B2 R B L' D F L'
D2 R B U' F2 U F
D R B L' D' L' F
D2 R B D F' D2 L2
B R B L' D' F L'
D2 R B D' L F' L
D2 R B D' L2 D F'
D2 R B D' L2 D' F'
D2 R B D' L2 D2 F'
D2 R B D' L2 F' D
D2 R B D' L2 F' D'
D2 R B D' L2 F' D2
D2 R B D' F L2 F2
D2 R B D' F' L2 D
D2 R B D' F' L2 D'
D2 R B D' F' L2 D2
D2 R B D2 F' D L2
D2 R B F' U' F' U
D2 R B2 D' F' B' L2
D2 R B2 D' B' L2 F'
D2 R B2 D' B' F' L2
B2 R' L' U' R2 F B
B2 R' L' U' R2 B F
B2 R2 L' U' R' F B
B2 R2 L' U' R' B F
B2 R2 L' U' F R' B
L2 D L R F L B
L' D L2 R B D2 F2
L D L' R B L' F
R D L' D' L' F B
R D L' D' L' B F
R D L' D' B L' F
L2 D L2 D2 R F' B
L2 D L2 D2 R B F'
R D L' B D' L' F
L D L2 R D F B
L D L2 R D B F
L D L2 R D' F B
L D L2 R D' B F
L D L2 R D2 F B
L D L2 R D2 B F
L' D R L2 B D2 F2
L D L2 R F D B
L D L2 R F D' B
L D L2 R F D2 B
L D L2 R F B D
L D L2 R F B D'
L D L2 R F B D2
L D L2 R B D F
L D L2 R B D' F
L D L2 R B D2 F
L D L2 R B F D
L D L2 R B F D'
L D L2 R B F D2
L D L2 R2 F R' B
L2 D R L F L B
L D L2 D R F B
L D L2 D R B F
L D L2 D' R F B
L D L2 D' R B F
L' D R F L' B L'
L' D R F L2 D B
L' D R F L2 D' B
L' D R F L2 D2 B
L' D R F L2 B D
L' D R F L2 B D'
L' D R F L2 B D2
L' D R F B L2 D
L' D R F B L2 D'
L' D R F B L2 D2
L' D R F B' L2 B2
L D L2 D2 R F B
L D L2 D2 R B F
L' D R F' L2 F2 B
L' D R F' L2 B F2
L' D R F' B L2 F2
L' D R F2 L2 F' B
L' D R F2 L2 B F'
L' D R F2 B L2 F'
L' D R B F L2 D
L' D R B F L2 D'
L' D R B F L2 D2
L' D R B F' L2 F2
L' D R B F2 L2 F'
L' D R B' F L2 B2
L D L2 B R F B
L D L2 B R B F
L D L2 B' R F B
L D L2 B' R B F
L D L2 B2 R F B
L D L2 B2 R B F
L D R L' B L' F
L D R L2 D F B
L D R L2 D B F
L D R L2 D' F B
L D R L2 D' B F
L D R L2 D2 F B
L D R L2 D2 B F
L2 D R B L F L
L D R L2 F D B
L D R L2 F D' B
L D R L2 F D2 B
L D R L2 F B D
L D R L2 F B D'
L D R L2 F B D2
L D R L2 B D F
L D R L2 B D' F
L D R L2 B D2 F
L D R L2 B F D
L D R L2 B F D'
L D R L2 B F D2
L D R F L2 F B
L D R F L2 B F
L D R F' L2 F B
L D R F' L2 B F
L D R F2 L2 F B
L D R F2 L2 B F
L D R B L2 D2 F2
L' D R2 F L2 R' B
L' D R2 F R' L2 B
L' D R2 F R' B L2
L D R2 L2 F R' B
L D F' L2 F R B
L' D B R F L2 B
L' D B R F B L2
L' D B R B F L2
L' D B' R F L2 B
L' D B' R F B L2
L' D B' R B F L2
R D B L' D' L' F
L' D B2 R F L2 B
L' D B2 R F B L2
L' D B2 R B F L2
L D B' R B L2 F
L' D' R F2 L' F' B
L' D' R F2 L' B F'
L' D' R F2 B L' F'
L' D' R B F2 L' F'
L D' R B D2 F2 L'
L' D' R2 U2 R' F B
L' D' R2 U2 R' B F
L' D' R2 U2 F R' B
L2 D' R2 U2 R' F' B
L2 D' R2 U2 R' B F'
L D' B' R2 U2 R' B
L' D2 R D' F L2 B
L' D2 R D' F B L2
L' D2 R D' B F L2
L' D2 R B D' F L2
L D2 R D' L2 F B
L D2 R D' L2 B F
B2 U2 L' U R F B'
B2 U2 L' U R B' F
B2 U2 L' U B' R F
R F L D L2 F B
R F L D L2 B F
R F L' D F L2 B
R F L' D F B L2
R F L' D B F L2
R F L' F D L2 B
R F L' F D B L2
R F' L D L2 F B
R F' L D L2 B F
R F' L' D F L2 B
R F' L' D F B L2
R F' L' D B F L2
R F' L' F D L2 B
R F' L' F D B L2
L F' D L2 F R B
R F2 L D L2 F B
R F2 L D L2 B F
R F2 L' D F L2 B
R F2 L' D F B L2
R F2 L' D B F L2
R F2 L' F D L2 B
R F2 L' F D B L2
B' D2 R F' B D L2
B' D2 R B D L2 F'
B' D2 R B D F' L2
B' D2 R B F' D L2
B2 D2 R' U' R2 F' B
B2 D2 R' U' R2 B F'
D2 B R D' L2 F' B
D2 B R D' L2 B F'
D2 B R D' F' L2 B
D2 B R D' F' B L2
D2 B R D' B L2 F'
D2 B R D' B F' L2
D' B R D' F2 L' B
D' B R D' F2 B L'
D' B R D' B F2 L'
L' B R D' F L' B
L' B R D' F B L'
L' B R D' B F L'
R B L' U B U' F
D2 B R B D' L2 F'
D2 B R B D' F' L2
D B L2 D R F' B
D B L2 D R B F'
D' B R B D' F2 L'
L' B R B D' F L'
R B L' F U B U'
R B L2 U B L U'
R B U L' B U' F
R B U B L' U' F
D2 B' R D' L2 F' B
D2 B' R D' L2 B F'
D2 B' R D' F' L2 B
D2 B' R D' F' B L2
D2 B' R D' B L2 F'
D2 B' R D' B F' L2
D2 B' R B D' L2 F'
D2 B' R B D' F' L2
L' B' R F B D L2
D B' L2 D R F' B
D B' L2 D R B F'
L' B' R B D F L2
L' B' R B F D L2
R B' L' B2 D F L'
L B' R B D L2 F
L B' U' B' R' U' R2
R' B2 L' U' R2 F B
R' B2 L' U' R2 B F
U2 B2 L' U' R F B'
U2 B2 L' U' R B' F
U2 B2 L' U' B' R F
D2 B2 R D' L2 F' B
D2 B2 R D' L2 B F'
D2 B2 R D' F' L2 B
D2 B2 R D' F' B L2
D2 B2 R D' B L2 F'
D2 B2 R D' B F' L2
U B2 L' U' R F B
U B2 L' U' R B F
D2 B2 R B D' L2 F'
D2 B2 R B D' F' L2
D B2 L2 D R F' B
D B2 L2 D R B F'
L' B2 R' U' R2 F B
L' B2 R' U' R2 B F
L' B2 R2 U' R' F B
L' B2 R2 U' R' B F
L' B2 R2 U' F R' B
L B2 R2 U' F' R' B
U B2 U' D2 R F' B
U B2 U' D2 R B F'
U B2 D2 U' R F' B
U B2 D2 U' R B F'
