U2 L' U' B' U' B'
B2 U2 L' U' B' U'
L2 B2 R' U' F' U
L2 B' R2 D B' R' L
F2 B' R F2 B' D L2
F2 B' R B' F2 D L2
R2 B' D B' L D2 R2
R B' D B L2 B2 R'
L B' D2 R2 D B' L
L2 B2 L R' U' F' U
L2 B2 L' R' U' F' U
L2 B2 L2 R' U' F' U
L2 B2 R U B U' R2
L2 B2 R' L U' F' U
L2 B2 R' L' U' F' U
L2 B2 R' L2 U' F' U
L2 B2 R' U' D F' U
L2 B2 R' U' D' F' U
L2 B2 R' U' D2 F' U
L2 B2 R' U' F' U D
L2 B2 R' U' F' U D'
L2 B2 R' U' F' U D2
L2 B2 R' U' F' D U
L2 B2 R' U' F' D' U
L2 B2 R' U' F' D2 U
L2 B2 R' D U' F' U
L2 B2 R' D' U' F' U
L2 B2 R' D2 U' F' U
L2 B2 R' F D' L2 F'
L2 B2 R' F D' F' L2
B' F2 R F2 B' D L2
B' F2 R B' F2 D L2
B2 F2 R U B U' F2
F2 B2 R U B U' F2
B2 F2 R F2 U B U'
F2 B2 R F2 U B U'
L2 B2 U F' U' L' R'
L2 B2 U F' U' R' L'
R' B2 U2 L' U F' U
R B2 U F2 B' U' R
R B2 U B' U L' U2
R B2 U B' F2 U' R
L2 B2 D R' U' F' U
L2 B2 D' R' U' F' U
B F2 U' B L R F2
B F2 U' B R L F2
B F2 U' B R F2 L
L2 B2 D2 R' U' F' U
L2 B2 F' R' F D' L2
