B' L R' U L2 U2
B' L R' U' D2 R2
B' L R' D F2 U'
B' L R' D2 U' R2
B' L D R' F2 U'
B' L D F2 R' U'
B' L D2 R' U' R'
B' R' L U L2 U2
B' R' L U' D2 R2
B' R' L D F2 U'
B' R' L D2 U' R2
B' R' F2 L U' R
F2 B' L R' U' R2
F2 B' R' L U' R2
B' F2 L R' U' R2
B' F2 R' L U' R2
B' R' L U2 D' B2 U
B' R' L D F2 U' D
B' R' L D F2 U' D'
B' R' L D F2 U' D2
B' R' L D F2 D U'
B' R' L D F2 D' U'
B' R' L D F2 D2 U'
B' R' L D' U2 B2 U
B' R' L D2 U' R2 D
B' R' L D2 U' R2 D'
B' R' L D2 U' R2 D2
B' R' L D2 F U' R2
B' R' L D2 F' U' R2
B' R' L D2 F2 U' R2
B' R' L F U L2 U2
B' R' L F U' D2 R2
B' R' L F D F2 U'
B' R' L F D2 U' R2
B' R' L F' U L2 U2
B' R' L F' U' D2 R2
B' R' L F' D F2 U'
B' R' L F' D2 U' R2
B' R' L F2 U L2 U2
B' R' L F2 U' D2 R2
B' R' L F2 D F2 U'
B' R' L F2 D2 U' R2
B R' L D2 F2 U R2
B' R' U L' U' L2 U'
B' R' U L' U2 D F2
B' R' U L' D U2 F2
B' R' U L' D' B2 U2
B' R' D L U L2 U2
B' R' D L U' D2 R2
B' R' D L D F2 U'
B' R' D L D2 U' R2
B' R' D F2 L U' R
B' R' D' L U L2 U2
B' R' D' L U' D2 R2
B' R' D' L D F2 U'
B' R' D' L D2 U' R2
B' R' D' F2 L U' R
B' R' D2 L U L2 U2
B' R' D2 L U' D2 R2
B' R' D2 L D F2 U'
B' R' D2 L D2 U' R2
B' R' D2 F2 L U' R
B' R' F L F U' R
B R' D2 F2 L U R
B' R' F' L F' U' R
B' R' F2 L U' R D
B' R' F2 L U' R D'
B' R' F2 L U' R D2
B' R' F2 L U' D R
B' R' F2 L U' D' R
B' R' F2 L U' D2 R
B' R' F2 L D U' R
B' R' F2 L D' U' R
B' R' F2 L D2 U' R
B' R' F2 D L U' R
B' R' F2 D' L U' R
B' R' F2 D2 L U' R
F2 R' B' L R' U' R'
F2 R' B' R' L U' R'
B' R2 L D R F2 U'
B' R2 L D2 R U' R
B' U L' U' L2 R' U'
B' U L' U' R' L2 U'
F2 U2 B' L U' R B
B' D L R' U L2 U2
B' D L R' U' D2 R2
B' D L R' D F2 U'
B' D L R' D2 U' R2
B' D L D R' F2 U'
B' D L D F2 R' U'
B' D L D2 R' U' R'
B' D R' L U L2 U2
B' D R' L U' D2 R2
B' D R' L D F2 U'
B' D R' L D2 U' R2
B' D R' F2 L U' R
B' D F2 L R' U' R2
B' D F2 R' L U' R2
B' D' L R' U L2 U2
B' D' L R' U' D2 R2
B' D' L R' D F2 U'
B' D' L R' D2 U' R2
B' D' L D R' F2 U'
B' D' L D F2 R' U'
B' D' L D2 R' U' R'
B' D' R' L U L2 U2
B' D' R' L U' D2 R2
B' D' R' L D F2 U'
B' D' R' L D2 U' R2
B' D' R' F2 L U' R
B' D' F2 L R' U' R2
B' D' F2 R' L U' R2
F2 D' B' R' U' R2 F'
B' D2 L R' U L2 U2
B' D2 L R' U' D2 R2
B' D2 L R' D F2 U'
B' D2 L R' D2 U' R2
B' D2 L D R' F2 U'
B' D2 L D F2 R' U'
B' D2 L D2 R' U' R'
B' D2 R' L U L2 U2
B' D2 R' L U' D2 R2
B' D2 R' L D F2 U'
B' D2 R' L D2 U' R2
B' D2 R' F2 L U' R
R' F2 B' L R' U' R2
R' F2 B' R' L U' R2
D' F2 B' R' U' R2 F'
B D2 R' F2 L U R
R2 F2 B' L R' U' R2
R2 F2 B' R' L U' R2
R F2 B' L R' U' R2
R F2 B' R' L U' R2
B' D2 F2 L R' U' R2
B' D2 F2 R' L U' R2
B D2 F2 L R' U R2
B D2 F2 R' L U R2
B' F L R' F U' R
B' F L F R' U' R2
B' F R' L F U' R
B' F R' F L U' R
U' B' L U L2 U2 B'
U' B' L U F L2 U2
R' B' L R' U L2 U2
R' B' L R' U' D2 R2
R' B' L R' D F2 U'
R' B' L R' D2 U' R2
R' B' L D R' F2 U'
R' B' L D F2 R' U'
R' B' L D2 R' U' R'
R2 B' L R' U L2 U2
R2 B' L R' U' D2 R2
R2 B' L R' D F2 U'
R2 B' L R' D2 U' R2
R2 B' L D R' F2 U'
R2 B' L D F2 R' U'
R2 B' L D2 R' U' R'
R B' L R' U L2 U2
R B' L R' U' D2 R2
R B' L R' D F2 U'
R B' L R' D2 U' R2
R B' L D R' F2 U'
R B' L D F2 R' U'
R B' L D2 R' U' R'
R' B' R' L U L2 U2
R' B' R' L U' D2 R2
R' B' R' L D F2 U'
R' B' R' L D2 U' R2
D' B' R' U L' B U2
D' B' R' U B L' U2
R' B' R' F2 L U' R
B' F' L R' F' U' R
R2 B' R' L U L2 U2
F' B' L R' F' U' R
R2 B' R' L U' D2 R2
R2 B' R' L D F2 U'
R2 B' R' L D2 U' R2
B' F' L F' R' U' R2
F2 B' L R' U' R2 D
F2 B' L R' U' R2 D'
F2 B' L R' U' R2 D2
F2 B' L R' D' F2 U'
F2 B' L R' F U' R2
F2 B' L R' F' U' R2
D B' R' U L' U2 F
F2 B' L R' F2 U' R2
F2 B' L U' R D B2
F' B' L F' R' U' R2
F2 B' L D R' U' R2
F2 B' L D' R' U' R2
R2 B' R' F2 L U' R
F2 B' L D2 R' U' R2
R B' R' L U L2 U2
R B' R' L U' D2 R2
R B' R' L D F2 U'
R B' R' L D2 U' R2
F B' L R' F U' R
L' B' U' L R' B' U'
R B' R' F2 L U' R
L' B' U' R' L B' U'
F B' L F R' U' R2
B' F' R' L F' U' R
F' B' R' L F' U' R
B' F' R' F' L U' R
F2 B' R' L U' R2 D
F2 B' R' L U' R2 D'
F2 B' R' L U' R2 D2
F2 B' R' L D' F2 U'
F2 B' R' L F U' R2
F2 B' R' L F' U' R2
F2 B' R' L F2 U' R2
F' B' R' F' L U' R
F2 B' R' D' L F2 U'
F2 B' R' D' F2 L U'
F2 B' R' F L U' R2
F2 B' R' F' L U' R2
F2 B' R' F2 L U' R2
F B' R' L F U' R
F B' R' F L U' R
R' B' F2 L R' U' R2
R' B' F2 R' L U' R2
D' B' F2 R' U' R2 F'
F2 B' D L R' U' R2
F2 B' D R' L U' R2
R2 B' F2 L R' U' R2
R2 B' F2 R' L U' R2
F2 B' D' L R' U' R2
F2 B' D' R' L U' R2
R B' F2 L R' U' R2
F2 B' D2 L R' U' R2
R B' F2 R' L U' R2
B' F2 L R' U' R2 D
B' F2 L R' U' R2 D'
B' F2 L R' U' R2 D2
B' F2 L R' D' F2 U'
B' F2 L R' F U' R2
B' F2 L R' F' U' R2
B' F2 L R' F2 U' R2
F2 B' D2 R' L U' R2
B' F2 L U' R D B2
B' F2 L D R' U' R2
B' F2 L D' R' U' R2
B' F2 L D2 R' U' R2
B' F2 R' L U' R2 D
B' F2 R' L U' R2 D'
B' F2 R' L U' R2 D2
B' F2 R' L D' F2 U'
B' F2 R' L F U' R2
B' F2 R' L F' U' R2
B' F2 R' L F2 U' R2
B' F2 R' D' L F2 U'
B' F2 R' D' F2 L U'
B' F2 R' F L U' R2
B' F2 R' F' L U' R2
B' F2 R' F2 L U' R2
B' F2 D L R' U' R2
B' F2 D R' L U' R2
B' F2 D' L R' U' R2
B' F2 D' R' L U' R2
B' F2 D2 L R' U' R2
B' F2 D2 R' L U' R2
