B' L R' B' L U
B2 L B R' B2 U
B2 L B' U2 L U'
B' R' L B' L U
U2 R' F' L' F U'
L2 U2 R' F' L' U'
B' R' B' L B' U
U2 F' L' R' F U'
U2 F' L' F R' U'
U2 F' R' L' F U'
B' D' R' U B R'
L B' D' R' U B
L B2 L B R' U
B' R' L B' D2 L U
B2 R' L B R' B2 U
B2 R' L B' U2 L U'
U2 R' L' F U2 R U
U2 R' L' F' L' F2 U'
U R' L' F U' L F2
U R' L' F U' F2 L
B' R' U D' R' B R'
B' R' U D' B R' B
U2 R' U' R' D F' R
U2 R' U' D R' F' R
U2 R' D U' R' F' R
U2 R' D F' L' U' R
B' R' D' U R' B R'
B' R' D' U B R' B
B' R' D' B U R' B
L2 U2 L R' F' L' U'
L2 U2 L' R' F' L' U'
L2 U2 L2 R' F' L' U'
U2 R' F' L' D F U'
U2 R' F' L' D' F U'
U2 R' F' L' D2 F U'
U2 R' F' L' F U' D
U2 R' F' L' F U' D'
U2 R' F' L' F U' D2
U2 R' F' L' F D U'
U2 R' F' L' F D' U'
U2 R' F' L' F D2 U'
U2 R' F2 L' F L' U'
R2 U2 R F' L' F U'
L2 U2 R' L F' L' U'
L2 U2 R' L' F' L' U'
L2 U2 R' L2 F' L' U'
L' U2 R' F U2 R U
L' U2 R' F' L' F2 U'
L2 U2 R' D F' L' U'
L2 U2 R' D' F' L' U'
L2 U2 R' D2 F' L' U'
L2 U2 R' F' L' U' D
L2 U2 R' F' L' U' D'
L2 U2 R' F' L' U' D2
L2 U2 R' F' L' D U'
L2 U2 R' F' L' D' U'
L2 U2 R' F' L' D2 U'
L2 U2 R' F' D L' U'
L2 U2 R' F' D' L' U'
L2 U2 R' F' D2 L' U'
L U2 R' U2 B' R' U
B' R' B' L D B' U
B' R' B' L D' B' U
B' R' B' L D2 B' U
B' R' B' L B' U D
B' R' B' L B' U D'
B' R' B' L B' U D2
B' R' B' L B' D U
B' R' B' L B' D' U
B' R' B' L B' D2 U
R U2 R2 F' L' F U'
L2 U2 D R' F' L' U'
L2 U2 D' R' F' L' U'
B' R2 L B' L R U
B' R2 L B' R L U
L2 U2 D2 R' F' L' U'
B2 R2 L B R' B2 U
B2 R2 L B' U2 L U'
R2 U2 D2 R F' L' U'
L' U2 F R' U' D' F2
L' U2 F R' U2 R2 U
L' U2 F R' D' U' F2
L' U2 F R' D2 L2 U'
L' U2 F' L' R' F2 U'
L' U2 F' L' F2 R' U'
L' U2 F' R' L' F2 U'
L2 U2 F' L' R' F' U'
L2 U2 F' R' L' F' U'
R2 U2 F' L' F R U'
R U2 F' L' R2 F U'
R U2 F' L' F R2 U'
R U2 F' R2 L' F U'
U2 R2 D2 R F' L' U'
U2 R2 F' L' F R U'
B' R2 B' L R B' U
B' R2 B' L B' R U
B' R2 B' R L B' U
R D U R' F' R B2
R D U R' F' B2 R
R D U R' B2 F' R
R D U B2 R' F' R
L2 D U2 R' F' L' U'
U2 D R' U' R' F' R
U2 D R' F' L' U' R
L D B' D' R' U B
L D B2 L B R' U
U2 D F' L' R' U' R2
U2 D F' R' L' U' R2
L2 D' U2 R' F' L' U'
L D' B' D' R' U B
L D' B2 L B R' U
R D2 L2 B' R' B U
D2 U2 R F' L' R2 U'
D2 U2 R F' R2 L' U'
U2 D2 R F' L' R2 U'
U2 D2 R F' R2 L' U'
D U2 R' U' R' F' R
D U2 R' F' L' U' R
L2 D2 U2 R' F' L' U'
R2 D2 U2 R F' L' U'
B U2 L' F L2 R U'
B U2 L' F R L2 U'
D U2 F' L' R' U' R2
D U2 F' R' L' U' R2
R D2 B' L2 R' B U
R D2 B' R' L2 B U
R D2 B' R' B L2 U
L D2 B' D' R' U B
L D2 B2 L B R' U
L' F R2 B L R U'
L' F R2 B R L U'
U2 F' L' R F R2 U'
U2 F' L' R' D F U'
U2 F' L' R' D' F U'
U2 F' L' R' D2 F U'
U2 F' L' R' F U' D
U2 F' L' R' F U' D'
U2 F' L' R' F U' D2
U2 F' L' R' F D U'
U2 F' L' R' F D' U'
U2 F' L' R' F D2 U'
U2 F' L' D R' F U'
U2 F' L' D F R' U'
U2 F' L' D' R' F U'
U2 F' L' D' F R' U'
U2 F' L' D2 R' F U'
U2 F' L' D2 F R' U'
U2 F' L' F R' U' D
U2 F' L' F R' U' D'
U2 F' L' F R' U' D2
U2 F' L' F R' D U'
U2 F' L' F R' D' U'
U2 F' L' F R' D2 U'
U2 F' L' F D R' U'
U2 F' L' F D' R' U'
U2 F' L' F D2 R' U'
U2 F' L' F' R' F2 U'
U2 F' R L' F R2 U'
U2 F' R' L' D F U'
U2 F' R' L' D' F U'
U2 F' R' L' D2 F U'
U2 F' R' L' F U' D
U2 F' R' L' F U' D'
U2 F' R' L' F U' D2
U2 F' R' L' F D U'
U2 F' R' L' F D' U'
U2 F' R' L' F D2 U'
B' D' L R' U B R'
B' D' L' R' U B R'
B' D' L2 R' U B R'
B' D' R' L U B R'
B' D' R' L' U B R'
B' D' R' L2 U B R'
B' D' R' U B R' D
B' D' R' U B R' D'
B' D' R' U B R' D2
B' D' R' U B D R'
B' D' R' U B D' R'
B' D' R' U B D2 R'
B' D' R' B' U B2 R'
U2 F2 L' R' F L' U'
U2 F2 L' F L' R' U'
U2 F2 L' F R' L' U'
U2 F2 R' L' F L' U'
B' D' B U R' F' B
B' D' B U R' B F'
U2 F2 R' F L' F U'
L' B U2 F L R U'
L' B U2 F R L U'
L2 B' L' R' B' L U
L' B' L2 R' B' L U
L B' L D' R' U B
L B' L' D' R' U B
L' B' R' L2 B' L U
L B' L2 D' R' U B
D2 B' R' B U2 R' U'
D2 B' R' B' L B2 U
L2 B' R' L' B' L U
L B' R' D L U B'
L B' R' B' L B U
R B' R' B2 L B' U
L B' D L R' U B'
L B' D R' L U B'
L B' D' L R' U B
L B' D' L' R' U B
L B' D' L2 R' U B
L B' D' R' L U B
L B' D' R' L' U B
L B' D' R' L2 U B
L B' D' R' U D B
L B' D' R' U D' B
L B' D' R' U D2 B
L B' D' R' U B D
L B' D' R' U B D'
L B' D' R' U B D2
L B' D' R' D U B
L B' D' R' D' U B
L B' D' R' D2 U B
U B' D' R' F' B R'
U B' D' R' B F' R'
U B' D' B R' F' B
U B' D' B R' B F'
R B' D2 L2 R' B U
R B' D2 R' L2 B U
R B' D2 R' B L2 U
D2 B2 L R' B R' U
D2 B2 L B R' B U
L B2 L B R' U D
L B2 L B R' U D'
L B2 L B R' U D2
L B2 L B R' D U
L B2 L B R' D' U
L B2 L B R' D2 U
L B2 L B D R' U
L B2 L B D' R' U
L B2 L B D2 R' U
D2 B2 R' L B R' U
L B2 L' B L2 R' U
L B2 L' B R' L2 U
L B2 L2 B L' R' U
L B2 L2 B R' L' U
U' B2 U L B' R' U
U B2 U' L B' R' U
