F' R D L2 F2 B
F' R D L2 B F2
F' R D F2 L2 B
F' R D F2 B L2
F' R D B L2 F2
F' R D B F2 L2
F' D L2 R F2 B
F' D L2 R B F2
F' D R L2 F2 B
F' D R L2 B F2
F' D R F2 L2 B
F' D R F2 B L2
F' D R B L2 F2
F' D R B F2 L2
F D F2 L2 R B
F D F2 R L2 B
F D F2 R B L2
F D2 F2 R2 U R' B
D2 B D' R' F2 L2 B'
B2 F' L2 R' U' R2 B
B2 F' L2 R2 U' R' B
B' F' R B D L2 F2
B' F' R B D F2 L2
F' B' R B D L2 F2
F' B' R B D F2 L2
B2 F' R' L2 U' R2 B
D2 B' D' L2 F2 R B
B2 F' R2 L2 U' R' B
R' B2 L2 U F' U2 R
L2 B2 R U' D2 B R'
L2 B2 R D2 U' B R'
L2 B2 R F' U' B R
F' B2 L2 R' U' R2 B
F' B2 L2 R2 U' R' B
R B2 L2 U F L' U2
L2 B2 R' U F' U2 R
F' B2 R' L2 U' R2 B
F' B2 R2 L2 U' R' B
L2 B2 D R F' U' B
L2 B2 D2 R U' B R'
L2 B2 F' R' U' R2 B
L2 B2 F' R2 U' R' B
