U L U2 F' B U
U L U2 B F' U
R2 L F' B U' B'
R2 L B F' U' B'
L R2 F' B U' B'
L R2 B F' U' B'
R2 U L F' B U'
R2 U L B F' U'
R2 U F' L B U'
L U' F' B U F
L U' B F' U F
R2 F' L B U' B'
U' F' B2 R' B' U
B D2 F' R U B'
U' B D2 F' R U
B2 F' R' B' U B'
F' B2 R' B' U B'
U' B2 F' R' B' U
R2 L' U F' B L2 U'
R2 L' U B L2 F' U'
R2 L' U B F' L2 U'
U L B' U2 F' B2 U
U L B' U2 B2 F' U
U L B2 U2 F' B' U
U L B2 U2 B' F' U
R2 L' F' L2 B U' B'
F' L' D B U F2 B'
F' L' D B U B' F2
F' L' D2 B R2 U B'
L' R2 U L2 F' B U'
L' R2 U L2 B F' U'
R2 L2 U L' F' B U'
L2 R2 U L' F' B U'
R2 L2 U L' B F' U'
L2 R2 U L' B F' U'
L' R2 U F' L2 B U'
L' R2 U F' B L2 U'
L' R2 U B L2 F' U'
L' R2 U B F' L2 U'
L2 R2 U B L' F' U'
R2 L2 U B L' F' U'
F' L' B U D F2 B'
F' L' B U D B' F2
F' L' B U B' D F2
F' L' B D U F2 B'
F' L' B D U B' F2
F' L' B D2 R2 U B'
L R2 D F' B U' B'
L R2 D B F' U' B'
L R2 D' F' B U' B'
L R2 D' B F' U' B'
L R2 D2 F' B U' B'
L R2 D2 B F' U' B'
L' R2 F' L2 B U' B'
L R2 F' D B U' B'
L R2 F' D' B U' B'
L R2 F' D2 B U' B'
L R2 F' B R U' B'
L R2 F' B R' U' B'
L R2 F' B R2 U' B'
L R2 F' B U' D B'
L R2 F' B U' D' B'
L R2 F' B U' D2 B'
L R2 F' B U' B' D
L R2 F' B U' B' D'
L R2 F' B U' B' D2
L R2 F' B D U' B'
L R2 F' B D' U' B'
L R2 F' B D2 U' B'
L R2 B R U' B' R'
F L2 U' F2 B R U
F L2 U' B F2 R U
L R2 B D F' U' B'
L R2 B D' F' U' B'
L R2 B D2 F' U' B'
L R2 B F' R U' B'
L R2 B F' R' U' B'
L R2 B F' R2 U' B'
L R2 B F' U' D B'
L R2 B F' U' D' B'
L R2 B F' U' D2 B'
L R2 B F' U' B' D
L R2 B F' U' B' D'
L R2 B F' U' B' D2
L R2 B F' D U' B'
L R2 B F' D' U' B'
L R2 B F' D2 U' B'
R2 U L D F' B U'
R2 U L D B F' U'
R2 U L D' F' B U'
R2 U L D' B F' U'
R2 U L D2 F' B U'
R2 U L D2 B F' U'
R2 U L F' D B U'
R2 U L F' D' B U'
R2 U L F' D2 B U'
R2 U L F' B U' D
R2 U L F' B U' D'
R2 U L F' B U' D2
R2 U L F' B D U'
R2 U L F' B D' U'
R2 U L F' B D2 U'
R2 U L B D F' U'
R2 U L B D' F' U'
R2 U L B D2 F' U'
R2 U L B F' U' D
R2 U L B F' U' D'
R2 U L B F' U' D2
R2 U L B F' D U'
R2 U L B F' D' U'
R2 U L B F' D2 U'
L2 U L' U2 F' B U
L2 U L' U2 B F' U
R2 U L' F' L2 B U'
R2 U L' F' B L2 U'
R2 U L' B L2 F' U'
R2 U L' B F' L2 U'
L' U L2 U2 F' B U
L' U L2 U2 B F' U
R2 U L2 B L' F' U'
F L2 F2 B R U B'
F L2 B F2 R U B'
R2 U D L F' B U'
R2 U D L B F' U'
R2 U D F' L B U'
R2 U D' L F' B U'
R2 U D' L B F' U'
R2 U D' F' L B U'
R2 U D2 L F' B U'
R2 U D2 L B F' U'
R2 U D2 F' L B U'
R2 U F L F2 B U'
R2 U F L B F2 U'
R2 U F' L D B U'
R2 U F' L D' B U'
R2 U F' L D2 B U'
R2 U F' L B U' D
R2 U F' L B U' D'
R2 U F' L B U' D2
R2 U F' L B D U'
R2 U F' L B D' U'
R2 U F' L B D2 U'
R2 U F' L' B L2 U'
R2 U F' L2 B L' U'
R2 U F' D L B U'
R2 U F' D' L B U'
R2 U F' D2 L B U'
L' U' D F' B U F'
L' U' D B F' U F'
U' R B2 R' F' B U
U' R B2 R' B F' U
F' R B2 R' B U B
L U' D F' B U F
L U' D B F' U F
L U' D' F' B U F
L' U' D2 F' B R2 U
L U' D' B F' U F
L' U' D2 B F' R2 U
L U' D2 F' B U F
L U' D2 B F' U F
L' U' F' D B U F2
L' U' F' D2 B R2 U
L' U' F' B U D F2
L' U' F' B U2 L2 U'
L' U' F' B D U F2
L' U' F' B D2 R2 U
L U' F' R' U F R
L2 U' F' D2 B R' U
L U' F' D B U F
L U' F' D' B U F
L U' F' D2 B U F
L U' F' B R U F
L U' F' B R' U F
L U' F' B R2 U F
L U' F' B U D F
L U' F' B U D' F
L U' F' B U D2 F
L U' F' B U F D
L U' F' B U F D'
L U' F' B U F D2
L U' F' B D U F
L U' F' B D' U F
L U' F' B D2 U F
L2 U' F2 B R F U
L' U' B D F' U F'
L' U' B D2 F' R2 U
L' U' B F' U D F2
L' U' B F' U2 L2 U'
L' U' B F' D U F2
L' U' B F' D2 R2 U
L2 U' B F2 R F U
L U' B D F' U F
L U' B D' F' U F
L U' B D2 F' U F
L U' B F' R U F
L U' B F' R' U F
L U' B F' R2 U F
L U' B F' U D F
L U' B F' U D' F
L U' B F' U D2 F
L U' B F' U F D
L U' B F' U F D'
L U' B F' U F D2
L U' B F' D U F
L U' B F' D' U F
L U' B F' D2 U F
B2 R' D B' L2 U L'
B2 R' B' U D B' L
B2 R' B' D U B' L
D2 R2 L F' B U' B'
D' R2 L F' B U' B'
D2 R2 L B F' U' B'
D' R2 L B F' U' B'
D R2 L F' B U' B'
D R2 L B F' U' B'
U R2 L F' B R2 U'
U R2 L B F' R2 U'
D2 R2 U L F' B U'
D2 R2 U L B F' U'
D' R2 U L F' B U'
D' R2 U L B F' U'
D2 R2 U F' L B U'
D' R2 U F' L B U'
F' R2 U F' L U' L'
L U2 F' L2 B U B2
D R2 U L F' B U'
D R2 U L B F' U'
D R2 U F' L B U'
L U2 F' B L2 U B'
L U2 F' B U' F U2
U2 R2 U' L F' B U'
U2 R2 U' L B F' U'
U2 R2 U' F' L B U'
U' R2 U2 L F' B U'
U' R2 U2 L B F' U'
U' R2 U2 F' L B U'
L U2 B F' L2 U B'
L U2 B F' U' F U2
R2 D L F' B U' B'
R2 D L B F' U' B'
D' R2 F' L B U' B'
D2 R2 F' L B U' B'
D R2 F' L B U' B'
U R2 F' L B R2 U'
R2 D U L F' B U'
R2 D U L B F' U'
L D R2 F' B U' B'
L D R2 B F' U' B'
R2 D U F' L B U'
L' D U' F' B U F'
L' D U' B F' U F'
D' U L U2 F' B U
D' U L U2 B F' U
D2 U L U2 F' B U
D2 U L U2 B F' U
F' U L U2 B U L'
L D U' F' B U F
D U L U2 F' B U
D U L U2 B F' U
L D U' B F' U F
F U L U2 F2 B U
F U L U2 B F2 U
U D L U2 F' B U
U D L U2 B F' U
R2 D F' L B U' B'
L' D F' B U F' B'
L' D F' B U B' F'
L' D F2 U' F B U
L' D F2 U' B F U
L' D B F' U F' B'
L' D B F' U B' F'
U' D F' B2 R' B' U
R2 D' L F' B U' B'
R2 D' L B F' U' B'
U' D B D2 F' R U
B2 U F' R' B' U B'
U' D B2 F' R' B' U
U D' L U2 F' B U
U D' L U2 B F' U
R2 D' U L F' B U'
R2 D' U L B F' U'
L D' R2 F' B U' B'
R2 D' U F' L B U'
L D' R2 B F' U' B'
L D' U' F' B U F
L D' U' B F' U F
R2 D' F' L B U' B'
U' D' F' B2 R' B' U
D' U' F' B2 R' B' U
D2 U' F' B2 R' B' U
D U' F' B2 R' B' U
U' D' B D2 F' R U
D' U' B D2 F' R U
D2 U' B D2 F' R U
D U' B D2 F' R U
R2 D2 L F' B U' B'
R2 D2 L B F' U' B'
D' U' B2 F' R' B' U
U' D' B2 F' R' B' U
D2 U' B2 F' R' B' U
F2 U' F B2 R' B' U
B2 U' F' R' B' U B'
D U' B2 F' R' B' U
U D2 L U2 F' B U
U D2 L U2 B F' U
F U' F2 B2 R' B' U
R2 D2 U L F' B U'
R2 D2 U L B F' U'
F2 U' B2 R' F B' U
F2 U' B2 R' B' F U
L D2 R2 F' B U' B'
R2 D2 U F' L B U'
L' D2 U' F' B R2 U
L D2 R2 B F' U' B'
L' D2 U' B F' R2 U
F2 U' B2 F R' B' U
F' U2 L U2 B U B'
F U' B2 R' F2 B' U
F U' B2 R' B' F2 U
F U' B2 F2 R' B' U
L D2 U' F' B U F
L D2 U' B F' U F
U' D2 F' B2 R' B' U
L' D2 F' B R2 U B'
R2 D2 F' L B U' B'
U' D2 B D2 F' R U
L' D2 B F' R2 U B'
U' D2 B2 F' R' B' U
R2 F L F2 B U' B'
R2 F L B F2 U' B'
U F L U2 F2 B U
U F L U2 B F2 U
B2 U2 F' R' B' U B'
R2 F U L F2 B U'
R2 F U L B F2 U'
R2 F U F2 L B U'
L F U' F2 B U F2
L F U' B F2 U F2
U' F B2 R' F2 B' U
U' F B2 R' B' F2 U
R2 F' L D B U' B'
R2 F' L D' B U' B'
R2 F' L D2 B U' B'
R2 F' L B R U' B'
R2 F' L B R' U' B'
R2 F' L B R2 U' B'
R2 F' L B U' D B'
R2 F' L B U' D' B'
R2 F' L B U' D2 B'
R2 F' L B U' B' D
R2 F' L B U' B' D'
R2 F' L B U' B' D2
R2 F' L B D U' B'
R2 F' L B D' U' B'
R2 F' L B D2 U' B'
B2 D F' R' B' L2 U
U' F' R B2 R' B U
U' F' R' U2 L F U'
U' F' R2 U2 L F' U'
U' F' R2 U2 F' L U'
F' D B2 R' B' U B'
U' F' U2 L U2 B U
U' F' D B2 R' B' U
L' F' D B U F2 B'
L' F' D B U B' F2
R2 F' D L B U' B'
U' F' D' B2 R' B' U
R2 F' D' L B U' B'
U' F' D2 B2 R' B' U
L' F' D2 B R2 U B'
B D' R U F' B' L'
B D' R U B' F' L'
R2 F' D2 L B U' B'
U' F' B D' R U F'
L2 F' D2 B R' U B'
L' F' B U D F2 B'
L' F' B U D B' F2
L' F' B U B' D F2
L' F' B D U F2 B'
L' F' B D U B' F2
L' F' B D2 R2 U B'
U' F' B2 R B' R2 U
U' F' B2 R' D B' U
U' F' B2 R' D' B' U
U' F' B2 R' D2 B' U
U' F' B2 R' B' U D
U' F' B2 R' B' U D'
U' F' B2 R' B' U D2
U' F' B2 R' B' D U
U' F' B2 R' B' D' U
U' F' B2 R' B' D2 U
U' F' B2 R2 B' R U
D2 F' B2 R' B' U B'
D' F' B2 R' B' U B'
U' F' B2 D R' B' U
U' F' B2 D' R' B' U
U' F' B2 D2 R' B' U
D F' B2 R' B' U B'
B D' F' R U F' B'
B D' F' R U B' F'
F' D' B2 R' B' U B'
R2 F2 U F L B U'
L2 F2 U' B R F U
L F2 U' F B U F'
L F2 U' B F U F'
L2 F2 B R F U B'
U' F2 B2 R' F B' U
U' F2 B2 R' B' F U
B D2 F' R U D B'
B D2 F' R U D' B'
B D2 F' R U D2 B'
B D2 F' R U B' D
B D2 F' R U B' D'
B D2 F' R U B' D2
B D2 F' R D U B'
B D2 F' R D' U B'
B D2 F' R D2 U B'
B D2 F' D R U B'
B D2 F' D' R U B'
B D2 F' D2 R U B'
F' D2 B2 R' B' U B'
L' B D F' U F' B'
L' B D F' U B' F'
U' B D' R U F' L'
U' B D' F' R U F'
U' B D2 F' R U D
U' B D2 F' R U D'
U' B D2 F' R U D2
U' B D2 F' R D U
U' B D2 F' R D' U
U' B D2 F' R D2 U
U' B D2 F' D R U
U' B D2 F' D' R U
U' B D2 F' D2 R U
D2 B D2 F' R U B'
D' B D2 F' R U B'
L' B D2 F' R2 U B'
B2 F R' F2 B' U B'
B2 F R' B' F2 U B'
D B D2 F' R U B'
U' B F' D' R U F'
L' B F' U D F2 B'
L' B F' U D B' F2
L' B F' U B' D F2
L' B F' D U F2 B'
L' B F' D U B' F2
L' B F' D2 R2 U B'
F' B U B' U L U'
L2 B F2 R F U B'
F' B D' R U F' B'
F' B D' R U B' F'
B2 F' R B' R2 U B'
B2 F' R' D B' L2 U
B2 F' R' B' U D B'
B2 F' R' B' U D' B'
B2 F' R' B' U D2 B'
B2 F' R' B' U B' D
B2 F' R' B' U B' D'
B2 F' R' B' U B' D2
B2 F' R' B' D U B'
B2 F' R' B' D' U B'
B2 F' R' B' D2 U B'
L B' U2 F' B2 U B'
L B' U2 B2 F' U B'
B2 F' R2 B' R U B'
B F' U B' U L U'
B2 F' D R' B' L2 U
B F' D' R U F' B'
B F' D' R U B' F'
U' B2 R' D B' U L
F' B2 R B' R2 U B'
F' B2 R' D B' L2 U
R B2 R' F' B U B
U2 B2 U F' R' B' U
B2 F2 R' F B' U B'
F' B2 R' B' U D B'
F' B2 R' B' U D' B'
F' B2 R' B' U D2 B'
F' B2 R' B' U B' D
F' B2 R' B' U B' D'
F' B2 R' B' U B' D2
F' B2 R' B' D U B'
F' B2 R' B' D' U B'
R B2 R' B F' U B
F' B2 R' B' D2 U B'
F2 B2 R' F B' U B'
B2 F2 R' B' F U B'
F2 B2 R' B' F U B'
F' B2 R2 B' R U B'
U' B2 D F' R' B' U
F B2 R' F2 B' U B'
F B2 R' B' F2 U B'
U' B2 D' F' R' B' U
L B2 U2 F' B' U B'
U B2 U2 F' R' B' U
L B2 U2 B' F' U B'
U' B2 D2 F' R' B' U
U' B2 F R' F2 B' U
U' B2 F R' B' F2 U
F' B2 D R' B' L2 U
U' B2 F' R B' R2 U
U' B2 F' R' D B' U
U' B2 F' R' D' B' U
U' B2 F' R' D2 B' U
U' B2 F' R' B' U D
U' B2 F' R' B' U D'
U' B2 F' R' B' U D2
U' B2 F' R' B' D U
U' B2 F' R' B' D' U
U' B2 F' R' B' D2 U
U' B2 F' R2 B' R U
D2 B2 F' R' B' U B'
U' B2 F' D R' B' U
U' B2 F' D' R' B' U
U' B2 F' D2 R' B' U
D' B2 F' R' B' U B'
U' B2 F2 R' F B' U
U' B2 F2 R' B' F U
D B2 F' R' B' U B'
