D2 L' U' F' R2 B'
D2 L' U' F' B' R2
D2 L' U' B' F' R2
F L' U' F2 R B'
F L' U' F2 B' R
F L' U' B' F2 R
D L' F2 U' F B'
D L' F2 U' B' F
L U F L U2 F2
L' U' F2 R F B'
L' U' F2 R B' F
L' U' F2 B' R F
L U' F' D2 B2 R'
L' U' B' F2 R F
L' F2 U' R F B'
L' F2 U' R B' F
L' F2 U' B' R F
L' F2 R2 U' F R' B'
L' F2 U' R D F B'
L' F2 U' R D B' F
L' F2 U' R D' F B'
L' F2 U' R D' B' F
L' F2 U' R D2 F B'
L' F2 U' R D2 B' F
L' F2 U' R F D B'
L' F2 U' R F D' B'
L' F2 U' R F D2 B'
L' F2 U' R F B' D
L' F2 U' R F B' D'
L' F2 U' R F B' D2
L' F2 U' R B' D F
L' F2 U' R B' D' F
L' F2 U' R B' D2 F
L' F2 U' R B' F D
L' F2 U' R B' F D'
L' F2 U' R B' F D2
L' F2 U' R' F R2 B'
L' F2 U' R' F B' R2
L' F2 U' R' B' R2 F
L' F2 U' R' B' F R2
L' F2 U' R2 F R' B'
L' F2 U' D R F B'
L' F2 U' D R B' F
L' F2 U' D B' R F
L' F2 U' D' R F B'
L' F2 U' D' R B' F
L' F2 U' D' B' R F
L' F2 U' D2 R F B'
L' F2 U' D2 R B' F
L' F2 U' D2 B' R F
L' F2 U' B R F B2
L' F2 U' B R B2 F
L' F2 U' B' R D F
L' F2 U' B' R D' F
L' F2 U' B' R D2 F
L' F2 U' B' R F D
L' F2 U' B' R F D'
L' F2 U' B' R F D2
L' F2 U' B' R' F R2
L' F2 U' B' R2 F R'
L' F2 U' B' D R F
L' F2 U' B' D' R F
L' F2 U' B' D2 R F
L F2 U F' L U2 F2
D F2 U' F U R U'
L' F2 D U' R F B'
L' F2 D U' R B' F
D F2 U2 R U F B
D F2 U2 R U B F
L F2 U' F D2 B2 R'
L' F2 D U' B' R F
L' F2 D' U' R F B'
L' F2 D' U' R B' F
L' F2 D' U' B' R F
L' F2 D2 U' R F B'
L' F2 D2 U' R B' F
L' F2 D2 U' B' R F
L' F2 B' R D' F L'
U B L2 U L' U F'
L' B' F2 R D' F L'
L B2 D L2 F' R' B'
