R2 F' B' L' U'
R2 B' F' L' U'
R2 L F' L' B' U'
L R2 F' L' B' U'
D2 L2 F B R U
D2 L2 B F R U
F' R2 B' L' F' U'
R2 D F' B' L' U'
R2 D B' F' L' U'
R2 D' F' B' L' U'
R2 D' B' F' L' U'
R2 D2 F' B' L' U'
R2 D2 B' F' L' U'
R2 F' D B' L' U'
R2 F' D' B' L' U'
R2 F' D2 B' L' U'
R2 F' B L' B2 U'
R2 F' B' L' U' D
R2 F' B' L' U' D'
R2 F' B' L' U' D2
R2 F' B' L' D U'
R2 F' B' L' D' U'
R2 F' B' L' D2 U'
R2 F' B' D L' U'
R2 F' B' D' L' U'
R2 F' B' D2 L' U'
R2 F' B2 L' B U'
R2 B F' L' B2 U'
R2 B' L F' L' U'
R2 B' L' F' L' U'
R2 B' L2 F' L' U'
R B' R F' L' U'
R2 B' D F' L' U'
R2 B' D' F' L' U'
R2 B' D2 F' L' U'
R2 B' F' L' U' D
R2 B' F' L' U' D'
R2 B' F' L' U' D2
R2 B' F' L' D U'
R2 B' F' L' D' U'
R2 B' F' L' D2 U'
R2 B' F' D L' U'
R2 B' F' D' L' U'
R2 B' F' D2 L' U'
R2 B2 F' L' B U'
R2 D F' B2 L' B U'
R2 D B F' L' B2 U'
R2 D B' L F' L' U'
L D B U B L F
R2 D B' L' F' L' U'
F' U R2 B' L' F' U'
R2 D B' L2 F' L' U'
R2 D B' D F' L' U'
R2 D B' D' F' L' U'
R2 D B' D2 F' L' U'
R2 D B' F' L' U' D
R2 D B' F' L' U' D'
R2 D B' F' L' U' D2
R2 D B' F' L' D U'
R2 D B' F' L' D' U'
R2 D B' F' L' D2 U'
R2 D B' F' D L' U'
R2 D B' F' D' L' U'
R2 D B' F' D2 L' U'
B U D L F L B2
B U D B2 L F L
R2 D B2 F' L' B U'
R2 D' L F' L' B' U'
R' D' R' F' B' L' U'
R' D' R' B' F' L' U'
R2 D' F' D B' L' U'
R2 D' F' D' B' L' U'
R2 D' F' D2 B' L' U'
R2 D' F' B L' B2 U'
R2 D' F' B' L' U' D
R2 D' F' B' L' U' D'
R2 D' F' B' L' U' D2
R2 D' F' B' L' D U'
R2 D' F' B' L' D' U'
R2 D' F' B' L' D2 U'
R2 D' F' B' D L' U'
R2 D' F' B' D' L' U'
R2 D' F' B' D2 L' U'
R2 D' F' B2 L' B U'
R2 D' B F' L' B2 U'
R2 D' B' L F' L' U'
R2 D' B' L' F' L' U'
F' U' R2 B' L' F' U'
R2 D' B' L2 F' L' U'
R2 D' B' D F' L' U'
R2 D' B' D' F' L' U'
R2 D' B' D2 F' L' U'
R2 D' B' F' L' U' D
R2 D' B' F' L' U' D'
R2 D' B' F' L' U' D2
R2 D' B' F' L' D U'
R2 D' B' F' L' D' U'
R2 D' B' F' L' D2 U'
R2 D' B' F' D L' U'
R2 D' B' F' D' L' U'
R2 D' B' F' D2 L' U'
R2 D' B2 F' L' B U'
R2 D2 L F' L' B' U'
R' D2 R' F' B' L' U'
R' D2 R' B' F' L' U'
L2 D2 F L2 B R U
L2 D2 F B L2 R U
L2 D2 F B R L2 U
R2 D2 F' D B' L' U'
R2 D2 F' D' B' L' U'
R2 D2 F' D2 B' L' U'
R2 D2 F' B L' B2 U'
R2 D2 F' B' L' U' D
R2 D2 F' B' L' U' D'
R2 D2 F' B' L' U' D2
R2 D2 F' B' L' D U'
R2 D2 F' B' L' D' U'
R2 D2 F' B' L' D2 U'
R2 D2 F' B' D L' U'
R2 D2 F' B' D' L' U'
R2 D2 F' B' D2 L' U'
R2 D2 F' B2 L' B U'
L2 D2 B F L2 R U
L2 D2 B F R L2 U
R2 D2 B F' L' B2 U'
R2 D2 B' L F' L' U'
F' U2 R2 B' L' F' U'
R2 D2 B' L' F' L' U'
R2 D2 B' L2 F' L' U'
R2 D2 B' D F' L' U'
R2 D2 B' D' F' L' U'
R2 D2 B' D2 F' L' U'
R2 D2 B' F' L' U' D
R2 D2 B' F' L' U' D'
R2 D2 B' F' L' U' D2
R2 D2 B' F' L' D U'
R2 D2 B' F' L' D' U'
R2 D2 B' F' L' D2 U'
R2 D2 B' F' D L' U'
R2 D2 B' F' D' L' U'
R2 D2 B' F' D2 L' U'
B U2 R2 B L B U'
R2 D2 B2 F' L' B U'
R2 F L F2 L' B' U'
D2 F L2 B R F U
L2 F R U2 R F' U'
B U2 B L B R2 U'
B' D L U' B2 R' F'
B D L U L F B2
B D L U L B2 F
L2 F D2 L2 B R U
L2 F D2 B L2 R U
L2 F D2 B R L2 U
L2 F B R U2 R U'
L2 F B D R U B2
L2 F B D2 L2 R U
L2 F B D2 R L2 U
R2 F B' L F2 L' U'
R2 F B' L' F2 L' U'
R2 F B' L2 F2 L' U'
B D U L F L B2
B D U B2 L F L
R2 F' L' D' B' U' L
B D F R U L2 B2
B D F R U B2 L2
L F' L' R2 F' B' U'
L F' L' R2 B' F' U'
R' F' R' B' L' F' U'
R2 F' R' B' L' R U'
R2 F' R' B' R L' U'
R2 F' R2 B' L' R2 U'
R2 F' R2 B' R2 L' U'
L F' R2 L' F' B' U'
L F' R2 L' B' F' U'
R2 F' D B L' B2 U'
R2 F' D B' L' U' D
R2 F' D B' L' U' D'
R2 F' D B' L' U' D2
R2 F' D B' L' D U'
R2 F' D B' L' D' U'
R2 F' D B' L' D2 U'
R2 F' D B' D L' U'
R2 F' D B' D' L' U'
R2 F' D B' D2 L' U'
R2 F' D B2 L' B U'
R2 F' D' B L' B2 U'
R2 F' D' B' L' U' D
R2 F' D' B' L' U' D'
R2 F' D' B' L' U' D2
R2 F' D' B' L' D U'
R2 F' D' B' L' D' U'
R2 F' D' B' L' D2 U'
R2 F' D' B' D L' U'
R2 F' D' B' D' L' U'
R2 F' D' B' D2 L' U'
R2 F' D' B2 L' B U'
R2 F' D2 B L' B2 U'
R2 F' D2 B' L' U' D
R2 F' D2 B' L' U' D'
R2 F' D2 B' L' U' D2
R2 F' D2 B' L' D U'
R2 F' D2 B' L' D' U'
R2 F' D2 B' L' D2 U'
R2 F' D2 B' D L' U'
R2 F' D2 B' D' L' U'
R2 F' D2 B' D2 L' U'
R2 F' D2 B2 L' B U'
R2 F' B L B2 L2 U'
R2 F' B L' U' D L2
R2 F' B L' D U' L2
R2 F' B L' B2 U' D
R2 F' B L' B2 U' D'
R2 F' B L' B2 U' D2
R2 F' B L' B2 D U'
R2 F' B L' B2 D' U'
R2 F' B L' B2 D2 U'
R2 F' B D L' U' L'
R2 F' B' L U' D F2
R2 F' B' L D U' F2
R2 F' B' L2 D L U'
R2 F' B' L2 D' L U'
R2 F' B' L2 D2 L U'
R2 F' B' D L' U' D
R2 F' B' D L' U' D'
R2 F' B' D L' U' D2
R2 F' B' D L' D U'
R2 F' B' D L' D' U'
R2 F' B' D L' D2 U'
R2 F' B' D' L' U' D
R2 F' B' D' L' U' D'
R2 F' B' D' L' U' D2
R2 F' B' D' L' D U'
R2 F' B' D' L' D' U'
R2 F' B' D' L' D2 U'
R2 F' B' D2 L' U' D
R2 F' B' D2 L' U' D'
R2 F' B' D2 L' U' D2
R2 F' B' D2 L' D U'
R2 F' B' D2 L' D' U'
R2 F' B' D2 L' D2 U'
R2 F' B2 L B L2 U'
R2 F' B2 L' D B U'
R2 F' B2 L' D' B U'
R2 F' B2 L' D2 B U'
R2 F' B2 L' B U' D
R2 F' B2 L' B U' D'
R2 F' B2 L' B U' D2
R2 F' B2 L' B D U'
R2 F' B2 L' B D' U'
R2 F' B2 L' B D2 U'
R2 F' B2 D L' B U'
R2 F' B2 D B L' U'
R2 F' B2 D' L' B U'
R2 F' B2 D' B L' U'
R2 F' B2 D2 L' B U'
R2 F' B2 D2 B L' U'
B' D' F' L' U' R2 B
F2 D2 L2 F B R' U
F2 D2 L2 B R' F U
F2 D2 L2 B F R' U
B D2 L2 F R F U
F D2 L2 B R F U
R2 F2 D2 F B' L U'
R2 F2 D2 B' F L U'
R2 B L F' L' B2 U'
R2 B L F' B2 L' U'
R2 B L B2 F' L' U'
R2 B L' F' L' B2 U'
R2 B L' F' B2 L' U'
B D2 F R F L2 U
R2 B L' B2 F' L' U'
R2 B L2 F' L' B2 U'
R2 B L2 F' B2 L' U'
R2 B L2 B2 F' L' U'
R B R F' L' B2 U'
R B R F' B2 L' U'
R B R B2 F' L' U'
U2 B U2 L R2 B2 U'
U2 B U2 L B2 R2 U'
U2 B U2 R2 L B2 U'
L2 B D F R U B2
R2 B D F' L' U' L'
U2 B D2 L2 F2 R U
B F R U2 R B2 U'
B F R U2 B2 R U'
L2 B D2 F L2 R U
L2 B D2 F R L2 U
B F R D2 F2 L' U
B' F R2 U2 R' B2 U
F B R U2 R B2 U'
F B R U2 B2 R U'
F B R D2 F2 L' U
L2 B F R U2 R U'
L2 B F D R U B2
L2 B F D2 L2 R U
L2 B F D2 R L2 U
R2 B F' L B2 L2 U'
R2 B F' L' U' D L2
R2 B F' L' D U' L2
R2 B F' L' B2 U' D
R2 B F' L' B2 U' D'
R2 B F' L' B2 U' D2
R2 B F' L' B2 D U'
R2 B F' L' B2 D' U'
R2 B F' L' B2 D2 U'
R2 B F' D L' U' L'
F' B U2 L' R2 B2 U'
F' B U2 L' B2 R2 U'
F' B U2 R2 L' B2 U'
F' B U2 R2 B2 L' U'
R2 B' L D F' L' U'
R2 B' L D' F' L' U'
R2 B' L D2 F' L' U'
R2 B' L F' L' U' D
R2 B' L F' L' U' D'
R2 B' L F' L' U' D2
R2 B' L F' L' D U'
R2 B' L F' L' D' U'
R2 B' L F' L' D2 U'
R2 B' L F' D L' U'
R2 B' L F' D' L' U'
R2 B' L F' D2 L' U'
F' B U2 B2 L' R2 U'
F' B U2 B2 R2 L' U'
R B' L R F' L' U'
R2 B' L' D F' L' U'
B F U2 R2 B2 L U'
R2 B' L' D' F' L' U'
R2 B' L' D2 F' L' U'
R2 B' L' F' L' U' D
R2 B' L' F' L' U' D'
R2 B' L' F' L' U' D2
R2 B' L' F' L' D U'
R2 B' L' F' L' D' U'
R2 B' L' F' L' D2 U'
R2 B' L' F' D L' U'
R2 B' L' F' D' L' U'
R2 B' L' F' D2 L' U'
F B U2 R2 B2 L U'
B F D R U L2 B2
B F D R U B2 L2
R B' L' R F' L' U'
R2 B' L2 D F' L' U'
R2 B' L2 D' F' L' U'
R2 B' L2 D2 F' L' U'
R2 B' L2 F' L' U' D
R2 B' L2 F' L' U' D'
R2 B' L2 F' L' U' D2
R2 B' L2 F' L' D U'
R2 B' L2 F' L' D' U'
R2 B' L2 F' L' D2 U'
R2 B' L2 F' D L' U'
R2 B' L2 F' D' L' U'
R2 B' L2 F' D2 L' U'
F B D R U L2 B2
F B D R U B2 L2
R B' L2 R F' L' U'
F' B D2 F2 L2 R U
F' B D2 F2 R L2 U
B F D2 L2 R F2 U
B F D2 R L2 F2 U
B F D2 R F2 L2 U
R B' R L F' L' U'
R B' R L' F' L' U'
R B' R L2 F' L' U'
B' F' L' R2 U' D' R2
B' F' L' R2 U2 B2 U
B' F' L' R2 D' U' R2
B' F' L' R2 D2 F2 U'
F B D2 L2 R F2 U
R B' R D F' L' U'
U2 B' R2 U2 R B2 U
R B' R D' F' L' U'
F B D2 R L2 F2 U
U2 B' R2 U2 B2 R U
F B D2 R F2 L2 U
R B' R D2 F' L' U'
R B' R F' L' U' D
R B' R F' L' U' D'
R B' R F' L' U' D2
R B' R F' L' D U'
R B' R F' L' D' U'
R B' R F' L' D2 U'
F' B' L' R2 U' D' R2
R B' R F' D L' U'
F' B' L' R2 U2 B2 U
R B' R F' D' L' U'
R B' R F' D2 L' U'
F' B' L' R2 D' U' R2
U2 B' R2 D2 F2 L' U'
F' B' L' R2 D2 F2 U'
R2 B' U' R' D' F' R
U2 B' U2 R' B2 L U
B' F' R2 L' U' D' R2
B' F' R2 L' U2 B2 U
B' F' R2 L' D' U' R2
B' F' R2 L' D2 F2 U'
B' F' R2 D' L' U' R2
F' B' R2 L' U' D' R2
F' B' R2 L' U2 B2 U
F' B' R2 L' D' U' R2
F' B' R2 L' D2 F2 U'
B' F' R2 D2 L' F2 U'
R2 B' D L F' L' U'
R2 B' D L' F' L' U'
R2 B' D L2 F' L' U'
F' B' R2 D' L' U' R2
F' B' R2 D2 L' F2 U'
R2 B' D F' L' U' D
R2 B' D F' L' U' D'
R2 B' D F' L' U' D2
R2 B' D F' L' D U'
R2 B' D F' L' D' U'
R2 B' D F' L' D2 U'
R2 B' D F' D L' U'
R2 B' D F' D' L' U'
R2 B' D F' D2 L' U'
R2 B' D' L F' L' U'
R2 B' D' L' F' L' U'
R2 B' D' L2 F' L' U'
R2 B' D' F' L' U' D
R2 B' D' F' L' U' D'
R2 B' D' F' L' U' D2
R2 B' D' F' L' D U'
R2 B' D' F' L' D' U'
R2 B' D' F' L' D2 U'
R2 B' D' F' D L' U'
R2 B' D' F' D' L' U'
R2 B' D' F' D2 L' U'
F B' R2 U2 R' B2 U
R2 B' D2 L F' L' U'
R2 B' D2 L' F' L' U'
R2 B' D2 L2 F' L' U'
R2 B' D2 F' L' U' D
R2 B' D2 F' L' U' D'
R2 B' D2 F' L' U' D2
R2 B' D2 F' L' D U'
R2 B' D2 F' L' D' U'
R2 B' D2 F' L' D2 U'
R2 B' D2 F' D L' U'
R2 B' D2 F' D' L' U'
R2 B' D2 F' D2 L' U'
R2 B' F L F2 L' U'
R2 B' F L' F2 L' U'
R2 B' F L2 F2 L' U'
R2 B' F' L U' D F2
R2 B' F' L D U' F2
R2 B' F' L2 D L U'
R2 B' F' L2 D' L U'
R2 B' F' L2 D2 L U'
B F' U2 L' R2 B2 U'
B F' U2 L' B2 R2 U'
B F' U2 R2 L' B2 U'
R2 B' F' D L' U' D
R2 B' F' D L' U' D'
R2 B' F' D L' U' D2
R2 B' F' D L' D U'
R2 B' F' D L' D' U'
R2 B' F' D L' D2 U'
B F' U2 R2 B2 L' U'
R2 B' F' D' L' U' D
R2 B' F' D' L' U' D'
R2 B' F' D' L' U' D2
R2 B' F' D' L' D U'
R2 B' F' D' L' D' U'
R2 B' F' D' L' D2 U'
R2 B' F' D2 L' U' D
R2 B' F' D2 L' U' D'
R2 B' F' D2 L' U' D2
R2 B' F' D2 L' D U'
R2 B' F' D2 L' D' U'
R2 B' F' D2 L' D2 U'
B F' U2 B2 L' R2 U'
B F' U2 B2 R2 L' U'
B' F' D2 L' F2 R U'
F' B' D2 L' F2 R U'
R2 B2 L F' L' B U'
R2 B2 L F' B L' U'
R2 B2 L B F' L' U'
R2 B2 L' F' L' B U'
R2 B2 L' F' B L' U'
R2 B2 L' B F' L' U'
B F' D2 F2 L2 R U
B F' D2 F2 R L2 U
R2 B2 L2 F' L' B U'
R2 B2 L2 F' B L' U'
R2 B2 L2 B F' L' U'
R2 B2 D F' L' B U'
R2 B2 D F' B L' U'
R2 B2 D B F' L' U'
R2 B2 D' F' L' B U'
R2 B2 D' F' B L' U'
R2 B2 D' B F' L' U'
R2 B2 D2 F' L' B U'
R2 B2 D2 F' B L' U'
R2 B2 D2 B F' L' U'
R2 B2 F' L B L2 U'
R2 B2 F' L' D B U'
R2 B2 F' L' D' B U'
R2 B2 F' L' D2 B U'
R2 B2 F' L' B U' D
R2 B2 F' L' B U' D'
R2 B2 F' L' B U' D2
R2 B2 F' L' B D U'
R2 B2 F' L' B D' U'
R2 B2 F' L' B D2 U'
R2 B2 F' D L' B U'
R2 B2 F' D B L' U'
R2 B2 F' D' L' B U'
R2 B2 F' D' B L' U'
R2 B2 F' D2 L' B U'
R2 B2 F' D2 B L' U'
