U' L' D' R2 F U
U' L' D' R2 F U
U' L' D' F R2 U
U' L' D2 F U F
U' L' F U D2 F2
U' L' F U' B2 U2
U' L' F D' R2 U
U' L' F D2 U F2
L' D' R2 F U R2
L' D' F R2 U R2
L' F D' R2 U R2
D' B' L D' F2 B2
D' B' L D' B2 F2
U2 B2 U L' F U
U' L' D2 F U D' F
U' L' D2 F U D2 F
U' L' D2 F U F D
U' L' D2 F U F D'
U' L' D2 F U F D2
U' L' D2 F D U F
U' L' D2 F D' U F
U' L' D2 F D2 U F
U' L' F R U D2 F2
U' L' F R U' B2 U2
U' L' F R D' R2 U
U' L' F R D2 U F2
U' L' F R' U D2 F2
U' L' F R' U' B2 U2
U' L' F R' D' R2 U
U' L' F R' D2 U F2
U' L' F R2 U D2 F2
U' L' F R2 U' B2 U2
U' L' F R2 D' R2 U
U' L' F R2 D2 U F2
U' L' F U D2 F2 D
U' L' F U D2 F2 D'
U' L' F U D2 F2 D2
U' L' F U F D2 F2
U' L' F U F' D2 F2
U' L' F U F2 D2 F2
U' L' F U' B2 U2 D
U' L' F U' B2 U2 D'
U' L' F U' B2 U2 D2
U' L' F U' B2 D U2
U' L' F U' B2 D' U2
U' L' F U' B2 D2 U2
U' L' F U2 D L2 U'
U2 L' F U' L B2 U2
B L' F R2 U F' R2
U' L' F D U2 L2 U'
U2 L' F U' B2 U2 R'
U' L' F D' R2 U D
U' L' F D' R2 U D'
U' L' F D' R2 U D2
U' L' F D' R2 D U
U' L' F D' R2 D' U
U' L' F D' R2 D2 U
U' L' F D2 R U F2
U' L' F D2 R' U F2
U' L' F D2 R2 U F2
U' L' F D2 U F2 D
U' L' F D2 U F2 D'
U' L' F D2 U F2 D2
U L' F D' R2 B U
U' L' F' D' R2 U L2
U' L' F2 D' F' R2 U
U' L' F2 D2 F' U F'
D' L' B' R2 U L R2
D' L' B' R2 U R2 L
L' R2 F U R2 D2 F2
L' R2 F U' B2 U2 R2
L' R2 F B U R2 F'
L' R2 B F U R2 F'
U' L2 D' L R2 F U
U' L2 D' L F R2 U
U' L2 D' R2 L F U
U' L2 D2 L F U F
L' U D L2 B' U' B
U' R L' D' R2 F U
L U D2 R2 B' U' F2
U' R L' D' F R2 U
U' R L' D2 F U F
D2 R L' F' U F' R'
U' R L' F U D2 F2
U' R L' F U' B2 U2
U' R L' F D' R2 U
U' R L' F D2 U F2
L U D2 B' R2 U' F2
B2 R U L' F U R'
L U B' U2 L2 U F
L U' L2 D' R2 F U
L U' L2 D' F R2 U
L U' L2 D2 F U F
L U' L2 F U D2 F2
L U' L2 F U' B2 U2
L U' L2 F D' R2 U
L U' L2 F D2 U F2
L' U' D' F R2 U B
U2 R B2 U L' F U
U' R' L' D' R2 F U
U' R' L' D' F R2 U
U' R' L' D2 F U F
U' R' L' F U D2 F2
U' R' L' F U' B2 U2
U' R' L' F D' R2 U
U' R' L' F D2 U F2
L' U' F U' F' B2 U2
L' U' F U' B2 F' U2
L' U' F D' R2 U B
L' U' B2 U F B2 U
L' U' B2 U B2 F U
U2 R' B2 U L' F U
U' R2 L' D' R2 F U
U' R2 L' D' F R2 U
U' R2 L' D2 F U F
U' R2 L' F U D2 F2
U' R2 L' F U' B2 U2
U' R2 L' F D' R2 U
U' R2 L' F D2 U F2
D' R2 L' B' U L R2
D' R2 L' B' U R2 L
B R2 L' F U R2 F2
B R2 L' F U F2 R2
B2 R2 U L' F U R2
D' R2 D L' F B2 U
D' R2 D L' B2 F U
D' R2 D B2 L' F U
D' R2 B' L' U L2 R2
D' R2 B' L' U R2 L2
L' D U L2 B' U' B
U2 R2 B2 U L' F U
L' D F D2 R2 U R2
B2 U L' F U2 F' U'
L2 D' L R2 F U R2
L2 D' L F R2 U R2
L' D' R2 D F B2 U
L' D' R2 D B2 F U
L' D' R2 F U R2 D
L' D' R2 F U R2 D'
L' D' R2 F U R2 D2
L2 D' R2 L F U R2
L' D' R2 F D B2 U
L' D' R2 F B U R2
L' D' R2 F B' U R2
L' D' R2 F B2 U R2
L' D' R2 B F U R2
L' D' R2 B' F U R2
L' D' R2 B2 F U R2
D2 U' L' R F' U F'
L' D' U' F R2 U B
D2 U' R L' F' U F'
L' D' F R2 U R2 D
L' D' F R2 U R2 D'
L' D' F R2 U R2 D2
L' D' F R2 D B2 U
L' D' F R2 B U R2
L' D' F R2 B' U R2
L' D' F R2 B2 U R2
L' D' F B R2 U R2
B2 U' L' F U2 L U'
L' D' F B' R2 U R2
L' D' F B2 R2 U R2
B U' L' R2 F U F2
L' D' F' R2 F2 U R2
B U' L' F R2 U F'
U' D' R2 D L' F U
D' U' R2 D L' F U
B U' L' F U' B U2
L' D' B R2 F U R2
L' D' B F R2 U R2
L' D' B' R2 F U R2
L' D' B' F R2 U R2
B U' R2 L' F U F2
L' D' B2 R2 F U R2
L' D' B2 F R2 U R2
L D' B2 U' R2 F' U
U' D2 L' R F' U F'
L' D2 R F U R' F
L' D2 R F U F R'
U' D2 R L' F' U F'
L' D2 R2 F U R2 F
L' D2 R2 F U F R2
L D2 R2 B' U' R2 F2
L D2 R2 B' U' F2 R2
L D2 U R2 B' U' F2
L D2 U B' R2 U' F2
L' D2 F R U R' F
L' D2 F R U F R'
L' D2 F R' U R F
L' D2 F R2 U R2 F
L' D2 F R2 U F R2
L D2 F2 U R2 B' U'
L D2 F2 U B' R2 U'
L D2 F2 B D L2 B2
L D2 F2 B D B2 L2
L D2 B F2 D L2 B2
L D2 B F2 D B2 L2
L D2 B' R2 U' R2 F2
L D2 B' R2 U' F2 R2
D F L' U L' U' B'
L' F R U R' D2 F2
L' F R U D2 R' F2
L' F R U D2 F2 R'
L' F R U' B2 L U2
L' F R D' R2 U R
L' F R D2 U R' F2
L' F R D2 U F2 R'
L' F R' U R D2 F2
L' F R' U D2 R F2
L' F R' U' B2 U2 R
L' F R' D' R2 U R'
L' F R' D2 U R F2
L' F R2 U R2 D2 F2
L' F R2 U' B2 U2 R2
B' U2 B' U L' F U
L' F R2 B U R2 F'
B U2 B U L' F U
L' F U D2 F2 D R2
D F U L2 U' L B'
L' F U' B2 U B2 U
L' F U' B2 U2 D' R2
L' F U' B2 D L2 U2
L' F U' B2 D' U2 R2
B' D L2 F L' D' B2
L' F D' R2 U R2 D
L' F D' R2 U R2 D'
L' F D' R2 U R2 D2
L' F D' R2 D B2 U
L' F D' R2 B U R2
L' F D' R2 B' U R2
L' F D' R2 B2 U R2
L' F D' B R2 U R2
L' F D' B' R2 U R2
L' F D' B2 R2 U R2
L' F D2 R U R' F2
L' F D2 R U F2 R'
L' F D2 R' U R F2
L' F D2 R2 U R2 F2
L' F D2 R2 U F2 R2
L' F D2 U F2 D R2
L' F B R2 U F' R2
F' D' L B' L D' F2
F' D' L B' D' L F2
F' D' L B' D' F2 L
L' F' D' L2 D' F2 B2
L' F' D' L2 D' B2 F2
L' F' D' R2 U L2 R2
L' F' D' R2 U R2 L2
D' F' B' D' L F2 B'
D' F' B' D' L B' F2
D' F' B' D' F2 L B'
F' D' B' L D' F2 B'
F' D' B' L D' B' F2
F' D' B' L B' D' F2
D2 F2 U R U2 F' U
D2 F2 U R' B R2 U'
L' F2 D' F' R2 U R2
D' B L D' F2 B2 L
D' B L D' B2 L F2
D' B L D' B2 F2 L
R2 B L' F U R2 F'
F' D2 F2 D L B' L
F' D2 F2 D B' L B'
L' B R2 F U R2 F2
L' B R2 F U F2 R2
L' B F R2 U F' R2
L B D' B2 D2 L2 F
D' B' L U' L2 R2 U
D' B' L U' R2 L2 U
D' B' L D' F2 B2 D
D' B' L D' F2 B2 D'
D' B' L D' F2 B2 D2
D' B' L D' B2 F2 D
D' B' L D' B2 F2 D'
D' B' L D' B2 F2 D2
D' B' L F D' F2 B2
D' B' L F D' B2 F2
D' B' L F' D' F2 B2
D' B' L F' D' B2 F2
D' B' L F2 D' F2 B2
D' B' L F2 D' B2 F2
D' B' L B D' F2 B2
D' B' L B D' B2 F2
D' B' L B' D' F2 B2
D' B' L B' D' B2 F2
D' B' L B2 D' F2 B2
D' B' L B2 D' B2 F2
D' B' L' R2 U L2 R2
D' B' L' R2 U R2 L2
D' B' R2 L' U L2 R2
D' B' R2 L' U R2 L2
D' B' U' L' R2 U L2
D' B' U' R2 L' U L2
L B' U' L2 U F L2
D' B' D' L F2 D' B2
D' B' F' D' L F2 B'
D' B' F' D' L B' F2
D' B' F' D' F2 L B'
B' F' D' L B' L F
F' B' D' L B' L F
R B2 L U L2 F U
U2 B2 R U L' F U
U2 B2 R' U L' F U
U' B2 U L' F B2 U
U' B2 U L' B2 F U
U2 B2 R2 U L' F U
U' B2 U B2 L' F U
U2 B2 U L' D F U
U2 B2 U L' D' F U
U2 B2 U L' D2 F U
U2 B2 U L' F U D
U2 B2 U L' F U D'
U2 B2 U L' F U D2
U2 B2 U L' F D U
U2 B2 U L' F D' U
U2 B2 U L' F D2 U
R2 B2 U L' F U R2
U B2 U2 L' F U F'
