R2 L U B' L
L R2 U B' L
R2 U L B' L
R2 U B' L B'
R2 L U B' L D
R2 L U B' L D'
R2 L U B' L D2
R2 L U B' D L
R2 L U B' D' L
R2 L U B' D2 L
F L R2 U B' L
F2 L R2 U B' L
F' L R2 U B' L
R2 L F U B' L
R2 L F' U B' L
R2 L F2 U B' L
R2 L' U L2 B' L
U L B' L D' F2
B' L B' D' R2 F2
B' L B' D' F2 R2
U L B' D' L F2
U L B' D' F2 L
L' R2 U L2 B' L
L R2 U B' L D
L R2 U B' L D'
L R2 U B' L D2
L R2 U B' D L
L R2 U B' D' L
L R2 U B' D2 L
L R2 F U B' L
L R2 F' U B' L
L R2 F2 U B' L
R2 U L B' L D
R2 U L B' L D'
R2 U L B' L D2
R2 U L B' D L
R2 U L B' D' L
R2 U L B' D2 L
R2 U B' L D B'
R2 U B' L D' B'
L U B' L D' F2
R2 U B' L D2 B'
R2 U B' L B' D
R2 U B' L B' D'
R2 U B' L B' D2
L U B' D' L F2
L U B' D' F2 L
F' R2 L U B' L
F2 R2 L U B' L
F R2 L U B' L
F' R2 U L B' L
F2 R2 U L B' L
F' R2 U B' L B'
F2 R2 U B' L B'
F R2 U L B' L
F R2 U B' L B'
R2 U2 B' U' L B'
R2 D L' F L' U
R2 D F L' F U
R2 F L U B' L
R2 F U L B' L
L F R2 U B' L
R2 F U B' L B'
R2 F' L U B' L
R2 F' U L B' L
L F' R2 U B' L
R2 F' U B' L B'
R2 F2 L U B' L
L F2 R2 U B' L
R2 F2 U L B' L
R2 F2 U B' L B'
U B' L D' F2 B'
U B' L D' B' F2
U B' L B' D' F2
F L R2 F U B' L
R2 L U2 R U' B' L
F2 L R2 F2 U B' L
F L R2 F' U B' L
R2 L U2 R' U' B' L
F L R2 F2 U B' L
R2 L U2 R2 U' B' L
R2 L U2 B U' B2 L
F' L U B' L D' F2
F' L U B' D' L F2
F' L U B' D' F2 L
F2 L U B' L D' F2
F2 L U B' D' L F2
F2 L U B' D' F2 L
F L U B' L D' F2
F L U B' D' L F2
F L U B' D' F2 L
U L U' R2 U B' L
B' L U' B R2 U B2
L R D' R F' U B'
U2 L U' B' L D' F2
U2 L U' B' D' L F2
U2 L U' B' D' F2 L
R L D' R F' U B'
U2 L U2 R2 U B' L
R2 L D2 F U B' L'
R' L F R' U B' L
R2 L F U B' L D
R2 L F U B' L D'
R2 L F U B' L D2
R2 L F U B' D L
R2 L F U B' D' L
R2 L F U B' D2 L
R' L F' R' U B' L
B' L D' F2 B' D' R2
B' L D' B' F2 D' R2
B2 L D' B' R2 F2 L'
R2 L F' U B' L D
R2 L F' U B' L D'
R2 L F' U B' L D2
L R F' U B' L F
U L D' F2 D B' L
R2 L F' U B' D L
R2 L F' U B' D' L
R2 L F' U B' D2 L
R L F' U B' L F
R' L F2 R' U B' L
R2 L F2 U B' L D
R2 L F2 U B' L D'
R2 L F2 U B' L D2
R2 L F2 U B' D L
R2 L F2 U B' D' L
R2 L F2 U B' D2 L
F' L F R2 U B' L
F2 L F R2 U B' L
F L F R2 U B' L
B' L F B' D' R2 F2
B' L F B' D' F2 R2
U L F B' L D' F2
U L F B' D' L F2
U L F B' D' F2 L
F' L F' R2 U B' L
F2 L F' R2 U B' L
F L F' R2 U B' L
B' L F' B' D' R2 F2
B' L F' B' D' F2 R2
U L F' B' L D' F2
U L F' B' D' L F2
U L F' B' D' F2 L
F' L F2 R2 U B' L
F2 L F2 R2 U B' L
F L F2 R2 U B' L
B' L F2 B' D' R2 F2
B' L F2 B' D' F2 R2
U L F2 B' L D' F2
U L F2 B' D' L F2
U L F2 B' D' F2 L
R2 L' U L B' L B'
R2 L' U L2 B' L D
R2 L' U L2 B' L D'
R2 L' U L2 B' L D2
R2 L' U L2 B' D L
R2 L' U L2 B' D' L
R2 L' U L2 B' D2 L
U L B' L U' R2 U
U L B' L D' F2 D
U L B' L D' F2 D'
U L B' L D' F2 D2
U L B' L F D' F2
U L B' L F' D' F2
U L B' L F2 D' F2
R2 L' U B' L2 B' L'
U L B' L2 D' L' F2
B' L B' U' R2 B2 U
B' L B' U' B2 R2 U
B' L B' D' R' F2 R'
B' L B' D' R2 F2 D
B' L B' D' R2 F2 D'
B' L B' D' R2 F2 D2
B' L B' D' F R2 F
B' L B' D' F2 R2 D
B' L B' D' F2 R2 D'
B' L B' D' F2 R2 D2
U' L B' D' F2 L R
U' L B' D' F2 R L
U L B' U' R2 U L
B' L B' F D' R2 F2
B' L B' F D' F2 R2
U L B' D L D2 F2
B' L B' F' D' R2 F2
B' L B' F' D' F2 R2
U L B' D' L F2 D
U L B' D' L F2 D'
U L B' D' L F2 D2
U L B' D' L' F2 L2
B' L B' F2 D' R2 F2
B' L B' F2 D' F2 R2
U L B' D' F' L F'
U L B' D' F2 L D
U L B' D' F2 L D'
U L B' D' F2 L D2
U L B' D' F2 D L
U L B' D' F2 D' L
U L B' D' F2 D2 L
R2 L' U' D2 F U2 L'
U L B' F L D' F2
U L B' F D' L F2
U L B' F D' F2 L
U L B' F' L D' F2
U L B' F' D' L F2
U L B' F' D' F2 L
U L B' F2 L D' F2
U L B' F2 D' L F2
U L B' F2 D' F2 L
U L B2 D' F2 B L
U L B2 D' B L F2
U L B2 D' B F2 L
F' L' R2 U L2 B' L
F2 L' R2 U L2 B' L
F L' R2 U L2 B' L
R2 L' D2 U' F U2 L'
L R' F R' U B' L
L R' F' R' U B' L
L R' F2 R' U B' L
B2 L' D' F2 R2 B L
D L' F L' U D2 F2
D L' F L' U' B2 U2
D L' F L' D' R2 U
D L' F L' D2 U F2
L' R2 U L B' L B'
D L' F D' L' R2 U
D L' F D' R2 L' U
D L' F D2 L' U F2
L' R2 U L2 B' L D
L' R2 U L2 B' L D'
L' R2 U L2 B' L D2
L' R2 U L2 B' D L
L' R2 U L2 B' D' L
L' R2 U L2 B' D2 L
L R2 U L' B' L B'
L R2 U R' B' L R
L R2 U R' B' R L
L R2 U R2 B' L R2
L R2 U R2 B' R2 L
L' R2 U B' L2 B' L'
L R2 U F B' L F'
L R2 U F2 B' L F2
L R2 U B L B2 L
L R2 U B L' B2 L
L R2 U B L2 B2 L
L R2 U B' L2 D L'
L R2 U B' L2 D' L'
L R2 U B' L2 D2 L'
L R2 U B' D L D
L R2 U B' D L D'
L R2 U B' D L D2
L R2 U B' D' L D
L R2 U B' D' L D'
L R2 U B' D' L D2
L R2 U B' D2 L D
L R2 U B' D2 L D'
L R2 U B' D2 L D2
L R2 U B' F L F'
L R2 U B' F2 L F2
L R2 U B2 L B L
L R2 U B2 L' B L
L R2 U B2 L2 B L
L R2 U B2 D B L
L R2 U B2 D' B L
L R2 U B2 D2 B L
L' R2 U' D2 F U2 L'
L R2 U' R U2 B' L
L R2 U' R' U2 B' L
L R2 U' R2 U2 B' L
L R2 U' F U2 B' L
L R2 U' F' U2 B' L
L R2 U' F2 U2 B' L
B' L' B R2 U L2 B'
L R2 U2 R U' B' L
L R2 U2 R' U' B' L
L R2 U2 R2 U' B' L
L R2 U2 B U' B2 L
L2 R2 D L' F U B'
R2 L2 D L' F U B'
L' R2 D2 U' F U2 L'
L R2 D2 F U B' L'
L2 R2 F L' U B' L
R2 L2 F L' U B' L
L R2 F U B' L D
L R2 F U B' L D'
L R2 F U B' L D2
L R2 F U B' D L
L R2 F U B' D' L
L R2 F U B' D2 L
L2 R2 F' L' U B' L
R2 L2 F' L' U B' L
L R2 F' U B' L D
L R2 F' U B' L D'
L R2 F' U B' L D2
L R2 F' U B' D L
L R2 F' U B' D' L
L R2 F' U B' D2 L
L2 R2 F2 L' U B' L
R2 L2 F2 L' U B' L
L R2 F2 U B' L D
L R2 F2 U B' L D'
L R2 F2 U B' L D2
L R2 F2 U B' D L
L R2 F2 U B' D' L
L R2 F2 U B' D2 L
R2 U L R' B' L R
R2 U L R' B' R L
R2 U L R2 B' L R2
R2 U L R2 B' R2 L
R2 U L F B' L F'
R2 U L F2 B' L F2
R2 U L B L B2 L
R2 U L B L' B2 L
R2 U L B L2 B2 L
R2 U L B' L2 D L'
R2 U L B' L2 D' L'
R2 U L B' L2 D2 L'
R2 U L B' D L D
R2 U L B' D L D'
R2 U L B' D L D2
R2 U L B' D' L D
R2 U L B' D' L D'
R2 U L B' D' L D2
R2 U L B' D2 L D
R2 U L B' D2 L D'
R2 U L B' D2 L D2
R2 U L B' F L F'
R2 U L B' F2 L F2
R2 U L B2 L B L
R2 U L B2 L' B L
R2 U L B2 L2 B L
R2 U L B2 D B L
R2 U L B2 D' B L
R2 U L B2 D2 B L
R2 U L' B' L2 B' L'
L' U L2 B' L D' F2
L' U L2 B' D' L F2
L' U L2 B' D' F2 L
R2 U L2 B' L' B' L2
R2 U R' L B' L R
R2 U R' L B' R L
R2 U R' B' L R B'
R2 U R' B' L B' R
R2 U R' B' R L B'
R2 U R2 L B' L R2
R2 U R2 L B' R2 L
L U R2 U R2 B' L
L U R2 U B' L R2
L U R2 U B' R2 L
R2 U R2 B' L R2 B'
R2 U R2 B' L B' R2
R2 U R2 B' R2 L B'
L U D' F2 D B' L
R2 U F L F' B' L
R2 U F L B' L F'
R2 U F L B' F' L
R2 U F B' L F' B'
R2 U F B' L B' F'
L U F B' L D' F2
L U F B' D' L F2
L U F B' D' F2 L
R2 U F2 L F2 B' L
R2 U F2 L B' L F2
R2 U F2 L B' F2 L
L U F' B' L D' F2
L U F' B' D' L F2
L U F' B' D' F2 L
R2 U F2 B' L F2 B'
R2 U F2 B' L B' F2
R2 U B L B2 L B
L U F2 B' L D' F2
L U F2 B' D' L F2
L U F2 B' D' F2 L
R2 U B' L R' B' R
R2 U B' L R2 B' R2
R2 U B' L D B' D
R2 U B' L D B' D'
R2 U B' L D B' D2
R2 U B' L D' B' D
R2 U B' L D' B' D'
R2 U B' L D' B' D2
R2 U B' L D2 B' D
R2 U B' L D2 B' D'
R2 U B' L D2 B' D2
R2 U B' L B2 D B
R2 U B' L B2 D' B
R2 U B' L B2 D2 B
R2 U B' L' B L2 B'
R2 U B' L' B' L2 B'
R2 U B' L' B2 L2 B'
R2 U B' L2 D L' B'
R2 U B' L2 D' L' B'
R2 U B' L2 D2 L' B'
R2 U B' L2 B L' B'
R2 U B' L2 B' L' B'
L U B' L U' R2 U
R2 U B' L2 B2 L' B'
L U B' L D' F2 D
L U B' L D' F2 D'
L U B' L D' F2 D2
L U B' L F D' F2
L U B' L F' D' F2
L U B' L F2 D' F2
R2 U B' R' L B' R
L U B' L2 D' L' F2
R2 U B' R2 L B' R2
L U B' U' R2 U L
L U B' D L D2 F2
R2 U B' F L F' B'
R2 U B' F L B' F'
L U B' D' L F2 D
L U B' D' L F2 D'
L U B' D' L F2 D2
L U B' D' L' F2 L2
L U B' D' F' L F'
L U B' D' F2 L D
L U B' D' F2 L D'
L U B' D' F2 L D2
L U B' D' F2 D L
L U B' D' F2 D' L
L U B' D' F2 D2 L
R2 U B' F2 L F2 B'
R2 U B' F2 L B' F2
L U B' F L D' F2
L U B' F D' L F2
L U B' F D' F2 L
L U B' F' L D' F2
R2 U B2 L B L B2
L U B' F' D' L F2
L U B' F' D' F2 L
L U B' F2 L D' F2
L U B' F2 D' L F2
L U B' F2 D' F2 L
L U B2 D' F2 B L
L U B2 D' B L F2
L U B2 D' B F2 L
R2 U' R U2 L B' L
R2 U' R U2 B' L B'
R2 U' R' U2 L B' L
R2 U' R' U2 B' L B'
R2 U' R2 U2 L B' L
R2 U' R2 U2 B' L B'
R2 U' D2 R F' R U2
R2 U' D2 F' R F' U2
R2 U' F U2 L B' L
R2 U' F U2 B' L B'
R2 U' F' U2 L B' L
R2 U' F' U2 B' L B'
R2 U' F2 U2 L B' L
R2 U' F2 U2 B' L B'
D' R' U2 B R' U' F2
L U' B' L D' F2 R
L U' B' D' L F2 R
R2 U2 R U' L B' L
R2 U2 R U' B' L B'
R2 U2 R B' U' L B'
R2 U2 R' U' L B' L
R2 U2 R' U' B' L B'
R2 U2 R' B' U' L B'
R2 U2 R2 U' L B' L
R2 U2 R2 U' B' L B'
R2 U2 R2 B' U' L B'
F' R2 L U B' L D
F' R2 L U B' L D'
F' R2 L U B' L D2
F' R2 L U B' D L
F' R2 L U B' D' L
F' R2 L U B' D2 L
R2 U2 D' R' B R' U'
F2 R2 L U B' L D
F2 R2 L U B' L D'
F2 R2 L U B' L D2
F2 R2 L U B' D L
F2 R2 L U B' D' L
F2 R2 L U B' D2 L
F' R2 L F U B' L
F' R2 L F' U B' L
R2 U2 D' B R' B U'
F' R2 L F2 U B' L
F2 R2 L F U B' L
F2 R2 L F' U B' L
F' R2 L' U L2 B' L
F2 R2 L F2 U B' L
F R2 L U B' L D
F R2 L U B' L D'
F R2 L U B' L D2
F R2 L U B' D L
F R2 L U B' D' L
F R2 L U B' D2 L
U R2 L U R2 B' L
U R2 L U B' L R2
U R2 L U B' R2 L
F2 R2 L' U L2 B' L
F R2 L F U B' L
F R2 L F' U B' L
F R2 L F2 U B' L
F R2 L' U L2 B' L
F' R2 U L B' L D
F' R2 U L B' L D'
F' R2 U L B' L D2
F' R2 U L B' D L
F' R2 U L B' D' L
F' R2 U L B' D2 L
F2 R2 U L B' L D
F2 R2 U L B' L D'
F2 R2 U L B' L D2
F2 R2 U L B' D L
F2 R2 U L B' D' L
F2 R2 U L B' D2 L
F' R2 U B' L D B'
F' R2 U B' L D' B'
F' R2 U B' L D2 B'
F' R2 U B' L B' D
F' R2 U B' L B' D'
F' R2 U B' L B' D2
F R2 U L B' L D
F R2 U L B' L D'
F R2 U L B' L D2
F R2 U L B' D L
F R2 U L B' D' L
F R2 U L B' D2 L
U R2 U L R2 B' L
U R2 U L B' L R2
U R2 U L B' R2 L
F2 R2 U B' L D B'
F2 R2 U B' L D' B'
F2 R2 U B' L D2 B'
F2 R2 U B' L B' D
F2 R2 U B' L B' D'
F2 R2 U B' L B' D2
U R2 U R2 L B' L
U R2 U R2 B' L B'
F R2 U B' L D B'
F R2 U B' L D' B'
F R2 U B' L D2 B'
F R2 U B' L B' D
F R2 U B' L B' D'
F R2 U B' L B' D2
U R2 U B' L R2 B'
U R2 U B' L B' R2
U R2 U B' R2 L B'
R2 U2 B U' B2 L B'
B' R2 U2 F' U' L B'
F' R2 U2 B' U' L B'
F' R2 D L' F L' U
F2 R2 U2 B' U' L B'
R2 U2 B' R U' L B'
F2 R2 D L' F L' U
R2 U2 B' R' U' L B'
R2 U2 B' R2 U' L B'
R2 U2 B' U' L D B'
R2 U2 B' U' L D' B'
R2 U2 B' U' L D2 B'
R2 U2 B' U' L B' D
R2 U2 B' U' L B' D'
R2 U2 B' U' L B' D2
F' R2 D F L' F U
F R2 U2 B' U' L B'
F2 R2 D F L' F U
F R2 D L' F L' U
F R2 D F L' F U
R' D L' R' F L' U
R' D L' F L' R' U
R' D L' F R' L' U
F' R2 F L U B' L
F2 R2 F L U B' L
F' R2 F U L B' L
F' R2 F U B' L B'
R2 D L' F L' U D
R2 D L' F L' U D'
R2 D L' F L' U D2
R2 D L' F L' D U
F2 R2 F U L B' L
R2 D L' F L' D' U
R2 D L' F L' D2 U
R D L' R F L' U
R2 D L' F D L' U
R2 D L' F D' L' U
R2 D L' F D2 L' U
F2 R2 F U B' L B'
F R2 F L U B' L
F' R2 F' L U B' L
F2 R2 F' L U B' L
F' R2 F' U L B' L
F R2 F U L B' L
F' R2 F' U B' L B'
F R2 F U B' L B'
F2 R2 F' U L B' L
F2 R2 F' U B' L B'
F' R2 F2 L U B' L
F R2 F' L U B' L
F2 R2 F2 L U B' L
R' D R' L' F L' U
F' R2 F2 U L B' L
F R2 F' U L B' L
F' R2 F2 U B' L B'
F R2 F' U B' L B'
F2 R2 F2 U L B' L
F2 R2 F2 U B' L B'
R D R L' F L' U
R' D R' F L' F U
F R2 F2 L U B' L
R D R F L' F U
F R2 F2 U L B' L
F R2 F2 U B' L B'
B2 R2 B2 L U B' L
U R2 B' U L R2 B'
U R2 B' U L B' R2
B2 R2 B2 U L B' L
U R2 B' U R2 L B'
B2 R2 B2 U B' L B'
R' D F L' R' F U
R' D F L' F R' U
F' U L B' L D' F2
B' U L B' D' R2 F2
F' U L B' D' L F2
B' U L B' D' F2 R2
F' U L B' D' F2 L
R' D F R' L' F U
F2 U L B' L D' F2
F2 U L B' D' L F2
F2 U L B' D' F2 L
R2 D F L' D F U
R2 D F L' D' F U
R2 D F L' D2 F U
R2 D F L' F U D
R2 D F L' F U D'
R2 D F L' F U D2
R2 D F L' F D U
R2 D F L' F D' U
R2 D F L' F D2 U
F U L B' L D' F2
F U L B' D' L F2
F U L B' D' F2 L
D' U F2 D L B' L
D' U F2 D B' L B'
R' D' R' U2 B R' U'
L D' R F' U F' B'
L D' R F' U B' F'
F' U B' L D' F2 B'
F' U B' L D' B' F2
F' U B' L B' D' F2
F2 U B' L D' F2 B'
F2 U B' L D' B' F2
F2 U B' L B' D' F2
F U B' L D' F2 B'
F U B' L D' B' F2
F U B' L B' D' F2
L D' U F2 D B' L
B' U' L B' D' R2 F2
B' U' L B' D' F2 R2
R2 D' U2 R' B R' U'
R2 D' U2 B R' B U'
U2 D' R' B R' U' F2
U2 D' B R' B U' F2
U D' F2 D L B' L
U D' F2 D B' L B'
R' D2 R' F U L' B
R' D2 R' F U B L'
R D2 R U' F' R U2
D' U2 R' B R' U' F2
R2 D2 U' R F' R U2
R2 D2 U' F' R F' U2
B' U2 L B' D' R2 F2
B' U2 L B' D' F2 R2
R' D2 F R' U L' B
R' D2 F R' U B L'
R2 D2 F' U' R F' U2
D' U2 B R' B U' F2
R' F L R' U B' L
R2 F L U B' L D
R2 F L U B' L D'
R2 F L U B' L D2
R2 F L U B' D L
R2 F L U B' D' L
R2 F L U B' D2 L
R2 F L F U B' L
R2 F L F' U B' L
R2 F L F2 U B' L
L2 F L' R2 U B' L
R2 F L' U L2 B' L
U F L B' L D' F2
U F L B' D' L F2
U F L B' D' F2 L
D F L' D' R2 F U
D F L' D' F R2 U
D F L' D2 F U F
D F L' F U D2 F2
D F L' F U' B2 U2
D F L' F D' R2 U
D F L' F D2 U F2
R' F R' L U B' L
R' F R' U L B' L
R' F R' U B' L B'
L2 F R2 L' U B' L
L F R2 U B' L D
L F R2 U B' L D'
L F R2 U B' L D2
L F R2 U B' D L
L F R2 U B' D' L
L F R2 U B' D2 L
R2 F U L B' L D
R2 F U L B' L D'
R2 F U L B' L D2
R2 F U L B' D L
R2 F U L B' D' L
R2 F U L B' D2 L
L F R2 F U B' L
L F R2 F' U B' L
L F R2 F2 U B' L
R2 F U B' L D B'
R2 F U B' L D' B'
R2 F U B' L D2 B'
R2 F U B' L B' D
R2 F U B' L B' D'
R2 F U B' L B' D2
L F U B' L D' F2
L F U B' D' L F2
L F U B' D' F2 L
R2 F U2 B' U' L B'
R2 F D L' F L' U
R2 F D F L' F U
R' F' L R' U B' L
U F B' L D' F2 B'
U F B' L D' B' F2
U F B' L B' D' F2
R2 F' L U B' L D
R2 F' L U B' L D'
R2 F' L U B' L D2
R2 F' L U B' D L
R2 F' L U B' D' L
R2 F' L U B' D2 L
R2 F' L F U B' L
R2 F' L F' U B' L
R2 F' L F2 U B' L
L2 F' L' R2 U B' L
R2 F' L' U L2 B' L
R F' L U B' L F
U F' L B' L D' F2
U F' L B' D' L F2
U F' L B' D' F2 L
R' F' R' L U B' L
R' F' R' U L B' L
R' F' R' U B' L B'
L2 F' R2 L' U B' L
L F' R2 U B' L D
L F' R2 U B' L D'
L F' R2 U B' L D2
L F' R2 U B' D L
L F' R2 U B' D' L
L F' R2 U B' D2 L
R2 F' U L B' L D
R2 F' U L B' L D'
R2 F' U L B' L D2
R2 F' U L B' D L
R2 F' U L B' D' L
R2 F' U L B' D2 L
L F' R2 F U B' L
L F' R2 F' U B' L
L F' R2 F2 U B' L
R2 F' U B' L D B'
R2 F' U B' L D' B'
R2 F' U B' L D2 B'
R2 F' U B' L B' D
R2 F' U B' L B' D'
R2 F' U B' L B' D2
R F' U L F B' L
R F' U L B' F L
L F' U B' L D' F2
L F' U B' D' L F2
L F' U B' D' F2 L
R F' U B' L F B'
R F' U B' L B' F
R2 F' U2 B' U' L B'
R2 F' D L' F L' U
R2 F' D F L' F U
R' F2 L R' U B' L
U F' B' L D' F2 B'
U F' B' L D' B' F2
U F' B' L B' D' F2
R2 F2 L U B' L D
R2 F2 L U B' L D'
R2 F2 L U B' L D2
R2 F2 L U B' D L
R2 F2 L U B' D' L
R2 F2 L U B' D2 L
R2 F2 L F U B' L
R2 F2 L F' U B' L
L2 F2 L' R2 U B' L
R2 F2 L F2 U B' L
R2 F2 L' U L2 B' L
U F2 L B' L D' F2
U F2 L B' D' L F2
U F2 L B' D' F2 L
R' F2 R' L U B' L
R' F2 R' U L B' L
R' F2 R' U B' L B'
L' F2 R2 U B' L B2
L2 F2 R2 L' U B' L
L F2 R2 U B' L D
L F2 R2 U B' L D'
L F2 R2 U B' L D2
L F2 R2 U B' D L
L F2 R2 U B' D' L
L F2 R2 U B' D2 L
R2 F2 U L B' L D
R2 F2 U L B' L D'
R2 F2 U L B' L D2
R2 F2 U L B' D L
R2 F2 U L B' D' L
R2 F2 U L B' D2 L
L F2 R2 F U B' L
L F2 R2 F' U B' L
L F2 R2 F2 U B' L
R2 F2 U B' L D B'
R2 F2 U B' L D' B'
R2 F2 U B' L D2 B'
R2 F2 U B' L B' D
R2 F2 U B' L B' D'
R2 F2 U B' L B' D2
L F2 U B' L D' F2
L F2 U B' D' L F2
L F2 U B' D' F2 L
R2 F2 U2 B' U' L B'
R2 F2 D L' F L' U
R2 F2 D F L' F U
U F2 B' L D' F2 B'
U F2 B' L D' B' F2
U F2 B' L B' D' F2
B' F L B' D' R2 F2
B' F L B' D' F2 R2
U' B' L D' F2 R B'
U' B' L D' F2 B' R
U' B' L D' B' F2 R
U' B' L B' D' F2 R
U B' L U' R2 U B'
L B' L U' B R2 U
U B' L D' F2 D B'
U B' L D' F2 D' B'
U B' L D' F2 D2 B'
U B' L D' F2 B' D
U B' L D' F2 B' D'
U B' L D' F2 B' D2
U B' L D' B' F2 D
U B' L D' B' F2 D'
U B' L D' B' F2 D2
U B' L D2 B' D F2
U B' L F D' F2 B'
U B' L F D' B' F2
U B' L F B' D' F2
U B' L F' D' F2 B'
U B' L F' D' B' F2
U B' L F' B' D' F2
U B' L F2 D' F2 B'
U B' L F2 D' B' F2
U B' L F2 B' D' F2
U B' L B' U' R2 U
U B' L B' D' F2 D
U B' L B' D' F2 D'
U B' L B' D' F2 D2
U B' L B' F D' F2
U B' L B' F' D' F2
U B' L B' F2 D' F2
U B' L B2 D' F2 B
U B' L B2 D' B F2
R2 B' L' B U L2 B'
U B' L2 D' L' F2 B'
U B' L2 D' L' B' F2
B' F' L B' D' R2 F2
B' F' L B' D' F2 R2
U' B' U R2 U L B'
F' B' L B' D' R2 F2
F' B' L B' D' F2 R2
F2 B' L B' D' R2 F2
F2 B' L B' D' F2 R2
U B' R2 U L R2 B'
U B' R2 U L B' R2
U B' R2 U R2 L B'
R2 B' U L B' D' R2
U' B' U2 L D' F2 B'
U' B' U2 L D' B' F2
U' B' U2 L B' D' F2
U2 B' U' L D' F2 B'
U2 B' U' L D' B' F2
F B' L B' D' R2 F2
F B' L B' D' F2 R2
U2 B' U' L B' D' F2
U2 B' U2 R2 U L B'
U B' U' R2 U L B'
U B' D' F2 D L B'
U B' F L D' F2 B'
U B' F L D' B' F2
U B' F L B' D' F2
U B' F' L D' F2 B'
U B' F' L D' B' F2
U B' F' L B' D' F2
U B' F2 L D' F2 B'
U B' F2 L D' B' F2
U B' F2 L B' D' F2
B' F2 L B' D' R2 F2
B' F2 L B' D' F2 R2
L' B2 D' F2 R2 B L
L B2 D' F2 B L R2
L B2 D' F2 B R2 L
L B2 D' B L R2 F2
L B2 D' B L F2 R2
L B2 D' B R2 L F2
L B2 D' B R2 F2 L
L B2 D' B F2 L R2
L B2 D' B F2 R2 L
