D R F2 L' B R'
D R F2 B L' R'
D R F2 B R' L'
D R B F2 L' R'
D R B F2 R' L'
D R U' F2 L' B R'
D R U' F2 B L' R'
D R U' F2 B R' L'
D R U' B F2 L' R'
D R U' B F2 R' L'
F2 R U2 L2 F' U' B
F2 R U2 F' L2 U' B
D R U2 F2 L' B R'
D R U2 F2 B L' R'
D R U2 F2 B R' L'
D R U2 B F2 L' R'
D R U2 B F2 R' L'
F' R F' L2 U' B L
D R F B R' F L'
F2 R F' L2 B' U' B2
D R F2 L B L2 R'
D R F2 L B R' L2
D R F2 L' B R' D
D R F2 L' B R' D'
D R F2 L' B R' D2
D R F2 L' B D R'
D R F2 L' B D' R'
D R F2 L' B D2 R'
D' R B L2 R2 F' R
D R F2 B L' R' D
D R F2 B L' R' D'
D R F2 B L' R' D2
D R F2 B L' D R'
D R F2 B L' D' R'
D R F2 B L' D2 R'
D R F2 B R' L' D
D R F2 B R' L' D'
D R F2 B R' L' D2
D R F2 B R' D L'
D R F2 B R' D' L'
D R F2 B R' D2 L'
D' R B R2 L2 F' R
D R F2 B D L' R'
D R F2 B D R' L'
D R F2 B D' L' R'
D R F2 B D' R' L'
D R F2 B D2 L' R'
D R F2 B D2 R' L'
D' R B R2 F' L2 R
D' R B R2 F' R L2
D R B L F2 L' R'
D R B L F2 R' L'
D R B L' F2 L' R'
D R B L' F2 R' L'
D R B L2 F2 L' R'
D R B L2 F2 R' L'
D R B R' F2 D2 L2
D R B F R' F L'
D R B F2 L' R' D
D R B F2 L' R' D'
D R B F2 L' R' D2
D R B F2 L' D R'
D R B F2 L' D' R'
D R B F2 L' D2 R'
D R B F2 R' L' D
D R B F2 R' L' D'
D R B F2 R' L' D2
D R B F2 R' D L'
D R B F2 R' D' L'
D R B F2 R' D2 L'
D R B F2 D L' R'
D R B F2 D R' L'
D R B F2 D' L' R'
D R B F2 D' R' L'
D R B F2 D2 L' R'
D R B F2 D2 R' L'
F2 R' D2 B R2 U B
D' R' F' B2 U2 L2 R
D' R' F' B2 U2 R L2
F2 R' B D2 R2 U B
D' R' B2 F' U2 L2 R
D' R' B2 F' U2 R L2
D R2 U2 R' F2 B R'
D R2 U2 R' B R' F2
D R2 U2 R' B F2 R'
D R2 U2 F2 R' B R'
D R2 U2 F2 B R' B
D R2 U2 B R' F2 B
D R2 U2 B R' B F2
D R2 U2 B F2 R' B
D R2 B R' F2 L' B
D R2 B R' F2 B L'
D R2 B R' B F2 L'
D R2 B U2 R' F2 B
D R2 B U2 R' B F2
D R2 B U2 F2 R' B
R' D2 B R2 F' U B
D' F L' B2 U2 L' B'
U F L2 R F' B' U'
U F L2 R B' F' U'
U F L2 B' R F' U'
R F L2 F2 B' U' B2
U F R L2 F' B' U'
U F R L2 B' F' U'
R F L2 B' F2 U' B2
B' D R F2 L' B R'
F2 D R U F2 B R'
F2 D R U B R' F2
F2 D R U B F2 R'
B' D R F2 B L' R'
B' D R F2 B R' L'
B' D R B F2 L' R'
B' D R B F2 R' L'
B2 D R F2 L' B R'
B2 D R F2 B L' R'
B2 D R F2 B R' L'
B2 D R B F2 L' R'
B2 D R B F2 R' L'
B D R F2 L' B R'
B D R F2 B L' R'
B D R F2 B R' L'
B D R B F2 L' R'
B D R B F2 R' L'
D' F B2 L' U2 L' B'
D' F' L2 R D2 F2 B
D' F' L2 R D2 B F2
D' F' L2 D2 R F2 B
D' F' L2 D2 R B F2
D' F' R L2 D2 F2 B
D' F' R L2 D2 B F2
D' F' R B' L2 F B2
D' F' R B' L2 B2 F
L2 F' R F' U' B L
R F' L2 U2 F' U B
D F' R2 B U2 R' B
D' F' D2 R F2 L' B
D' F' D2 R F2 B L'
D' F' D2 R B F2 L'
D F' D2 L2 F' R B
D' F' B' L2 R F B
D' F' B' L2 R B F
D' F' B' R L2 F B
D' F' B' R L2 B F
D F' D2 F' L2 R B
D F' D2 F' R L2 B
D F' D2 F' R B L2
D' F' B2 R B L2 F
L' F2 R U2 F' U' B
L' F2 R' B R2 U B
D F2 R B R' D2 L2
L' F2 D R U B R'
R F2 U2 F L2 U' B
R' F2 B U2 L2 U' B'
D' F2 B' L2 F R B
D B R F2 L' B R2
D B R F2 B L' R2
D B R F2 B R2 L'
D B R B F2 L' R2
D B R B F2 R2 L'
R' B F2 U2 L2 U' B'
D' B' L2 F' R F2 B
D' B' L2 F' R B F2
D' B' F' L2 R F B
D' B' F' L2 R B F
D' B' F' R L2 F B
D' B' F' R L2 B F
D' B' F2 L2 F R B
D' B2 R' F' U2 L2 R
D' B2 R' F' U2 R L2
D' B2 F L' U2 L' B'
D' B2 F' R B L2 F
