U' L F' L2 B' U
U' L' F' U2 F U'
U L' F' U2 L U'
L' F' B2 U R' F
L' F' B2 U F R'
L' B2 F' U R' F
L' B2 F' U F R'
U' L' F2 D2 F B2 U
U' L' F2 D2 B2 F U
U' L' B F' U2 F U'
U' L' B' F' U2 F U'
D2 L' B2 F' U R' F
D2 L' B2 F' U F R'
D' L' B2 F' U R' F
D' L' B2 F' U F R'
B' L' B2 F' U R' F
B' L' B2 F' U F R'
U' L' B2 F' U2 F U'
B2 L' B2 F' U R' F
B2 L' B2 F' U F R'
D L' B2 F' U R' F
D L' B2 F' U F R'
B L' B2 F' U R' F
B L' B2 F' U F R'
U L' B2 F' R' B2 U
U L2 D L F' U F'
U L2 D F' L U F'
U L2 D2 L F' R2 U
R2 U L' U2 L B U'
U L2 D2 F' L R2 U
U L2 D2 F' R2 L U
U' L2 F' L2 B' L' U
U L2 F' L U2 L U'
U L2 F' D L U F2
U L2 F' D2 L R2 U
U L2 F' D2 R2 L U
R2 U B U2 B' L' U
L' U' L U F' U F
L2 U' L F' U' L U2
L2 U' L F' B2 U R'
L2 U' L B2 F' U R'
L U' L2 F' U' L U2
L U' L2 F' B2 U R'
L U' L2 B2 F' U R'
L2 U' D' L F' B2 U
L2 U' D' L B2 F' U
L2 U' D' F' L B2 U
L2 U' D2 L F' U R2
L2 U' D2 F' L U R2
L2 U' F' L U' L U2
L2 U' F' L B2 U R'
L' U' F' U' F L U2
L2 U' F' D' L B2 U
L2 U' F' D2 L U R2
U' R' U2 L' R F' U
U' R' U2 R L' F' U
L U2 L' U L' F' U
L2 U2 L2 U L' F' U
U R2 L' U2 L B U'
U' R2 U2 L' R2 F' U
U' R2 U2 R2 L' F' U
U' R2 B U2 L' R2 U
U' R2 B U2 R2 L' U
U R2 B U2 B' L' U
U' D L F' L2 B' U
D' U L' F' U2 L U'
D2 U L' F' U2 L U'
U' D L' F' U2 F U'
B' U L' F' U2 L U'
B2 U L' F' U2 L U'
B U L' F' U2 L U'
D U L' F' U2 L U'
F U L' F2 U F B'
F U L' F2 U B' F
U D L' F' U2 L U'
L' D F' B2 U R' F
L' D F' B2 U F R'
L' D B2 F' U R' F
L' D B2 F' U F R'
L2 D' L F' B2 U F
L2 D' L B2 F' U F
F2 U F2 L' F' U F
D' U' L F' L2 B' U
U' D' L F' L2 B' U
D2 U' L F' L2 B' U
D' U' L' F' U2 F U'
U' D' L' F' U2 F U'
D U' L F' L2 B' U
D2 U' L' F' U2 F U'
L2 D' U' L F' B2 U
L2 D' U' L B2 F' U
D U' L' F' U2 F U'
L2 D' U' F' L B2 U
U D' L' F' U2 L U'
B' U' L F' L2 B' U
B2 U' L F' L2 B' U
B' U' L' F' U2 F U'
B U' L F' L2 B' U
B2 U' L' F' U2 F U'
F2 U' L2 R B' U' F2
B U' L' F' U2 F U'
L' D' F' B2 U R' F
L' D' F' B2 U F R'
F2 U' L2 B' R U' F2
F2 U' R L2 B' U' F2
F2 U' R U2 F U F
F2 U' R D' L2 B' U'
L' D' B2 F' U R' F
L' D' B2 F' U F R'
F2 U' D' L2 R B' U'
F2 U' D' L2 B' R U'
F2 U' D' R L2 B' U'
L2 D2 L F' U R2 F
L2 D2 L F' U F R2
U' D2 L F' L2 B' U
U' D2 L' F' U2 F U'
U D2 L' F' U2 L U'
L2 D2 U' L F' U R2
L2 D2 U' F' L U R2
L' D2 F' B2 U R' F
L' D2 F' B2 U F R'
L' D2 B2 F' U R' F
L' D2 B2 F' U F R'
F' U2 F U' L' U L
F' U2 F' R U' R' F2
F' U2 F' R U' F2 R'
F2 U2 F2 U' L' F' U
L F D' F' L2 B2 R'
L2 F' L U' L B' U2
U' F' L2 D2 B' L U
L' F' R B2 U R' F
L' F' R B2 U F R'
L' F' R' B2 U R' F
L' F' R' B2 U F R'
L' F' R2 B2 U R' F
L' F' R2 B2 U F R'
L' F' U F U2 L U2
L' F' U F B2 R' B2
L' F' U B2 R' F B2
L' F' U B2 R' B2 F
L' F' U B2 F R' B2
L' F' U' L2 B' L' U2
L' F' U' B' U2 F R
L' F' U' B2 U2 R' F
L' F' U' B2 U2 F R'
U' F' U2 F U2 L' U
U' F' U2 F' R F2 U'
L' F' D B2 U R' F
L' F' D B2 U F R'
U' F' D2 L2 B' L U
L' F' D' B2 U R' F
L' F' D' B2 U F R'
L' F' D2 B2 U R' F
L' F' D2 B2 U F R'
L' F' B2 R U R2 F
L' F' B2 R U F R2
L' F' B2 R2 U R F
L' F' B2 U R F R2
L' F' B2 U R' D F
L' F' B2 U R' D' F
L' F' B2 U R' D2 F
L' F' B2 U R' F D
L' F' B2 U R' F D'
L' F' B2 U R' F D2
L' F' B2 U D R' F
L' F' B2 U D F R'
L' F' B2 U D' R' F
L' F' B2 U D' F R'
L' F' B2 U D2 R' F
L' F' B2 U D2 F R'
L' F' B2 U F R' D
L' F' B2 U F R' D'
L' F' B2 U F R' D2
L' F' B2 U F D R'
L' F' B2 U F D' R'
L' F' B2 U F D2 R'
L' F' B2 U F' R' F2
L' F' B2 D U R' F
L' F' B2 D U F R'
L' F' B2 D' U R' F
L' F' B2 D' U F R'
L' F' B2 D2 U R' F
L' F' B2 D2 U F R'
F2 D' U' L2 R B' U'
F2 D' U' L2 B' R U'
F2 D' U' R L2 B' U'
R2 F2 U' B R U' F2
U' B L F' L2 B' U
U' B L' F' U2 F U'
U B U2 B' L' F' U
L' B D2 F' U R F
U' B' L F' L2 B' U
U' B' L' F' U2 F U'
U B' U2 L' F' B U
U B' U2 L' B F' U
U B' U2 B L' F' U
U' B2 L F' L2 B' U
U' B2 L' F' U2 F U'
U B2 L' F' B2 R' U
U B2 L' B2 F' R' U
L' B2 D F' U R' F
L' B2 D F' U F R'
U B2 U2 L' F' B2 U
U B2 U2 L' B2 F' U
L' B2 D' F' U R' F
L' B2 D' F' U F R'
U B2 U2 B2 L' F' U
L' B2 D2 F' U R' F
L' B2 D2 F' U F R'
L' B2 F' R U R2 F
L' B2 F' R U F R2
L' B2 F' R2 U R F
L' B2 F' U R F R2
L' B2 F' U R' D F
L' B2 F' U R' D' F
L' B2 F' U R' D2 F
L' B2 F' U R' F D
L' B2 F' U R' F D'
L' B2 F' U R' F D2
L' B2 F' U D R' F
L' B2 F' U D F R'
L' B2 F' U D' R' F
L' B2 F' U D' F R'
L' B2 F' U D2 R' F
L' B2 F' U D2 F R'
L' B2 F' U F R' D
L' B2 F' U F R' D'
L' B2 F' U F R' D2
L' B2 F' U F D R'
L' B2 F' U F D' R'
L' B2 F' U F D2 R'
L' B2 F' U F' R' F2
L' B2 F' D U R' F
L' B2 F' D U F R'
L' B2 F' D' U R' F
L' B2 F' D' U F R'
L' B2 F' D2 U R' F
L' B2 F' D2 U F R'
