F' U F U2 F' R'
F2 U F2 U2 R' F2
F2 U F2 U2 F2 R'
F U F' U2 R' F
F U F' U2 F R'
B' U2 B U' R' B'
B2 U2 B2 U' R' B2
U R2 D2 L2 D' B2 R
U R2 D2 R L2 D' B2
U2 R2 B2 U' R B2 L
F2 U L F2 U2 R' F2
F2 U L F2 U2 F2 R'
F U L F' U2 R' F
F U L F' U2 F R'
R D U2 R' B2 U B2
F2 U L' F2 U2 R' F2
F2 U L' F2 U2 F2 R'
F U L' F' U2 R' F
F U L' F' U2 F R'
F2 U L2 F2 U2 R' F2
F2 U L2 F2 U2 F2 R'
F U L2 F' U2 R' F
F U L2 F' U2 F R'
F' U R' U2 R F U2
F2 U R' U2 R F2 U2
F2 U R' U2 F2 U2 L'
F U R' U2 R F' U2
F' U R2 D2 L2 R B'
F' U R2 D2 L2 B' R
F' U R2 D2 R L2 B'
F2 U R2 D2 L2 R B2
F2 U R2 D2 L2 B2 R
F2 U R2 D2 R L2 B2
F2 U R2 D2 R B2 L2
F2 U R2 D2 B2 L2 R
F2 U R2 D2 B2 R L2
F' U D F U2 F' R'
F U R2 D2 L2 B R
F U R2 D2 B L2 R
F U R2 D2 B R L2
F U R2 B D2 L2 R
F U R2 B D2 R L2
F' U D' F U2 F' R'
R2 D B2 U' B2 U' R
R2 D B2 U2 R D L2
R2 D B2 U2 D L2 R
R2 D B2 U2 D R L2
R2 D B2 D U2 L2 R
R2 D B2 D U2 R L2
R2 D B2 D' R2 U2 R'
F U D F' U2 R' F
F U D F' U2 F R'
F' U D2 F U2 F' R'
F2 U D2 R B2 L R2
F2 U D2 R B2 R2 L
F' U F L U2 F' R'
F U D' F' U2 R' F
F U D' F' U2 F R'
F' U F L' U2 F' R'
F' U F L2 U2 F' R'
F' U F U2 D F' R'
F' U F U2 D' F' R'
F' U F U2 D2 F' R'
F' U F U2 F R' F2
F' U F U2 F' R' D
F' U F U2 F' R' D'
F' U F U2 F' R' D2
F' U F U2 F' D R'
F' U F U2 F' D' R'
F' U F U2 F' D2 R'
F' U F U2 F2 R' F
F' U F D U2 F' R'
F' U F D' U2 F' R'
F' U F D2 U2 F' R'
F U D2 F' U2 R' F
F U D2 F' U2 F R'
F' U F B2 L U2 F'
F2 U F2 L U2 R' F2
F2 U F2 L U2 F2 R'
F U F' L' U2 R' F'
F2 U F2 L' U2 R' F2
F2 U F2 L' U2 F2 R'
F2 U F2 L2 U2 R' F2
F2 U F2 L2 U2 F2 R'
F U F' U2 R F R2
F U F' U2 R' D F
F U F' U2 R' D' F
F U F' U2 R' D2 F
F U F' U2 R' F D
F U F' U2 R' F D'
F U F' U2 R' F D2
F U F' U2 D R' F
F U F' U2 D F R'
F U F' U2 D' R' F
F U F' U2 D' F R'
F U F' U2 D2 R' F
F U F' U2 D2 F R'
F U F' U2 F R' D
F U F' U2 F R' D'
F U F' U2 F R' D2
F U F' U2 F D R'
F U F' U2 F D' R'
F U F' U2 F D2 R'
F U F' U2 F' R' F2
F2 U F2 U2 R F2 R2
F2 U F2 U2 R' F2 D
F2 U F2 U2 R' F2 D'
F2 U F2 U2 R' F2 D2
F U F' D U2 R' F
F U F' D U2 F R'
F2 U F2 U2 F R' F
F2 U F2 U2 F2 R' D
F2 U F2 U2 F2 R' D'
F2 U F2 U2 F2 R' D2
F2 U F2 U2 F2 D R'
F2 U F2 U2 F2 D' R'
F2 U F2 U2 F2 D2 R'
F U F' D' U2 R' F
F U F' D' U2 F R'
F U F' D2 U2 R' F
F U F' D2 U2 F R'
F U F' B U2 F R
F2 U F2 D2 B2 L U2
F2 U F2 B2 L U2 F2
F U B F' U2 F R
F2 U B2 L F2 U2 F2
F' U B2 F L U2 F'
F2 U B2 F2 L U2 F2
F U B2 L F' U2 F
B2 U' L U' B2 U' B2
F2 U' L F2 R U2 R2
R2 D' U2 R F2 D' L2
F2 U' L' F2 U2 L R'
F2 U' L' F2 U2 R' L
F' U' L2 U2 R' B' L2
F2 U' L2 F2 U2 L2 R'
F2 U' L2 F2 U2 R' L2
F U' L' F' U2 L R'
F U' L' F' U2 R' L
F U' L2 F' U2 L2 R'
F U' L2 F' U2 R' L2
F' U' R' U2 F U2 F'
F2 U' R' U2 F2 U2 F2
F2 U' R' D2 B2 D2 F2
F2 U' R' B2 D2 F2 B2
F2 U' R' B2 D2 B2 F2
F2 U' R2 F2 L' U2 L
F2 U' D2 R' B2 D2 F2
F' U' F L U2 L' R'
F' U' F L U2 R' L'
F' U' F L' U2 L R'
F' U' F L' U2 R' L
F' U' F L2 U2 L2 R'
F' U' F L2 U2 R' L2
F2 U' F2 L U2 L' R'
F2 U' F2 L U2 R' L'
F2 U' F2 L' U2 L R'
F2 U' F2 L' U2 R' L
F U' F' L U2 L' R'
F U' F' L U2 R' L'
F2 U' F2 L2 U2 L2 R'
F2 U' F2 L2 U2 R' L2
F U' F' L' U2 L R'
F U' F' L' U2 R' L
F U' F' L2 U2 L2 R'
F U' F' L2 U2 R' L2
B' U' B L2 U' R' F
B' U' B L2 U' F R'
B U' B' U B L U2
B2 U' B2 U B2 L U2
B2 U' B2 U' R' D2 F2
B2 U' B2 U' D2 R' F2
B2 U' B2 U' D2 F2 R'
B2 U' B2 D L2 U' R'
F U' B' R2 F' B R'
F U' B' R2 B F' R'
B2 U' B2 D2 U' R' F2
B2 U' B2 D2 U' F2 R'
F2 U' B2 D2 F2 B2 R'
F2 U' B2 D2 B2 R' F2
F2 U' B2 D2 B2 F2 R'
R2 D2 U' L2 U' L2 R
R2 D2 U' L2 U' R L2
B2 U2 L2 D F2 L2 R
B2 U2 L2 D F2 R L2
B2 U2 R B2 U' R' B2
B2 U2 R' B2 U' R' B2
B2 U2 R2 B2 U' R' B2
B2 U2 D L2 D F2 R
B' U2 F B U' R' B'
B2 U2 F B2 U' R' B2
B' U2 F' B U' R' B'
B U2 F B' U' B R
B2 U2 F' B2 U' R' B2
B' U2 F2 B U' R' B'
B' U2 B R U' R2 B'
B' U2 B R U' B' R2
B2 U2 F2 B2 U' R' B2
B' U2 B R2 U' R B'
B' U2 B R2 U' B' R
B' U2 B U' R B' R2
B' U2 B U' R' D B'
B' U2 B U' R' D' B'
B' U2 B U' R' D2 B'
B' U2 B U' R' B' D
B' U2 B U' R' B' D'
B' U2 B U' R' B' D2
B' U2 B U' R2 B' R
B' U2 B U' D R' B'
B' U2 B U' D' R' B'
B' U2 B U' D2 R' B'
B' U2 B D U' R' B'
B' U2 B D' U' R' B'
B' U2 B D2 U' R' B'
B' U2 B F U' R' B'
B' U2 B F' U' R' B'
B' U2 B F2 U' R' B'
U2 F R2 B U' R B'
U2 F R2 B U' B' R
D' F U F' U2 R' F
D' F U F' U2 F R'
D2 F U F' U2 R' F
D2 F U F' U2 F R'
L' F U F' U2 R' F
L' F U F' U2 F R'
B2 U2 B2 R U' R2 B2
B2 U2 B2 R U' B2 R2
B2 U2 B2 R2 U' R B2
B2 U2 B2 R2 U' B2 R
B2 U2 B2 U' R B2 R2
B2 U2 B2 U' R' B2 D
B2 U2 B2 U' R' B2 D'
B2 U2 B2 U' R' B2 D2
B2 U2 B2 U' R2 B2 R
L2 F U F' U2 R' F
L2 F U F' U2 F R'
B2 U2 B2 D' R2 U' R
B U2 B' F U' B R
B2 U2 B2 F U' R' B2
B2 U2 B2 F' U' R' B2
B2 U2 B2 F2 U' R' B2
D F U F' U2 R' F
D F U F' U2 F R'
U2 F U' F' U R' F
U2 F U' F' U F R'
L F U F' U2 R' F
L F U F' U2 F R'
R F U2 R' U R' B
F2 D R2 U' D' R F2
F2 D R2 U2 R2 U R'
F2 D R2 D' U' R F2
F2 D R2 D2 L2 U' R
F' D U F U2 F' R'
B2 D U2 L2 D F2 R
F D U F' U2 R' F
F D U F' U2 F R'
U2 F' R' U' F U F'
D2 F' U F U2 F' R'
D' F' U F U2 F' R'
L' F' U F U2 F' R'
L2 F' U F U2 F' R'
D F' U F U2 F' R'
B2 D' L R2 U R2 U
B2 D' L R2 U2 D' F2
B2 D' L R2 D B2 U2
B2 D' L R2 D' U2 F2
U2 F' U' F U F' R'
L F' U F U2 F' R'
B2 D' R2 L U R2 U
B2 D' R2 L U2 D' F2
B2 D' R2 L D B2 U2
B2 D' R2 L D' U2 F2
B2 D' R2 D L B2 U2
B2 D' R2 D B2 U2 R'
B2 D' R2 D' L U2 F2
F' D' U F U2 F' R'
R' F2 L' D R2 U' R2
F D' U F' U2 R' F
F D' U F' U2 F R'
U2 F2 R' U' F2 U F2
U F2 R U R2 F2 L'
U2 F2 R' D' L2 D F2
D2 F2 U F2 U2 R' F2
D2 F2 U F2 U2 F2 R'
D' F2 U F2 U2 R' F2
D' F2 U F2 U2 F2 R'
L' F2 U F2 U2 R' F2
L' F2 U F2 U2 F2 R'
U F2 R2 U R F2 L'
L2 F2 U F2 U2 R' F2
L2 F2 U F2 U2 F2 R'
B2 D2 L U F2 U F2
D F2 U F2 U2 R' F2
D F2 U F2 U2 F2 R'
U F2 U R' F2 D' L2
U2 F2 U' F2 U R' F2
U2 F2 U' F2 U F2 R'
U F2 U F2 R' D' L2
U F2 U F2 D' L2 R'
U F2 U F2 D' R' L2
L F2 U F2 U2 R' F2
L F2 U F2 U2 F2 R'
R' F2 D L' R2 U' R2
R' F2 D R2 L' U' R2
U2 F2 D' L2 R' D F2
U2 F2 D' L2 D R' F2
U2 F2 D' L2 D F2 R'
U2 F2 D' R' L2 D F2
R2 F2 D2 L2 U' B2 R'
U2 F2 D2 B2 U' B2 R'
F' D2 U F U2 F' R'
F2 D2 U R B2 L R2
F2 D2 U R B2 R2 L
F2 D2 U' R' B2 D2 F2
F D2 U F' U2 R' F
F D2 U F' U2 F R'
B2 D2 F2 U D2 B2 R'
B2 D2 F2 U' L F2 U2
B2 D2 F2 U' F2 L U2
B2 D2 F2 D2 U B2 R'
R2 B' U R2 F' U R'
D2 B' U2 B U' R' B'
D' B' U2 B U' R' B'
L' B' U2 B U' R' B'
L2 B' U2 B U' R' B'
D B' U2 B U' R' B'
L B' U2 B U' R' B'
U2 B2 U L U2 L' B2
U2 B2 U L U2 B2 L'
U2 B2 U B2 R' D2 F2
U2 B2 U B2 D2 R' F2
U2 B2 U B2 D2 F2 R'
U2 B2 U' R B2 L R'
U2 B2 U' R B2 R' L
D2 B2 U2 B2 U' R' B2
D' B2 U2 B2 U' R' B2
L' B2 U2 B2 U' R' B2
L2 B2 U2 B2 U' R' B2
R B2 U' L B2 U' R2
R2 B2 U2 D' R F2 L'
D B2 U2 B2 U' R' B2
L B2 U2 B2 U' R' B2
R2 B2 D B2 U2 L2 R
R2 B2 D B2 U2 R L2
R2 B2 D' R2 U2 R' F2
R2 B2 D' R2 U2 F2 R'
R2 B2 D' U2 R F2 L'
B2 F2 D2 F2 U B2 R'
F2 B2 D2 F2 U B2 R'
