D' L R2 B D L2
F L' F' D' R2 B
F' R U B2 U F
F' R U2 D' R2 F
F' R U2 D' F R2
F' R U2 F D' R2
F' R D L2 B' U2
F' R D' U2 R2 F
F' R D' U2 F R2
D' R2 L B D L2
D' R2 D' B' L B2
D' R2 B2 D' B' L
F' D L2 R B' U2
F' D L2 B' R U2
F' D R L2 B' U2
U2 F' R U B2 U
U2 F' R U2 D' R2
U2 F' R D L2 U2
U2 F' R D' U2 R2
U2 F' D L2 R U2
U2 F' D R L2 U2
F' D' R U2 R F
U2 F' D' R U2 R
D2 B' L D R2 B
D2 B' D L R2 B
D2 B' D R2 L B
U' B2 U' F' R U2
D2 B2 D R2 B L
F' R D' L2 B' U2 R2
F' R D' U2 R' F R'
F' R D' U2 R2 D F
F' R D' U2 R2 D' F
F' R D' U2 R2 D2 F
F' R D' U2 R2 F D
F' R D' U2 R2 F D'
F' R D' U2 R2 F D2
F' R D' U2 F R2 D
F' R D' U2 F R2 D'
F' R D' U2 F R2 D2
F' R D' U2 F' R2 F2
D' R D' B' L R B
D' R D' B' R L B
F' R D' B U2 R2 F
F' R D' B U2 F R2
D' R D' B2 R B L
F' R D' B' U2 R2 F
F' R D' B' U2 F R2
F' R D' B2 U2 R2 F
F' R D' B2 U2 F R2
F' R D2 U' F2 U' F'
F' R B U B U F
F' R B' U B' U F
R2 U' F B2 U B' L'
L' U' B2 U' F' R U2
L2 U' B2 U' F' R U2
R2 U' B2 U D2 B' L
R2 U' B2 D2 U B' L
L U' B2 U' F' R U2
R2 U' B2 F U B' L'
D' R2 L U B' U' B2
D' R2 L D B D L2
D' R2 L D' B D L2
D' R2 L D2 B D L2
D' R2 L B L D L2
D' R2 L B L' D L2
D' R2 L B L2 D L2
D' R2 L B U B2 U'
D' R2 L B D L2 D
D' R2 L B D L2 D'
D' R2 L B D L2 D2
D' R2 L' U' F U B
D' R2 L' B U' F U
L' U2 F' R U B2 U
L' U2 F' R U2 D' R2
L' U2 F' R D L2 U2
L' U2 F' R D' U2 R2
L2 U2 F' R U B2 U
L' U2 F' D L2 R U2
L2 U2 F' R U2 D' R2
L2 U2 F' R D L2 U2
L' U2 F' D R L2 U2
L2 U2 F' R D' U2 R2
L' U2 F' D' R U2 R
L2 U2 F' D L2 R U2
L2 U2 F' D R L2 U2
L2 U2 F' D' R U2 R
L U2 F' R U B2 U
L U2 F' R U2 D' R2
L U2 F' R D L2 U2
L U2 F' R D' U2 R2
F' R2 U B2 U F L
D' R2 U' L' F U B
D' R2 U' L2 U B L
L U2 F' D L2 R U2
L U2 F' D R L2 U2
L U2 F' D' R U2 R
F' R2 D L2 R' B' U2
F' R2 D R' L2 B' U2
D' R2 D F L' F' B
D' R2 D F L' B F'
D' R2 D F B L' F'
D' R2 D B F L' F'
D' R2 D B2 D2 B' L
D' R2 D' L B' L B2
D' R2 D' L' B' L B2
D' R2 D' L2 B' L B2
F' R2 D' R' U2 R' F
F' R2 D' R' U2 F R'
D' R2 D' B U2 R' U2
D' R2 D' B' L B2 D
D' R2 D' B' L B2 D'
D' R2 D' B' L B2 D2
D' R2 D' B' L' B2 L2
D' R2 D' B' L2 B2 L'
D' R2 D2 B2 D B' L
B2 R2 F U L' F' B
B2 R2 F U L' B F'
B2 R2 F U B L' F'
D' R2 F' D F L' B
D' R2 F' D F B L'
D' R2 F' D B F L'
D' R2 F' B D F L'
D' R2 B L U B' U'
D' R2 B L' U' F U
D' R2 B D F L' F'
D' R2 B D' B' L B
D' R2 B F' D F L'
D2 R2 B' L B2 D R2
D' R2 B2 D' B' L D
D' R2 B2 D' B' L D'
D' R2 B2 D' B' L D2
D' R2 B2 D' B' D L
D' R2 B2 D' B' D' L
D' R2 B2 D' B' D2 L
F U L' F' D' R2 B
U2 D L2 D' F' R U2
F' U R2 B2 U F L
L' D' L R2 B D L2
L2 D' L R2 B D L2
D2 U F2 U' L2 B' L
L D' L R2 B D L2
R2 D' L B R2 D L2
F' U F2 B2 U L' F'
L' D' R2 L B D L2
R' D' R2 D' L B' L
R' D' R2 D' B' L B'
L' D' R2 D' B' L B2
L2 D' R2 L B D L2
L' D' R2 B2 D' B' L
L2 D' R2 D' B' L B2
L D' R2 L B D L2
L2 D' R2 B2 D' B' L
L D' R2 D' B' L B2
F' U B2 U F2 L' F'
D' U' L2 U R2 B L
U' D' L2 U R2 B L
F' U B2 U' R U2 F
L D' R2 B2 D' B' L
F' U B2 F2 U L' F'
F U' L' F' D' R2 B
R2 D' B2 R2 D' B' L
R' D2 L B' L D R2
R' D2 L B' D L R2
R' D2 L B' D R2 L
F' U' D2 F2 U' L' F'
B2 U' F' R U R' U
B' U' B' U' F' R U2
D U2 L2 D' F' R U2
B U' B U' F' R U2
F U2 L' F' D' R2 B
R' D2 B' L D R2 B'
R' D2 B' L D B' R2
R' D2 B' L B' D R2
U D2 F2 U' L2 B' L
L' D2 B' L D R2 B
L2 D2 B' L D R2 B
L' D2 B' D L R2 B
L' D2 B' D R2 L B
R2 D2 B' L B2 D R2
L2 D2 B' D L R2 B
L2 D2 B' D R2 L B
L D2 B' L D R2 B
L' D2 B2 D R2 B L
L2 D2 B2 D R2 B L
L D2 B' D L R2 B
L D2 B' D R2 L B
F' U2 D' F2 L' F' R2
L D2 B2 D R2 B L
L' F L' F' D' R2 B
L2 F L' F' D' R2 B
R2 F L' D' F' B R2
R2 F L' D' B F' R2
R2 F L' F' D' B R2
B' U2 F' R U B' U
B2 U2 F' R U' F U'
L F L' F' D' R2 B
F' U2 F2 L' D' F' R2
F' U2 F2 L' F' D' R2
F' U2 F2 D' L' F' R2
F2 U2 F2 D' R2 B L
F' D L2 R D B' U2
F' D L2 R D' B' U2
F' D L2 R D2 B' U2
F' D L2 R B' U2 D
F' D L2 R B' U2 D'
F' D L2 R B' U2 D2
F' D L2 R B' D U2
F' D L2 R B' D' U2
F' D L2 R B' D2 U2
F' D L2 R' B' R2 U2
U' F D' L2 U L R2
U' F D' L2 U R2 L
F' D L2 D R B' U2
F' D L2 D B' R U2
F' D L2 D' R B' U2
F' D L2 D' B' R U2
F' D L2 D2 R B' U2
F' D L2 D2 B' R U2
F' D L2 B R B2 U2
F' D L2 B' R U2 D
F' D L2 B' R U2 D'
F' D L2 B' R U2 D2
F' D L2 B' R D U2
F' D L2 B' R D' U2
F' D L2 B' R D2 U2
F' D L2 B' D R U2
F' D L2 B' D' R U2
F' D L2 B' D2 R U2
F' D R L2 D B' U2
F' D R L2 D' B' U2
F' D R L2 D2 B' U2
F' D R L2 B' U2 D
F' D R L2 B' U2 D'
F' D R L2 B' U2 D2
F' D R L2 B' D U2
F' D R L2 B' D' U2
F' D R L2 B' D2 U2
F' D R U2 D2 R2 F
F' D R U2 D2 F R2
F' D R U2 F D2 R2
R2 F D' L' F' B R2
R2 F D' L' B F' R2
F' D R D2 U2 R2 F
F' D R D2 U2 F R2
F' D R B L2 B' U2
F' D R B' L2 B' U2
F' D R B2 L2 B' U2
F' D R' L2 B' R2 U2
R2 F D' B L' F' R2
U' F B2 U L' D2 B2
U' F B2 U D2 L' B2
U' F B2 U D2 B2 L'
U' F B2 U' F2 R U2
U' F B2 D' L2 U L
U' F B2 D2 U L' B2
U' F B2 D2 U B2 L'
R2 F B2 U B' L' F'
U2 F' L R U B2 U
U2 F' L R U2 D' R2
U2 F' L R D L2 U2
U2 F' L R D' U2 R2
U2 F' L D L2 R U2
U2 F' L D R L2 U2
U2 F' L D' R U2 R
U2 F' L' R U B2 U
U2 F' L' R U2 D' R2
U2 F' L' R D L2 U2
U2 F' L' R D' U2 R2
U2 F' L' D L2 R U2
U2 F' L' D R L2 U2
U2 F' L' D' R U2 R
U2 F' L2 R U B2 U
U2 F' L2 R U2 D' R2
U2 F' L2 R D L2 U2
U2 F' L2 R D' U2 R2
U' F' R U R' B2 U
U2 F' L2 D L2 R U2
U2 F' L2 D R L2 U2
U2 F' L2 D' R U2 R
L' F' R U B2 U F
L' F' R U2 D' R2 F
L' F' R U2 D' F R2
L' F' R U2 F D' R2
L' F' R D L2 B' U2
L' F' R D' U2 R2 F
L' F' R D' U2 F R2
U2 F' R L U B2 U
U2 F' R L U2 D' R2
U2 F' R L D L2 U2
U2 F' R L D' U2 R2
D F' L2 D B' U2 L
U2 F' R L' U B2 U
U2 F' R L' U2 D' R2
U2 F' R L' D L2 U2
U2 F' R L' D' U2 R2
U2 F' R L2 U B2 U
U2 F' R L2 U2 D' R2
U2 F' R L2 D L2 U2
U2 F' R L2 D' U2 R2
U2 F' R U B2 U D
U2 F' R U B2 U D'
U2 F' R U B2 U D2
U2 F' R U B2 D U
U2 F' R U B2 D' U
U2 F' R U B2 D2 U
L2 F' R U B2 U F
U2 F' R U' D2 F2 U'
U2 F' R U2 R D' R2
U2 F' R U2 R' D' R2
U2 F' R U2 R2 D' R2
U2 F' R U2 D' R2 D
U2 F' R U2 D' R2 D'
U2 F' R U2 D' R2 D2
L2 F' R U2 D' R2 F
L2 F' R U2 D' F R2
L2 F' R U2 F D' R2
U2 F' R D L2 U2 D
U2 F' R D L2 U2 D'
U2 F' R D L2 U2 D2
U2 F' R D L2 D U2
U2 F' R D L2 D' U2
U2 F' R D L2 D2 U2
L2 F' R D L2 B' U2
U2 F' R D' L U2 R2
U2 F' R D' L' U2 R2
U2 F' R D' L2 U2 R2
U2 F' R D' U2 R2 D
U2 F' R D' U2 R2 D'
U2 F' R D' U2 R2 D2
L2 F' R D' U2 R2 F
L2 F' R D' U2 F R2
U2 F' R D2 U' F2 U'
F' D B L2 R B' U2
F' D B L2 B' R U2
F' D B R L2 B' U2
L F' R U B2 U F
L F' R U2 D' R2 F
L F' R U2 D' F R2
L F' R U2 F D' R2
L F' R D L2 B' U2
L F' R D' U2 R2 F
L F' R D' U2 F R2
F' D B' L2 R B' U2
F' D B' L2 B' R U2
F' D B' R L2 B' U2
U2 F' R2 U B2 U L
U2 F' R2 D L2 R' U2
U2 F' R2 D R' L2 U2
U2 F' R2 D' R' U2 R'
F' D B2 L2 R B' U2
F' D B2 L2 B' R U2
F' D B2 R L2 B' U2
U2 F' U F2 B2 U L'
U2 F' U B2 U' R U2
U2 F' U B2 F2 U L'
U2 F' U' D2 F2 U' L'
D' F' U2 R2 D F L'
L' F' D L2 R B' U2
L' F' D L2 B' R U2
L' F' D R L2 B' U2
F' D' L2 R B' U2 R
U2 F' D L2 R U2 D
U2 F' D L2 R U2 D'
U2 F' D L2 R U2 D2
U2 F' D L2 R D U2
U2 F' D L2 R D' U2
U2 F' D L2 R D2 U2
L2 F' D L2 R B' U2
U2 F' D L2 D R U2
U2 F' D L2 D' R U2
U2 F' D L2 D2 R U2
L2 F' D L2 B' R U2
U2 F' D R L2 U2 D
U2 F' D R L2 U2 D'
U2 F' D R L2 U2 D2
U2 F' D R L2 D U2
U2 F' D R L2 D' U2
U2 F' D R L2 D2 U2
L2 F' D R L2 B' U2
U2 F' D R U2 D2 R2
U2 F' D R D2 U2 R2
L' F' D' R U2 R F
F' D' L2 B' R U2 R
U2 F' D' L R U2 R
U2 F' D' L' R U2 R
F' D' R L2 B' U2 R
U2 F' D' L2 R U2 R
U2 F' D' R L U2 R
U2 F' D' R L' U2 R
U2 F' D' R L2 U2 R
U2 F' D' R U2 R D
U2 F' D' R U2 R D'
U2 F' D' R U2 R D2
U2 F' D' R U2 D R
U2 F' D' R U2 D' R
U2 F' D' R U2 D2 R
L2 F' D' R U2 R F
U2 F' D' R D U2 R
U2 F' D' R D' U2 R
U2 F' D' R D2 U2 R
F' D' R U2 R D F
F' D' R U2 R D' F
F' D' R U2 R D2 F
F' D' R U2 R F D
F' D' R U2 R F D'
F' D' R U2 R F D2
F' D' R U2 R' F R2
F' D' R U2 R2 F R'
F' D' R U2 D R F
F' D' R U2 D' R F
F' D' R U2 D2 R F
L F' D L2 R B' U2
F' D' R D U2 R F
L F' D L2 B' R U2
L F' D R L2 B' U2
F' D' R D' U2 R F
F' D' R D2 U2 R F
F D' L2 U L F' R2
F D' L2 U F' L R2
F D' L2 U F' R2 L
F' D' R B U2 R F
F' D' R B' U2 R F
F' D' R B2 U2 R F
U2 F' D2 R U' F2 U'
U2 F' D2 R U2 D R2
U2 F' D2 R D U2 R2
U2 F' D2 R D' L2 U2
L F' D' R U2 R F
U2 F' D2 U' F2 U' L'
F' D' U2 F2 L' F' R2
D2 F2 L2 U' F2 B' L
D2 F2 L2 U' B' L F2
D2 F2 L2 U' B' F2 L
F' D' F2 L' F' R2 B
F' D' B R U2 R F
F' D' B' R U2 R F
F' D' B2 R U2 R F
D2 F2 U' L2 F2 B' L
D2 F2 U' L2 B' L F2
D2 F2 U' L2 B' F2 L
U2 F2 D F L2 R U2
U2 F2 D F R L2 U2
F' D2 R U' F2 U' F'
F' D2 R U2 D R2 F
F' D2 R U2 D F R2
F' D2 R D U2 R2 F
F' D2 R D U2 F R2
F' D2 R D' L2 B' U2
F D2 L' B2 D F' R2
U2 F2 D' F R U2 R
D' B L R2 B D L2
F' D2 U' F2 U' L' F'
D' B R2 L B D L2
D' B R2 D' B' L B2
D' B R2 B2 D' B' L
B D2 B' L D' R2 B
B D2 B' D' L R2 B
B D2 B' D' R2 L B
B2 D2 B2 D' R2 B L
F D2 B2 L' D F' R2
R2 B U' F B U L'
F D2 B2 D L' F' R2
R2 B U' B F U L'
D2 B D B R2 B L
D2 B D B2 L R2 B
D2 B D B2 R2 L B
B2 F U L' D2 F' B2
B2 F U L' D2 B2 F'
B2 F U D2 L' F' B2
B2 F U D2 L' B2 F'
B2 F U D2 B2 L' F'
D2 B' L R2 D B R2
D2 B' L R2 B D R2
D' B' L R2 B D L2
D2 B' L D R2 D B
D2 B' L D R2 D' B
D2 B' L D R2 D2 B
D2 B' L D R2 B D
D2 B' L D R2 B D'
D2 B' L D R2 B D2
D2 B' L D B R2 B
D2 B' L D B' R2 B
D2 B' L D B2 R2 B
D2 B' L B D R2 B
D2 B' L B' D R2 B
D2 B' L B2 D R2 B
B2 F U' F2 R U2 F
D2 B' L2 D L' R2 B
D2 B' L2 D R2 L' B
D2 B' L2 D R2 B L'
B2 F D' L2 U L F'
B2 F D' L2 U F' L
B2 F D2 U L' F' B2
B2 F D2 U L' B2 F'
B2 F D2 U B2 L' F'
D2 B' R2 L D B R2
D2 B' R2 L B D R2
D' B' R2 L B D L2
D2 B' R2 D L B R2
D' B' R2 D' B' L B2
D' B' R2 B2 D' B' L
B' F' R U B' U F
F' B' R U B' U F
D2 B' D L R2 D B
D2 B' D L R2 D' B
D2 B' D L R2 D2 B
D2 B' D L R2 B D
D2 B' D L R2 B D'
D2 B' D L R2 B D2
D2 B' D L B R2 B
D2 B' D L B' R2 B
D2 B' D L B2 R2 B
D2 B' D L' R2 B L2
D2 B' D L2 R2 B L'
D2 B' D R2 L D B
D2 B' D R2 L D' B
D2 B' D R2 L D2 B
D2 B' D R2 L B D
D2 B' D R2 L B D'
D2 B' D R2 L B D2
D2 B' D R2 L' B L2
D2 B' D R2 L2 B L'
D2 B' D R2 D L B
D2 B' D R2 D' L B
D2 B' D R2 D2 L B
D2 B' D B' R2 B L
D2 B' D2 L D' R2 B
U' B2 L U' F' R U2
D' B2 L R2 B D L2
D2 B2 L D R2 B L
U' B2 L' U' F' R U2
D2 B2 L' D R2 B L
U' B2 L2 U' F' R U2
D2 B2 L2 D R2 B L
D' B2 R2 L B D L2
D2 B2 R2 D B L R2
D2 B2 R2 D B R2 L
D' B2 R2 D' B' L B2
D2 B2 R2 B L D R2
D2 B2 R2 B D L R2
D2 B2 R2 B D R2 L
D' B2 R2 B2 D' B' L
U' B2 U' F' R U2 D
U' B2 U' F' R U2 D'
U' B2 U' F' R U2 D2
U' B2 U' F' R D U2
U' B2 U' F' R D' U2
U' B2 U' F' R D2 U2
U' B2 U' F' D R U2
U' B2 U' F' D' R U2
U' B2 U' F' D2 R U2
U2 B2 U' F' R B2 U2
U2 B2 U' F' B2 R U2
U2 B2 U' B2 F' R U2
D2 B2 D L R2 B L
D2 B2 D L' R2 B L
U B2 U F' R U2 R'
D2 B2 D L2 R2 B L
D2 B2 D R2 L B L
D2 B2 D R2 L' B L
D2 B2 D R2 L2 B L
D2 B2 D R2 D B L
D2 B2 D R2 D' B L
D2 B2 D R2 D2 B L
D2 B2 D R2 B L D
D2 B2 D R2 B L D'
D2 B2 D R2 B L D2
D2 B2 D R2 B D L
D2 B2 D R2 B D' L
D2 B2 D R2 B D2 L
D2 B2 D B L R2 B
D2 B2 D B R2 L B
U B2 U' F' R U2 F
F B2 U L' D2 F' B2
F B2 U L' D2 B2 F'
F B2 U D2 L' F' B2
F B2 U D2 L' B2 F'
F B2 U D2 B2 L' F'
U' B2 F U L' D2 B2
U' B2 F U D2 L' B2
U' B2 F U D2 B2 L'
U' B2 F U' F2 R U2
U' B2 F D' L2 U L
F B2 U' F2 R U2 F
U' B2 F D2 U L' B2
U' B2 F D2 U B2 L'
R2 B2 F U B' L' F'
F B2 D' L2 U L F'
F B2 D' L2 U F' L
F B2 D2 U L' F' B2
F B2 D2 U L' B2 F'
F B2 D2 U B2 L' F'
