D' L B R' F'
D L R' F' R B
D2 L D B R' F'
D L D2 B R' F'
D' L F B R' F'
U2 L F B D' R2
D' L F' B R' F'
D' L F2 B R' F'
D' L B R' D F'
D' L B R' D' F'
D' L B R' D2 F'
D' L B R' F' D
D' L B R' F' D'
D' L B R' F' D2
D L B R' F' R
D' L B D R' F'
D' L B D' R' F'
D' L B D2 R' F'
D' L B F R' F'
D' L B F' R' F'
D' L B F2 R' F'
U2 L B D' R2 F
U2 L B D' F R2
U2 L B F D' R2
D' L' B L2 R' F'
D' L' B R' L2 F'
D' L' B R' F' L2
D' L2 B L' R' F'
D' L2 B R' L' F'
D R' L F' R B
L U' B' R' U B2
D R' F' L R B
D R' F' R L B
R' D L F' R B
R' D F' L R B
R' D F' R L B
U2 D' L F B R'
U2 D' L B R' F
U2 D' L B F R'
D' U2 L F B R'
D' U2 L B R' F
D' U2 L B F R'
D' F L B R' F'
D' F' L B R' F'
F' D' L B R' F'
F2 D' L B R' F'
F D' L B R' F'
D' F2 L B R' F'
L B R D' R2 F'
L B R' D' F' R2
L B R' F' D' R2
L B D' R' F' R'
F D' U2 L B F R'
F' D' F' L B R' F'
D' F2 L2 B L' R' F'
D' F2 L2 B R' L' F'
F2 D' F' L B R' F'
F D' F L B R' F'
F' D' F2 L B R' F'
F2 D' F2 L B R' F'
F D' F' L B R' F'
F D' F2 L B R' F'
D' F2 U2 L F B R'
D' F2 U2 L B R' F
D' F2 U2 L B F R'
F' D2 L D B R' F'
F2 D2 L D B R' F'
D2 F2 D L B R' F'
F D2 L D B R' F'
L F2 U' B' R' U B2
U2 F2 D' L F B R'
U2 F2 D' L B R' F
U2 F2 D' L B F R'
L F2 B R D' R2 F'
L F2 B R' D' F' R2
L F2 B R' F' D' R2
L F2 B D' R' F' R'
L2 B L' U' B' R' U
L' B L2 U' B' R' U
D' B R' D2 F L' F2
D' B R' F' B' L B
D' B R' F2 D2 F L'
L' B R' F' L2 D R2
D' B R' B' L F' B
D' B R' B' L B F'
D' B R' B' F' L B
L B R D' R2 D F'
L B R D' R2 D' F'
L B R D' R2 D2 F'
L B R D' R2 F' D
L B R D' R2 F' D'
L B R D' R2 F' D2
L B R D' F R2 F'
L B R D' F' R2 F'
L B R D' F2 R2 F'
L B R F D' R2 F'
L B R F' D' R2 F'
L B R F2 D' R2 F'
L B R' U' B2 U F'
L B R' D F' D2 R2
L B R' D' F R2 F2
L B R' D' F' R2 D
L B R' D' F' R2 D'
L B R' D' F' R2 D2
L B R' D' F2 R2 F
L B R' F' R D' R2
L B R' F' R' D' R2
L B R' F' R2 D' R2
L B R' F' U' B2 U
L B R' F' D' R2 D
L B R' F' D' R2 D'
L B R' F' D' R2 D2
L B R' F2 D' R2 F
L B R' F2 D' F R2
L B U' B' R' B' U
D' B D2 R' F L' F2
L B D R D2 R2 F'
L B D R' D2 F' R2
L B D R' F' D2 R2
D' B D2 F L' R' F'
D' B D2 F R' L' F'
D' B D2 F2 R' F' L'
L B D' R' D F' R'
L B D' R' D' F' R'
L B D' R' D2 F' R'
L B D' R' F R' F2
L B D' R' F' R' D
L B D' R' F' R' D'
L B D' R' F' R' D2
L B D' R' F' D R'
L B D' R' F' D' R'
L B D' R' F' D2 R'
L B D' R' F2 R' F
L B D' F R' F' R'
L B D' F' R' F' R'
L B D' F2 R' F' R'
L B D2 R D R2 F'
L B D2 R' D F' R2
L B F R D' R2 F'
L B F R' D' F' R2
L B F R' F' D' R2
L B F D' R' F' R'
L B F' R D' R2 F'
L B F' R' D' F' R2
L B F' R' F' D' R2
L B F' D' R' F' R'
L B F2 R D' R2 F'
L B F2 R' D' F' R2
L B F2 R' F' D' R2
L B F2 D' R' F' R'
L B' R' F' B2 D' R2
L B' R' B2 D' F' R2
L B' R' B2 F' D' R2
R' B' D F' R B L
D B2 R' U2 F' R B'
D B2 R' U2 F' B' R
D B2 R' U2 B' F' R
