L2 R' U2 L F' B
L2 R' U2 L B F'
L2 R' U2 F' L B
L' R' F' D2 B R'
R' L' F' D2 B R'
L' R' F2 B R F
R' L' F2 B R F
R2 L' F2 R F' B
R2 L' F2 R B F'
L' R' B F2 R F
R' L' B F2 R F
R' L2 U2 L F' B
R' L2 U2 L B F'
R' L2 U2 F' L B
F2 L2 R F' B U2
F2 L2 R B F' U2
L' R2 F2 R F' B
L' R2 F2 R B F'
F2 R L2 F' B U2
F2 R L2 B F' U2
F2 R F' L2 B U2
F2 R F' B L2 U2
F2 R B L2 F' U2
F2 R B F' L2 U2
L2 U2 D2 L F B'
L2 U2 D2 L F B'
L2 U2 D2 L B' F
R' D2 L' F' B R2
R' D2 L' B F' R2
R D2 L' R2 F' B
R D2 L' R2 B F'
R D2 R2 L' F' B
R D2 R2 L' B F'
R D2 R2 B L' F'
L2 D2 U2 L F B'
L2 D2 U2 L B' F
R' D2 B L' F' R2
L' F' R' F' B R
L' F' R' B F' R
L' F2 R' F' B R2
L' F2 R' B F' R2
R' B L' F2 R F
R B L2 F' U2 L
R' B D2 L' F' R2
L B2 L2 R' F' B
L B2 L2 R' B F'
L2 B2 R' U2 F' B
L2 B2 R' U2 B F'
L B2 R' L2 F' B
L B2 R' L2 B F'
L B2 R' F' L2 B
L B2 R' F' B L2
L B2 R' B L2 F'
L B2 R' B F' L2
L2 R' D' U2 F' L B
R' L' D' B F2 R F
L' R' D' B F2 R F
B' L' R2 F2 R F' B
B' L' R2 F2 R B F'
B2 L' R2 F2 R F' B
B2 L' R2 F2 R B F'
B L' R2 F2 R F' B
B L' R2 F2 R B F'
R' L' D2 F' D2 B R'
L' R' D2 F' D2 B R'
R' L' D2 F2 B R F
L2 R' D2 U2 L F' B
L2 R' D2 U2 L B F'
L' R' D2 F2 B R F
R' L' D2 B F2 R F
L2 R' D2 U2 F' L B
L' R' D2 B F2 R F
L2 R' F L F2 B R
L2 R' F L B F2 R
L R' F L2 F2 B R
L R' F L2 B F2 R
L2 R' F U2 L F2 B
L2 R' F U2 L B F2
L2 R' F U2 F2 L B
R2 L' F' R F' B R
R2 L' F' R B F' R
R' L' F' D2 B R' D
R' L' F' D2 B R' D'
R' L' F' D2 B R' D2
R' L' F' D2 B D R'
R' L' F' D2 B D' R'
R' L' F' D2 B D2 R'
L' R' F' D2 B R' D
L' R' F' D2 B R' D'
L' R' F' D2 B R' D2
L' R' F' D2 B D R'
L' R' F' D2 B D' R'
L' R' F' D2 B D2 R'
L R' F' B2 R' B' L2
R2 L' F2 R D F' B
R2 L' F2 R D B F'
R2 L' F2 R D' F' B
R2 L' F2 R D' B F'
R2 L' F2 R D2 F' B
R2 L' F2 R D2 B F'
R2 L' F2 R F' D B
R2 L' F2 R F' D' B
R2 L' F2 R F' D2 B
R2 L' F2 R F' B D
R2 L' F2 R F' B D'
R2 L' F2 R F' B D2
R2 L' F2 R B D F'
R2 L' F2 R B D' F'
R2 L' F2 R B D2 F'
R2 L' F2 R B F' D
R2 L' F2 R B F' D'
R2 L' F2 R B F' D2
R' L' F2 D B R F
L' R' F2 D B R F
R' L' F2 D' B R F
L' R' F2 D' B R F
R' L' F2 D2 B R F
R' L' F2 B R D F
R' L' F2 B R D' F
R' L' F2 B R D2 F
R' L' F2 B R F D
R' L' F2 B R F D'
R' L' F2 B R F D2
R' L' F2 B R' F R2
R' L' F2 B R2 F R'
L' R' F2 D2 B R F
R' L' F2 B D R F
R' L' F2 B D' R F
R' L' F2 B D2 R F
L' R' F2 B R D F
L' R' F2 B R D' F
L' R' F2 B R D2 F
L' R' F2 B R F D
L' R' F2 B R F D'
L' R' F2 B R F D2
L2 R' F2 U2 F L B
L' R' F2 B R' F R2
L' R' F2 B R2 F R'
R' L' F2 B' R F B2
R' L' F2 B' R B2 F
L' R' F2 B D R F
L' R' F2 B D' R F
L' R' F2 B D2 R F
L' R' F2 B' R F B2
L' R' F2 B' R B2 F
R' L' F2 B2 R F B'
R' L' F2 B2 R B' F
L' R' F2 B2 R F B'
L' R' F2 B2 R B' F
R2 L' F2 B R F' B
R2 L' F2 B R B F'
R2 L' F2 B' R F' B
R2 L' F2 B' R B F'
R2 L' F2 B2 R F' B
R2 L' F2 B2 R B F'
R' L' B R' F2 R F'
L' R' B R' F2 R F'
L R' B L2 D2 F' R
R' L' B U2 L' U2 F'
R L' B L' F' U2 L
L' R' B U2 L' U2 F'
R' L' B D F2 R F
L' R' B D F2 R F
R' L' B D' F2 R F
L' R' B D' F2 R F
R' L' B D2 F2 R F
L' R' B D2 F2 R F
R' L' B F2 R D F
R' L' B F2 R D' F
R' L' B F2 R D2 F
R' L' B F2 R F D
R' L' B F2 R F D'
R' L' B F2 R F D2
R' L' B F2 R' F R2
R' L' B F2 R2 F R'
R' L' B F2 D R F
R' L' B F2 D' R F
R' L' B F2 D2 R F
L' R' B F2 R D F
L' R' B F2 R D' F
L' R' B F2 R D2 F
L' R' B F2 R F D
L' R' B F2 R F D'
L' R' B F2 R F D2
L' R' B F2 R' F R2
L' R' B F2 R2 F R'
L' R' B F2 D R F
L' R' B F2 D' R F
L' R' B F2 D2 R F
R2 L' B F2 R F' B
R2 L' B F2 R B F'
L2 R' B' U2 F' L' B2
L2 R' B' U2 F' B2 L'
L2 R' B' U2 B2 F' L'
R' L' B' F2 R F B2
R' L' B' F2 R B2 F
L' R' B' F2 R F B2
L' R' B' F2 R B2 F
R2 L' B' F2 R F' B
R2 L' B' F2 R B F'
R' L' B2 F2 R F B'
R' L' B2 F2 R B' F
L' R' B2 F2 R F B'
L' R' B2 F2 R B' F
L R' B2 F' R' B' L2
R2 L' B2 F2 R F' B
R2 L' B2 F2 R B F'
B' L' F' R' F' B R
B' L' F' R' B F' R
B2 L' F' R' F' B R
B2 L' F' R' B F' R
B L' F' R' F' B R
B L' F' R' B F' R
D2 L' F2 R' F' R' B
B' L' F2 R' F' B R2
B' L' F2 R' B F' R2
B2 L' F2 R' F' B R2
B2 L' F2 R' B F' R2
B L' F2 R' F' B R2
B L' F2 R' B F' R2
R' L2 U2 L D F' B
R' L2 U2 L D B F'
R' L2 U2 L D' F' B
R' L2 U2 L D' B F'
R' L2 U2 L D2 F' B
R' L2 U2 L D2 B F'
R' L2 U2 L F' D B
R' L2 U2 L F' D' B
R' L2 U2 L F' D2 B
R' L2 U2 L F' B D
R' L2 U2 L F' B D'
R' L2 U2 L F' B D2
R' L2 U2 L B D F'
R' L2 U2 L B D' F'
R' L2 U2 L B D2 F'
R' L2 U2 L B F' D
R' L2 U2 L B F' D'
R' L2 U2 L B F' D2
R' L2 U2 L' F' L2 B
R' L2 U2 L' F' B L2
R' L2 U2 L' B L2 F'
R' L2 U2 L' B F' L2
R' L2 U2 L2 B L' F'
R' L2 U2 D L F' B
R' L2 U2 D L B F'
R' L2 U2 D F' L B
R' L2 U2 D' L F' B
R' L2 U2 D' L B F'
R' L2 U2 D' F' L B
R' L2 U2 D2 L F' B
R' L2 U2 D2 L B F'
R' L2 U2 D2 F' L B
R' L2 U2 F L F2 B
R' L2 U2 F L B F2
R' L2 U2 F' L D B
R' L2 U2 F' L D' B
R' L2 U2 F' L D2 B
R' L2 U2 F' L B D
R' L2 U2 F' L B D'
R' L2 U2 F' L B D2
R' L2 U2 F' L' B L2
R' L2 U2 F' L2 B L'
R' L2 U2 F' D L B
R' L2 U2 F' D' L B
R' L2 U2 F' D2 L B
R' L2 D U2 L F' B
R' L2 D U2 L B F'
R' L2 D U2 F' L B
R' L2 D' U2 L F' B
R' L2 D' U2 L B F'
R' L2 D' U2 F' L B
R' L2 D2 U2 L F' B
R' L2 D2 U2 L B F'
R' L2 D2 U2 F' L B
F2 L2 R D F' B U2
F2 L2 R D B F' U2
F2 L2 R D' F' B U2
F2 L2 R D' B F' U2
F2 L2 R D2 F' B U2
F' L2 R F' B R U2
F2 L2 R D2 B F' U2
F2 L2 R F' D B U2
F2 L2 R F' D' B U2
F2 L2 R F' D2 B U2
F2 L2 R F' B U2 D
F2 L2 R F' B U2 D'
F2 L2 R F' B U2 D2
F2 L2 R F' B D U2
F2 L2 R F' B D' U2
F2 L2 R F' B D2 U2
F' L2 R B F' R U2
F2 L2 R B D F' U2
F2 L2 R B D' F' U2
F2 L2 R B D2 F' U2
F2 L2 R B F' U2 D
F2 L2 R B F' U2 D'
F2 L2 R B F' U2 D2
F2 L2 R B F' D U2
F2 L2 R B F' D' U2
F2 L2 R B F' D2 U2
R' L2 F L F2 B R
R' L2 F L B F2 R
B' L2 R' U2 L F' B
B' L2 R' U2 L B F'
F L2 R F' B U2 L'
B' L2 R' U2 F' L B
F L2 R B F' U2 L'
B2 L2 R' U2 L F' B
B2 L2 R' U2 L B F'
B2 L2 R' U2 F' L B
B L2 R' U2 L F' B
B L2 R' U2 L B F'
B L2 R' U2 F' L B
R' L2 F U2 L F2 B
R' L2 F U2 L B F2
R' L2 F U2 F2 L B
F L2 R' U2 F' B L
F L2 R' U2 B L F'
F L2 R' U2 B F' L
L' R2 F' R F' B R
L' R2 F' R B F' R
R L2 F' R' U2 L F
R L2 F' R2 U2 L F'
R L2 F' R2 U2 F' L
L' R2 F2 R D F' B
L' R2 F2 R D B F'
L' R2 F2 R D' F' B
L' R2 F2 R D' B F'
L' R2 F2 R D2 F' B
L' R2 F2 R D2 B F'
L' R2 F2 R F' D B
L' R2 F2 R F' D' B
L' R2 F2 R F' D2 B
L' R2 F2 R F' B D
L' R2 F2 R F' B D'
L' R2 F2 R F' B D2
L' R2 F2 R B D F'
L' R2 F2 R B D' F'
L' R2 F2 R B D2 F'
L' R2 F2 R B F' D
L' R2 F2 R B F' D'
L' R2 F2 R B F' D2
R' L2 F2 U2 F L B
R L2 F' B2 R' B' U2
L' R2 F2 B R F' B
L' R2 F2 B R B F'
L' R2 F2 B' R F' B
L' R2 F2 B' R B F'
L' R2 F2 B2 R F' B
L' R2 F2 B2 R B F'
L' R2 B F2 R F' B
L' R2 B F2 R B F'
B' L2 U2 D2 L F B'
B' L2 U2 D2 L B' F
B2 L2 U2 D2 L F B'
B2 L2 U2 D2 L B' F
R L2 B D2 F' R U2
B L2 U2 D2 L F B'
R' L2 B' U2 F' L' B2
B L2 U2 D2 L B' F
R' L2 B' U2 F' B2 L'
R' L2 B' U2 B2 F' L'
L' R2 B' F2 R F' B
L' R2 B' F2 R B F'
L2 R2 B2 R' F' B U2
L2 R2 B2 R' B F' U2
R2 L2 B2 R' F' B U2
R2 L2 B2 R' B F' U2
L' R2 B2 F2 R F' B
L' R2 B2 F2 R B F'
R L2 B2 F' R' B' U2
B' L2 D2 U2 L F B'
B' L2 D2 U2 L B' F
B2 L2 D2 U2 L F B'
B2 L2 D2 U2 L B' F
B L2 D2 U2 L F B'
B L2 D2 U2 L B' F
R' U L' F' D2 B R'
R' U L' F2 B R F
R' U L' B F2 R F
R' U L2 U2 L F' B
R' U L2 U2 L B F'
R' U L2 U2 F' L B
F L2 F R F' B U2
F L2 F R B F' U2
F' L2 F' R F' B U2
F' L2 F' R B F' U2
L2 U R' U L F B
L2 U R' U L B F
F2 L2 B R F' B U2
F2 L2 B R B F' U2
F2 L2 B' R F' B U2
F2 L2 B' R B F' U2
B' L2 B2 R' U2 F' B
B' L2 B2 R' U2 B F'
F2 L2 B2 R F' B U2
B2 L2 B2 R' U2 F' B
B2 L2 B2 R' U2 B F'
F2 L2 B2 R B F' U2
B L2 B2 R' U2 F' B
B L2 B2 R' U2 B F'
R' U D2 L' F' B R2
R' U D2 L' B F' R2
R' U D2 B L' F' R2
F2 R L F' L B U2
R U D2 L' R2 F' B
R U D2 L' R2 B F'
R U D2 R2 L' F' B
R U D2 R2 L' B F'
R U D2 R2 B L' F'
F2 R L' B L' F' U2
F2 R L2 D F' B U2
F2 R L2 D B F' U2
F' R L2 F' B R U2
F2 R L2 D' F' B U2
F2 R L2 D' B F' U2
F2 R L2 D2 F' B U2
F2 R L2 D2 B F' U2
F' R L2 B F' R U2
F2 R L2 F' D B U2
F2 R L2 F' D' B U2
F2 R L2 F' D2 B U2
F2 R L2 F' B U2 D
F2 R L2 F' B U2 D'
F2 R L2 F' B U2 D2
F2 R L2 F' B D U2
F2 R L2 F' B D' U2
F2 R L2 F' B D2 U2
F2 R L2 B D F' U2
F2 R L2 B D' F' U2
F2 R L2 B D2 F' U2
F2 R L2 B F' U2 D
F2 R L2 B F' U2 D'
F2 R L2 B F' U2 D2
F2 R L2 B F' D U2
F2 R L2 B F' D' U2
F2 R L2 B F' D2 U2
F R L2 F' B U2 L'
F R L2 B F' U2 L'
R' U B L' F2 R F
R' U B D2 L' F' R2
R U B L2 F' U2 L
F2 R U2 D2 R2 F' B
F2 R U2 D2 R2 B F'
B' R D2 L' R2 F' B
B' R D2 L' R2 B F'
B2 R D2 L' R2 F' B
B2 R D2 L' R2 B F'
B' R D2 R2 L' F' B
B' R D2 R2 L' B F'
B' R D2 R2 B L' F'
B2 R D2 R2 L' F' B
B2 R D2 R2 L' B F'
B R D2 L' R2 F' B
B R D2 L' R2 B F'
B2 R D2 R2 B L' F'
F2 R D2 U2 R2 F' B
F2 R D2 U2 R2 B F'
B R D2 R2 L' F' B
B R D2 R2 L' B F'
B R D2 R2 B L' F'
F2 R D2 F' U2 R2 F'
F2 R D2 F' B U2 R2
F R D2 R2 F' L' B
F R D2 R2 F' B L'
F R D2 R2 B F' L'
R' U' L' F' D2 B R'
F2 R D2 B U2 R2 B
F2 R D2 B F' U2 R2
R' U' L' F2 B R F
R' U' L' B F2 R F
F2 R F L2 F2 B U2
F2 R F L2 B F2 U2
R' U' L2 U2 L F' B
R' U' L2 U2 L B F'
R' U' L2 U2 F' L B
F2 R F B L2 F2 U2
F' R F' L2 B R U2
F2 R F' L' B L' U2
F2 R F' L2 D B U2
F2 R F' L2 D' B U2
F2 R F' L2 D2 B U2
F2 R F' L2 B U2 D
F2 R F' L2 B U2 D'
F2 R F' L2 B U2 D2
F2 R F' L2 B D U2
F2 R F' L2 B D' U2
F2 R F' L2 B D2 U2
F2 R F' U2 D2 R2 F'
F' R F' B L2 R U2
F' R F' B R L2 U2
F2 R F' D2 U2 R2 F'
F2 R F' D2 B U2 R2
F2 R F' B L2 U2 D
F2 R F' B L2 U2 D'
F2 R F' B L2 U2 D2
F2 R F' B L2 D U2
F2 R F' B L2 D' U2
F2 R F' B L2 D2 U2
F2 R F' B U2 D2 R2
F2 R F' B D2 U2 R2
F2 R F' B' L2 B2 U2
F2 R F' B2 L2 U2 F
F2 R F2 L2 B U2 B2
F R F' B L2 U2 L
L2 U' R' U' L F B
L2 U' R' U' L B F
F2 R F2 B L2 U2 B'
B' R B L2 F' U2 L
F' R B L2 F' R U2
F2 R B L F' L U2
B2 R B L2 F' U2 L
F2 R B L2 D F' U2
F2 R B L2 D' F' U2
F2 R B L2 D2 F' U2
F2 R B L2 F' U2 D
F2 R B L2 F' U2 D'
F2 R B L2 F' U2 D2
F2 R B L2 F' D U2
F2 R B L2 F' D' U2
F2 R B L2 F' D2 U2
B R B L2 F' U2 L
F2 R B U2 D2 R2 B
F R B L2 F' U2 L'
F' R B F' L2 R U2
F' R B F' R L2 U2
F2 R B D2 U2 R2 B
F2 R B D2 F' U2 R2
F2 R B F L2 F2 U2
F2 R B F' L2 U2 D
F2 R B F' L2 U2 D'
F2 R B F' L2 U2 D2
F2 R B F' L2 D U2
F2 R B F' L2 D' U2
F2 R B F' L2 D2 U2
F2 R B F' U2 D2 R2
F2 R B F' D2 U2 R2
F2 R B F2 L2 U2 B'
F2 R B' L2 F' B2 U2
F2 R B' L2 B2 F' U2
F R B F' L2 U2 L
F2 R B' F' L2 B2 U2
F2 R B2 L2 F' U2 F2
R' U' D2 L' F' B R2
R' U' D2 L' B F' R2
F2 R B2 F' L2 U2 F
D2 R' L F' R' B' L2
R' U' D2 B L' F' R2
R U' D2 L' R2 F' B
R U' D2 L' R2 B F'
D2 R' L' F' R' D2 B2
D2 R' L' F' D2 R' B2
R U' D2 R2 L' F' B
R U' D2 R2 L' B F'
B' R' L' F' D2 B R'
R U' D2 R2 B L' F'
B' R' L' F2 B R F
B' R' L' B F2 R F
B2 R' L' F' D2 B R'
B2 R' L' F2 B R F
B2 R' L' B F2 R F
B' R' L2 U2 L F' B
B' R' L2 U2 L B F'
U2 R' L' B D2 F2 R
B' R' L2 U2 F' L B
B R' L' F' D2 B R'
B R' L' F2 B R F
B2 R' L2 U2 L F' B
B2 R' L2 U2 L B F'
B2 R' L2 U2 F' L B
B R' L' B F2 R F
B R' L2 U2 L F' B
B R' L2 U2 L B F'
B R' L2 U2 F' L B
F R' L2 U2 F' B L
F R' L2 U2 B L F'
F R' L2 U2 B F' L
R' U' B L' F2 R F
R' U' B D2 L' F' R2
R U' B L2 F' U2 L
L2 U2 L R' B R F
D2 R' D2 L' F' R' B
B' R' D2 L' F' B R2
B' R' D2 L' B F' R2
B2 R' D2 L' F' B R2
B2 R' D2 L' B F' R2
L2 U2 L F R' B R
F2 R' D2 L2 F' B R2
F2 R' D2 L2 B F' R2
B R' D2 L' F' B R2
B R' D2 L' B F' R2
B' R' D2 B L' F' R2
R' U2 L' F' D2 B R'
F2 R' D2 F' L2 B R2
F2 R' D2 F' B L2 R2
B2 R' D2 B L' F' R2
F2 R' D2 F' B R2 L2
R' U2 L' F2 B R F
F2 R' D2 B L2 F' R2
R' U2 L' B F2 R F
F' R' F L' F2 B R
F' R' F L' B F2 R
F2 R' D2 B F' L2 R2
F2 R' D2 B F' R2 L2
B R' D2 B L' F' R2
F R' D2 F' L' B R2
F R' D2 F' B L' R2
F R' D2 F' B R2 L'
R' U2 L2 U2 L F' B
R' U2 L2 U2 L B F'
R' U2 L2 U2 F' L B
F R' D2 B F' L' R2
F R' D2 B F' R2 L'
R2 U2 L' F2 R F' B'
R2 U2 L' F2 R B' F'
R2 U2 L' F2 B' R F'
F' R' F B L' F2 R
R2 U2 L' B' F2 R F'
F2 R' F' D2 L2 B R2
F2 R' F' D2 B L2 R2
F2 R' F' D2 B R2 L2
F2 R' F' B D2 L2 R2
F2 R' F' B D2 R2 L2
F R' F' D2 L' B R2
F R' F' D2 B L' R2
F R' F' D2 B R2 L'
F R' F' B D2 L' R2
F R' F' B D2 R2 L'
L2 U2 R' L B R F
U' R' B L' D F2 R
B' R' B L' F2 R F
B2 R' B L' F2 R F
B R' B L' F2 R F
B' R' B D2 L' F' R2
F' R' B F L' F2 R
B2 R' B D2 L' F' R2
F2 R' B D2 L2 F' R2
F2 R' B D2 F' L2 R2
F2 R' B D2 F' R2 L2
F2 R' B F' D2 L2 R2
F2 R' B F' D2 R2 L2
B R' B D2 L' F' R2
F R' B D2 F' L' R2
F R' B D2 F' R2 L'
F R' B F' D2 L' R2
F R' B F' D2 R2 L'
R' U2 D2 L' F' B R2
R' U2 D2 L' B F' R2
L' U2 D2 L' F B' U2
L' U2 D2 L' B' F U2
R' U2 D2 B L' F' R2
L2 U2 D2 L D F B'
L2 U2 D2 L D B' F
L2 U2 D2 L D' F B'
L2 U2 D2 L D' B' F
L2 U2 D2 L D2 F B'
L2 U2 D2 L D2 B' F
L2 U2 D2 L F D B'
L2 U2 D2 L F D' B'
L2 U2 D2 L F D2 B'
L2 U2 D2 L F B' D
L2 U2 D2 L F B' D'
L2 U2 D2 L F B' D2
L2 U2 D2 L B' D F
L2 U2 D2 L B' D' F
L2 U2 D2 L B' D2 F
L2 U2 D2 L B' F D
L2 U2 D2 L B' F D'
L2 U2 D2 L B' F D2
R2 U2 D2 L' R2 F B'
R2 U2 D2 L' R2 B' F
R2 U2 D2 L' F R2 B'
R2 U2 D2 L' F B' R2
R2 U2 D2 L' B' R2 F
R2 U2 D2 L' B' F R2
L2 U2 D2 F L F B'
L2 U2 D2 F L B' F
L2 U2 D2 F' L F B'
L2 U2 D2 F' L B' F
R2 U2 D2 R2 L' F B'
R2 U2 D2 R2 L' B' F
L2 U2 D2 F2 L F B'
L2 U2 D2 F2 L B' F
R U2 D2 L' R2 F' B
R U2 D2 L' R2 B F'
B' R2 L' F2 R F' B
B' R2 L' F2 R B F'
R U2 D2 R2 L' F' B
R U2 D2 R2 L' B F'
R U2 D2 R2 B L' F'
B2 R2 L' F2 R F' B
B2 R2 L' F2 R B F'
B R2 L' F2 R F' B
B R2 L' F2 R B F'
L2 U2 F D2 L F B'
L2 U2 F D2 L B' F
L2 U2 F' D2 L F B'
L2 U2 F' D2 L B' F
R' U2 B L' F2 R F
L2 U2 F2 D2 L F B'
L2 U2 F2 D2 L B' F
R' U2 B D2 L' F' R2
R U2 B L2 F' U2 L
R' D L' D F' B R2
R' D L' D B F' R2
R' D L' B D F' R2
R D L' D R2 F' B
R D L' D R2 B F'
R' D B L' D F' R2
R' D B D L' F' R2
R' D' L' D' F' B R2
R' D' L' D' B F' R2
R' D' L' F' D' B R2
R D' L' D' R2 F' B
R D' L' D' R2 B F'
R' D' B2 U B' L' F'
R' D2 L F' L2 B R2
R' D2 L F' B L2 R2
R' D2 L F' B R2 L2
R' D2 L B L2 F' R2
R' D2 L B F' L2 R2
R' D2 L B F' R2 L2
R' D2 L' F B R2 F2
R' D2 L' F' B R2 D
R' D2 L' F' B R2 D'
R' D2 L' F' B R2 D2
R' D2 L' F' B' R2 B2
R' D2 L' F' B2 R2 B'
R' D2 L' F2 B R2 F
R' D2 L' B F R2 F2
R' D2 L' B F' R2 D
R' D2 L' B F' R2 D'
R' D2 L' B F' R2 D2
R' D2 L' B F2 R2 F
L' D2 L' F U2 L F
R' D2 L' B' F' R2 B2
R' D2 L' B2 F' R2 B'
R D2 L R2 F' L2 B
R D2 L R2 F' B L2
R D2 L R2 B L2 F'
R D2 L R2 B F' L2
R2 D2 L' R B R F
R2 D2 L' F R B R
R' D2 L2 F' L B R2
D2 U2 L R2 F B' L2
D2 U2 L R2 B' F L2
R D2 L' R2 D F' B
R D2 L' R2 D B F'
R D2 L' R2 D' F' B
R D2 L' R2 D' B F'
R D2 L' R2 D2 F' B
R D2 L' R2 D2 B F'
R D2 L' R2 F' D B
R D2 L' R2 F' D' B
R D2 L' R2 F' D2 B
R D2 L' R2 F' B D
R D2 L' R2 F' B D'
R D2 L' R2 F' B D2
R D2 L' R2 B D F'
R D2 L' R2 B D' F'
R D2 L' R2 B D2 F'
R D2 L' R2 B F' D
R D2 L' R2 B F' D'
R D2 L' R2 B F' D2
D2 U2 L F R2 B' L2
