D' L U' R2 F2 B'
D' L U' R2 B' F2
D' L U' F2 R2 B'
D' L U' F2 B' R2
D' L U' B' R2 F2
D' L U' B' F2 R2
D' L' U' F2 R2 B
F' R U2 R B2 U
F' R U2 B2 R U
F' R D2 F2 L' U'
F U2 L' R2 B2 U
F U2 L' B2 R2 U
F' U2 R2 B2 L U
F U2 R2 L' B2 U
F U2 R2 B2 L' U
F U2 B2 L' R2 U
F U2 B2 R2 L' U
F' D' R U' R F2
F' D2 L2 R F2 U'
F' D2 R L2 F2 U'
F' D2 R F2 L2 U'
F D2 F2 L2 R U'
F D2 F2 R L2 U'
D' U' L B' L' F2 R2
U' D' L B' L' R2 F2
U2 D' L U F2 R2 B'
U' D' L B' L' F2 R2
U2 D' L U F2 B' R2
U2 D' L U B' R2 F2
U2 D' L U B' F2 R2
D' U' L B' R2 L' F2
U' D' L B' R2 L' F2
D' U' L' F2 L R2 B
U' D' L' F2 L R2 B
D' U' L' F2 R2 L B
U' D' L' F2 R2 L B
U D' L U2 R2 F2 B'
U D' L U2 R2 B' F2
U D' L U2 F2 R2 B'
U D' L U2 F2 B' R2
U D' L U2 B' R2 F2
U D' L U2 B' F2 R2
U2 D' L' U F2 R2 B
U D' L' U2 F2 R2 B
U D' L' F U2 R2 F
U D' L' F U2 F R2
D U' R D2 R2 F2 B
D U' R D2 R2 B F2
U' D' R' F2 D2 R' B
D' U' R' F2 D2 R' B
U' D' R2 L B' L' F2
D' U' R2 L B' L' F2
D' U' R2 F2 L B' L'
U' D' R2 F2 L B' L'
D U' R' D2 F2 B R2
D U' R' D2 B R2 F2
D U' R' D2 B F2 R2
D U' R' B D2 R2 F'
U' D' F2 L R2 B' L'
D' U' F2 L R2 B' L'
U' D' F2 L B' L' R2
U' D' F2 L B' R2 L'
D' U' F2 L B' L' R2
D' U' F2 L B' R2 L'
D' U' F2 R' D2 R' B
U' D' F2 R' D2 R' B
U' D' F2 R2 L B' L'
D' U' F2 R2 L B' L'
F' U' R2 B2 L U L'
F U' R2 B2 L' U L
F2 U' D' R B R F2
F2 U' D' F2 R B R
D' U2 L U R2 F2 B'
D' U2 L U R2 B' F2
D' U2 L U F2 R2 B'
D' U2 L U F2 B' R2
D' U2 L U B' R2 F2
D' U2 L U B' F2 R2
D' U2 L' U F2 R2 B
F' U2 L R2 B2 L U
F U' B2 L' R2 U L
F U' B2 R2 L' U L
F' U2 L' R2 B2 L U
F U2 L R2 B2 L2 U
F' U2 L2 R2 B2 L U
F U2 L B2 L2 R2 U
F U2 L B2 R2 L2 U
F U2 L' R B2 R U
F U2 L' R2 U D' R2
F U2 L' R2 D' U R2
F U2 L' R2 B2 U D
F U2 L' R2 B2 U D'
F U2 L' R2 B2 U D2
F U2 L' R2 B2 D U
F U2 L' R2 B2 D' U
F U2 L' R2 B2 D2 U
F U2 L' U D' R2 F2
F U2 L' U D' F2 R2
F U2 L' D' U R2 F2
F U2 L' D' U F2 R2
F U2 L' B' R2 B' U
F U2 L' B2 R2 U D
F U2 L' B2 R2 U D'
F U2 L' B2 R2 U D2
F U2 L' B2 R2 D U
F U2 L' B2 R2 D' U
F U2 L' B2 R2 D2 U
F U2 L' B2 U D' F2
F U2 L' B2 D' U F2
F U2 R L' B2 R U
F' U2 R2 L B2 L U
F' U2 R2 L' B2 L U
F' U2 R2 L2 B2 L U
F U2 R B2 L' R U
F U2 R B2 R L' U
F' U2 R2 B2 L U D
F' U2 R2 B2 L U D'
F' U2 R2 B2 L U D2
F' U2 R2 B2 L D U
F' U2 R2 B2 L D' U
F' U2 R2 B2 L D2 U
F' U2 R2 B2 D L U
F' U2 R2 B2 D' L U
F' U2 R2 B2 D2 L U
F2 U2 R2 B L B U
F U2 R2 L B2 L2 U
F U2 R2 L' U D' R2
F U2 R2 L' D' U R2
F U2 R2 L' B2 U D
F U2 R2 L' B2 U D'
F U2 R2 L' B2 U D2
F U2 R2 L' B2 D U
F U2 R2 L' B2 D' U
F U2 R2 L' B2 D2 U
F U2 R2 D' L' U R2
F U2 R2 B L' B U
F U2 R2 B2 L' U D
F U2 R2 B2 L' U D'
F U2 R2 B2 L' U D2
F U2 R2 B2 L' D U
F U2 R2 B2 L' D' U
F U2 R2 B2 L' D2 U
F U2 R2 B2 D L' U
F U2 R2 B2 D' L' U
F U2 R2 B2 D2 L' U
F U2 D' L' U R2 F2
F U2 D' L' U F2 R2
U2 F L' F' R2 B2 U
D2 F L2 U2 B' L U
U2 F L' F' B2 R2 U
U2 F L' B2 F' R2 U
R2 F L' B2 U D L2
R2 F L' B2 U2 B2 U'
R2 F L' B2 D U L2
R2 F L' B2 D2 F2 U
F2 U2 B L B R2 U
U' F R2 B2 L' U L
F U2 B L' B R2 U
U' F U' L' R2 B2 U
U' F U' L' B2 R2 U
F' U2 B2 R2 U2 R' U'
U' F U' R2 L' B2 U
U' F U' R2 B2 L' U
F U2 B' R2 B' L' U
U' F U' B2 L' R2 U
U' F U' B2 R2 L' U
U F U L' R2 B2 U
U F U L' B2 R2 U
R' F U2 L' R' B2 U
U F U R2 L' B2 U
U F U R2 B2 L' U
R' F U2 R' L' B2 U
F U2 B2 L' R2 U D
F U2 B2 L' R2 U D'
F U2 B2 L' R2 U D2
F U2 B2 L' R2 D U
F U2 B2 L' R2 D' U
F U2 B2 L' R2 D2 U
F U2 B2 L' U D' F2
R' F U2 R' B2 L' U
L' F U2 L' R2 B2 U
F U2 B2 L' D' U F2
L' F U2 L' B2 R2 U
F U2 B2 R2 L' U D
F U2 B2 R2 L' U D'
F U2 B2 R2 L' U D2
F U2 B2 R2 L' D U
F U2 B2 R2 L' D' U
F U2 B2 R2 L' D2 U
F U2 B2 R2 D L' U
L' F U2 R2 L' B2 U
F U2 B2 R2 D' L' U
F U2 B2 R2 D2 L' U
L' F U2 R2 B2 L' U
U F U B2 L' R2 U
U F U B2 R2 L' U
L2 F U2 L' R2 B2 U
F U2 B2 D' L' U F2
L2 F U2 L' B2 R2 U
L2 F U2 R2 L' B2 U
L' F U2 B2 L' R2 U
L' F U2 B2 R2 L' U
L2 F U2 R2 B2 L' U
R2 F U2 L' B2 R' U
L2 F U2 B2 L' R2 U
L2 F U2 B2 R2 L' U
L F U2 L' R2 B2 U
L F U2 L' B2 R2 U
L F U2 R2 L' B2 U
L F U2 R2 B2 L' U
L F U2 B2 L' R2 U
L F U2 B2 R2 L' U
F' D R U L2 B2 U2
F' D R U B2 L2 U2
F' D R U' D2 R2 F2
F' D R U' D2 F2 R2
F' D R D L2 F2 U'
F' D R D F2 L2 U'
F' D R D2 U' R2 F2
F' D R D2 U' F2 R2
L' F D2 F2 L2 R U'
L' F D2 F2 R L2 U'
L2 F D2 F2 L2 R U'
L2 F D2 F2 R L2 U'
U' F B2 L' R2 U L
L F D2 F2 L2 R U'
L F D2 F2 R L2 U'
U' F B2 R2 L' U L
U2 F B2 L' F' R2 U
D' F' L U' F' R2 B'
D' F' L U' F' B' R2
D' F' L U' B' F' R2
R2 F B2 L' U D L2
R2 F B2 L' U2 B2 U'
R2 F B2 L' D U L2
R2 F B2 L' D2 F2 U
R2 F B2 D L' U L'
R2 F B2 D2 L' F2 U
D2 F' L2 D2 F' R U'
R' F' R U' D' R2 F2
R' F' R U' D' F2 R2
R' F' R U2 R2 B2 U
R' F' R U2 B2 R2 U
R' F' R D' U' R2 F2
R' F' R D' U' F2 R2
R' F' R D2 L2 F2 U'
R' F' R D2 F2 L2 U'
L' F' R U2 R B2 U
L' F' R U2 B2 R U
L' F' R D2 F2 L' U'
L2 F' R U2 R B2 U
L2 F' R U2 B2 R U
L2 F' R D2 F2 L' U'
R2 F' R U2 R' B2 U
L F' R U2 R B2 U
L F' R U2 B2 R U
L F' R D2 F2 L' U'
U' F' R2 B2 L U L'
U2 F' R2 F B2 L U
U2 F' R2 B2 F L U
U' F' U' R2 B2 L U
F' D' L R U' R F2
U F' U R2 B2 L U
L' F' U2 R2 B2 L U
F' D' L' R U' R F2
L2 F' U2 R2 B2 L U
F' D' L2 R U' R F2
L F' U2 R2 B2 L U
L' F' D' R U' R F2
F' D' R L U' R F2
F' D' R L' U' R F2
F' D' R L2 U' R F2
F' D' R U' R F2 D
F' D' R U' R F2 D'
F' D' R U' R F2 D2
L2 F' D' R U' R F2
F' D' R U' R' F2 R2
F' D' R U' R2 F2 R'
F' D' R D' L2 U' R
L' F' D2 L2 R F2 U'
F2 D' R U' R F2 B
F2 D' R U' R B F2
L' F' D2 R L2 F2 U'
L' F' D2 R F2 L2 U'
L2 F' D2 L2 R F2 U'
L2 F' D2 R L2 F2 U'
L2 F' D2 R F2 L2 U'
L F' D' R U' R F2
L F' D2 L2 R F2 U'
L F' D2 R L2 F2 U'
L F' D2 R F2 L2 U'
D2 F2 L D L U' B'
F2 D' U' R B R F2
R2 F' B2 U2 R B2 U'
R2 F' B2 U2 B2 R U'
F2 D' U' F2 R B R
R2 F' B2 D2 F2 L' U
F2 D' F R U' R F
D2 F2 L2 D' R' U' B
F D' U2 L' U R2 F2
F D' U2 L' U F2 R2
D2 F2 L2 B R' B' U'
F' D2 L R F2 L U'
D2 F2 D L U' F2 B'
D2 F2 D L U' B' F2
F' D2 L2 R U' D R2
F' D2 L2 R D U' R2
F' D2 L2 R F2 U' D
F' D2 L2 R F2 U' D'
F' D2 L2 R F2 U' D2
F' D2 L2 R F2 D U'
F' D2 L2 R F2 D' U'
F' D2 L2 R F2 D2 U'
F' D2 L2 R' F2 R2 U'
F' D2 L2 R2 F2 R' U'
B' D2 L2 F B R' U'
F' D2 L2 D R U' R
B' D2 L2 B R' F U'
B' D2 L2 B F R' U'
F' D2 L2 F2 U2 L' U
F2 D2 L2 F R F U'
F' D2 R L F2 L U'
F' D2 R L2 U' D R2
F' D2 R L2 D U' R2
F' D2 R L2 F2 U' D
F' D2 R L2 F2 U' D'
F' D2 R L2 F2 U' D2
F' D2 R L2 F2 D U'
F' D2 R L2 F2 D' U'
F' D2 R L2 F2 D2 U'
F' D2 R U' D R2 F2
F' D2 R U' D F2 R2
F' D2 R D U' R2 F2
F' D2 R D U' F2 R2
F' D2 R F' L2 F' U'
F' D2 R F2 L2 U' D
F' D2 R F2 L2 U' D'
F' D2 R F2 L2 U' D2
F' D2 R F2 L2 D U'
F' D2 R F2 L2 D' U'
F' D2 R F2 L2 D2 U'
F' D2 R F2 U' D F2
F' D2 R F2 D U' F2
F' D2 R' L2 F2 R2 U'
F D2 L2 F2 U2 L U
D2 F2 B R' B' L2 U'
F' D2 R' F2 L2 R2 U'
F' D2 R' F2 R2 L2 U'
F' D2 R2 L2 F2 R' U'
F D2 R F2 L2 R U'
F D2 R F2 R L2 U'
F' D2 R2 F2 L2 R' U'
F' D2 R2 F2 R' L2 U'
F D2 R' F2 L2 R U'
F D2 R' F2 R L2 U'
F D2 R2 F2 L2 R U'
F D2 R2 F2 R L2 U'
F2 D2 F R F L2 U'
R2 B L2 F L' B U
F' D2 F2 L2 U2 L U
R2 B L2 F B L' U
R2 B L2 B F L' U
F D2 F' L2 F' R U'
D2 B R' F2 B' L2 U'
D2 B R' B' L2 F2 U'
D2 B R' B' F2 L2 U'
F D2 F2 L2 R U' D
F D2 F2 L2 R U' D'
F D2 F2 L2 R U' D2
F D2 F2 L2 R D U'
F D2 F2 L2 R D' U'
F D2 F2 L2 R D2 U'
F D2 F2 L2 D R U'
F D2 F2 L2 D' R U'
F D2 F2 L2 D2 R U'
F D2 F2 R L2 U' D
F D2 F2 R L2 U' D'
F D2 F2 R L2 U' D2
F D2 F2 R L2 D U'
F D2 F2 R L2 D' U'
F D2 F2 R L2 D2 U'
F D2 F2 R U' D F2
F D2 F2 R D U' F2
F D2 F2 D R U' F2
U2 B R2 U2 F' R U'
B2 F L' R2 U D L2
B2 F L' R2 U2 B2 U'
B2 F L' R2 D U L2
B2 F L' R2 D2 F2 U
B2 F R2 L' U D L2
B2 F R2 L' U2 B2 U'
B2 F R2 L' D U L2
B2 F R2 L' D2 F2 U
B' F R2 B' L' F' U
B2 F R2 D L' U L'
B2 F R2 D2 L' F2 U
D2 B F2 R' B' L2 U'
D2 B' L2 F2 B R U'
D2 B' L2 B F2 R U'
B2 F D2 L' F2 R U
U2 B' R2 D2 B' L U
B2 F' R2 U2 R' B2 U'
F2 B' R2 F' B' L' U
F2 B' R2 B' F' L' U
F B' R2 B' L' F' U
U' B2 R2 F L' U L
U2 B2 R' D R' U B
F B2 L' R2 U D L2
F B2 L' R2 U2 B2 U'
F B2 L' R2 D U L2
F B2 L' R2 D2 F2 U
U2 B2 R2 D' L U B'
U2 B2 R2 F L' F' U
B' F2 R2 F' B' L' U
F' B2 R2 U2 R' B2 U'
B' F2 R2 B' F' L' U
F B2 R2 L' U D L2
F B2 R2 L' U2 B2 U'
F B2 R2 L' D U L2
F B2 R2 L' D2 F2 U
F B2 R2 D L' U L'
F B2 R2 D2 L' F2 U
U2 B2 D' L U F2 B'
U2 B2 D' L U B' F2
U' B2 F L' R2 U L
U' B2 F R2 L' U L
U2 B2 F L' F' R2 U
R2 B2 F L' U D L2
R2 B2 F L' U2 B2 U'
R2 B2 F L' D U L2
R2 B2 F L' D2 F2 U
R2 B2 F D L' U L'
R2 B2 F D2 L' F2 U
R2 B2 F' U2 R B2 U'
R2 B2 F' U2 B2 R U'
R2 B2 F' D2 F2 L' U
F B2 D2 L' F2 R U
