U L R' U' R
U R' L U' R
U L R' U' R D
U L R' U' R D'
U L R' U' R D2
U L R' U' D R
U L R' U' D' R
U L R' U' D2 R
U L R' D U' R
U2 L R' U R U2
U L R' D' U' R
U L R' D2 U' R
B2 L R' B2 U L'
U L D R' U' R
U L D' R' U' R
U L D2 R' U' R
U L F R' U' R
U L F' R' U' R
U L F2 R' U' R
R2 U L R U' R'
R U L R2 U' R2
R2 U R L U' R'
R U R2 L U' R2
U2 R' L U R U2
U R' L U' R D
U R' L U' R D'
U R' L U' R D2
U R' L U' D R
U R' L U' D' R
U R' L U' D2 R
U R' L D U' R
U R' L D' U' R
U R' L D2 U' R
B2 R' L B2 U L'
U R' D L U' R
U R' D' L U' R
L' U2 L2 R' U' L'
U R' D2 L U' R
L2 U2 L' R' U' L'
L' U2 R' L2 U' L'
L2 U2 R' L' U' L'
F' U L R' U' R
F2 U L R' U' R
D2 U L R' U' R
D' U L R' U' R
U D L R' U' R
D U L R' U' R
F U L R' U' R
F' U R' L U' R
D2 U R' L U' R
F2 U R' L U' R
D' U R' L U' R
U D R' L U' R
D U R' L U' R
F U R' L U' R
U D' L R' U' R
B2 U' L R' B2 U
U D' R' L U' R
B2 U' R' L B2 U
U D2 L R' U' R
U D2 R' L U' R
U F L R' U' R
U F R' L U' R
U F' L R' U' R
U F' R' L U' R
U F2 L R' U' R
U F2 R' L U' R
U R L F' R2 U' R
U R L F2 R2 U' R
R U F L R2 U' R2
R U F R2 L U' R2
D2 R U L R2 U' R2
D' R U L R2 U' R2
F' R U L R2 U' R2
F2 R U L R2 U' R2
D2 R U R2 L U' R2
R U F' L R2 U' R2
D' R U R2 L U' R2
F' R U R2 L U' R2
D R U L R2 U' R2
F2 R U R2 L U' R2
F R U L R2 U' R2
R U F' R2 L U' R2
D R U R2 L U' R2
F R U R2 L U' R2
B2 R U' L R2 B2 U
B2 R U' L B2 R2 U
R U F2 L R2 U' R2
B2 R U' R2 L B2 U
R U F2 R2 L U' R2
U' R U2 L R2 U' R2
U' R U2 R2 L U' R2
U2 R D L U' B2 L
U R D L U' R' B2
L U' L' R D B2 R'
U R F L R2 U' R
U R F R2 L U' R
U R F' L R2 U' R
U R F' R2 L U' R
L U' R L' D B2 R'
L U' R D L' B2 R'
U R F2 L R2 U' R
U R F2 R2 L U' R
U' R' L U L' U2 L
B2 R' L U L' D' R2
B2 R' L U D' L' R2
B2 R' L U D' R2 L'
U2 R' L U R U2 D
U2 R' L U R U2 D'
U2 R' L U R U2 D2
U2 R' L U R D U2
U2 R' L U R D' U2
U2 R' L U R D2 U2
U2 R' L U D R U2
U2 R' L U D' R U2
U2 R' L U D2 R U2
U2 R' L U' F2 L' F2
B2 R' L D' U L' R2
B2 R' L D' U R2 L'
U2 R' L U2 F2 U L'
U2 R' L D U R U2
U2 R' L D' U R U2
U2 R' L D2 U R U2
U R' L U L U2 R
U R' L U L' U2 R
U R' L U L2 U2 R
U R' L U' R2 D R'
U R' L U' R2 D' R'
U R' L U' R2 D2 R'
U R' L U' D R D
U R' L U' D R D'
U R' L U' D R D2
U R' L U' D' R D
U R' L U' D' R D'
U R' L U' D' R D2
U2 R' L B U R U2
U R' L U' D2 R D
U R' L U' D2 R D'
U R' L U' D2 R D2
B2 R' L B2 U L' D
B2 R' L B2 U L' D'
B2 R' L B2 U L' D2
B2 R' L B2 U D L'
B2 R' L B2 U D' L'
B2 R' L B2 U D2 L'
U R' L U' B R B'
B2 R' L B2 D U L'
B2 R' L B2 D' U L'
U R' L U' B2 R B2
B2 R' L B2 D2 U L'
U2 R' L B' U R U2
U R' L U2 B U R
U R' L U2 B' U R
U R' L U2 B2 U R
U R' L D U' R D
U R' L D U' R D'
U R' L D U' R D2
U2 R' L B2 U R U2
U R' L D' U' R D
U R' L D' U' R D'
U R' L D' U' R D2
U R' L D2 U' R D
U R' L D2 U' R D'
U R' L D2 U' R D2
U2 R' L' U' D F2 L'
U2 R' L' D U' F2 L'
U R' L F2 U L' U2
U R' L' U' R D F2
U R' L' U' D R F2
U R' L' D U' R F2
B2 R' L2 B2 L' U L'
U R' L2 D L' U' R
U R' L2 D' L' U' R
U R' L2 D2 L' U' R
U2 R' U R U' L U'
U2 R' U' L' D F2 L'
U2 R' U' F2 L' D F2
U R' U' R U L U'
U2 R' D L U R U2
U R' U2 B2 R' U R2
U R' D L U' R D
U R' D L U' R D'
U R' D L U' R D2
U R' D L U' D R
U R' D L U' D' R
U R' D L U' D2 R
U R' D L D U' R
U R' D L D' U' R
U R' D L D2 U' R
B2 R' D' L U L' R2
B2 R' D' L U R2 L'
U2 R' D' L U R U2
L U' B2 L' D' B2 R'
R' U2 L U2 L' U L
U R' D' L U' R D
U R' D' L U' R D'
U R' D' L U' R D2
U R' D' L U' D R
U R' D' L U' D' R
U R' D' L U' D2 R
U R' D' L D U' R
U R' D' L D' U' R
U R' D' L D2 U' R
R2 U2 L R U R' U2
R2 U2 L R B2 U' L
U2 R' D2 L U R U2
R U2 L R2 U R2 U2
R U2 L R2 U' D2 L2
R U2 L R2 D B2 U'
R U2 L R2 D2 U' L2
L2 U2 L' R' U' L' D
L2 U2 L' R' U' L' D'
L2 U2 L' R' U' L' D2
L2 U2 L' R' U' D L'
L2 U2 L' R' U' D' L'
L2 U2 L' R' U' D2 L'
L2 U2 L' R' D U' L'
L2 U2 L' R' D' U' L'
L2 U2 L' R' D2 U' L'
L2 U2 L' R' B U' L'
U R' D2 L U' R D
U R' D2 L U' R D'
U R' D2 L U' R D2
U R' D2 L U' D R
U R' D2 L U' D' R
U R' D2 L U' D2 R
L2 U2 L' R' B' U' L'
L2 U2 L' R' B2 U' L'
U R' D2 L D U' R
U R' D2 L D' U' R
U R' D2 L D2 U' R
L2 U2 L' D R' U' L'
B2 R' F L B2 U L'
L2 U2 L' D' R' U' L'
L2 U2 L' D2 R' U' L'
L' U2 L2 R' U' L' D
L' U2 L2 R' U' L' D'
L' U2 L2 R' U' L' D2
L' U2 L2 R' U' D L'
L' U2 L2 R' U' D' L'
L' U2 L2 R' U' D2 L'
L' U2 L2 R' D U' L'
L' U2 L2 R' D' U' L'
L' U2 L2 R' D2 U' L'
L' U2 L2 R' B U' L'
L' U2 L2 R' B' U' L'
L' U2 L2 R' B2 U' L'
L2 U2 L' B U' L' B'
L' U2 L2 D R' U' L'
L' U2 L2 D' R' U' L'
U R' F L F' U' R
L' U2 L2 D2 R' U' L'
L' U2 L2 B U' L' B'
B2 R' F' L B2 U L'
U R' F' L F U' R
R2 U2 R L U R' U2
R2 U2 R L B2 U' L
B2 R' F2 L B2 U L'
U2 R' F2 L F2 U' L2
L' U2 R' L2 U' L' D
L' U2 R' L2 U' L' D'
L' U2 R' L2 U' L' D2
L' U2 R' L2 U' D L'
L' U2 R' L2 U' D' L'
L' U2 R' L2 U' D2 L'
L' U2 R' L2 D U' L'
L' U2 R' L2 D' U' L'
L' U2 R' L2 D2 U' L'
L' U2 R' L2 B U' L'
L' U2 R' L2 B' U' L'
L' U2 R' L2 B2 U' L'
L' U2 R' U' D L F2
L' U2 R' U' D F2 L
L' U2 R' D U' L F2
L' U2 R' D U' F2 L
L2 U2 R' L' U' L' D
L2 U2 R' L' U' L' D'
L2 U2 R' L' U' L' D2
L2 U2 R' L' U' D L'
L2 U2 R' L' U' D' L'
L2 U2 R' L' U' D2 L'
L2 U2 R' L' D U' L'
L2 U2 R' L' D' U' L'
L2 U2 R' L' D2 U' L'
L2 U2 R' L' B U' L'
L2 U2 R' L' B' U' L'
L2 U2 R' L' B2 U' L'
U R' F2 L U L2 U2
U R' F2 L U' D2 R2
U R' F2 L D F2 U'
U R' F2 L D2 U' R2
L2 U2 R' D' L' B2 U'
L2 U2 R' D' B2 L' U'
L2 U2 R' B L' U' L'
L U2 R' U2 R U L'
L2 U2 R' B' L' U' L'
L2 U2 R' B2 L' U' L'
R U2 R2 L U R2 U2
R U2 R2 L U' D2 L2
R U2 R2 L D B2 U'
R U2 R2 L D2 U' L2
L' U2 D R' U' L F2
L' U2 D R' U' F2 L
U2 R' B' U R B U2
R U2 R2 D L B2 U'
R U2 R2 D2 L U' L
L2 U2 D' L' R' B2 U'
L2 U2 D' R' L' B2 U'
L2 U2 D' R' B2 L' U'
U2 R2 L D R B2 U'
U2 R2 L D B2 R U'
U2 R2 L D2 R U' L2
B2 R2 L B2 R U L'
U R2 L D' R F2 U'
D2 R2 U L R U' R'
D' R2 U L R U' R'
F' R2 U L R U' R'
D2 R2 U R L U' R'
D' R2 U R L U' R'
F' R2 U R L U' R'
F2 R2 U L R U' R'
F2 R2 U R L U' R'
D R2 U L R U' R'
D R2 U R L U' R'
F R2 U L R U' R'
F R2 U R L U' R'
B2 R2 U' L R B2 U
B2 R2 U' L B2 R U
B2 R2 U' R L B2 U
L2 U2 B L' U' L' B'
U' R2 U2 L R U' R'
U' R2 U2 R L U' R'
U2 R2 D L R B2 U'
U2 R2 D L B2 R U'
U2 R2 D R L B2 U'
U R2 D' L R F2 U'
U R2 D' R L F2 U'
U2 R2 D2 L R U' L
U R2 D' R F2 L U'
U2 R2 D2 R L U' L
R D L U' L' B2 R'
L' D R' U' L F2 R
L2 D R2 F2 L' R U
L2 D R2 F2 R L' U
R2 D U L R U' R'
R2 D U R L U' R'
D' U L R' U' R D
D' U L R' U' R D'
D' U L R' U' R D2
D' U L R' U' D R
D' U L R' U' D' R
D' U L R' U' D2 R
D' U L R' D U' R
D' U L R' D' U' R
D' U L R' D2 U' R
D2 U L R' U' R D
D2 U L R' U' R D'
D2 U L R' U' R D2
D2 U L R' U' D R
D2 U L R' U' D' R
D2 U L R' U' D2 R
D2 U L R' D U' R
D2 U L R' D' U' R
D2 U L R' D2 U' R
F' U L R' U' R D
F' U L R' U' R D'
F' U L R' U' R D2
F' U L R' U' D R
F' U L R' U' D' R
F' U L R' U' D2 R
F' U L R' D U' R
F' U L R' D' U' R
F' U L R' D2 U' R
D' U L D R' U' R
D2 U L D R' U' R
D' U L D' R' U' R
F2 U L R' U' R D
F2 U L R' U' R D'
F2 U L R' U' R D2
F2 U L R' U' D R
F2 U L R' U' D' R
F2 U L R' U' D2 R
D2 U L D' R' U' R
F2 U L R' D U' R
F2 U L R' D' U' R
F' U L D R' U' R
F2 U L R' D2 U' R
D' U L D2 R' U' R
D2 U L D2 R' U' R
F' U L D' R' U' R
D' U L F R' U' R
U2 D L R' U R U2
L' D U2 R' U' L F2
L' D U2 R' U' F2 L
D2 U L F R' U' R
F' U L D2 R' U' R
D' U L F' R' U' R
D2 U L F' R' U' R
F' U L F R' U' R
D' U L F2 R' U' R
D2 U L F2 R' U' R
F' U L F' R' U' R
F2 U L D R' U' R
F' U L F2 R' U' R
F2 U L D' R' U' R
F2 U L D2 R' U' R
D U L R' U' R D
D U L R' U' R D'
D U L R' U' R D2
D U L R' U' D R
D U L R' U' D' R
D U L R' U' D2 R
D U L R' D U' R
D U L R' D' U' R
D U L R' D2 U' R
F2 U L F R' U' R
F2 U L F' R' U' R
F2 U L F2 R' U' R
F U L R' U' R D
F U L R' U' R D'
F U L R' U' R D2
F U L R' U' D R
F U L R' U' D' R
F U L R' U' D2 R
F U L R' D U' R
F U L R' D' U' R
F U L R' D2 U' R
D U L D R' U' R
D U L D' R' U' R
U D L R' U' R D
U D L R' U' R D'
U D L R' U' R D2
U D L R' U' D R
U D L R' U' D' R
U D L R' U' D2 R
U D L R' D U' R
U D L R' D' U' R
U D L R' D2 U' R
D U L D2 R' U' R
D U L F R' U' R
F U L D R' U' R
D U L F' R' U' R
D U L F2 R' U' R
F U L D' R' U' R
U D L D R' U' R
F U L D2 R' U' R
U D L D' R' U' R
F U L F R' U' R
U D L D2 R' U' R
F U L F' R' U' R
U D L F R' U' R
F U L F2 R' U' R
U D L F' R' U' R
U D L F2 R' U' R
L2 D F2 R U D B2
L2 D F2 R U2 R2 U'
L2 D F2 R D U B2
L2 D F2 R D2 L2 U
D' U R' L U' R D
D' U R' L U' R D'
D' U R' L U' R D2
D' U R' L U' D R
D' U R' L U' D' R
D' U R' L U' D2 R
D' U R' L D U' R
D' U R' L D' U' R
D' U R' L D2 U' R
D2 U R' L U' R D
D2 U R' L U' R D'
D2 U R' L U' R D2
D2 U R' L U' D R
D2 U R' L U' D' R
D2 U R' L U' D2 R
D2 U R' L D U' R
D2 U R' L D' U' R
D2 U R' L D2 U' R
F' U R' L U' R D
F' U R' L U' R D'
F' U R' L U' R D2
F' U R' L U' D R
F' U R' L U' D' R
F' U R' L U' D2 R
F' U R' L D U' R
F' U R' L D' U' R
F' U R' L D2 U' R
D' U R' D L U' R
D2 U R' D L U' R
F2 U R' L U' R D
F2 U R' L U' R D'
F2 U R' L U' R D2
F2 U R' L U' D R
F2 U R' L U' D' R
F2 U R' L U' D2 R
F2 U R' L D U' R
D' U R' D' L U' R
F2 U R' L D' U' R
F2 U R' L D2 U' R
D2 U R' D' L U' R
F' U R' D L U' R
D' U R' D2 L U' R
U2 D R' L U R U2
D2 U R' D2 L U' R
F' U R' D' L U' R
F' U R' D2 L U' R
F2 U R' D L U' R
F2 U R' D' L U' R
F2 U R' D2 L U' R
D U R' L U' R D
D U R' L U' R D'
D U R' L U' R D2
D U R' L U' D R
D U R' L U' D' R
D U R' L U' D2 R
D U R' L D U' R
D U R' L D' U' R
D U R' L D2 U' R
F U R' L U' R D
F U R' L U' R D'
F U R' L U' R D2
F U R' L U' D R
F U R' L U' D' R
F U R' L U' D2 R
F U R' L D U' R
F U R' L D' U' R
F U R' L D2 U' R
D U R' D L U' R
U D R' L U' R D
U D R' L U' R D'
U D R' L U' R D2
U D R' L U' D R
U D R' L U' D' R
U D R' L U' D2 R
U D R' L D U' R
U D R' L D' U' R
U D R' L D2 U' R
D U R' D' L U' R
D U R' D2 L U' R
F U R' D L U' R
U D R' D L U' R
F U R' D' L U' R
U D R' D' L U' R
F U R' D2 L U' R
U D R' D2 L U' R
D' U F L R' U' R
D2 U F L R' U' R
F' U D L R' U' R
D' U F R' L U' R
D2 U F R' L U' R
F' U D R' L U' R
F2 U D L R' U' R
F2 U D R' L U' R
F' U D' L R' U' R
D U F L R' U' R
D' U F' L R' U' R
D2 U F' L R' U' R
F' U D' R' L U' R
D U F R' L U' R
D' U F' R' L U' R
F2 U D' L R' U' R
F U D L R' U' R
D2 U F' R' L U' R
U D F L R' U' R
F2 U D' R' L U' R
F U D R' L U' R
U D F R' L U' R
F' U D2 L R' U' R
R D B2 R D' R2 F2
R D B2 R D' F2 R2
D' U F2 L R' U' R
D U F' L R' U' R
F' U D2 R' L U' R
D2 U F2 L R' U' R
F2 U D2 L R' U' R
R D B2 U' R' B2 U
F U D' L R' U' R
D U F' R' L U' R
D' U F2 R' L U' R
D2 U F2 R' L U' R
F2 U D2 R' L U' R
U D F' L R' U' R
F U D' R' L U' R
F' U F L R' U' R
U D F' R' L U' R
F' U F R' L U' R
F2 U F L R' U' R
D U F2 L R' U' R
F U D2 L R' U' R
F2 U F R' L U' R
D U F2 R' L U' R
F U D2 R' L U' R
U D F2 L R' U' R
F' U F' L R' U' R
U D F2 R' L U' R
F U F L R' U' R
F' U F' R' L U' R
F2 U F' L R' U' R
F U F R' L U' R
F2 U F' R' L U' R
F' U F2 L R' U' R
F U F' L R' U' R
F' U F2 R' L U' R
F2 U F2 L R' U' R
F U F' R' L U' R
F2 U F2 R' L U' R
F U F2 L R' U' R
F U F2 R' L U' R
U2 D' L R' U R U2
U D' L R' U' R D
U D' L R' U' R D'
U D' L R' U' R D2
U D' L R' U' D R
U D' L R' U' D' R
U D' L R' U' D2 R
U D' L R' D U' R
U D' L R' D' U' R
U D' L R' D2 U' R
R2 D' U L R U' R'
U D' L D R' U' R
U D' L D' R' U' R
U D' L D2 R' U' R
R2 D' U R L U' R'
U D' L F R' U' R
U D' L F' R' U' R
U D' L F2 R' U' R
B2 U' L R B2 R2 U
B2 U' L R' U D' R2
B2 U' L R' D' U R2
B2 U' L R' B2 U D
B2 U' L R' B2 U D'
B2 U' L R' B2 U D2
B2 U' L R' B2 D U
B2 U' L R' B2 D' U
