B' L2 R' U' R
B' R' L2 U' R
B' L2 R' U' R D
B' L2 R' U' R D'
B' L2 R' U' R D2
B' L2 R' U' D R
B' L2 R' U' D' R
B' L2 R' U' D2 R
B' L2 R' D U' R
B' L2 R' D' U' R
B' L2 R' D2 U' R
B' L2 D R' U' R
B' L2 D' R' U' R
B' L2 D2 R' U' R
B' L2 F R' U' R
B' L2 F' R' U' R
B' L2 F2 R' U' R
B2 L2 B R' U' R
U R B' L2 U' B2
B' R' L2 U' R D
B' R' L2 U' R D'
B' R' L2 U' R D2
B' R' L2 U' D R
B' R' L2 U' D' R
B' R' L2 U' D2 R
B' R' L2 D U' R
B' R' L2 D' U' R
B' R' L2 D2 U' R
B' R' U' R D F2
B' R' U' D R F2
B' R' D U' R F2
B2 U L2 B R' U'
B2 U B L2 R' U'
B2 U B R' L2 U'
B U B2 L2 R' U'
B U B2 R' L2 U'
B' D R' U' R F2
B' F L2 R' U' R
B' F R' L2 U' R
R' B' L2 R' U' R2
R2 B' L2 R' U' R'
R' B' R' L2 U' R2
R2 B' R' L2 U' R'
U B' L2 R U' B
U B' R L2 U' B
D B' R' U' R F2
F' B' L2 R' U' R
B' F' L2 R' U' R
F2 B' L2 R' U' R
F' B' R' L2 U' R
B' F' R' L2 U' R
F B' L2 R' U' R
F2 B' R' L2 U' R
F B' R' L2 U' R
B' F2 L2 R' U' R
B' F2 R' L2 U' R
B' L2 D' R' U' D' R
B' L2 D' R' U' D2 R
B' L2 D' R' D U' R
B' L2 D' R' D' U' R
B' L2 D' R' D2 U' R
B' L2 D' F R' U' R
B' L2 D' F' R' U' R
B' L2 D' F2 R' U' R
B' L2 D2 R' U' R D
B' L2 D2 R' U' R D'
B' L2 D2 R' U' R D2
B' L2 D2 R' U' D R
B' L2 D2 R' U' D' R
B' L2 D2 R' U' D2 R
B' L2 D2 R' D U' R
B' L2 D2 R' D' U' R
B' L2 D2 R' D2 U' R
B' L2 D2 F R' U' R
B' L2 D2 F' R' U' R
B' L2 D2 F2 R' U' R
B' L2 F R' U' R D
B' L2 F R' U' R D'
B' L2 F R' U' R D2
B' L2 F R' U' D R
B' L2 F R' U' D' R
B' L2 F R' U' D2 R
B' L2 F R' D U' R
B' L2 F R' D' U' R
B' L2 F R' D2 U' R
B' L2 F D R' U' R
B' L2 F D' R' U' R
B' L2 F D2 R' U' R
B2 L2 F B R' U' R
B' L2 F' R' U' R D
B' L2 F' R' U' R D'
B' L2 F' R' U' R D2
B' L2 F' R' U' D R
B' L2 F' R' U' D' R
B' L2 F' R' U' D2 R
B' L2 F' R' D U' R
B' L2 F' R' D' U' R
B' L2 F' R' D2 U' R
B' L2 F' D R' U' R
B' L2 F' D' R' U' R
B' L2 F' D2 R' U' R
B2 L2 F' B R' U' R
R' U R B D L2 F2
R' U R B D F2 L2
B' L2 F2 R' U' R D
B' L2 F2 R' U' R D'
B' L2 F2 R' U' R D2
B' L2 F2 R' U' D R
B' L2 F2 R' U' D' R
B' L2 F2 R' U' D2 R
B' L2 F2 R' D U' R
B' L2 F2 R' D' U' R
B' L2 F2 R' D2 U' R
B' L2 F2 D R' U' R
B' L2 F2 D' R' U' R
B' L2 F2 D2 R' U' R
B2 L2 F2 B R' U' R
B L2 F2 B2 R U' R'
B2 L2 B R' U' R D
B2 L2 B R' U' R D'
B2 L2 B R' U' R D2
B2 L2 B R' U' D R
B2 L2 B R' U' D' R
B2 L2 B R' U' D2 R
B2 L2 B R' D U' R
B2 L2 B R' D' U' R
B2 L2 B R' D2 U' R
B2 L2 B D R' U' R
B2 L2 B D' R' U' R
B2 L2 B D2 R' U' R
B2 L2 B F R' U' R
B2 L2 B F' R' U' R
B2 L2 B F2 R' U' R
B L2 B2 F2 R U' R'
B' R L2 U' D R' B2
B' R L2 D U' R' B2
B' R L2 F R2 U' R
B' R L2 F' R2 U' R
B' R L2 F2 R2 U' R
U R L2 U2 F U B
B' R U' D R' F2 B2
B' R U' D R' B2 F2
B' R U' D F2 R' B2
U R U' B D L2 F2
U R U' B D F2 L2
B' R D U' R' F2 B2
B' R D U' R' B2 F2
B' R D U' F2 R' B2
U R D B' U' F2 B2
U R D B' U' B2 F2
B' R F L2 R2 U' R
B' R F R2 L2 U' R
B' R F' L2 R2 U' R
B' R F' R2 L2 U' R
B' R F2 L2 R2 U' R
B' R F2 R2 L2 U' R
U R B L2 B2 U' B2
U R B' L2 R U' B2
U R B' L2 R' U' B2
U R B' L2 R2 U' B2
U R B' L2 U' B2 D
U R B' L2 U' B2 D'
U R B' L2 U' B2 D2
U R B' L2 D' R2 U'
U R B' R L2 U' B2
U R B' R' L2 U' B2
U R B' R2 L2 U' B2
U R B' U' B2 D F2
B' R' L D L U' R
B' R' L D' L U' R
B' R' L D2 L U' R
B' R' L' D L' U' R
B' R' L' D' L' U' R
B' R' L' D2 L' U' R
L2 U' F L' U F' B'
L2 U' F L' U B' F'
B' R' L2 U L U2 R
B' R' L2 U L' U2 R
B' R' L2 U L2 U2 R
B' R' L2 U' R2 D R'
B' R' L2 U' R2 D' R'
B' R' L2 U' R2 D2 R'
B' R' L2 U' D R D
B' R' L2 U' D R D'
B' R' L2 U' D R D2
B' R' L2 U' D' R D
B' R' L2 U' D' R D'
B' R' L2 U' D' R D2
B' R' L2 U' D2 R D
B' R' L2 U' D2 R D'
B' R' L2 U' D2 R D2
B' R' L2 U' B R B'
B' R' L2 U' B2 R B2
B' R' L2 U2 B U R
B' R' L2 U2 B' U R
B' R' L2 U2 B2 U R
B' R' L2 D U' R D
B' R' L2 D U' R D'
B' R' L2 D U' R D2
B' R' L2 D' U' R D
B' R' L2 D' U' R D'
B' R' L2 D' U' R D2
B' R' L2 D2 U' R D
B' R' L2 D2 U' R D'
B' R' L2 D2 U' R D2
B' R' L2 F2 U L' U2
B' R' U D' B2 U2 R
B' R' U' R U L2 U'
B' R' U' R D F2 D
B' R' U' R D F2 D'
B' R' U' R D F2 D2
B' R' U' R F D F2
B' R' U' R F' D F2
B' R' U' R F2 D F2
B' R' U' R2 D R' F2
B' R' U' R2 D F2 R'
B' R' U' D R F2 D
B' R' U' D R F2 D'
B' R' U' D R F2 D2
B' R' U' D R' F2 R2
B' R' U' D R2 F2 R'
B' R' U' D' R D2 F2
B' R' U' F2 D F2 R
B' R' U2 D2 R2 U R'
B' R' D L U' R F2
B' R' D L' U' R F2
B' R' D L2 U' R F2
B' R' D U' R F2 D
B' R' D U' R F2 D'
B' R' D U' R F2 D2
B' R' D U' R' F2 R2
B' R' D U' R2 F2 R'
B' R' D' U B2 U2 R
B' R' D' U' R D2 F2
B' R' D2 U2 R2 U R'
B' R' F L2 F' U' R
B' R' F' L2 F U' R
B' R' F2 L2 U L U2
B' R' F2 U' D F2 R
B' R' F2 D U' F2 R
F' R' B' L2 R' U' R2
B' R' B' L2 B U' R
F' R' B' R' L2 U' R2
F2 R' B' L2 R' U' R2
F2 R' B' R' L2 U' R2
D R' B' R' U' R2 F2
D R' B' R' U' F2 R2
F R' B' L2 R' U' R2
U R' B' L2 R2 U' B
U R' B' L2 U F' U2
F R' B' R' L2 U' R2
B' R' B2 L2 B2 U' R
U R' B' R2 L2 U' B
B R' B2 L2 R' U' R2
B R' B2 R' L2 U' R2
B' R2 L2 D' R F2 U'
L2 U2 F U2 R U' R'
R' U2 B' L2 U' R B
F' R2 B' L2 R' U' R'
F' R2 B' R' L2 U' R'
F2 R2 B' L2 R' U' R'
F2 R2 B' R' L2 U' R'
D R2 B' R' U' R' F2
D R2 B' R' U' F2 R'
F R2 B' L2 R' U' R'
F R2 B' R' L2 U' R'
U R2 B' L2 R' U' B
U R2 B' R' L2 U' B
B R2 B2 L2 R' U' R'
B R2 B2 R' L2 U' R'
B2 U L' B L' R' U'
B2 U L' B R' L' U'
B' U L2 R' U R U2
B2 U L2 B R' U' D
B2 U L2 B R' U' D'
B2 U L2 B R' U' D2
B2 U L2 B R' D U'
B2 U L2 B R' D' U'
B2 U L2 B R' D2 U'
B2 U L2 B D R' U'
B2 U L2 B D' R' U'
B2 U L2 B D2 R' U'
B U L2 B2 U2 L' U
F' U R B' L2 U' B2
B' U R' L2 U R U2
F2 U R B' L2 U' B2
B' U R' U' D F2 L'
B' U R' D U' F2 L'
D U R B' U' F2 B2
D U R B' U' B2 F2
B U R B2 L2 R' U'
B U R B2 R' L2 U'
F U R B' L2 U' B2
R' D B' R' U' R2 F2
R' D B' R' U' F2 R2
U D R B' U' F2 B2
U D R B' U' B2 F2
B U R' B2 L2 R' U'
B U R' B2 R' L2 U'
B' U D R' U' F2 L'
B U R2 B2 L2 R' U'
B U R2 B2 R' L2 U'
D U B' R U' F2 B
D U B' R U' B F2
U D B' R U' F2 B
U D B' R U' B F2
B2 U B L2 R' U' D
B2 U B L2 R' U' D'
B2 U B L2 R' U' D2
B2 U B L2 R' D U'
B2 U B L2 R' D' U'
B2 U B L2 R' D2 U'
B2 U B L2 D R' U'
B2 U B L2 D' R' U'
B2 U B L2 D2 R' U'
B2 U B R' L2 U' D
B2 U B R' L2 U' D'
B2 U B R' L2 U' D2
B2 U B R' L2 D U'
B2 U B R' L2 D' U'
B2 U B R' L2 D2 U'
B2 U B R' U' D F2
B2 U B R' D U' F2
B2 U B D R' U' F2
B U B L2 B R' U'
F' U B' L2 R U' B
F' U B' R L2 U' B
F2 U B' L2 R U' B
F2 U B' R L2 U' B
F U B' L2 R U' B
F U B' R L2 U' B
B U B2 L2 R' U' D
B U B2 L2 R' U' D'
B U B2 L2 R' U' D2
B U B2 L2 R' D U'
B U B2 L2 R' D' U'
B U B2 L2 R' D2 U'
B U B2 L2 D R' U'
B U B2 L2 D' R' U'
B U B2 L2 D2 R' U'
B U B2 R' L2 U' D
B U B2 R' L2 U' D'
B U B2 R' L2 U' D2
B U B2 R' L2 D U'
B U B2 R' L2 D' U'
B U B2 R' L2 D2 U'
B U B2 R' U' D F2
B U B2 R' D U' F2
B U B2 D R' U' F2
B U' L U2 L B2 U'
B U' D L U L F2
B U' D L U F2 L
B U' D2 L R2 F2 U
B U' D2 L F2 R2 U
B U' D2 R2 L F2 U
B U' D2 R2 F2 L U
B U' D2 F2 L R2 U
B U' D2 F2 R2 L U
B2 U' B L2 R' F U'
B2 U' B L2 F R' U'
B2 U' B R' L2 F U'
B' D L R' U' R F2
U2 F U' R B' L2 U'
B' D L' R' U' R F2
U2 F U' B' L2 R U'
U2 F U' B' R L2 U'
B2 D L F2 B' D L2
B2 D L B' F2 D L2
B' D L2 R' U' R F2
B D L2 U' L' U F2
B' D R' L U' R F2
B' D R' L' U' R F2
B D L2 F2 U R U'
B' D R' L2 U' R F2
B' D R' U' R F2 D
B' D R' U' R F2 D'
B' D R' U' R F2 D2
B' D R' U' R' F2 R2
B' D R' U' R2 F2 R'
B' D R' D' L2 U' R
B' D U R' U' F2 L'
R2 F B' L2 R' U' R'
R2 F B' R' L2 U' R'
D F B' R' U' R F
B D U' L U L F2
B D U' L U F2 L
B' D F R' U' R F
B' D F' R' U' R F'
B2 D F2 L B' D L2
B D F2 L' D' L' B2
B D F2 L' D' B2 L'
B D F2 L2 U' L' U
B D F2 U' L U L
F' D B' R' U' R F2
F2 D B' R' U' R F2
F D B' R' U' R F2
B' D' R' U B2 U2 R
B' D' R' U' R D2 F2
B' D' R' U' D2 R F2
B' D' R' D L2 U' R
B' D' R' D2 U' R F2
R2 F' B' L2 R' U' R'
R2 F' B' R' L2 U' R'
D F' B' R' U' R F'
D F2 U R B' U' B2
D F2 U B' R U' B
B D2 L R2 F2 U R2
B D2 L F2 R2 U R2
B D2 L' D' L2 F2 B2
B D2 L' D' L2 B2 F2
B D2 L' D' F2 L2 B2
B D2 L' D' F2 B2 L2
B D2 L' D' B2 L2 F2
B D2 L' D' B2 F2 L2
B' D2 R' U' R D' F2
B' D2 R' U2 R' U R2
B D2 R2 L F2 U R2
D F2 B U B2 R' U'
R2 F2 B' L2 R' U' R'
R2 F2 B' R' L2 U' R'
B D2 R2 F2 L U R2
D F2 B2 U B R' U'
B D2 U' L R2 F2 U
B D2 U' L F2 R2 U
B D2 U' R2 L F2 U
B D2 U' R2 F2 L U
B D2 U' F2 L R2 U
B D2 U' F2 R2 L U
U B L2 R B2 U' B'
B D2 F2 L R2 U R2
U B L2 B2 R U' B
B D2 F2 R2 L U R2
U B R L2 B2 U' B'
D B U B2 R' U' F2
L2 B U' F L U F'
B' F L2 R' U' R D
B' F L2 R' U' R D'
B' F L2 R' U' R D2
B' F L2 R' U' D R
B' F L2 R' U' D' R
B' F L2 R' U' D2 R
B' F L2 R' D U' R
B' F L2 R' D' U' R
B' F L2 R' D2 U' R
B' F L2 D R' U' R
B' F L2 D' R' U' R
B' F L2 D2 R' U' R
B' F L2 F R' U' R
B' F L2 F' R' U' R
B' F L2 F2 R' U' R
B2 F L2 B R' U' R
B' F R' L2 U' R D
B' F R' L2 U' R D'
B' F R' L2 U' R D2
B' F R' L2 U' D R
B' F R' L2 U' D' R
B' F R' L2 U' D2 R
B' F R' L2 D U' R
B' F R' L2 D' U' R
B' F R' L2 D2 U' R
B' F R' U' R D F2
B' F R' U' D R F2
B' F R' D U' R F2
B2 F U L2 B R' U'
F' B U B2 L2 R' U'
F' B U B2 R' L2 U'
B2 F U B L2 R' U'
B2 F U B R' L2 U'
F2 B U B2 L2 R' U'
F2 B U B2 R' L2 U'
D B F2 U B2 R' U'
B F U B2 L2 R' U'
B F U B2 R' L2 U'
D B' L R' U' R F2
F B U B2 L2 R' U'
F B U B2 R' L2 U'
R' B' L2 R' U' R2 D
R' B' L2 R' U' R2 D'
R' B' L2 R' U' R2 D2
R' B' L2 R' D' F2 U'
R' B' L2 R' F U' R2
R' B' L2 R' F' U' R2
R' B' L2 R' F2 U' R2
D' B' L2 R' U' R F
B' F D R' U' R F2
R' B' L2 U' R D B2
R' B' L2 D R' U' R2
R' B' L2 D' R' U' R2
R' B' L2 D2 R' U' R2
D B' L' R' U' R F2
R2 B' L2 R' U' R' D
R2 B' L2 R' U' R' D'
R2 B' L2 R' U' R' D2
R2 B' L2 R' U' D R'
R2 B' L2 R' U' D' R'
R2 B' L2 R' U' D2 R'
R2 B' L2 R' D U' R'
R2 B' L2 R' D' U' R'
R2 B' L2 R' D2 U' R'
R2 B' L2 R' F U' R'
R2 B' L2 R' F' U' R'
R2 B' L2 R' F2 U' R'
D B' L2 R' U' R F2
R2 B' L2 D' R' F2 U'
R2 B' L2 D' F2 R' U'
R2 B' L2 F R' U' R'
R2 B' L2 F' R' U' R'
R' B' R' L2 U' R2 D
R' B' R' L2 U' R2 D'
R' B' R' L2 U' R2 D2
R' B' R' L2 D' F2 U'
R' B' R' L2 F U' R2
R' B' R' L2 F' U' R2
R' B' R' L2 F2 U' R2
R2 B' L2 F2 R' U' R'
D' B' R' L2 U' R F
D2 B' R' U' R D' F2
U B' L2 R U' D B
U B' L2 R U' D' B
U B' L2 R U' D2 B
U B' L2 R U' B D
U B' L2 R U' B D'
U B' L2 R U' B D2
R' B' R' U' R2 D F2
U B' L2 R D U' B
U B' L2 R D' U' B
U B' L2 R D2 U' B
U B' L2 R' U F' U2
D2 B' R' U2 R' U R2
D' B' R' U B' U2 R
U B' L2 U2 L' U B'
R' B' R' F L2 U' R2
U B' L2 D R U' B
R' B' R' F' L2 U' R2
U B' L2 D' R U' B
R' B' R' F2 L2 U' R2
U B' L2 D2 R U' B
U B' R L2 U' D B
U B' R L2 U' D' B
U B' R L2 U' D2 B
U B' R L2 U' B D
U B' R L2 U' B D'
U B' R L2 U' B D2
U B' R L2 D U' B
U B' R L2 D' U' B
U B' R L2 D2 U' B
U B' R U' D F2 B
U B' R U' D B F2
R2 B' R' L2 U' R' D
R2 B' R' L2 U' R' D'
R2 B' R' L2 U' R' D2
R2 B' R' L2 U' D R'
R2 B' R' L2 U' D' R'
R2 B' R' L2 U' D2 R'
U B' R U' B D F2
R2 B' R' L2 D U' R'
R2 B' R' L2 D' U' R'
R2 B' R' L2 D2 U' R'
R2 B' R' L2 F U' R'
R2 B' R' L2 F' U' R'
R2 B' R' L2 F2 U' R'
D B' R' L U' R F2
D B' R' L' U' R F2
U B' R D U' F2 B
U B' R D U' B F2
R2 B' R' U' R' D F2
R2 B' R' U' D R' F2
R2 B' R' U' D F2 R'
D B' R' L2 U' R F2
R2 B' R' D U' R' F2
R2 B' R' D U' F2 R'
D B' R' U' R F2 D
D B' R' U' R F2 D'
D B' R' U' R F2 D2
D B' R' U' R' F2 R2
D B' R' U' R2 F2 R'
R2 B' R' F L2 U' R'
D B' R' D' L2 U' R
R2 B' R' F' L2 U' R'
R2 B' R' F2 L2 U' R'
U B' R' L2 U F' U2
B' F' L2 R' U' R D
B' F' L2 R' U' R D'
B' F' L2 R' U' R D2
B' F' L2 R' U' D R
B' F' L2 R' U' D' R
B' F' L2 R' U' D2 R
B' F' L2 R' D U' R
B' F' L2 R' D' U' R
B' F' L2 R' D2 U' R
R' B' U' R D F2 B2
R' B' U' R D B2 F2
B' F' L2 D R' U' R
B' F' L2 D' R' U' R
F' B' L2 R' U' R D
F' B' L2 R' U' R D'
F' B' L2 R' U' R D2
F' B' L2 R' U' D R
F' B' L2 R' U' D' R
F' B' L2 R' U' D2 R
F' B' L2 R' D U' R
F' B' L2 R' D' U' R
F' B' L2 R' D2 U' R
B' F' L2 D2 R' U' R
B' F' L2 F R' U' R
B' F' L2 F' R' U' R
B' F' L2 F2 R' U' R
F2 B' L2 R' U' R D
F2 B' L2 R' U' R D'
F2 B' L2 R' U' R D2
F2 B' L2 R' U' D R
F2 B' L2 R' U' D' R
F2 B' L2 R' U' D2 R
F2 B' L2 R' D U' R
F2 B' L2 R' D' U' R
F' B' L2 D R' U' R
F2 B' L2 R' D2 U' R
F' B' L2 D' R' U' R
F' B' L2 D2 R' U' R
D B' U R' U' F2 L'
F' B' L2 F R' U' R
F' B' L2 F' R' U' R
F2 B' L2 D R' U' R
F' B' L2 F2 R' U' R
F2 B' L2 D' R' U' R
F2 B' L2 D2 R' U' R
F2 B' L2 F R' U' R
F2 B' L2 F' R' U' R
B2 F' L2 B R' U' R
F2 B' L2 F2 R' U' R
B' F' R' L2 U' R D
B' F' R' L2 U' R D'
B' F' R' L2 U' R D2
B' F' R' L2 U' D R
B' F' R' L2 U' D' R
B' F' R' L2 U' D2 R
B' F' R' L2 D U' R
B' F' R' L2 D' U' R
B' F' R' L2 D2 U' R
F B' L2 R' U' R D
F B' L2 R' U' R D'
F B' L2 R' U' R D2
F B' L2 R' U' D R
F B' L2 R' U' D' R
F B' L2 R' U' D2 R
F B' L2 R' D U' R
F B' L2 R' D' U' R
F B' L2 R' D2 U' R
B' F' R' U' R D F2
B' F' R' U' D R F2
R' B' D R' U' R2 F2
R' B' D R' U' F2 R2
B' F' R' D U' R F2
F' B' R' L2 U' R D
F' B' R' L2 U' R D'
F' B' R' L2 U' R D2
F' B' R' L2 U' D R
F' B' R' L2 U' D' R
F' B' R' L2 U' D2 R
F B' L2 D R' U' R
F' B' R' L2 D U' R
F' B' R' L2 D' U' R
F' B' R' L2 D2 U' R
F B' L2 D' R' U' R
F' B' R' U' R D F2
F B' L2 D2 R' U' R
F' B' R' U' D R F2
F B' L2 F R' U' R
F B' L2 F' R' U' R
F' B' R' D U' R F2
F2 B' R' L2 U' R D
F2 B' R' L2 U' R D'
F2 B' R' L2 U' R D2
F2 B' R' L2 U' D R
F2 B' R' L2 U' D' R
F2 B' R' L2 U' D2 R
F2 B' R' L2 D U' R
F2 B' R' L2 D' U' R
F2 B' R' L2 D2 U' R
F B' L2 F2 R' U' R
F2 B' R' U' R D F2
F2 B' R' U' D R F2
F2 B' R' D U' R F2
D2 B' D' R' U' R F2
D2 B' D2 L2 R' U' R
F B' R' L2 U' R D
F B' R' L2 U' R D'
F B' R' L2 U' R D2
F B' R' L2 U' D R
F B' R' L2 U' D' R
F B' R' L2 U' D2 R
F B' R' L2 D U' R
F B' R' L2 D' U' R
F B' R' L2 D2 U' R
D2 B' D2 R' L2 U' R
F B' R' U' R D F2
F B' R' U' D R F2
F B' R' D U' R F2
U B' D R U' F2 B
U B' D R U' B F2
B2 F' U L2 B R' U'
D B' D' L2 R' U' R
D B' D' R' L2 U' R
B2 F' U B L2 R' U'
B2 F' U B R' L2 U'
B F' U B2 L2 R' U'
B F' U B2 R' L2 U'
R2 B' F L2 R' U' R'
R2 B' F R' L2 U' R'
D B' F R' U' R F
B' F' D R' U' R F2
R2 B' F' L2 R' U' R'
R2 B' F' R' L2 U' R'
F' B' D R' U' R F2
D B' F' R' U' R F'
F2 B' D R' U' R F2
R2 B' F2 L2 R' U' R'
R2 B' F2 R' L2 U' R'
F B' D R' U' R F2
R' B2 L2 B R' U' R2
R2 B2 L2 B R' U' R'
B' F2 L2 R' U' R D
B' F2 L2 R' U' R D'
B' F2 L2 R' U' R D2
B' F2 L2 R' U' D R
B' F2 L2 R' U' D' R
B' F2 L2 R' U' D2 R
B' F2 L2 R' D U' R
B' F2 L2 R' D' U' R
B' F2 L2 R' D2 U' R
B' F2 L2 D R' U' R
B' F2 L2 D' R' U' R
B' F2 L2 D2 R' U' R
B' F2 L2 F R' U' R
B' F2 L2 F' R' U' R
B' F2 L2 F2 R' U' R
U B2 L2 B R U' B
F' B2 L2 B R' U' R
B2 F2 L2 B R' U' R
F2 B2 L2 B R' U' R
B' F2 R' L2 U' R D
B' F2 R' L2 U' R D'
B' F2 R' L2 U' R D2
B' F2 R' L2 U' D R
B' F2 R' L2 U' D' R
B' F2 R' L2 U' D2 R
B' F2 R' L2 D U' R
B' F2 R' L2 D' U' R
B' F2 R' L2 D2 U' R
B' F2 R' U' R D F2
B' F2 R' U' D R F2
B' F2 R' D U' R F2
F B2 L2 B R' U' R
D B2 U B R' U' F2
F' B2 U L2 B R' U'
B2 F2 U L2 B R' U'
F2 B2 U L2 B R' U'
F' B2 U B L2 R' U'
F' B2 U B R' L2 U'
B2 F2 U B L2 R' U'
B2 F2 U B R' L2 U'
F2 B2 U B L2 R' U'
F2 B2 U B R' L2 U'
F B2 U L2 B R' U'
B F2 U B2 L2 R' U'
B F2 U B2 R' L2 U'
F B2 U B L2 R' U'
F B2 U B R' L2 U'
B' F2 D R' U' R F2
D B2 F2 U B R' U'
