U2 L' U' B' R'
U2 L' R' F' U' B'
U2 L' U' R B' R'
U2 L' U' R' B' R'
U2 L' U' R2 B' R'
U2 L' U' D B' R'
U2 L' U' D' B' R'
U2 L' U' D2 B' R'
U2 L' U' B' R' D
U2 L' U' B' R' D'
U2 L' U' B' R' D2
U2 L' U' B' D R'
U2 L' U' B' D' R'
U2 L' U' B' D2 R'
U2 L' D U' B' R'
U2 L' D' U' B' R'
U2 L' D2 U' B' R'
U2 L' F U' B' R'
U2 L' F' U' B' R'
U2 L' F2 U' B' R'
U2 R' L' F' U' B'
U2 D L' U' B' R'
U2 D' L' U' B' R'
D2 U2 L' U' B' R'
U2 D2 L' U' B' R'
D' U2 L' U' B' R'
D U2 L' U' B' R'
B2 U2 L' U' B' R'
B' U2 L' U' B' R'
B U2 L' U' B' R'
U2 L' D2 U' R2 B' R'
U2 L' D2 U' B' R' D
U2 L' D2 U' B' R' D'
U2 L' D2 U' B' R' D2
U2 L' D2 U' B' D R'
U2 L' D2 U' B' D' R'
U2 L' D2 U' B' D2 R'
U2 L' D2 F U' B' R'
R L' B' U B2 D2 F2
U2 L' D2 F' U' B' R'
U2 L' D2 F2 U' B' R'
U2 L' F R' F' U' B'
U2 L' F U' R B' R'
U2 L' F U' R' B' R'
U2 L' F U' R2 B' R'
U2 L' F U' D B' R'
U2 L' F U' D' B' R'
U2 L' F U' D2 B' R'
U2 L' F U' B' R' D
U2 L' F U' B' R' D'
U2 L' F U' B' R' D2
U2 L' F U' B' D R'
U2 L' F U' B' D' R'
U2 L' F U' B' D2 R'
U2 L' F D U' B' R'
U2 L' F D' U' B' R'
U2 L' F D2 U' B' R'
U2 L' F' R' F' U' B'
U2 L' F' U' R B' R'
U2 L' F' U' R' B' R'
U2 L' F' U' R2 B' R'
U2 L' F' U' D B' R'
U2 L' F' U' D' B' R'
U2 L' F' U' D2 B' R'
U2 L' F' U' B' R' D
U2 L' F' U' B' R' D'
U2 L' F' U' B' R' D2
U2 L' F' U' B' D R'
U2 L' F' U' B' D' R'
U2 L' F' U' B' D2 R'
U2 L' F' D U' B' R'
U2 L' F' D' U' B' R'
U2 L' F' D2 U' B' R'
U2 L' F2 R' F' U' B'
U2 L' F2 U' R B' R'
U2 L' F2 U' R' B' R'
U2 L' F2 U' R2 B' R'
U2 L' F2 U' D B' R'
U2 L' F2 U' D' B' R'
U2 L' F2 U' D2 B' R'
U2 L' F2 U' B' R' D
U2 L' F2 U' B' R' D'
U2 L' F2 U' B' R' D2
U2 L' F2 U' B' D R'
U2 L' F2 U' B' D' R'
U2 L' F2 U' B' D2 R'
U2 L' F2 D U' B' R'
U2 L' F2 D' U' B' R'
U2 L' F2 D2 U' B' R'
F2 L' B' R F2 U B
U2 L2 R' F' L U' B'
U2 L2 F L U' B' R'
U2 L2 F' L U' B' R'
U2 L2 F2 L U' B' R'
U2 R L' U' B' D' R2
U2 R L' U2 B U B2
F2 R L' F2 B' U B2
L U F L2 R U' L2
L U F R L2 U' L2
F2 R L' B' F2 U B2
U R U L' U' B' R'
F2 R F2 L' B' U B2
F2 R F2 U B' R' B2
F2 R F2 B2 U B' R'
F2 R B2 F2 U B' R'
U2 R' L' D F' U' B'
U2 R' L' D' F' U' B'
U2 R' L' D2 F' U' B'
U2 R' L' F' R U' B'
U2 R' L' F' R' U' B'
U2 R' L' F' R2 U' B'
U2 R' L' F' U' D B'
U2 R' L' F' U' D' B'
U2 R' L' F' U' D2 B'
U2 R' L' F' U' B' D
U2 R' L' F' U' B' D'
U2 R' L' F' U' B' D2
U2 R' L' F' D U' B'
U2 R' L' F' D' U' B'
U2 R' L' F' D2 U' B'
R' U' F' D' L' U2 F
U2 R' L2 F' L U' B'
U R' U L' U' B' R'
U2 R' D L' F' U' B'
U2 R' D' L' F' U' B'
U2 R' D2 L' F' U' B'
R' U2 L' U F' L' U2
R2 U2 L' R' F' U' B
R2 U2 L' U' B' R' B
R U2 L' U' B' R' B2
R2 U2 R' L' F' U' B
U R2 U L' U' B' R'
U2 R2 D2 L' F U' B'
U2 D L' R' F' U' B'
U2 D L' U' R B' R'
U2 D L' U' R' B' R'
U2 D L' U' R2 B' R'
U2 D L' U' D B' R'
U2 D L' U' D' B' R'
U2 D L' U' D2 B' R'
U2 D L' U' B' R' D
U2 D L' U' B' R' D'
U2 D L' U' B' R' D2
U2 D L' U' B' D R'
U2 D L' U' B' D' R'
U2 D L' U' B' D2 R'
U2 D L' D U' B' R'
U2 D L' D' U' B' R'
U2 D L' D2 U' B' R'
U2 D L' F U' B' R'
U2 D L' F' U' B' R'
U2 D L' F2 U' B' R'
U2 D R' L' F' U' B'
U2 D' L' R' F' U' B'
U2 D' L' U' R B' R'
U2 D' L' U' R' B' R'
U2 D' L' U' R2 B' R'
U2 D' L' U' D B' R'
U2 D' L' U' D' B' R'
U2 D' L' U' D2 B' R'
U2 D' L' U' B' R' D
U2 D' L' U' B' R' D'
U2 D' L' U' B' R' D2
U2 D' L' U' B' D R'
U2 D' L' U' B' D' R'
U2 D' L' U' B' D2 R'
U2 D' L' D U' B' R'
U2 D' L' D' U' B' R'
U2 D' L' D2 U' B' R'
U2 D' L' F U' B' R'
U2 D' L' F' U' B' R'
U2 D' L' F2 U' B' R'
U2 D' R' L' F' U' B'
D' U2 L' R' F' U' B'
D' U2 L' U' R B' R'
D' U2 L' U' R' B' R'
D' U2 L' U' R2 B' R'
D' U2 L' U' D B' R'
D' U2 L' U' D' B' R'
D' U2 L' U' D2 B' R'
D' U2 L' U' B' R' D
D' U2 L' U' B' R' D'
D' U2 L' U' B' R' D2
D' U2 L' U' B' D R'
D' U2 L' U' B' D' R'
D' U2 L' U' B' D2 R'
D2 U2 L' R' F' U' B'
D' U2 L' D U' B' R'
D2 U2 L' U' R B' R'
D2 U2 L' U' R' B' R'
D2 U2 L' U' R2 B' R'
D' U2 L' D' U' B' R'
D2 U2 L' U' D B' R'
D2 U2 L' U' D' B' R'
D2 U2 L' U' D2 B' R'
D2 U2 L' U' B' R' D
D2 U2 L' U' B' R' D'
D2 U2 L' U' B' R' D2
D2 U2 L' U' B' D R'
D2 U2 L' U' B' D' R'
D2 U2 L' U' B' D2 R'
D' U2 L' D2 U' B' R'
D' U2 L' F U' B' R'
D2 U2 L' D U' B' R'
D' U2 L' F' U' B' R'
D2 U2 L' D' U' B' R'
D' U2 L' F2 U' B' R'
D2 U2 L' D2 U' B' R'
D2 U2 L' F U' B' R'
D2 U2 L' F' U' B' R'
U2 D2 L' R' F' U' B'
D2 U2 L' F2 U' B' R'
U2 D2 L' U' R B' R'
U2 D2 L' U' R' B' R'
U2 D2 L' U' R2 B' R'
U2 D2 L' U' D B' R'
U2 D2 L' U' D' B' R'
U2 D2 L' U' D2 B' R'
U2 D2 L' U' B' R' D
U2 D2 L' U' B' R' D'
U2 D2 L' U' B' R' D2
U2 D2 L' U' B' D R'
U2 D2 L' U' B' D' R'
U2 D2 L' U' B' D2 R'
U2 D2 L' D U' B' R'
U2 D2 L' D' U' B' R'
U2 D2 L' D2 U' B' R'
D U2 L' R' F' U' B'
U2 D2 L' F U' B' R'
U2 D2 L' F' U' B' R'
U2 D2 L' F2 U' B' R'
D U2 L' U' R B' R'
D U2 L' U' R' B' R'
D U2 L' U' R2 B' R'
D U2 L' U' D B' R'
D U2 L' U' D' B' R'
D U2 L' U' D2 B' R'
D U2 L' U' B' R' D
D U2 L' U' B' R' D'
D U2 L' U' B' R' D2
D U2 L' U' B' D R'
D U2 L' U' B' D' R'
D U2 L' U' B' D2 R'
D U2 L' D U' B' R'
D U2 L' D' U' B' R'
D U2 L' D2 U' B' R'
D U2 L' F U' B' R'
D U2 L' F' U' B' R'
D U2 L' F2 U' B' R'
D' U2 R' L' F' U' B'
D2 U2 R' L' F' U' B'
U2 D2 R' L' F' U' B'
D U2 R' L' F' U' B'
B' U2 L' R' F' U' B'
B' U2 L' U' R B' R'
B' U2 L' U' R' B' R'
B' U2 L' U' R2 B' R'
B' U2 L' U' D B' R'
B' U2 L' U' D' B' R'
B' U2 L' U' D2 B' R'
B' U2 L' U' B' R' D
B' U2 L' U' B' R' D'
B' U2 L' U' B' R' D2
B' U2 L' U' B' D R'
B' U2 L' U' B' D' R'
B' U2 L' U' B' D2 R'
B2 U2 L' R' F' U' B'
B' U2 L' D U' B' R'
B' U2 L' D' U' B' R'
B2 U2 L' U' R B' R'
B2 U2 L' U' R' B' R'
B2 U2 L' U' R2 B' R'
B2 U2 L' U' D B' R'
B2 U2 L' U' D' B' R'
B2 U2 L' U' D2 B' R'
B' U2 L' D2 U' B' R'
B2 U2 L' U' B' R' D
B2 U2 L' U' B' R' D'
B2 U2 L' U' B' R' D2
B2 U2 L' U' B' D R'
B2 U2 L' U' B' D' R'
B2 U2 L' U' B' D2 R'
B' U2 L' F U' B' R'
B2 U2 L' D U' B' R'
B' U2 L' F' U' B' R'
B2 U2 L' D' U' B' R'
B' U2 L' F2 U' B' R'
B2 U2 L' D2 U' B' R'
B2 U2 L' F U' B' R'
B2 U2 L' F' U' B' R'
B2 U2 L' F2 U' B' R'
B U2 L' R' F' U' B'
B U2 L' U' R B' R'
B U2 L' U' R' B' R'
B U2 L' U' R2 B' R'
B U2 L' U' D B' R'
B U2 L' U' D' B' R'
B U2 L' U' D2 B' R'
B U2 L' U' B' R' D
B U2 L' U' B' R' D'
B U2 L' U' B' R' D2
B U2 L' U' B' D R'
B U2 L' U' B' D' R'
B U2 L' U' B' D2 R'
B U2 L' D U' B' R'
B U2 L' D' U' B' R'
B U2 L' D2 U' B' R'
B U2 L' F U' B' R'
B U2 L' F' U' B' R'
B U2 L' F2 U' B' R'
B' U2 R' L' F' U' B'
B2 U2 R' L' F' U' B'
B U2 R' L' F' U' B'
B' U2 D L' U' B' R'
B2 U2 D L' U' B' R'
B' U2 D' L' U' B' R'
B2 U2 D' L' U' B' R'
B U2 D L' U' B' R'
B' U2 D2 L' U' B' R'
B2 U2 D2 L' U' B' R'
B U2 D' L' U' B' R'
U2 F L' U' B' R' F'
B U2 D2 L' U' B' R'
L F L2 R U' B L
L F R L2 U' B L
U2 F R' F' L' U' B'
B' D U2 L' U' B' R'
B2 D U2 L' U' B' R'
B D U2 L' U' B' R'
B' D' U2 L' U' B' R'
B2 D' U2 L' U' B' R'
B D' U2 L' U' B' R'
B' D2 U2 L' U' B' R'
B2 D2 U2 L' U' B' R'
B D2 U2 L' U' B' R'
D2 B U2 L' U' B' R'
D' B U2 L' U' B' R'
D B U2 L' U' B' R'
L' B' L U2 L' U' B'
L' B' R' U' F' U2 F
U B' R' U L' U' B'
U' B' U' L' R' F' U'
U' B' U' R' L' F' U'
D2 B' U2 L' U' B' R'
D' B' U2 L' U' B' R'
U B' U L' U' R' B'
D B' U2 L' U' B' R'
D2 B2 U2 L' U' B' R'
D' B2 U2 L' U' B' R'
D B2 U2 L' U' B' R'
