L' R U' L U' R'
L R U' L' U' R'
L2 R U' L2 U' R'
R L U' L' U' R'
L2 R U2 R' D F2
L2 R U2 D R' F2
L2 R U2 D F2 R'
L2 R D U2 R' F2
L2 R D U2 F2 R'
L2 R D' B2 L U2
R L' U' L U' R'
R L2 U' L2 U' R'
R L2 U2 R' D F2
R L2 U2 D R' F2
R L2 U2 D F2 R'
R L2 D U2 R' F2
R L2 D U2 F2 R'
R L2 D' B2 L U2
R U' F U' F' R'
R U' F' U' R' F
R U' F' U' F R'
R U' F2 U' R' F2
R U' F2 U' F2 R'
R U2 R' U' R U
R2 U2 R2 D' F2 L'
R U2 R2 D' R F2
L2 D R U2 R' F2
L2 D R U2 F2 R'
L2 D F2 L' D2 B2
L2 D F2 D2 L' B2
L2 D F2 D2 B2 L'
L2 D' R B2 L U2
L2 D' B2 R U2 R'
F2 D R2 U' L' R2
F2 D R2 U' R2 L'
R B2 L U' L' U'
L2 R D' U2 R' D2 F2
R L D' U' L' U' R'
L2 R D' B2 L U2 D
L2 R D' B2 L U2 D'
L2 R D' B2 L U2 D2
L2 R D' B2 L D U2
L2 R D' B2 L D' U2
L2 R D' B2 L D2 U2
L2 R D' B2 D L U2
L2 R D' B2 D' L U2
L2 R D' B2 D2 L U2
L' R D2 U' L U' R'
L2 R D2 U R2 U R
L R D2 U' L' U' R'
R L D2 U' L' U' R'
L' R B2 L U R' U
L2 R B2 L U' L U'
L R B2 L U' L2 U'
L R B2 L U2 D F2
L R B2 L D U2 F2
L R B2 L D' B2 U2
R L B2 L U' L2 U'
R L B2 L U2 D F2
R L B2 L D U2 F2
R L B2 L D' B2 U2
L2 R B2 D L U2 F2
L2 R B2 D' L B2 U2
L2 R B2 D' B2 U2 R'
R L' U' L U' R' D
R L' U' L U' R' D'
R L' U' L U' R' D2
R L' U' L U' D R'
R L' U' L U' D' R'
R L' U' L U' D2 R'
R L' U' L D U' R'
R L' U' L D' U' R'
R L' U' L D2 U' R'
R L' U' L F U' R'
R L' U' L F' U' R'
R L' U' L F2 U' R'
R L' U' D L U' R'
R L' U' D' L U' R'
R L' U' D2 L U' R'
R L' U' F L U' R'
R L' U' F' L U' R'
R L' U' F2 L U' R'
L2 R' U2 R D F2 L'
R L' U2 R' U L U'
D2 L' R U' L U' R'
D' L' R U' L U' R'
B' L' R U' L U' R'
D L' R U' L U' R'
B2 L' R U' L U' R'
B L' R U' L U' R'
R L' D U' L U' R'
R L' D' U' L U' R'
F2 L' U L U F2 U2
F2 L' U L U' D2 B2
F2 L' U L D R2 U'
F2 L' U L D2 U' B2
F2 L' U D L R2 U'
F2 L' U D R2 L U'
F2 L' U D2 L U' B2
R L' D2 U' L U' R'
F2 L' U2 F2 U' L U'
F2 L' D U L R2 U'
F2 L' D U R2 L U'
F2 L' D2 U L U' B2
F2 L' D2 B2 U' R' U
R L' B2 L U R' U
F' L' F' L' D F2 B'
F' L' F' L' D B' F2
F' L' F' L' B' D F2
R L2 U D2 R2 U R
R L2 U' L2 U' R' D
R L2 U' L2 U' R' D'
R L2 U' L2 U' R' D2
R L2 U' L2 U' D R'
R L2 U' L2 U' D' R'
R L2 U' L2 U' D2 R'
R L2 U' L2 D U' R'
R L2 U' L2 D' U' R'
R L2 U' L2 D2 U' R'
R L2 U' L2 F U' R'
R L2 U' L2 F' U' R'
R L2 U' L2 F2 U' R'
R L2 U' F L2 U' R'
R' L2 U2 R D F2 L'
R L2 U' F' L2 U' R'
R L2 U' F2 L2 U' R'
L2 R2 U2 R2 D F2 L'
R2 L2 U2 R2 D F2 L'
R L2 U2 R' U L2 U'
R L2 U2 R' D F2 D
R L2 U2 R' D F2 D'
R L2 U2 R' D F2 D2
R L2 U2 R' F D F2
R L2 U2 R' F' D F2
R L2 U2 R' F2 D F2
R L2 U2 R2 D R F2
R L2 U2 D R F2 R2
R L2 U2 D R' F2 D
R L2 U2 D R' F2 D'
R L2 U2 D R' F2 D2
R L2 U2 D F R' F
R L2 U2 D F2 R' D
R L2 U2 D F2 R' D'
R L2 U2 D F2 R' D2
R L2 U2 D F2 D R'
R L2 U2 D F2 D' R'
R L2 U2 D F2 D2 R'
R L2 U2 D' R' D2 F2
R L2 U2 F R' D F2
R L2 U2 F D R' F2
R L2 U2 F D F2 R'
R L2 U2 F' R' D F2
R L2 U2 F' D R' F2
R L2 U2 F' D F2 R'
R L2 U2 F2 R' D F2
R L2 U2 F2 D R' F2
R L2 U2 F2 D F2 R'
R L2 D L U2 R' F2
R L2 D L U2 F2 R'
R L2 D L' U2 R' F2
R L2 D L' U2 F2 R'
R L2 D L2 U2 R' F2
R L2 D L2 U2 F2 R'
R L2 D U2 R F2 R2
R L2 D U2 R' F2 D
R L2 D U2 R' F2 D'
R L2 D U2 R' F2 D2
R L2 D U2 F R' F
R L2 D U2 F2 R' D
R L2 D U2 F2 R' D'
R L2 D U2 F2 R' D2
R L2 D U2 F2 D R'
R L2 D U2 F2 D' R'
R L2 D U2 F2 D2 R'
R L2 D B2 L U2 F2
R L2 D' L B2 L U2
R L2 D' L' B2 L U2
R L2 D' L2 B2 L U2
R L2 D' U2 R' D2 F2
D2 L2 R U' L2 U' R'
D' L2 R U' L2 U' R'
B' L2 R U' L2 U' R'
D2 L2 R U2 R' D F2
D' L2 R U2 R' D F2
D2 L2 R U2 D R' F2
D2 L2 R U2 D F2 R'
D' L2 R U2 D R' F2
D' L2 R U2 D F2 R'
B' L2 R U2 R' D F2
B' L2 R U2 D R' F2
B' L2 R U2 D F2 R'
D2 L2 R D U2 R' F2
D2 L2 R D U2 F2 R'
D' L2 R D U2 R' F2
D' L2 R D U2 F2 R'
B' L2 R D U2 R' F2
B' L2 R D U2 F2 R'
B2 L2 R U' L2 U' R'
D2 L2 R D' B2 L U2
D' L2 R D' B2 L U2
B' L2 R D' B2 L U2
B2 L2 R U2 R' D F2
B2 L2 R U2 D R' F2
B2 L2 R U2 D F2 R'
D L2 R U' L2 U' R'
R L2 D' B2 L U2 D
R L2 D' B2 L U2 D'
R L2 D' B2 L U2 D2
R L2 D' B2 L D U2
R L2 D' B2 L D' U2
R L2 D' B2 L D2 U2
R L2 D' B2 L D2 U2
B L2 R U' L2 U' R'
B2 L2 R D U2 R' F2
B2 L2 R D U2 F2 R'
R L2 D' B2 D L U2
R L2 D' B2 D' L U2
R L2 D' B2 D2 L U2
D L2 R U2 R' D F2
B L2 R U2 R' D F2
D L2 R U2 D R' F2
D L2 R U2 D F2 R'
B L2 R U2 D R' F2
B L2 R U2 D F2 R'
B2 L2 R D' B2 L U2
D L2 R D U2 R' F2
D L2 R D U2 F2 R'
B L2 R D U2 R' F2
B L2 R D U2 F2 R'
D L2 R D' B2 L U2
B L2 R D' B2 L U2
R L2 D2 U R2 U R
D2 L2 D R U2 R' F2
D2 L2 D R U2 F2 R'
D' L2 D R U2 R' F2
D' L2 D R U2 F2 R'
B' L2 D R U2 R' F2
B' L2 D R U2 F2 R'
F2 L2 D L F2 D B2
B2 L2 D R U2 R' F2
B2 L2 D R U2 F2 R'
D L2 D R U2 R' F2
D L2 D R U2 F2 R'
B L2 D R U2 R' F2
B L2 D R U2 F2 R'
D2 L2 D F2 L' D2 B2
D' L2 D F2 L' D2 B2
D2 L2 D F2 D2 L' B2
D2 L2 D F2 D2 B2 L'
B' L2 D F2 L' D2 B2
D' L2 D F2 D2 L' B2
D' L2 D F2 D2 B2 L'
F' L2 D F' B' L' F'
B' L2 D F2 D2 L' B2
B' L2 D F2 D2 B2 L'
F' L2 D F2 D2 B' L
F2 L2 D F2 L D B2
B2 L2 D F2 L' D2 B2
F2 L2 D F2 D L B2
F' L2 D B' F' L' F'
B2 L2 D F2 D2 L' B2
B2 L2 D F2 D2 B2 L'
R L2 B2 L U' L U'
D L2 D F2 L' D2 B2
D L2 D F2 D2 L' B2
B L2 D F2 L' D2 B2
D L2 D F2 D2 B2 L'
B L2 D F2 D2 L' B2
B L2 D F2 D2 B2 L'
D2 L2 D' R B2 L U2
D' L2 D' R B2 L U2
B' L2 D' R B2 L U2
B2 L2 D' R B2 L U2
D L2 D' R B2 L U2
B L2 D' R B2 L U2
R L2 B2 D L U2 F2
R L2 B2 D' L B2 U2
R L2 B2 D' B2 U2 R'
D2 L2 D' B2 R U2 R'
D' L2 D' B2 R U2 R'
B' L2 D' B2 R U2 R'
B2 L2 D' B2 R U2 R'
F2 L2 D2 L B2 D' F2
D L2 D' B2 R U2 R'
B L2 D' B2 R U2 R'
F' L2 F D F2 B' L'
F' L2 F D B' F2 L'
F' L2 F B' D F2 L'
F' L2 F' D B' L' F2
F' L2 F' B' D L' F2
R U R U R2 D' F2
R U R B' U R2 F'
F' L2 B' D F' L' F'
F' L2 B' F D F2 L'
F' L2 B' F' D L' F2
D2 R L U' L' U' R'
D' R L U' L' U' R'
B' R L U' L' U' R'
B2 R L U' L' U' R'
D R L U' L' U' R'
B R L U' L' U' R'
D2 R L' U' L U' R'
D' R L' U' L U' R'
B' R L' U' L U' R'
B2 R L' U' L U' R'
D R L' U' L U' R'
B R L' U' L U' R'
D2 R L2 U' L2 U' R'
D2 R L2 U2 R' D F2
D' R L2 U' L2 U' R'
D2 R L2 U2 D R' F2
D2 R L2 U2 D F2 R'
B' R L2 U' L2 U' R'
D' R L2 U2 R' D F2
D' R L2 U2 D R' F2
D2 R L2 D U2 R' F2
D' R L2 U2 D F2 R'
D2 R L2 D U2 F2 R'
B' R L2 U2 R' D F2
B' R L2 U2 D R' F2
B' R L2 U2 D F2 R'
D' R L2 D U2 R' F2
D' R L2 D U2 F2 R'
D2 R L2 D' B2 L U2
B' R L2 D U2 R' F2
B' R L2 D U2 F2 R'
B2 R L2 U' L2 U' R'
D' R L2 D' B2 L U2
B' R L2 D' B2 L U2
B2 R L2 U2 R' D F2
B2 R L2 U2 D R' F2
B2 R L2 U2 D F2 R'
B2 R L2 D U2 R' F2
B2 R L2 D U2 F2 R'
D R L2 U' L2 U' R'
B R L2 U' L2 U' R'
B2 R L2 D' B2 L U2
D R L2 U2 R' D F2
D R L2 U2 D R' F2
D R L2 U2 D F2 R'
B R L2 U2 R' D F2
B R L2 U2 D R' F2
B R L2 U2 D F2 R'
D R L2 D U2 R' F2
D R L2 D U2 F2 R'
B R L2 D U2 R' F2
B R L2 D U2 F2 R'
D R L2 D' B2 L U2
B R L2 D' B2 L U2
U2 R U R' U2 R U'
F2 R U F2 R U2 R2
F2 R U' L' R' D2 B2
F2 R U' L' D2 R' B2
D2 R U' F U' F' R'
F2 R U' R' L' D2 B2
F2 R U' R' D2 L' B2
F2 R U' R' D2 B2 L'
D' R U' F U' F' R'
D2 R U' F' U' R' F
D2 R U' F' U' F R'
B' R U' F U' F' R'
D2 R U' F2 U' R' F2
D2 R U' F2 U' F2 R'
D' R U' F' U' R' F
D' R U' F' U' F R'
D' R U' F2 U' R' F2
B' R U' F' U' R' F
D' R U' F2 U' F2 R'
B' R U' F' U' F R'
B' R U' F2 U' R' F2
B' R U' F2 U' F2 R'
F2 R U' D2 L' R' B2
F2 R U' D2 R' L' B2
F2 R U' D2 R' B2 L'
B2 R U' F U' F' R'
B2 R U' F' U' R' F
B2 R U' F' U' F R'
B2 R U' F2 U' R' F2
B2 R U' F2 U' F2 R'
D R U' F U' F' R'
D R U' F' U' R' F
D R U' F' U' F R'
B R U' F U' F' R'
D R U' F2 U' R' F2
D R U' F2 U' F2 R'
B R U' F' U' R' F
B R U' F' U' F R'
D2 R U2 R' U' R U
B R U' F2 U' R' F2
B R U' F2 U' F2 R'
D' R U2 R' U' R U
D2 R U2 R2 D' R F2
B' R U2 R' U' R U
D' R U2 R2 D' R F2
B' R U2 R2 D' R F2
B2 R U2 R' U' R U
B2 R U2 R2 D' R F2
D R U2 R' U' R U
B R U2 R' U' R U
D R U2 R2 D' R F2
B R U2 R2 D' R F2
F2 R D R2 U' L' R
F2 R D R2 U' R L'
R U B' U' B U2 R'
L' U' L U R U2 R'
R U B2 U' L B2 U2
R U B2 U' B2 U2 R'
F2 R D2 U' L' R' B2
F2 R D2 U' R' L' B2
F2 R D2 U' R' B2 L'
R U' L F U' F' R'
R U' L F' U' R' F
R U' L F' U' F R'
R U' L F2 U' R' F2
R U' L F2 U' F2 R'
L U' L' U R U2 R'
R U' L' F U' F' R'
L2 U' L2 U R U2 R'
R U' L' F' U' R' F
R U' L' F' U' F R'
R U' L' F2 U' R' F2
R U' L' F2 U' F2 R'
R U' L2 F U' F' R'
R U' L2 F' U' R' F
R U' L2 F' U' F R'
R U' L2 F2 U' R' F2
R U' L2 F2 U' F2 R'
D2 R B2 L U' L' U'
D' R B2 L U' L' U'
B' R B2 L U' L' U'
B2 R B2 L U' L' U'
D R B2 L U' L' U'
B R B2 L U' L' U'
R U' D F U' F' R'
U2 R B2 U' L U' B2
R U' D F' U' R' F
R U' D F' U' F R'
R U' D F2 U' R' F2
R U' D F2 U' F2 R'
R U' D' F U' F' R'
R U' D' F' U' R' F
R U' D' F' U' F R'
R U' D' F2 U' R' F2
R U' D' F2 U' F2 R'
R U' D2 F U' F' R'
R U' D2 F' U' R' F
R U' D2 F' U' F R'
R U' D2 F2 U' R' F2
R U' D2 F2 U' F2 R'
R U' F L U' F' R'
R U' F L' U' F' R'
R U' F L2 U' F' R'
R U' F U' D F' R'
R U' F U' D' F' R'
R U' F U' D2 F' R'
R U' F U' F R' F2
R U' F U' F' R' D
R U' F U' F' R' D'
R U' F U' F' R' D2
R U' F U' F' D R'
R U' F U' F' D' R'
R U' F U' F' D2 R'
R U' F U' F2 R' F
R U' F D U' F' R'
R U' F D' U' F' R'
R U' F D2 U' F' R'
R U' F' U' R F R2
R U' F' U' R' D F
R U' F' U' R' D' F
R U' F' U' R' D2 F
R U' F' U' R' F D
R U' F' U' R' F D'
R U' F' U' R' F D2
R U' F' U' D R' F
R U' F' U' D F R'
R U' F' U' D' R' F
R U' F' U' D' F R'
R U' F' U' D2 R' F
R U' F' U' D2 F R'
R U' F' U' F R' D
R U' F' U' F R' D'
R U' F' U' F R' D2
R U' F' U' F D R'
R U' F' U' F D' R'
R U' F' U' F D2 R'
R U' F' U' F' R' F2
R U' F' D U' R' F
R U' F' D U' F R'
F2 R' U F2 L' R U2
F2 R' U F2 R L' U2
R U' F' D' U' R' F
R U' F' D' U' F R'
R U' F' D2 U' R' F
R U' F' D2 U' F R'
F2 R' U' L' R D2 B2
R U' F2 L U' R' F2
R U' F2 L U' F2 R'
F2 R' U' L' D2 R B2
F2 R' U' L' D2 B2 R
R U' F2 L' U' R' F2
R U' F2 L' U' F2 R'
R2 U' F2 U' R2 F2 L'
F2 R' U' R L' D2 B2
R U' F2 L2 U' R' F2
R U' F2 L2 U' F2 R'
F2 R' U' R D2 L' B2
F2 R' U' R D2 B2 L'
F2 R' U' D2 L' R B2
F2 R' U' D2 L' B2 R
F2 R' U' D2 R L' B2
F2 R' U' D2 R B2 L'
F2 R' U' D2 B2 L' R
F2 R' U' D2 B2 R L'
R U' F2 U' R F2 R2
R U' F2 U' R' F2 D
R U' F2 U' R' F2 D'
R U' F2 U' R' F2 D2
R U' F2 U' F R' F
R U' F2 U' F2 R' D
R U' F2 U' F2 R' D'
R U' F2 U' F2 R' D2
R U' F2 U' F2 D R'
R U' F2 U' F2 D' R'
R U' F2 U' F2 D2 R'
R U' F2 D' L2 U' R'
F2 R' D R2 U' L' R'
F2 R' D R2 U' R' L'
R2 U' B2 L R2 D B2
R2 U' B2 R2 L D B2
R2 U' B2 R2 D L B2
U' R' D' F2 L' U F2
R2 U2 L R2 D' F2 L'
L U2 L D F2 L' R
L U2 L D F2 R L'
F2 R' D2 U' L' R B2
F2 R' D2 U' L' B2 R
F2 R' D2 U' R L' B2
F2 R' D2 U' R B2 L'
F2 R' D2 U' B2 L' R
F2 R' D2 U' B2 R L'
R2 U2 L' R2 D' F2 L'
R2 U2 L2 R2 D' F2 L'
L2 U2 R D' B2 U2 B2
R U2 R U' R' U R'
R' U2 R2 D' R' F2 L'
R U2 R' U' R U D
R U2 R' U' R U D'
R U2 R' U' R U D2
R U2 R' U' R D U
R U2 R' U' R D' U
R U2 R' U' R D2 U
R U2 R' U' D R U
R U2 R' U' D' R U
R U2 R' U' D2 R U
R U2 R' D U' R U
R U2 R' D' U' R U
R U2 R' D2 U' R U
R2 U2 R2 L D' F2 L'
R2 U2 R2 L' D' F2 L'
R2 U2 R2 L2 D' F2 L'
R U2 R' F2 U L' U'
R2 U2 R2 D' L F2 L'
R2 U2 R2 D' L' F2 L'
R2 U2 R2 D' L2 F2 L'
R2 U2 R2 D' F2 L' D
R2 U2 R2 D' F2 L' D'
R2 U2 R2 D' F2 L' D2
R2 U2 R2 D' F2 D L'
R2 U2 R2 D' F2 D' L'
R2 U2 R2 D' F2 D2 L'
R U2 R2 U' R2 U R'
R2 U2 R2 F2 L' D' F2
R2 U2 R2 F2 D' L' F2
R U2 R2 D R D2 F2
L2 U2 D L F2 L' R
L2 U2 D L F2 R L'
R U2 R2 D' R F2 D
R U2 R2 D' R F2 D'
R U2 R2 D' R F2 D2
R U2 R2 D' R' F2 R2
R U2 R2 D' R2 F2 R'
R U2 R2 D2 R D F2
R U2 R2 F2 D' F2 R
R U2 D R' U' R U
R2 U2 D B2 U L B2
R U2 D R2 D' R F2
L2 U2 D' R B2 U2 B2
L2 U2 D' B2 R U2 B2
R U2 D' R' U' R U
R U2 D' R2 D' R F2
R U2 D2 R' U' R U
R U2 D2 R2 D' R F2
R2 U2 F R2 D' F2 L'
R U2 F R' U' R U
R U2 F R2 D' R F2
R2 U2 F' R2 D' F2 L'
R U2 F' R' U' R U
R U2 F' R2 D' R F2
F2 R2 U F2 R U2 R
F2 R2 U' L' R2 D2 B2
R2 U2 F2 R2 D' F2 L'
F2 R2 U' R2 L' D2 B2
F2 R2 U' R2 D2 L' B2
F2 R2 U' R2 D2 B2 L'
R U2 F2 R' U' R U
R U2 F2 R2 D' R F2
D2 R2 U2 R2 D' F2 L'
D' R2 U2 R2 D' F2 L'
B' R2 U2 R2 D' F2 L'
B2 R2 U2 R2 D' F2 L'
D R2 U2 R2 D' F2 L'
B R2 U2 R2 D' F2 L'
U2 R2 D R' B2 U2 B2
U' R2 D B2 L D' R2
U' R2 D B2 D' L R2
U' R2 D B2 D' R2 L
U2 R2 D B2 U2 L B2
R2 U2 B2 U L R2 B2
R2 U2 B2 U L B2 R2
R2 U2 B2 U R2 L B2
L2 D L R U2 R' F2
L2 D L R U2 F2 R'
L2 D L F2 L' D2 B2
L2 D L F2 D2 L' B2
L2 D L F2 D2 B2 L'
R D L U' L' U' R'
L2 D L' R U2 R' F2
L2 D L' R U2 F2 R'
L2 D L' F2 L' D2 B2
L2 D L' F2 D2 L' B2
L2 D L' F2 D2 B2 L'
R D L' U' L U' R'
L2 D L2 R U2 R' F2
L2 D L2 R U2 F2 R'
F R2 F U' L' B R2
F R2 F U' B L' R2
F R2 F U' B R2 L'
L2 D L2 F2 L' D2 B2
L' D R U' L U' R'
L2 D L2 F2 D2 L' B2
L2 D L2 F2 D2 B2 L'
R D L2 U' L2 U' R'
L2 D R L U2 R' F2
L2 D R L U2 F2 R'
R D L2 U2 R' D F2
L2 D R L' U2 R' F2
R D L2 U2 D R' F2
R D L2 U2 D F2 R'
L2 D R L' U2 F2 R'
L2 D R L2 U2 R' F2
L2 D R L2 U2 F2 R'
R D L2 D U2 R' F2
R D L2 D U2 F2 R'
R D L2 D' B2 L U2
L2 D R U2 R F2 R2
L2 D R U2 R' F2 D
L2 D R U2 R' F2 D'
L2 D R U2 R' F2 D2
L2 D R U2 F R' F
L2 D R U2 F2 R' D
L2 D R U2 F2 R' D'
L2 D R U2 F2 R' D2
L2 D R U2 F2 D R'
L2 D R U2 F2 D' R'
L2 D R U2 F2 D2 R'
L2 D R D2 B2 L U2
L D R U' L' U' R'
L2 D R B2 L U2 F2
L2 D R' U2 R F2 L'
L2 D R2 U2 R2 F2 L'
U' R2 B2 D L B2 R'
L2 D U2 L F2 L' R
L2 D U2 L F2 R L'
R D U' F U' F' R'
R D U' F' U' R' F
R D U' F' U' F R'
R D U' F2 U' R' F2
R D U' F2 U' F2 R'
R2 D U2 B2 U L B2
R D U2 R' U' R U
R D U2 R2 D' R F2
L2 D F' L' F' L' B'
L2 D F' L2 F' B' L'
L2 D F' L2 B' F' L'
L2 D F2 L' U2 F2 U2
L2 D F2 L' D2 B2 D
L2 D F2 L' D2 B2 D'
L2 D F2 L' D2 B2 D2
L2 D F2 L' B D2 B2
L2 D F2 L' B' D2 B2
L2 D F2 L' B2 D2 B2
L2 D F2 L2 D2 L B2
L2 D F2 U2 F2 R U2
L2 D F2 D L' D B2
L2 D F2 D2 L B2 L2
L2 D F2 D2 L' B2 D
L2 D F2 D2 L' B2 D'
L2 D F2 D2 L' B2 D2
L2 D F2 D2 B L' B
L2 D F2 D2 B2 L' D
L2 D F2 D2 B2 L' D'
L2 D F2 D2 B2 L' D2
L2 D F2 D2 B2 D L'
L2 D F2 D2 B2 D' L'
L2 D F2 D2 B2 D2 L'
L2 D F2 B L' D2 B2
L2 D F2 B D2 L' B2
L2 D F2 B D2 B2 L'
L2 D F2 B' L' D2 B2
L2 D F2 B' D2 L' B2
L2 D F2 B' D2 B2 L'
L2 D F2 B2 L' D2 B2
L2 D F2 B2 D2 L' B2
L2 D F2 B2 D2 B2 L'
L2 D B R U2 R' F2
L2 D B R U2 F2 R'
L2 D B F2 L' D2 B2
L2 D B F2 D2 L' B2
L2 D B F2 D2 B2 L'
L2 D B' R U2 R' F2
L2 D B' R U2 F2 R'
L2 D B' F2 L' D2 B2
L2 D B' F2 D2 L' B2
L2 D B' F2 D2 B2 L'
L2 D B2 R U2 R' F2
L2 D B2 R U2 F2 R'
R D B2 L U' L' U'
L2 D B2 F2 L' D2 B2
L2 D B2 F2 D2 L' B2
L2 D B2 F2 D2 B2 L'
L2 D' L R B2 L U2
L2 D' L B2 R U2 R'
L2 D' L' R B2 L U2
R D' L U' L' U' R'
F' U F U' F' U' L'
L2 D' L' B2 R U2 R'
L2 D' L2 R B2 L U2
R D' L' U' L U' R'
L' D' R U' L U' R'
L2 D' L2 B2 R U2 R'
L2 D' R L B2 L U2
L2 D' R L' B2 L U2
L2 D' R L2 B2 L U2
R D' L2 U' L2 U' R'
R D' L2 U2 R' D F2
R D' L2 U2 D R' F2
R D' L2 U2 D F2 R'
L2 D' R U2 R' D2 F2
R D' L2 D U2 R' F2
L2 D' R U2 D2 R' F2
L2 D' R U2 D2 F2 R'
R D' L2 D U2 F2 R'
F U F' R U' F U'
R D' L2 D' B2 L U2
F2 U F2 R U' F2 U'
F2 U F2 R U2 D R2
F2 U F2 R D U2 R2
F2 U F2 R D' L2 U2
L2 D' R D2 U2 R' F2
L2 D' R D2 U2 F2 R'
F2 U F2 U' F2 U' L'
F2 U F2 D R U2 R
L2 D' R B2 L U2 D
L2 D' R B2 L U2 D'
L2 D' R B2 L U2 D2
L2 D' R B2 L D U2
L2 D' R B2 L D' U2
L2 D' R B2 L D2 U2
F2 U F2 D' L2 R U2
F2 U F2 D' R L2 U2
