B' L2 D R' F' B2
B' L2 D R' B2 F'
B' R2 U' L2 R F'
B' R2 U' R L2 F'
B' R2 U' R F' L2
L2 D B' R' F' B'
L2 D B' R' B' F'
L2 B D B2 R' F'
L2 B' D R' F' B2
L2 B' D R' B2 F'
B' R2 L U' L R F'
B' R2 L U' R L F'
B' R2 L U' R F' L
U' R2 L F U' L F
B' R2 L' U' L' R F'
B' R2 L' U' R L' F'
R2 U2 F U L2 R F'
R2 U2 F U R L2 F'
R2 U2 F U R F' L2
B' R2 U R F' L2 B'
B' R2 U' L R F' L
U' R2 U' L F L R
U' R2 U' L F R L
B' R2 U' L2 R D F'
B' R2 U' L2 R D' F'
B' R2 U' L2 R D2 F'
B' R2 U' L2 R F' D
B' R2 U' L2 R F' D'
B' R2 U' L2 R F' D2
B' R2 U' R L F' L
B' R2 U' R L2 D F'
B' R2 U' R L2 D' F'
B' R2 U' R L2 D2 F'
B' R2 U' R L2 F' D
B' R2 U' R L2 F' D'
B' R2 U' R L2 F' D2
B' R2 U' R F L2 F2
B' R2 U' R F' L2 D
B' R2 U' R F' L2 D'
B' R2 U' R F' L2 D2
B R2 U' L2 F2 R F'
L' D L' B' R' F' B'
L' D L' B' R' B' F'
L D L B' R' F' B'
L D L B' R' B' F'
U' R2 B L F U' L
B' R2 B U' L2 R F'
B' R2 B U' R L2 F'
B' R2 B U' R F' L2
L2 D R' F' B' R' B'
L2 D R' B' F' R' B'
L2 D R' B2 D2 F' R
B' R2 B' U' L2 R F'
B' R2 B' U' R L2 F'
B' R2 B' U' R F' L2
B' R2 B2 U' L2 R F'
B' R2 B2 U' R L2 F'
B' R2 B2 U' R F' L2
L D U2 L F R B2
L D U2 L F B2 R
L D U2 L B2 F R
L2 D F B' R' F' B'
L2 D F B' R' B' F'
L2 D F' B' R' F' B'
L2 D F' B' R' B' F'
L2 D F2 B' R' F' B'
L2 D F2 B' R' B' F'
L' D B' R' B' L' F'
L2 D B' R' D F' B'
L2 D B' R' D B' F'
L2 D B' R' D' F' B'
L2 D B' R' D' B' F'
L2 D B' R' D2 F' B'
L2 D B' R' D2 B' F'
L2 D B' R' F' D B'
L2 D B' R' F' D' B'
L2 D B' R' F' D2 B'
L2 D B' R' F' B' D
L2 D B' R' F' B' D'
L2 D B' R' F' B' D2
L2 D B' R' B' D F'
L2 D B' R' B' D' F'
L2 D B' R' B' D2 F'
L2 D B' R' B' F' D
L2 D B' R' B' F' D'
L2 D B' R' B' F' D2
L2 D B' R2 B' R F'
L2 D B' D R' F' B'
L2 D B' D R' B' F'
L2 D B' D' R' F' B'
L2 D B' D' R' B' F'
L2 D B' D2 R' F' B'
L2 D B' D2 R' B' F'
L2 D B' F R' F' B'
L2 D B' F R' B' F'
L2 D B' F' R' F' B'
L2 D B' F' R' B' F'
L2 D B' F2 R' F' B'
L2 D B' F2 R' B' F'
L2 D B2 R' D2 F' R
L2 D B2 D2 R' F' R
L' D' F2 R B L U2
L D' F2 U2 L F R
L2 D' B D2 B2 R' F'
L2 D' B' R' D2 F' B2
L2 D' B' R' D2 B2 F'
L2 D' B' D2 R' F' B2
L2 D' B' D2 R' B2 F'
L2 D2 B D' B2 R' F'
L2 D2 B' R' D' F' B2
L2 D2 B' R' D' B2 F'
L2 D2 B' R' F' D' B2
L2 D2 B' D' R' F' B2
L2 D2 B' D' R' B2 F'
D' F D L2 B' R' F'
L2 F D B' R' F' B'
L2 F D B' R' B' F'
B' D R' B2 D' L2 F'
B' D R' B2 D' F' L2
L2 F B D B2 R' F'
L2 F B' D R' F' B2
L2 F B' D R' B2 F'
R' F' L2 U R' F' U'
R' F' L2 B' D' R' B
R' F' U R' F' U' L2
B D B2 R' D' L2 F'
B D B2 R' D' F' L2
B D B2 D' L2 R' F'
B D B2 D' R' L2 F'
B D B2 D' R' F' L2
L2 F' D B' R' F' B'
L2 F' D B' R' B' F'
R' F' B' L2 D' R' B
L2 F' B D B2 R' F'
L2 F' B' D R' F' B2
L2 F' B' D R' B2 F'
L2 F2 D B' R' F' B'
L2 F2 D B' R' B' F'
B' D2 R' D' F' B2 L
B' D2 R' D' B2 L F'
B' D2 R' D' B2 F' L
B' D2 R' F' D' B2 L
L2 F2 B D B2 R' F'
L2 F2 B' D R' F' B2
L2 F2 B' D R' B2 F'
U' B L R2 F U' L
U' B L F R2 U' L
R B L U' R U' L
U' B R2 L F U' L
R2 B U' L2 F2 R F'
B' F L2 D R' F' B2
B' F L2 D R' B2 F'
L' B D B2 L' R' F'
L' B D B2 R' L' F'
L2 B D R' F' B2 R'
L2 B D R' B2 F' R'
L2 B D F B2 R' F'
L2 B D F' B2 R' F'
L2 B D F2 B2 R' F'
L2 B D B2 R' D F'
L2 B D B2 R' D' F'
L2 B D B2 R' D2 F'
L2 B D B2 R' F' D
L2 B D B2 R' F' D'
L2 B D B2 R' F' D2
L2 B D B2 D R' F'
L2 B D B2 D' R' F'
L2 B D B2 D2 R' F'
L2 B D B2 F R' F'
L2 B D B2 F' R' F'
L2 B D B2 F2 R' F'
B' F R2 U' L2 R F'
B' F R2 U' R L2 F'
B' F R2 U' R F' L2
L2 B F D B2 R' F'
L2 B F' D B2 R' F'
L2 B F2 D B2 R' F'
L' B' L' D R' F' B2
L' B' L' D R' B2 F'
R' B' L2 D' F' R' B
R' B' L2 F' D' R' B
D2 B' R' D' F' B2 L
D2 B' R' D' B2 L F'
D2 B' R' D' B2 F' L
D2 B' R' F' D' B2 L
L' B' R2 U' L' R F'
L' B' R2 U' R L' F'
L2 B' R' F' U R' U'
D B' R' D' F' B' L2
D B' R' D' B' L2 F'
D B' R' D' B' F' L2
D B' R' B' D' L2 F'
D B' R' B' D' F' L2
B' F' L2 D R' F' B2
B' F' L2 D R' B2 F'
F' B' L2 D R' F' B2
F' B' L2 D R' B2 F'
F2 B' L2 D R' F' B2
F2 B' L2 D R' B2 F'
R2 B' U' L2 R F' R2
R2 B' U' R L2 F' R2
R2 B' U' R F' L2 R2
R2 B' U' R F' R2 L2
L' B' D L' R' F' B2
L' B' D L' R' B2 F'
F B' L2 D R' F' B2
F B' L2 D R' B2 F'
L' B' D R' L' F' B2
L' B' D R' L' B2 F'
L' B' D R' B2 L' F'
B' F' R2 U' L2 R F'
B' F' R2 U' R L2 F'
B' F' R2 U' R F' L2
L2 B' D R' F' B2 D
L2 B' D R' F' B2 D'
L2 B' D R' F' B2 D2
L2 B' D R' B2 D F'
L2 B' D R' B2 D' F'
L2 B' D R' B2 D2 F'
L2 B' D R' B2 F' D
L2 B' D R' B2 F' D'
L2 B' D R' B2 F' D2
L2 B' D R2 B2 R F'
L2 B' D F R' F' B2
L2 B' D F R' B2 F'
L2 B' D F' R' F' B2
L2 B' D F' R' B2 F'
F' B' R2 U' L2 R F'
F' B' R2 U' R L2 F'
F' B' R2 U' R F' L2
L2 B' D F2 R' F' B2
L2 B' D F2 R' B2 F'
F2 B' R2 U' L2 R F'
F2 B' R2 U' R L2 F'
F2 B' R2 U' R F' L2
L2 B' D' R' D2 F' B2
L2 B' D' R' D2 B2 F'
D B' D' R' F' B' L2
D B' D' R' B' L2 F'
D B' D' R' B' F' L2
L2 B' D2 R' D' F' B2
L2 B' D2 R' D' B2 F'
L2 B' D2 R' F' D' B2
F B' R2 U' L2 R F'
F B' R2 U' R L2 F'
F B' R2 U' R F' L2
R' B' F' L2 D' R' B
L2 B' F D R' F' B2
L2 B' F D R' B2 F'
L2 B' F' D R' F' B2
L2 B' F' D R' B2 F'
L2 B' F2 D R' F' B2
L2 B' F2 D R' B2 F'
B' F2 L2 D R' F' B2
B' F2 L2 D R' B2 F'
B' F2 R2 U' L2 R F'
B' F2 R2 U' R L2 F'
B' F2 R2 U' R F' L2
