B2 L U2 F2 B' U'
B2 L U2 B' F2 U'
R' L F2 B' L' U'
R' L B' F2 L' U'
L2 R' F2 L' B' U'
L R' F2 B' L' U'
L R' B' F2 L' U'
B2 L' F L2 B' U
R' L2 F2 L' B' U'
L U2 R' F2 B' U'
L U2 R' B' F2 U'
L U2 F2 R' B' U'
L' D2 F B2 L U
L' D2 B2 F L U
L2 D2 B2 L F U
L' F U2 R' F U'
L' F U2 F R' U'
R' F2 L B' L2 U'
R' F2 L' U2 F U
U2 F2 D2 R' B U'
L F' U2 F' R' B' U'
U2 F' D2 F' R' B U'
R' F2 L D B' U' F2
R' F2 L B L2 B2 U'
R' F2 L B' L2 U' D
R' F2 L B' L2 U' D'
R' F2 L B' L2 U' D2
R' F2 L B' L2 D U'
R' F2 L B' L2 D' U'
R' F2 L B' L2 D2 U'
R' F2 L B' U' D F2
R' F2 L B' D U' F2
U2 F2 L R' B' L' U'
R' F2 L B2 L2 B U'
R' F2 L' U2 D F U
R' F2 L' U2 D' F U
R' F2 L' U2 D2 F U
R' F2 L' U2 F U D
R' F2 L' U2 F U D'
R' F2 L' U2 F U D2
R' F2 L' U2 F D U
R' F2 L' U2 F D' U
R' F2 L' U2 F D2 U
R' F2 L' D U2 F U
R' F2 L' D' U2 F U
R' F2 L' D2 U2 F U
R' F2 L' B U2 F U
R' F2 L' B' U2 F U
R' F2 L' B2 U2 F U
U F2 L R' B' U' F2
R2 F2 L' F R2 B U
L' F2 R' U2 R F' U
U2 F2 R' L B' L' U'
U2 F2 R' D' B' U' L
U F2 R' L B' U' F2
L F2 R' B' U2 R U
R2 F2 U2 L' R2 F U
R2 F2 U2 L' F R2 U
R2 F2 U2 R2 L' F U
R' F2 D' L' B' U' L
R' F2 D' B' L' U' L2
U2 F2 D' R' B' U' L
R' F2 B L B' L2 U'
R' F2 B L' U2 F U
U2 F2 D2 R' D B U'
U2 F2 D2 R' D' B U'
U2 F2 D2 R' D2 B U'
U2 F2 D2 R' B U' D
U2 F2 D2 R' B U' D'
U2 F2 D2 R' B U' D2
U2 F2 D2 R' B D U'
U2 F2 D2 R' B D' U'
U2 F2 D2 R' B D2 U'
R' F2 B' L B' L2 U'
R' F2 B' L' U2 F U
F2 D2 R' B U2 R U
R' F2 B2 L B' L2 U'
R' F2 B2 L' U2 F U
R' B L F2 B' L' U'
R' B L B' F2 L' U'
F' D2 U2 F' R' B U'
R F2 B2 L R2 B' U'
R F2 B2 L B' R2 U'
R F2 B2 R2 L B' U'
R' B L2 F2 L' B' U'
F D2 U2 R' F B U'
F D2 U2 R' B F U'
F D2 U2 F R' B U'
B2 D2 B2 U2 R' B U'
B' F L2 B' L F U
L' B F U2 F R U'
R' B F2 L B' L2 U'
R' B F2 L' U2 F U
R' B' L F2 B' L' U'
R' B' L B' F2 L' U'
R' B' L2 F2 L' B' U'
B2 F' L U2 F' B' U'
B2 F' L U2 B' F' U'
D2 B' D B' U L B'
F B' L2 B' L F U
L' B' D2 F L' B2 U
L' B' D2 F B2 L' U
L' B' D2 B2 F L' U
L' B' F L2 B' L U
R' B' F2 L B' L2 U'
R' B' F2 L' U2 F U
D2 B2 L R F' R' U
D2 B2 L D' F U L'
R' B2 L F2 B' L' U'
R' B2 L B' F2 L' U'
L2 B2 L D F U R2
L2 B2 L D2 F B2 U
L2 B2 L D2 B2 F U
L2 B2 L F U2 F U'
D B2 L F U L' R2
D B2 L F U R2 L'
D2 B2 L2 D2 L' F U
L B2 L U2 F2 B U'
L B2 L U2 B F2 U'
R' B2 L2 F2 L' B' U'
R B2 L R2 F2 B' U'
D2 B2 R L F' R' U
R B2 L R2 B' F2 U'
F' B2 L U2 F' B' U'
F' B2 L U2 B' F' U'
R B2 L F2 R2 B' U'
D2 B2 R F' L R' U
R B2 L F2 B' R2 U'
D2 B2 R F' R' L U
R B2 L B' R2 F2 U'
R B2 L B' F2 R2 U'
R B2 R2 L F2 B' U'
R B2 R2 L B' F2 U'
R B2 R2 F2 L B' U'
D2 B2 U2 B2 R' B U'
L' B2 D F L U R2
L2 B2 D L F U R2
D2 B2 D' L F U L'
D2 B2 D' F L U L2
D2 B2 D2 L U2 B' U'
D2 B2 D2 L' F L2 U
L' B2 D2 F L B2 U
L2 B2 D2 L F B2 U
L2 B2 D2 L B2 F U
L' B2 F L2 B' L' U
R' B2 F2 L B' L2 U'
R' B2 F2 L' U2 F U
D B2 F L U L2 R2
D B2 F L U R2 L2
R B2 F2 L R2 B' U'
R B2 F2 L B' R2 U'
R B2 F2 R2 L B' U'
