R F2 U L' B'
D' L R F2 U B'
L' R F2 U L' B'
L R F2 U L' B'
L2 R F2 U L' B'
R L F2 U L' B'
R L' F2 U L' B'
R L2 F2 U L' B'
D' R L F2 U B'
D' R F2 L U B'
R U' D R F' U2
R D U' R F' U2
R F L' F U L'
R F D' L' F U
F D' L' F2 U F'
R F2 U L' D B'
R F2 U L' D' B'
R F2 U L' D2 B'
R F2 U L' B' D
R F2 U L' B' D'
R F2 U L' B' D2
R F2 U D L' B'
R F2 U D' L' B'
R F2 U D2 L' B'
R F2 U B L' B'
R F2 U B' L' B'
R F2 U B2 L' B'
R F2 D U L' B'
R F2 D' U L' B'
R F2 D2 U L' B'
R2 D R' F2 U B L'
R' D U' R' B2 U2 B'
R2 D U R' U B R
R D U' R D F' U2
R D U' R D' F' U2
R D U' R D2 F' U2
R D U' R F' U2 D
R D U' R F' U2 D'
R D U' R F' U2 D2
R D U' R F' D U2
R D U' R F' D' U2
R D U' R F' D2 U2
L' D' L R F2 U B'
L2 D' L R F2 U B'
L D' L R F2 U B'
R D' L U' R U2 B'
R D' L F2 U B' L'
R D' L' U' R F U2
L' D' R L F2 U B'
L2 D' R L F2 U B'
L' D' R F2 L U B'
L2 D' R F2 L U B'
L D' R L F2 U B'
L D' R F2 L U B'
R' D' U F2 B2 L B'
R' D' U B2 L F2 B'
R' D' U B2 L B' F2
R' D' U B2 F2 L B'
R D' F2 L U B' L2
R D' F2 U L B' L2
F' U2 R U R B U2
R' F L' R2 U' R U2
R' F L' R2 F2 U L'
F2 U2 D2 L' U' L' B'
R2 F L' R' U' R U2
R2 F L' R' F2 U L'
R F L F L2 U L
R F L' U F L' F'
R F L' F U L' D
R F L' F U L' D'
R F L' F U L' D2
R F L' F U D L'
R F L' F U D' L'
R F L' F U D2 L'
R F L' F D U L'
R F L' F D' U L'
R F L' F D2 U L'
R F L' F' U' R U2
R F L2 F L U L2
R' F R2 L' U' R U2
R' F R2 L' F2 U L'
R2 F R' L' U' R U2
R2 F R' L' F2 U L'
R2 F U L' R' U R
R2 F U R' L' U R
L' F D' L' F2 U F'
L2 F D' L' F2 U F'
L F D' L' F2 U F'
R F D' L' D F U
R F D' L' D' F U
R F D' L' D2 F U
R F D' L' F U D
R F D' L' F U D'
R F D' L' F U D2
R F D' L' F D U
R F D' L' F D' U
R F D' L' F D2 U
R F' L F' U L' B'
R F' L' F' U L' B'
R F' L2 F' U L' B'
U' F' R2 U' R' U' F'
F D' L F2 L2 U F
F D' L' R F2 U F'
F D' L' R' F2 U F'
F D' L' R2 F2 U F'
R F' U2 R B U' L
F D' L' U D' F L2
F D' L' D' U F L2
R F' U2 B R U' L
F D' L' F2 U D F'
F D' L' F2 U D' F'
F D' L' F2 U D2 F'
F D' L' F2 U F' D
F D' L' F2 U F' D'
F D' L' F2 U F' D2
F D' L' F2 D U F'
F D' L' F2 D' U F'
F D' L' F2 D2 U F'
R F' D F' U L' B'
F D' L2 F2 L U F
F D' R L' F2 U F'
R F' D' F' U L' B'
F D' R' L' F2 U F'
R F' D2 F' U L' B'
F D' R2 L' F2 U F'
D' F2 L U D F2 B'
D' F2 L U D B' F2
D' F2 L U B' D F2
D' F2 L D U F2 B'
D' F2 L D U B' F2
D' F2 L D2 R2 U B'
D' F2 L' U' F U2 F'
F' D' F R F L' U
R F2 L U L' B' L'
R F2 L F' L' U L'
F2 D' F' L' F' R U
R F2 L' F' L' U L
F' D' F2 D' L' U F
R F2 L2 U L' B' L2
R F2 L2 F' L' U L2
R' F2 R2 U' R U2 B
R2 F2 R' U' R U2 B
D' F2 U2 L' U F U2
R F2 U L B L2 B'
R F2 U L B' L2 B'
R F2 U L B2 L2 B'
R F2 U L' R' B' R
R F2 U L' R2 B' R2
R F2 U L' D B' D
R F2 U L' D B' D'
R F2 U L' D B' D2
R F2 U L' D' B' D
R F2 U L' D' B' D'
R F2 U L' D' B' D2
R F2 U L' D2 B' D
R F2 U L' D2 B' D'
R F2 U L' D2 B' D2
R F2 U L' B2 D B
R F2 U L' B2 D' B
R F2 U L' B2 D2 B
R F2 U R' L' B' R
R F2 U R2 L' B' R2
R F2 U D L' D B'
R F2 U D L' D' B'
R F2 U D L' D2 B'
R F2 U D L' B' D
R F2 U D L' B' D'
R F2 U D L' B' D2
R F2 U D B L' B'
R F2 U D B' L' B'
R F2 U D B2 L' B'
R F2 U D' L' D B'
R F2 U D' L' D' B'
R F2 U D' L' D2 B'
R F2 U D' L' B' D
R F2 U D' L' B' D'
R F2 U D' L' B' D2
R F2 U D' B L' B'
R F2 U D' B' L' B'
R F2 U D' B2 L' B'
R F2 U D2 L' D B'
R F2 U D2 L' D' B'
R F2 U D2 L' D2 B'
R F2 U D2 L' B' D
R F2 U D2 L' B' D'
R F2 U D2 L' B' D2
R F2 U D2 B L' B'
R F2 U D2 B' L' B'
R F2 U D2 B2 L' B'
R F2 U B L' D B'
R F2 U B L' D' B'
R F2 U B L' D2 B'
R F2 U B L' B' D
R F2 U B L' B' D'
R F2 U B L' B' D2
R F2 U B D L' B'
R F2 U B D' L' B'
R F2 U B D2 L' B'
R F2 U B' L' D B'
R F2 U B' L' D' B'
R F2 U B' L' D2 B'
R F2 U B' L' B' D
R F2 U B' L' B' D'
R F2 U B' L' B' D2
R F2 U B' D L' B'
R F2 U B' D' L' B'
R F2 U B' D2 L' B'
R F2 U B2 L' D B'
R F2 U B2 L' D' B'
R F2 U B2 L' D2 B'
R F2 U B2 L' B' D
R F2 U B2 L' B' D'
R F2 U B2 L' B' D2
R F2 U B2 D L' B'
R F2 U B2 D' L' B'
R F2 U B2 D2 L' B'
R F2 U' R U2 L' B
R F2 U' R U2 B L'
R F2 U' F2 R U2 B
F D2 L' U D L' F
R F2 U2 R U' L' B'
R F2 U2 R' U' L' B'
F D2 L' D U L' F
R F2 U2 R2 U' L' B'
R F2 U2 B' R' U' L'
R F2 D U L' D B'
R F2 D U L' D' B'
R F2 D U L' D2 B'
R F2 D U L' B' D
R F2 D U L' B' D'
R F2 D U L' B' D2
R F2 D U B L' B'
R F2 D U B' L' B'
R F2 D U B2 L' B'
B D2 R B' L U L
R F2 D' U L' D B'
R F2 D' U L' D' B'
R F2 D' U L' D2 B'
R F2 D' U L' B' D
R F2 D' U L' B' D'
R F2 D' U L' B' D2
R F2 D' U B L' B'
R F2 D' U B' L' B'
R F2 D' U B2 L' B'
R F2 D2 U L' D B'
R F2 D2 U L' D' B'
R F2 D2 U L' D2 B'
R F2 D2 U L' B' D
R F2 D2 U L' B' D'
R F2 D2 U L' B' D2
R F2 D2 U B L' B'
R F2 D2 U B' L' B'
R F2 D2 U B2 L' B'
F2 D2 U2 L' U' L' B'
B D2 B' L R U L
B D2 B' R L U L
R' B2 D' L R2 F2 B'
R' B2 D' L R2 B' F2
R' B2 D' L F2 R2 B'
R' B2 D' L F2 B' R2
R' B2 D' L B' R2 F2
R' B2 D' L B' F2 R2
R' B2 D' R2 L F2 B'
R' B2 D' R2 L B' F2
R' B2 D' R2 F2 L B'
R' B2 D' F2 L R2 B'
R' B2 D' F2 L B' R2
R' B2 D' F2 R2 L B'
