F U' L' F
F L U' L2 F
L' U' F L' R
L' U' F R L'
F U' L' D F
F U' L' D' F
F U' L' D2 F
F U' L' F D
F U' L' F D'
F U' L' F D2
B' F U' L' F
F B U' L' F
B F U' L' F
B2 F U' L' F
F B' U' L' F
F B2 U' L' F
L' U' R F L' R D2
L' U' R F L' D R
L' U' R F L' D' R
L' U' R F L' D2 R
L' U' R F R L' D
L' U' R F R L' D'
L' U' R F R L' D2
L' U' R F R D L'
L' U' R F R D' L'
L' U' R F R D2 L'
L' U' R F D L' R
L' U' R F D R L'
L' U' R F D' L' R
L' U' R F D' R L'
L' U' R F D2 L' R
L' U' R F D2 R L'
L' U' R' F L' R D
L' U' R' F L' R D'
L' U' R' F L' R D2
L' U' R' F L' D R
L' U' R' F L' D' R
L' U' R' F L' D2 R
L' U' R' F R L' D
L' U' R' F R L' D'
L' U' R' F R L' D2
L' U' R' F R D L'
L' U' R' F R D' L'
L' U' R' F R D2 L'
L' U' R' F D L' R
L' U' R' F D R L'
L' U' R' F D' L' R
L' U' R' F D' R L'
L' U' R' F D2 L' R
L' U' R' F D2 R L'
R U' R' F U' L' F
L' U' R2 F L' R D
L' U' R2 F L' R D'
L' U' R2 F L' R D2
L' U' R2 F L' D R
L' U' R2 F L' D' R
L' U' R2 F L' D2 R
L' U' R2 F R L' D
L' U' R2 F R L' D'
L' U' R2 F R L' D2
L' U' R2 F R D L'
L' U' R2 F R D' L'
L' U' R2 F R D2 L'
L' U' R2 F D L' R
L' U' R2 F D R L'
L' U' R2 F D' L' R
L' U' R2 F D' R L'
L' U' R2 F D2 L' R
L' U' R2 F D2 R L'
F R B U' L' F B'
F R B U' L' B' F
R2 U' R2 F U' L' F
L' U' F L' R2 D R'
L' U' F L' R2 D' R'
L' U' F L' R2 D2 R'
L' U' F L' D R D
L' U' F L' D R D'
L' U' F L' D R D2
L' U' F L' D' R D
L' U' F L' D' R D'
L' U' F L' D' R D2
L' U' F L' D2 R D
L' U' F L' D2 R D'
L' U' F L' D2 R D2
L' U' F L' B R B'
L' U' F L' B2 R B2
L' U' F L2 R D L
L' U' F L2 R D' L
L' U' F L2 R D2 L
L' U' F L2 D L R
L' U' F L2 D R L
L' U' F L2 D' L R
L' U' F L2 D' R L
L' U' F L2 D2 L R
L' U' F L2 D2 R L
L' U' F R L2 D L
L' U' F R L2 D' L
L' U' F R L2 D2 L
L' U' F R D L' D
L' U' F R D L' D'
L' U' F R D L' D2
L' U' F R D' L' D
L' U' F R D' L' D'
L' U' F R D' L' D2
L' U' F R D2 L' D
L' U' F R D2 L' D'
L' U' F R D2 L' D2
L' U' F R B' L' B
L' U' F R B2 L' B2
L' U' F R2 L' D R'
L' U' F R2 L' D' R'
L' U' F R2 L' D2 R'
L' U' F R2 D L' R'
L' U' F R2 D R' L'
L' U' F R2 D' L' R'
L' U' F R2 D' R' L'
L' U' F R2 D2 L' R'
L' U' F R2 D2 R' L'
L' U' F D L' R D
L' U' F D L' R D'
L' U' F D L' R D2
L' U' F D L' D R
L' U' F D L' D' R
L' U' F D L' D2 R
L' U' F D R L' D
L' U' F D R L' D'
L' U' F D R L' D2
L' U' F D R D L'
L' U' F D R D' L'
L' U' F D R D2 L'
L' U' F D' L' R D
L' U' F D' L' R D'
L' U' F D' L' R D2
L' U' F D' L' D R
L' U' F D' L' D' R
L' U' F D' L' D2 R
L' U' F D' R L' D
L' U' F D' R L' D'
L' U' F D' R L' D2
L' U' F D' R D L'
L' U' F D' R D' L'
L' U' F D' R D2 L'
L' U' F D2 L' R D
L' U' F D2 L' R D'
L' U' F D2 L' R D2
L' U' F D2 L' D R
L' U' F D2 L' D' R
L' U' F D2 L' D2 R
L' U' F D2 R L' D
L' U' F D2 R L' D'
L' U' F D2 R L' D2
L' U' F D2 R D L'
L' U' F D2 R D' L'
L' U' F D2 R D2 L'
L' U' F B R B' L'
L' U' F B' L' B R
R2 U' F R2 U' L' F
L' U' F B2 L' R B2
L' U' F B2 L' B2 R
L' U' F B2 R L' B2
L' U' F B2 R B2 L'
R U' F R' U' L' F
L' U' F2 L F' L' R
L' U' F2 L F' R L'
L' U' F2 L' F' L' R
L' U' F2 L' F' R L'
L' U' F2 L2 F' L' R
L' U' F2 L2 F' R L'
U' R' U F U' L' F
L' U' B F R B' L'
U R' U' F U' L' F
U2 R' U2 F U' L' F
L' U' B' F L' B R
L' U' B2 F L' R B2
L' U' B2 F L' B2 R
L' U' B2 F R L' B2
L' U' B2 F R B2 L'
F R' D2 R U' L' F'
R' U2 R F U' L' F
L' U2 R B U F L'
D R' B R F L' U'
R U2 R' F U' L' F
F R' B R U' L' F
R2 U2 R2 F U' L' F
F R' B' R U' L' F
F R' B2 R U' L' F
R2 U2 F R2 U' L' F
R U2 F R' U' L' F
U' R2 U F U' L' F
L' U2 B U F L' R
L' U2 B U F R L'
F R2 U' L' D F B2
F R2 U' L' D B2 F
F R2 U' L' F D B2
U R2 U' F U' L' F
L' U2 B' U F L' R
L' U2 B' U F R L'
U2 R2 U2 F U' L' F
L' U2 B2 U F L' R
L' U2 B2 U F R L'
B' R2 F R2 U' L' F
B2 R2 F R2 U' L' F
B R2 F R2 U' L' F
R D R' F L' B U'
R D R' F B L' U'
F R2 B R2 U' L' F
R D R' B F L' U'
F R2 B' R2 U' L' F
F R2 B2 R2 U' L' F
F U L B' L' U2 L'
R D F L' R' B U'
R D F R' L' B U'
R D F R' B L' U'
F U R U2 L' D F
F U R U2 L' D' F
F U R U2 L' D2 F
F U R U2 L' F D
F U R U2 L' F D'
F U R U2 L' F D2
F U R B U2 L' F
F U R B' U2 L' F
F U R B2 U2 L' F
F U R' U2 L' D F
F U R' U2 L' D' F
F U R' U2 L' D2 F
F U R' U2 L' F D
F U R' U2 L' F D'
F U R' U2 L' F D2
F U R' B U2 L' F
F U R' B' U2 L' F
F U R' B2 U2 L' F
F U R2 U2 L' D F
F U R2 U2 L' D' F
F U R2 U2 L' D2 F
F U R2 U2 L' F D
F U R2 U2 L' F D'
F U R2 U2 L' F D2
F U R2 B U2 L' F
F U R2 B' U2 L' F
F U R2 B2 U2 L' F
L2 D' L B' U' F R
F U D2 R U2 L' F'
F U D2 R' B U2 L'
F U B R U2 L' F
F U B R' U2 L' F
F U B R2 U2 L' F
F U B U2 L' D F
F U B U2 L' D' F
F U B U2 L' D2 F
F U B U2 L' F D
F U B U2 L' F D'
F U B U2 L' F D2
F U B' R U2 L' F
F U B' R' U2 L' F
F U B' R2 U2 L' F
F U B' U2 L' D F
F U B' U2 L' D' F
F U B' U2 L' D2 F
F U B' U2 L' F D
F U B' U2 L' F D'
F U B' U2 L' F D2
F U B2 R U2 L' F
F U B2 R' U2 L' F
F U B2 R2 U2 L' F
F U B2 U2 L' D F
F U B2 U2 L' D' F
F U B2 U2 L' D2 F
F U B2 U2 L' F D
F U B2 U2 L' F D'
F U B2 U2 L' F D2
F U' L U2 B' U2 L2
F U' L F L2 D F
F U' L F L2 D' F
F U' L F L2 D2 F
F U' L F L2 F D
F U' L F L2 F D'
F U' L F L2 F D2
F U' L F' L2 D F
F U' L F' L2 D' F
F U' L F' L2 D2 F
F U' L F' L2 F D
F U' L F' L2 F D'
F U' L F' L2 F D2
F U' L F2 L2 D F
F U' L F2 L2 D' F
F U' L F2 L2 D2 F
F U' L F2 L2 F D
F U' L F2 L2 F D'
F U' L F2 L2 F D2
F U' L' R D R' F
F U' L' R D F R'
F U' L' R D' R' F
F U' L' R D' F R'
F U' L' R D2 R' F
F U' L' R D2 F R'
F U' L' R F R' D
F U' L' R F R' D'
F U' L' R F R' D2
F U' L' R F D R'
F U' L' R F D' R'
F U' L' R F D2 R'
F U' L' R F' R' F2
F U' L' R' D R F
F U' L' R' D' R F
F U' L' R' D2 R F
F U' L' R2 F R2 D
F U' L' R2 F R2 D'
F U' L' R2 F R2 D2
F U' L' R2 F' R2 F2
F U' L' U' R U F
F U' L' U' R' U F
F U' L' U' R2 U F
F U' L' U2 B U2 F
F U' L' U2 B' U2 F
F U' L' U2 B2 U2 F
F U' L' D R F R'
F U' L' D R2 F R2
F U' L' D F2 D F'
F U' L' D F2 D' F'
F U' L' D F2 D2 F'
F U' L' D' R F R'
F U' L' D' R2 F R2
F U' L' D' F2 D F'
F U' L' D' F2 D' F'
F U' L' D' F2 D2 F'
F U' L' D2 R F R'
F U' L' D2 R2 F R2
F U' L' D2 F2 D F'
F U' L' D2 F2 D' F'
F U' L' D2 F2 D2 F'
F U' L' F L D L'
F U' L' F L D' L'
F U' L' F L D2 L'
F U' L' F L' D L
F U' L' F L' D' L
F U' L' F L' D2 L
F U' L' F R D R'
F U' L' F R D' R'
F U' L' F R D2 R'
F U' L' F R' D R
F U' L' F R' D' R
F U' L' F R' D2 R
F U' L' F B D B'
F U' L' F B D' B'
F U' L' F B D2 B'
F U' L' F B' D B
F U' L' F B' D' B
F U' L' F B' D2 B
F U' L' F' L' F2 L
F U' L' F' L2 F2 L2
F U' L' F' R F2 R'
F U' L' F' R2 F2 R2
F U' L' F2 L' F' L
F U' L' F2 L2 F' L2
F U' L' F2 D F' D
F U' L' F2 D F' D'
F U' L' F2 D F' D2
F U' L' F2 D' F' D
F U' L' F2 D' F' D'
F U' L' F2 D' F' D2
F U' L' F2 D2 F' D
F U' L' F2 D2 F' D'
F U' L' F2 D2 F' D2
F U' L' B D F B'
F U' L' B D B' F
F U' L' B D' F B'
F U' L' B D' B' F
F U' L' B D2 F B'
F U' L' B D2 B' F
F U' L' B F D B'
F U' L' B F D' B'
F U' L' B F D2 B'
F U' L' B' D F B
F U' L' B' D B F
F U' L' B' D' F B
F U' L' B' D' B F
F U' L' B' D2 F B
F U' L' B' D2 B F
F U' L' B' F D B
F U' L' B' F D' B
F U' L' B' F D2 B
F U' L2 D L D F
F U' L2 D L D' F
F U' L2 D L D2 F
F U' L2 D L F D
F U' L2 D L F D'
F U' L2 D L F D2
F U' L2 D F L F
F U' L2 D F' L F
F U' L2 D F2 L F
F U' L2 D' L D F
F U' L2 D' L D' F
F U' L2 D' L D2 F
F U' L2 D' L F D
F U' L2 D' L F D'
F U' L2 D' L F D2
F U' L2 D' F L F
F U' L2 D' F' L F
F U' L2 D' F2 L F
F U' L2 D2 L D F
F U' L2 D2 L D' F
F U' L2 D2 L D2 F
F U' L2 D2 L F D
F U' L2 D2 L F D'
F U' L2 D2 L F D2
F U' L2 D2 F L F
F U' L2 D2 F' L F
F U' L2 D2 F2 L F
F U' L2 F L D F
F U' L2 F L D' F
F U' L2 F L D2 F
F U' L2 F L F D
F U' L2 F L F D'
F U' L2 F L F D2
F U' L2 F D L F
F U' L2 F D' L F
F U' L2 F D2 L F
F U' L2 F' L D F
F U' L2 F' L D' F
F U' L2 F' L D2 F
F U' L2 F' L F D
F U' L2 F' L F D'
F U' L2 F' L F D2
F U' L2 F' D L F
F U' L2 F' D' L F
F U' L2 F' D2 L F
F U' L2 F2 L D F
F U' L2 F2 L D' F
F U' L2 F2 L D2 F
F U' L2 F2 L F D
F U' L2 F2 L F D'
F U' L2 F2 L F D2
F U' L2 F2 D L F
F U' L2 F2 D' L F
F U' L2 F2 D2 L F
F U' R L' D R' F
F U' R L' D F R'
F U' R L' D' R' F
F U' R L' D' F R'
F U' R L' D2 R' F
F U' R L' D2 F R'
F U' R L' F R' D
F U' R L' F R' D'
F U' R L' F R' D2
F U' R L' F D R'
F U' R L' F D' R'
F U' R L' F D2 R'
F U' R L' F' R' F2
F U' R' L' D R F
F U' R' L' D' R F
F U' R' L' D2 R F
F U' R' D2 L' R F'
F U' R' D2 R L' F'
F U' R2 L' F R2 D
F U' R2 L' F R2 D'
F U' R2 L' F R2 D2
F U' R2 L' F' R2 F2
F U' D2 L' R F' R'
F U' D2 R L' F' R'
F U' F L' F' L' F2
F U' F' L' F L' D
F U' F' L' F L' D'
F U' F' L' F L' D2
F U' F' L' F D L'
F U' F' L' F D' L'
F U' F' L' F D2 L'
F U' F2 L' F2 L' F'
F U' B' L' D F B
F U' B' L' D B F
F U' B' L' D' F B
F U' B' L' D' B F
F U' B' L' D2 F B
F U' B' L' D2 B F
F U' B' L' F D B
F U' B' L' F D' B
F U' B' L' F D2 B
F U' B' L' F B D
F U' B' L' F B D'
F U' B' L' F B D2
F U' B' L' B D F
F U' B' L' B D' F
F U' B' L' B D2 F
F U' B' L' B F D
F U' B' L' B F D'
F U' B' L' B F D2
F U' B2 L' F B2 D
F U' B2 L' F B2 D'
F U' B2 L' F B2 D2
F U' B2 L' B2 D F
F U' B2 L' B2 D' F
F U' B2 L' B2 D2 F
F U' B2 L' B2 F D
F U' B2 L' B2 F D'
F U' B2 L' B2 F D2
F U2 R U L' D F
F U2 R U L' D' F
F U2 R U L' D2 F
F U2 R U L' F D
F U2 R U L' F D'
F U2 R U L' F D2
L' D2 B' U' F L R
L' D2 B' U' F R L
F U2 R' U L' D F
F U2 R' U L' D' F
F U2 R' U L' D2 F
F U2 R' U L' F D
F U2 R' U L' F D'
F U2 R' U L' F D2
F U2 R2 U L' D F
F U2 R2 U L' D' F
F U2 R2 U L' D2 F
F U2 R2 U L' F D
F U2 R2 U L' F D'
F U2 R2 U L' F D2
L' F L F U' L2 F'
L' F L F U' F' L2
D' F L B' L U' D
D' F L B' L U' D'
D' F L B' L U' D2
D' F L B' L D U'
D' F L B' L D' U'
D' F L B' L D2 U'
D' F L B' D L U'
D' F L B' D' L U'
D' F L B' D2 L U'
L2 F L U' F L2 R
L2 F L U' F R L2
R2 F L R2 U' L2 F
U' F L' F U F' U'
L' F L' U' B' U B
U' F L' F2 D F' R2
R F L R' U' L2 F
D F L' R' B R U'
F U2 D2 R U L' F'
D F L' D B' U' L
D F L2 D2 L B' U'
L F L2 U' F L R
L F L2 U' F R L
F U2 F' U L' F L'
F U2 F' U F L' F
D F R' L' B R U'
F U2 F2 U F2 L' F
R F R' L U' L2 F
R2 F R2 L U' L2 F
D F R' B L' R U'
D F R' B R L' U'
R F R' U' L' D F
R F R' U' L' D' F
R F R' U' L' D2 F
R F R' U' L' F D
R F R' U' L' F D'
R F R' U' L' F D2
R2 F R2 U' L' D F
R2 F R2 U' L' D' F
R2 F R2 U' L' D2 F
R2 F R2 U' L' F D
R2 F R2 U' L' F D'
R2 F R2 U' L' F D2
D2 F U R' B R' U2
D2 F U B R' B U2
R F R' B U' L' F
R2 F R2 B U' L' F
R F R' B' U' L' F
R2 F R2 B' U' L' F
R F R' B2 U' L' F
U F R2 U' L' F B
U F R2 U' L' B F
R2 F R2 B2 U' L' F
U F R2 U' B L' F
D' F U' D L' F L'
D' F U' D F L' F
D2 F U' D2 L' F L'
D2 F U' D2 F L' F
R2 F U' L' D F B2
R2 F U' L' D B2 F
R2 F U' L' F D B2
U F U' L' F D2 B2
D' F D L' U' F L'
D2 F D L B' L U'
D' F D U' L' F L'
D' F D U' F L' F
D2 F D B' L B' U'
D F U2 F2 R F' U
D F D L' B' U' L
D2 F D2 L' U' F L'
D F D B' L' U' L2
D2 F D2 U' L' F L'
D2 F D2 U' F L' F
U' F B U' B' L' F
D F D2 L B' L2 U'
D F D2 L' U2 F U
D2 F B U R' B U2
D' F B' L D B' U'
D' F B' L D' B' U'
D' F B' L D2 B' U'
D' F B' L B' U' D
D' F B' L B' U' D'
D' F B' L B' U' D2
D' F B' L B' D U'
D' F B' L B' D' U'
D' F B' L B' D2 U'
U' F B' U' L' F B
U' F B' U' L' B F
U' F B' U' B L' F
R2 F B R2 U' L' F
U' F B2 U' L' F B2
U' F B2 U' L' B2 F
U' F B2 U' B2 L' F
R2 F B' R2 U' L' F
R F B U' L' F B'
R F B U' L' B' F
R2 F B2 R2 U' L' F
D' F' L F2 B' L U'
L' F' L F U' F L'
D' F' L B' L F2 U'
D' F' L B' F2 L U'
F2 D F L' F2 U' L'
F D F L' F' U' L'
F2 D F' U2 R U L'
U' F' U F2 U' L' F
F D B U' D' L' F
F D B D' U' L' F
L' F' U' F R F L'
F D B' U' D' L' F
F D B' D' U' L' F
F D B2 U' D' L' F
F D B2 D' U' L' F
U2 F' U2 F2 U' L' F
F D' L B' L U' L
F D' L' B' L U' L'
D' F' B' L F2 B' U'
D' F' B' L B' F2 U'
D' F2 L F' B' L U'
L' F2 L F U' F2 L'
D' F2 L B' L F' U'
D' F2 L B' F' L U'
B' D' F L B' L U'
B2 D' F L B' L U'
B' D' F B' L B' U'
B2 D' F B' L B' U'
B D' F L B' L U'
F2 D' F' U' D L' F
F2 D' F' D U' L' F
B D' F B' L B' U'
F2 D' F' B' L U' L2
F2 D' B' L F' U' L'
B' D' B' F L B' U'
B2 D' B' F L B' U'
F D' B U2 R' U L'
F2 D' B' F' L U' L2
F D' B' L U' L2 D
F D' B' L U' L2 D'
F D' B' L U' L2 D2
F D' B' L D' B2 U'
F D' B' L B U' L2
F D' B' L B' U' L2
F D' B' L B2 U' L2
B D' B' F L B' U'
F D' B' U' L' D F2
F D' B' D L U' L2
F D' B' D' L U' L2
F D' B' D2 L U' L2
F D' B2 L2 U' L F
F D' B2 U' L F L2
D' F2 B' L F' B' U'
D' F2 B' L B' F' U'
L' B L F U' L' F
F D2 U R U2 L' F'
F D2 U R' B U2 L'
F D2 U' L' R F' R'
F D2 U' R L' F' R'
F D2 U2 R U L' F'
R' B R F U' L' F
F2 D2 F' U' D2 L' F
F2 D2 F' D2 U' L' F
R2 B R2 F U' L' F
F D2 B U' D2 L' F
F D2 B D2 U' L' F
L' B U' R F L' R
