U2 R U' L2 R'
U2 R U' R' L2
D L F2 L' U R
F2 L' U L' D2 R2
F2 L' U' L U2 L2
F2 L' B2 U L' R'
F2 L' B2 U R' L'
U2 L2 U L2 R U'
U2 L2 U R L2 U'
U L2 U R U' R'
U' R U' L2 D F2
U2 R U' L2 R' D
U2 R U' L2 R' D'
U2 R U' L2 R' D2
U2 R U' L2 D R'
U2 R U' L2 D' R'
U2 R U' L2 D2 R'
U2 R U' R' L2 D
U2 R U' R' L2 D'
U2 R U' R' L2 D2
U2 R F U' L2 R'
U2 R F U' R' L2
U2 R F' U' L2 R'
U2 R F' U' R' L2
U2 R F2 U' L2 R'
U2 R F2 U' R' L2
U' R B U' L2 F
R U2 R' U L2 R
R U2 R' U R L2
D U F2 L' U F2
U D F2 L' U F2
U2 D' B2 R U' R'
B2 U2 R U' L2 R'
B2 U2 R U' R' L2
B' U2 R U' L2 R'
B' U2 R U' R' L2
B U2 R U' L2 R'
B U2 R U' R' L2
D' U2 B2 R U' R'
L F2 L' U L2 R
L F2 L' U R L2
D F2 L' U' L U2
U F2 L' U L' F2
D F2 L' B2 U R'
U' B R U' L2 F
U2 B R U' L2 R'
U2 B R U' R' L2
U2 B' R U' L2 R'
U2 B' R U' R' L2
U2 B2 R U' L2 R'
U2 B2 R U' R' L2
F2 L2 D2 L U R2 L'
D' L2 D2 F2 L' U R2
U L2 D2 U R U' R'
R' U R U2 R U' L2
R' U R D F2 L' U
R' U R F2 L' U L'
L2 U R D F2 U' F2
D L2 F2 L' U' L' U2
U L2 F2 L' U L F2
U L2 F2 L' U F2 L
L' U R' D B2 L' R'
L' U R' D B2 R' L'
D L2 F2 D' L' B2 U
D L2 F2 D' B2 L' U
D L2 F2 D2 L' U R2
R U R' U L2 D' B2
U2 L2 B U L2 R U'
U2 L2 B U R L2 U'
R U R' F' U L2 B'
R2 U R2 U2 R U' L2
R2 U R2 D F2 L' U
R' U D R F2 U B2
U2 L2 B' U L2 R U'
U2 L2 B' U R L2 U'
R2 U R2 F2 L' U L'
L2 U D R F2 U' F2
U2 L2 B2 U L2 R U'
U2 L2 B2 U R L2 U'
D' R L' B2 L U' R'
U2 R U L U2 L R'
U2 R U L U2 R' L
F2 R U L' R' U L'
U2 R U L' U2 L' R'
U2 R U L' U2 R' L'
U2 R U R U2 L2 R2
U2 R U R U2 R2 L2
F2 R U R' L' U L'
R U F' R' U L2 B'
U2 R U R2 U2 L2 R
U2 R U R2 U2 R L2
U2 R U D2 R2 U2 R
U' R U' L2 U L2 U'
U' R U' L2 D F2 D
U' R U' L2 D F2 D'
U' R U' L2 D F2 D2
U' R U' L2 F D F2
U' R U' L2 F' D F2
U' R U' L2 F2 D F2
U2 R U' L R' D L
U2 R U' L R' D' L
U2 R U' L R' D2 L
U2 R U' L D L R'
U2 R U' L D R' L
U2 R U' L D' L R'
U2 R U' L D' R' L
U2 R U' L D2 L R'
U2 R U' L D2 R' L
U2 R U' L' R' D L'
U2 R U' L' R' D' L'
U2 R U' L' R' D2 L'
U2 R U' L' D L' R'
U2 R U' L' D R' L'
U2 R U' L' D' L' R'
U2 R U' L' D' R' L'
U2 R U' L' D2 L' R'
U2 R U' L' D2 R' L'
U2 R U' L2 R2 D R
U2 R U' L2 R2 D' R
U2 R U' L2 R2 D2 R
U2 R U' L2 D R' D
U2 R U' L2 D R' D'
U2 R U' L2 D R' D2
U2 R U' L2 D' R' D
U2 R U' L2 D' R' D'
U2 R U' L2 D' R' D2
U2 R U' L2 D2 R' D
U2 R U' L2 D2 R' D'
U2 R U' L2 D2 R' D2
U2 R U' L2 F' R' F
U2 R U' L2 F2 R' F2
U2 R U' R' L D L
U2 R U' R' L D' L
U2 R U' R' L D2 L
U2 R U' R' L' D L'
U2 R U' R' L' D' L'
U2 R U' R' L' D2 L'
U2 R U' R' F L2 F'
U2 R U' R' F2 L2 F2
U2 R U' R' B' L2 B
U2 R U' R' B2 L2 B2
U' R U' F L2 D F2
U2 R U' R2 L2 D R
U2 R U' R2 L2 D' R
U2 R U' R2 L2 D2 R
U' R U' F' L2 D F2
U2 R U' D R' D' L2
U' R U' F2 L2 D F2
U2 R U' D' R' D L2
D' R U' B2 L U' B2
U2 R U' F L2 F' R'
U2 R U' F' R' F L2
U2 R U' F2 L2 R' F2
U2 R U' F2 L2 F2 R'
U2 R U' F2 R' L2 F2
U2 R U' F2 R' F2 L2
U2 R U' B' L2 B R'
B' R U2 R' U L2 R
B' R U2 R' U R L2
B2 R U2 R' U L2 R
B2 R U2 R' U R L2
U' R U2 D F2 U F2
U' R U2 F U L2 F'
U' R U2 F U F' L2
U' R U2 F' U F L2
U2 R U2 D F2 U R'
B R U2 R' U L2 R
B R U2 R' U R L2
U' R U2 F2 U L2 F2
U' R U2 F2 U F2 L2
U2 R U2 F U L2 R'
U2 R U2 F U R' L2
U2 R U2 F' U L2 R'
U2 R U2 F' U R' L2
U2 R U2 F2 U L2 R'
U2 R U2 F2 U R' L2
D R U2 F2 R' U R
L' U B2 L' R' D B2
U' R D U2 F2 U F2
L' U B2 R' L' D B2
U2 R D U' R' D' L2
L' U B2 R' D L' B2
L' U B2 R' D B2 L'
U2 R D U2 F2 U R'
L' U' L U' R U' L2
U2 R D' U' R' D L2
U' R D' B2 U B2 U2
U' R D' B2 U' D2 F2
U' R D' B2 D L2 U'
U' R D' B2 D2 U' F2
U2 R D' B2 U L U2
U2 R D2 U R2 U2 R
L U' L' U' R U' L2
U2 R F U' L2 R' D
U2 R F U' L2 R' D'
U2 R F U' L2 R' D2
U2 R F U' L2 D R'
U2 R F U' L2 D' R'
U2 R F U' L2 D2 R'
U2 R F U' R' L2 D
U2 R F U' R' L2 D'
U2 R F U' R' L2 D2
U R F U F' L2 B'
R U' L2 U' R' U R
U2 R F' U' L2 R' D
U2 R F' U' L2 R' D'
U2 R F' U' L2 R' D2
U2 R F' U' L2 D R'
U2 R F' U' L2 D' R'
U2 R F' U' L2 D2 R'
U2 R F' U' R' L2 D
U2 R F' U' R' L2 D'
U2 R F' U' R' L2 D2
U2 R F2 U' L2 R' D
U2 R F2 U' L2 R' D'
U2 R F2 U' L2 R' D2
U2 R F2 U' L2 D R'
U2 R F2 U' L2 D' R'
U2 R F2 U' L2 D2 R'
U2 R F2 U' R' L2 D
U2 R F2 U' R' L2 D'
U2 R F2 U' R' L2 D2
U' R B L' U' L' F
R2 U' R' U2 R' U L2
U' R B U B' U2 L2
U' R B U' L2 D F
U' R B U' L2 D' F
U' R B U' L2 D2 F
U' R B U' L2 F D
U' R B U' L2 F D'
U' R B U' L2 F D2
R2 U' R' D' B2 L U'
U' R B U' F L2 F
U' R B U' F' L2 F
U' R B U' F2 L2 F
R' U' R2 U2 R' U L2
R' U' R2 D' B2 L U'
R2 U' R' B2 L U' L
R' U' R2 B2 L U' L
U' R B' U B U2 L2
D' R B2 L U L' U2
D' R B2 L F2 U' R
U' R B2 U B2 U2 L2
U' R B2 U' L2 D2 F2
U2 R B2 U L U2 L
U2 R B2 D' B2 U' R'
R2 U' D' R' B2 U' F2
R U' D' B2 L U' B2
U2 R' L2 D R F2 B2
U2 R' L2 D R B2 F2
U2 R' L2 D B2 R F2
U R' L2 U R2 U' R2
U R' L2 D B2 D' R2
F2 R' U L' R U L'
F2 R' U R L' U L'
D R' U R F2 L' U
U R' U L2 D F2 B2
U R' U L2 D B2 F2
U' R' U' L2 D F2 B2
U' R' U' L2 D B2 F2
U R' U R2 U' L2 R2
U R' U R2 U' R2 L2
D' R' U' R2 B2 L U'
U' R' U' R2 U' L2 R2
U' R' U' R2 U' R2 L2
U2 R' U' L2 D R B2
U2 R' U' L2 D B2 R
R U' B2 L U' L B2
U R' D F2 U F2 B2
U R' D F2 U B2 F2
U R' D B2 D' L2 R2
U R' D B2 D' R2 L2
L2 U2 L2 U' L2 R U'
L2 U2 L2 U' R L2 U'
L' U2 R U L U2 L2
R U2 L2 U' L2 R' U
R U2 L2 U' R' L2 U
L' U2 R U' L' D2 R2
L2 U2 R U L2 R' U2
L2 U2 R U R' L2 U2
L' U2 R B2 U' L' R'
L' U2 R B2 U' R' L'
L U2 R U L' U2 L2
L U2 R U' L D2 R2
L U2 R F2 U' L R
L U2 R F2 U' R L
U' R' B R2 U' L2 F
R U2 R' U L2 R D
R U2 R' U L2 R D'
R U2 R' U L2 R D2
R U2 R' U L2 D R
R U2 R' U L2 D' R
R U2 R' U L2 D2 R
R U2 R' U R L2 D
R U2 R' U R L2 D'
R U2 R' U R L2 D2
U2 R' B R2 U' L2 R'
U2 R' B R2 U' R' L2
R U2 R' B U L2 R
R U2 R' B U R L2
U' R' B' R2 U' L2 F'
U' R' B' R2 U' F' L2
R U2 R' B' U L2 R
R U2 R' B' U R L2
R U2 R' B2 U L2 R
R U2 R' B2 U R L2
U2 R' B' R2 U' L2 R'
U2 R' B' R2 U' R' L2
U2 R' B2 R2 U' L2 R'
U2 R' B2 R2 U' R' L2
R U2 D F2 R' U R
R U2 F R' U L2 R
R U2 F R' U R L2
U R2 L2 U R' U' R
D2 R2 U R2 U2 R U'
F2 R2 U L' R2 U L'
F2 R2 U R2 L' U L'
R U2 F' R' U L2 R
R U2 F' R' U R L2
D R2 U R2 F2 L' U
D2 R2 U' R' U2 R' U
D' R2 U' R' B2 L U'
U' R2 U' R' U' L2 R
U' R2 U' R' U' R L2
U R2 U R' U' L2 R
U R2 U R' U' R L2
D2 R2 U' D' R' U' F2
D2 R2 U' D2 L2 R' U'
D2 R2 U' D2 R' L2 U'
R U2 F2 R' U L2 R
R U2 F2 R' U R L2
L' U2 B2 R U' L' R2
L' U2 B2 R U' R2 L'
D2 R2 D B2 U L U
D2 R2 D' U' R' U' F2
U2 R2 D' R' F2 B2 U'
U2 R2 D' R' B2 F2 U'
U2 R2 D' F2 R' B2 U'
D2 R2 D2 U' L2 R' U'
D2 R2 D2 U' R' L2 U'
U2 R2 F R' U' L2 R'
U2 R2 F R' U' R' L2
U2 R2 F' R' U' L2 R'
U2 R2 F' R' U' R' L2
U2 R2 F2 R' U' L2 R'
U2 R2 F2 R' U' R' L2
R' D U R F2 U B2
L2 D U R F2 U' F2
D2 R2 B2 U L R2 U
D2 R2 B2 U R2 L U
D U L F2 L' U F2
U D L F2 L' U F2
F2 U L' F' U F L'
F2 U L' F2 U F2 L'
R D U2 F2 R' U R
B' U L2 U R U' R'
B2 U L2 U R U' R'
D U L' F2 L' U F2
U D L' F2 L' U F2
B U L2 U R U' R'
U' D R U2 F2 U F2
D U L2 F2 L' U F2
U2 D R U' R' D' L2
U2 D R U' D' L2 R'
U2 D R U' D' R' L2
U2 D R U2 F2 U R'
U2 D R D' U' L2 R'
U2 D R D' U' R' L2
U D L2 F2 L' U F2
L D F2 L' U L2 R
L D F2 L' U R L2
F2 U D L' F2 U F2
B' U D F2 L' U F2
B2 U D F2 L' U F2
R2 D B2 U L F2 U
R2 D B2 U F2 L U
B U D F2 L' U F2
D U F2 L' R U F2
D U F2 L' R' U F2
D U F2 L' R2 U F2
D U F2 L' U F2 D
D U F2 L' U F2 D'
D U F2 L' U F2 D2
D U F2 L' D R2 U
D U F2 R L' U F2
D U F2 R' L' U F2
D U F2 R2 L' U F2
U D F2 L' R U F2
U D F2 L' R' U F2
U D F2 L' R2 U F2
U D F2 L' U F2 D
U D F2 L' U F2 D'
U D F2 L' U F2 D2
U D F2 L' D R2 U
D U F2 D L' R2 U
U D F2 R L' U F2
D U F2 D R2 L' U
U D F2 R' L' U F2
U D F2 R2 L' U F2
F U F L' U L' F'
U D F2 D L' R2 U
U D F2 D R2 L' U
R D' L' B2 L U' R'
B' U F2 L' U L' F2
B2 U F2 L' U L' F2
B U F2 L' U L' F2
R2 D' U' R' B2 U' F2
U2 D' R U' R' D L2
U2 D' R U' D L2 R'
U2 D' R U' D R' L2
D' U' R B2 U B2 U2
U' D' R B2 U B2 U2
D' U' R B2 U' D2 F2
U' D' R B2 U' D2 F2
D' U' R B2 D L2 U'
U' D' R B2 D L2 U'
D' U' R B2 D2 U' F2
U' D' R B2 D2 U' F2
U2 D' R D U' L2 R'
U2 D' R D U' R' L2
R D' U' B2 L U' B2
D U' R U2 F2 U F2
U2 D' R B2 U L U2
D2 U' R2 U' R' U' R
U2 D' R' B2 R2 U' R'
R' D' F2 U' L' B2 U'
B' U' R U' L2 D F2
R' D' F2 U' B2 L' U'
B2 U' R U' L2 D F2
B' U' R B U' L2 F
B2 U' R B U' L2 F
B U' R U' L2 D F2
L2 D' F2 B2 L' U L
L D' F2 L' U L2 R
L D' F2 L' U R L2
B U' R B U' L2 F
L2 D' B2 F2 L' U L
R D' B2 L U L' U2
R D' B2 L F2 U' R
D' U' B2 R U B2 U2
U' D' B2 R U B2 U2
D' U' B2 R U' D2 F2
U' D' B2 R U' D2 F2
D' U' B2 R D L2 U'
U' D' B2 R D L2 U'
D' U' B2 R D2 U' F2
U' D' B2 R D2 U' F2
U' D' B2 D L2 R U'
D' U' B2 D L2 R U'
U' D' B2 D R L2 U'
D' U' B2 D R L2 U'
D' U' B2 D2 R U' F2
U' D' B2 D2 R U' F2
U2 D' B2 R U' R' D
U2 D' B2 R U' R' D'
U2 D' B2 R U' R' D2
U2 D' B2 R U' D R'
U2 D' B2 R U' D' R'
U2 D' B2 R U' D2 R'
U2 D' B2 R D U' R'
U2 D' B2 R D' U' R'
U2 D' B2 R D2 U' R'
U2 D' B2 R F U' R'
U2 D' B2 R F' U' R'
U2 D' B2 R F2 U' R'
U2 D' B2 D R U' R'
U2 D' B2 D' R U' R'
U2 D' B2 D2 R U' R'
B' U' B R U' L2 F
B2 U' B R U' L2 F
R' D2 R2 U L2 R' U
R' D2 R2 U R' L2 U
D' U2 R U' R' D L2
D' U2 R U' D L2 R'
D' U2 R U' D R' L2
D2 U2 R U R U2 R2
D' U2 R D U' L2 R'
D' U2 R D U' R' L2
D2 U2 R U' R' D2 L2
B U' B R U' L2 F
R2 D2 R2 U' L2 R U'
R2 D2 R2 U' R L2 U'
D' U2 R B2 U L U2
D2 U2 R F2 U' L' R'
D2 U2 R F2 U' R' L'
U2 D2 R U R U2 R2
U2 D2 R U' R' D2 L2
U2 D2 R F2 U' L' R'
U2 D2 R F2 U' R' L'
D U2 R U' R' D' L2
D U2 R U' D' L2 R'
D U2 R U' D' R' L2
D U2 R U2 F2 U R'
D U2 R D' U' L2 R'
D U2 R D' U' R' L2
D' U2 R' B2 R2 U' R'
U' D2 R2 U' R' U' R
B' U2 L2 U L2 R U'
B' U2 L2 U R L2 U'
B2 U2 L2 U L2 R U'
B2 U2 L2 U R L2 U'
B' U2 R U' L2 R' D
B' U2 R U' L2 R' D'
B' U2 R U' L2 R' D2
B' U2 R U' L2 D R'
B' U2 R U' L2 D' R'
B' U2 R U' L2 D2 R'
B' U2 R U' R' L2 D
B' U2 R U' R' L2 D'
B' U2 R U' R' L2 D2
B U2 L2 U L2 R U'
B U2 L2 U R L2 U'
B2 U2 R U' L2 R' D
B2 U2 R U' L2 R' D'
B2 U2 R U' L2 R' D2
B2 U2 R U' L2 D R'
B2 U2 R U' L2 D' R'
B2 U2 R U' L2 D2 R'
B2 U2 R U' R' L2 D
B2 U2 R U' R' L2 D'
B2 U2 R U' R' L2 D2
B' U2 R F U' L2 R'
B' U2 R F U' R' L2
B' U2 R F' U' L2 R'
B' U2 R F' U' R' L2
L2 D2 F2 L' U L R2
L2 D2 F2 L' U R2 L
B' U2 R F2 U' L2 R'
B' U2 R F2 U' R' L2
B2 U2 R F U' L2 R'
B2 U2 R F U' R' L2
B2 U2 R F' U' L2 R'
B2 U2 R F' U' R' L2
B2 U2 R F2 U' L2 R'
B2 U2 R F2 U' R' L2
B U2 R U' L2 R' D
B U2 R U' L2 R' D'
B U2 R U' L2 R' D2
B U2 R U' L2 D R'
B U2 R U' L2 D' R'
B U2 R U' L2 D2 R'
B U2 R U' R' L2 D
B U2 R U' R' L2 D'
B U2 R U' R' L2 D2
L D2 F2 L' U L2 R
L D2 F2 L' U R L2
B U2 R F U' L2 R'
B U2 R F U' R' L2
B U2 R F' U' L2 R'
B U2 R F' U' R' L2
B U2 R F2 U' L2 R'
B U2 R F2 U' R' L2
D' U2 B2 R U' R' D
D' U2 B2 R U' R' D'
D' U2 B2 R U' R' D2
D' U2 B2 R U' D R'
D' U2 B2 R U' D' R'
D' U2 B2 R U' D2 R'
D' U2 B2 R D U' R'
D' U2 B2 R D' U' R'
D' U2 B2 R D2 U' R'
D' U2 B2 R F U' R'
D' U2 B2 R F' U' R'
D' U2 B2 R F2 U' R'
D' U2 B2 D R U' R'
D' U2 B2 D' R U' R'
D' U2 B2 D2 R U' R'
B' U2 D' B2 R U' R'
B2 U2 D' B2 R U' R'
B U2 D' B2 R U' R'
F2 U2 F2 R U' L2 R'
F2 U2 F2 R U' R' L2
F U2 F' R U' L2 R'
F U2 F' R U' R' L2
B' U2 B R U' L2 R'
B' U2 B R U' R' L2
B2 U2 B R U' L2 R'
B2 U2 B R U' R' L2
B' U2 B' R U' L2 R'
B' U2 B' R U' R' L2
B U2 B R U' L2 R'
B U2 B R U' R' L2
F' U2 B' R' U' L2 R
F' U2 B' R' U' R L2
B2 U2 B' R U' L2 R'
B2 U2 B' R U' R' L2
B' U2 B2 R U' L2 R'
B' U2 B2 R U' R' L2
B U2 B' R U' L2 R'
B U2 B' R U' R' L2
B2 U2 B2 R U' L2 R'
B2 U2 B2 R U' R' L2
U' F U' F' R U' L2
D F U F L' U F'
B U2 B2 R U' L2 R'
B U2 B2 R U' R' L2
B' D L F2 L' U R
B2 D L F2 L' U R
F2 D L F2 L2 U R
B D L F2 L' U R
F2 D L' F2 U' L U2
F2 D L' F2 B2 U R'
F2 D L' B2 F2 U R'
R F U2 R' U L2 R
R F U2 R' U R L2
B' D U F2 L' U F2
F2 D U L' F2 U F2
B2 D U F2 L' U F2
B D U F2 L' U F2
B' D F2 L' U' L U2
B' D F2 L' B2 U R'
B2 D F2 L' U' L U2
B2 D F2 L' B2 U R'
F2 D F2 U2 R U' R'
B D F2 L' U' L U2
B D F2 L' B2 U R'
U2 F' R' U' L2 R B
U2 F' R' U' R L2 B
U2 F' R' U' R B L2
U F' U F L' B' L'
F2 D' L' U2 B2 U' R'
R F' U2 R' U L2 R
R F' U2 R' U R L2
D2 F2 L' U' L R2 U2
D2 F2 L' U' R2 L U2
D' F2 L' U2 B2 U' R'
L' F2 L' U' L2 R U2
L' F2 L' U' R L2 U2
B' D' U2 B2 R U' R'
B2 D' U2 B2 R U' R'
L2 F2 L' U L D2 R2
L2 F2 L' U' L' U2 L2
L2 F2 L' F2 U L R
L2 F2 L' F2 U R L
D F2 L' U B2 R' B2
D F2 L' U' L U2 D
D F2 L' U' L U2 D'
D F2 L' U' L U2 D2
D F2 L' U' L D U2
D F2 L' U' L D' U2
D F2 L' U' L D2 U2
D F2 L' U' D L U2
D F2 L' U' D' L U2
D F2 L' U' D2 L U2
D F2 L' D U' L U2
B D' U2 B2 R U' R'
D F2 L' D B2 U R'
D F2 L' D' U' L U2
D F2 L' D' B2 U R'
U F2 L' R U L' F2
D F2 L' D2 U' L U2
D F2 L' D2 B2 U R'
U F2 L' R' U L' F2
U F2 L' R2 U L' F2
U F2 L' U L F2 L2
U F2 L' U L' F2 D
U F2 L' U L' F2 D'
U F2 L' U L' F2 D2
U F2 L' U L2 F2 L
L F2 L' U L2 R D
L F2 L' U L2 R D'
L F2 L' U L2 R D2
L F2 L' U L2 D R
L F2 L' U L2 D' R
L F2 L' U L2 D2 R
L F2 L' U R L2 D
L F2 L' U R L2 D'
L F2 L' U R L2 D2
U F2 L' D R2 U L'
D F2 L' B2 U R' D
D F2 L' B2 U R' D'
D F2 L' B2 U R' D2
D F2 L' B2 U D R'
D F2 L' B2 U D' R'
D F2 L' B2 U D2 R'
D F2 L' B2 D U R'
D F2 L' B2 D' U R'
D F2 L' B2 D2 U R'
L F2 L' B U L2 R
L F2 L' B U R L2
D F2 L2 D' L B2 U
L F2 L' B' U L2 R
L F2 L' B' U R L2
D F2 L2 D2 L U R2
L F2 L' B2 U L2 R
L F2 L' B2 U R L2
U F2 R L' U L' F2
D2 F2 R2 U L' R2 U
D2 F2 R2 U R2 L' U
U F2 R' L' U L' F2
R' F2 U' L' R2 U' L'
U F2 R2 L' U L' F2
R' F2 U' R2 L' U' L'
U' F2 U' F2 R U' L2
L F2 U L R D' B2
L F2 U L D' R B2
L F2 U L D' B2 R
L F2 U R L D' B2
F2 D2 L' U' L R2 U2
F2 D2 L' U' R2 L U2
D F2 U2 F2 R U' R'
D F2 D L' U' L U2
D F2 D L' B2 U R'
R F2 U2 R' U L2 R
R F2 U2 R' U R L2
U F2 D L' R2 F2 U
L F2 D L' U L2 R
L F2 D L' U R L2
U F2 D L' F2 R2 U
U F2 D R2 L' F2 U
D F2 D' L' U' L U2
D F2 D' L' B2 U R'
L2 F2 D' B2 L' U L
L2 F2 D2 L' U L R2
L2 F2 D2 L' U R2 L
L F2 D' L' U L2 R
L F2 D' L' U R L2
D F2 D2 L' U' L U2
