B' L2 R' F U
B' L2 F R' U
B' R' L2 F U
B' L2 R F R2 U
B' L2 R' D F U
B' L2 R' D' F U
B' L2 R' D2 F U
B' L2 R' F U D
B' L2 R' F U D'
B' L2 R' F U D2
B' L2 R' F D U
B' L2 R' F D' U
B' L2 R' F D2 U
B' L2 D R' F U
B' L2 D F R' U
B' L2 D' R' F U
B' L2 D' F R' U
B' L2 D2 R' F U
B' L2 D2 F R' U
B' L2 F R' U D
B' L2 F R' U D'
B' L2 F R' U D2
B' L2 F R' D U
B' L2 F R' D' U
B' L2 F R' D2 U
B' L2 F D R' U
B' L2 F D' R' U
B' L2 F D2 R' U
B' L2 F' R' F2 U
B' R L2 F R2 U
B' R' L2 D F U
B' R' L2 D' F U
B' R' L2 D2 F U
B' R' L2 F U D
B' R' L2 F U D'
B' R' L2 F U D2
B' R' L2 F D U
B' R' L2 F D' U
B' R' L2 F D' U
B' R' L2 F D2 U
B' R' F L2 F U
B' R' F' L2 F U
B' R' F2 L2 F U
B2 U2 L2 B R' U
B2 U2 B L2 R' U
B2 U2 B R' L2 U
B' F L2 R' F U
B' F L2 F R' U
B' F R' L2 F U
R' B' L2 R' F U
R' B' L2 F R' U
R2 B' L2 R' F U
U2 B' L2 F R U
R2 B' L2 F R' U
R' B' R' L2 F U
R2 B' R' L2 F U
R B' L2 R' F U
R B' L2 F R' U
F' B' L2 R' F U
F' B' L2 F R' U
B' F' L2 R' F U
B' F' L2 F R' U
F2 B' L2 R' F U
R B' R' L2 F U
F2 B' L2 F R' U
F' B' R' L2 F U
B' F' R' L2 F U
F B' L2 R' F U
F B' L2 F R' U
F2 B' R' L2 F U
F B' R' L2 F U
B' F2 L2 R' F U
B' F2 L2 F R' U
B' F2 R' L2 F U
B' L2 F R D' U F2
B' L2 F R2 D R U
B' L2 F R2 D' R U
B' L2 F R2 D2 R U
B' L2 F D R' U D
B' L2 F D R' U D'
B' L2 F D R' U D2
B' L2 F D R' D U
B' L2 F D R' D' U
B' L2 F D R' D2 U
B' L2 F D' R' U D
B' L2 F D' R' U D'
B' L2 F D' R' U D2
B' L2 F D' R' D U
B' L2 F D' R' D' U
B' L2 F D' R' D2 U
B' L2 F D2 R' U D
B' L2 F D2 R' U D'
B' L2 F D2 R' U D2
B' L2 F D2 R' D U
B' L2 F D2 R' D' U
B' L2 F D2 R' D2 U
B' L2 F' R F2 R2 U
B' L2 F' R' U D' L2
B' L2 F' R' D' U L2
B' L2 F' R' F2 U D
B' L2 F' R' F2 U D'
B' L2 F' R' F2 U D2
B' L2 F' R' F2 D U
B' L2 F' R' F2 D' U
B' L2 F' R' F2 D2 U
B' L2 F' D' R' U L2
B' L2 F2 D F' R' U
B' L2 F2 D' F' R' U
B' L2 F2 D2 F' R' U
L2 U R' F' D L2 R2
L2 U R' F' D R2 L2
B2 L2 B R' U2 B' U'
B L2 B2 U2 B' L' U'
B' R L2 D' F U F
B' R L2 F R2 U D
B' R L2 F R2 U D'
B' R L2 F R2 U D2
B' R L2 F R2 D U
B' R L2 F R2 D' U
B' R L2 F R2 D2 U
B' R L2 F U D' F2
B' R L2 F D' U F2
B' R L2 F' R2 F2 U
B' R F L2 R2 F U
B' R F L2 F R2 U
B' R F R2 L2 F U
B' R F' L2 R2 F U
B' R F' L2 F R2 U
B' R F' R2 L2 F U
B' R F2 L2 R2 F U
B' R F2 L2 F R2 U
B' R F2 R2 L2 F U
D2 R F2 B' L' R' U
D2 R F2 B' R' L' U
F' R B' L2 R' F U
F' R B' L2 F R' U
F' R B' R' L2 F U
F2 R B' L2 R' F U
F2 R B' L2 F R' U
U2 R B' L2 F R U
F2 R B' R' L2 F U
D2 R B' F2 L' R' U
D2 R B' F2 R' L' U
F R B' L2 R' F U
F R B' L2 F R' U
F R B' R' L2 F U
B' R' L D L F U
B' R' L D' L F U
B' R' L D2 L F U
B' R' L F L F U
B' R' L F' L F U
B' R' L F2 L F U
B' R' L2 D F U D
B' R' L2 D F U D'
B' R' L2 D F U D2
B' R' L2 D F D U
B' R' L2 D F D' U
B' R' L2 D F D2 U
B' R' L2 D' F U D
B' R' L2 D' F U D'
B' R' L2 D' F U D2
B' R' L2 D' F D U
B' R' L2 D' F D' U
B' R' L2 D' F D2 U
B' R' L2 D2 F U D
B' R' L2 D2 F U D'
B' R' L2 D2 F U D2
B' R' L2 D2 F D U
B' R' L2 D2 F D' U
B' R' L2 D2 F D2 U
B' R' L2 F' U D' L2
B' R' L2 F' D' U L2
B' R' L2 F2 D F' U
B' R' L2 F2 D' F' U
B' R' L2 F2 D2 F' U
B' R' U2 D' B' U' B'
B' R' U2 D2 R2 B' U'
B' R' U2 D2 B' R2 U'
B' R' U2 B' U' D' B2
B' R' U2 B' U2 L2 U
B' R' U2 B' D' U' B2
B' R' U2 B' D2 R2 U'
B' R' D' L2 F U B2
B' R' D' U2 B' U' B'
B' R' D2 U2 R2 B' U'
B' R' D2 U2 B' R2 U'
B' R' F L2 D F U
B' R' F L2 D' F U
B' R' F L2 D2 F U
B' R' F L2 F U D
B' R' F L2 F U D'
B' R' F L2 F U D2
B' R' F L2 F D U
B' R' F L2 F D' U
B' R' F L2 F D2 U
B' R' F' L2 D F U
B' R' F' L2 D' F U
B' R' F' L2 D2 F U
B' R' F' L2 F U D
B' R' F' L2 F U D'
B' R' F' L2 F U D2
B' R' F' L2 F D U
B' R' F' L2 F D' U
B' R' F' L2 F D2 U
B' R' F2 L2 D F U
B' R' F2 L2 D' F U
B' R' F2 L2 D2 F U
B' R' F2 L2 F U D
B' R' F2 L2 F U D'
B' R' F2 L2 F U D2
B' R' F2 L2 F D U
B' R' F2 L2 F D' U
B' R' F2 L2 F D2 U
F' R' B' L2 R' F U
F' R' B' L2 F R' U
D' R' B' R' U B' L
F' R' B' R' L2 F U
F2 R' B' L2 R' F U
F2 R' B' L2 F R' U
U2 R' B' L2 F R U
F2 R' B' R' L2 F U
F R' B' L2 R' F U
F R' B' L2 F R' U
F R' B' R' L2 F U
U R' B' L2 F U F2
B R' B2 L2 R' F' U
B R' B2 R' L2 F' U
B R' B2 R' F' L2 U
B' R2 L2 D R F U
B' R2 L2 D' R F U
B' R2 L2 D2 R F U
L2 U2 F B2 U2 R U
L2 U2 F' L' F2 B2 U'
L2 U2 F' L' B2 F2 U'
L2 U2 F' B2 L' F2 U'
R' U2 B' L2 F R U
R2 U2 B' L2 F R U
R U2 B' L2 F R U
L2 U2 B2 F U2 R U
L2 U2 B2 F' L' F2 U'
L U2 B2 R' F' L' U'
B' R2 F' L2 F R U
B R2 F' B2 L2 R' U
B R2 F' B2 R' L2 U
F' R2 B' L2 R' F U
F' R2 B' L2 F R' U
D2 R2 B' R' F2 L' U
F' R2 B' R' L2 F U
F2 R2 B' L2 R' F U
F2 R2 B' L2 F R' U
U2 R2 B' L2 F R U
F2 R2 B' R' L2 F U
F R2 B' L2 R' F U
F R2 B' L2 F R' U
F R2 B' R' L2 F U
B R2 B2 L2 F' R' U
B R2 B2 F' L2 R' U
B R2 B2 F' R' L2 U
B' U L2 F R' U R
B U B2 L2 R' F U
B U B2 L2 F R' U
B U B2 R' L2 F U
B2 U' L2 B R' U L2
B2 U' B L2 R' U L2
B2 U' B R' L2 U L2
B U' B2 L2 R' F U
B U' B2 L2 F R' U
B U' B2 R' L2 F U
B2 U2 L' B L' R' U
B2 U2 L' B R' L' U
B2 U2 L2 B R' U D
B2 U2 L2 B R' U D'
B2 U2 L2 B R' U D2
B2 U2 L2 B R' D U
B2 U2 L2 B R' D' U
B2 U2 L2 B R' D2 U
B2 U2 L2 B D R' U
B2 U2 L2 B D' R' U
B2 U2 L2 B D2 R' U
L2 D2 F2 U2 F' L' U'
U2 F R B' L2 F U
B2 U2 B L2 R' U D
B2 U2 B L2 R' U D'
B2 U2 B L2 R' U D2
B2 U2 B L2 R' D U
B2 U2 B L2 R' D' U
B2 U2 B L2 R' D2 U
B2 U2 B L2 D R' U
B2 U2 B L2 D' R' U
B2 U2 B L2 D2 R' U
B2 U2 B R' L2 U D
B2 U2 B R' L2 U D'
B2 U2 B R' L2 U D2
B2 U2 B R' L2 D U
B2 U2 B R' L2 D' U
B2 U2 B R' L2 D2 U
B2 U2 B R' U D' B2
B2 U2 B R' D' U B2
B2 U2 B D' R' U B2
F' U2 B' L2 F R U
F2 U2 B' L2 F R U
F U2 B' L2 F R U
B U2 B2 L2 R' F U
B U2 B2 L2 F R' U
B U2 B2 R' L2 F U
B' D R' D' L2 F U
R' F B' L2 R' F U
R' F B' L2 F R' U
R' F B' R' L2 F U
U2 F B' L2 R F U
U2 F B' R L2 F U
R2 F B' L2 R' F U
R2 F B' L2 F R' U
R2 F B' R' L2 F U
D F B' R' U L2 B'
R F B' L2 R' F U
R F B' L2 F R' U
R F B' R' L2 F U
B' D' L2 R' F U B2
B D' L B U' B R2
B' D' L2 F R' U B2
B' D' R' L2 F U B2
B' D' R' U2 B' U' B'
B' D' R' D L2 F U
R' F' B' L2 R' F U
R' F' B' L2 F R' U
R' F' B' R' L2 F U
R2 F' B' L2 R' F U
R2 F' B' L2 F R' U
R2 F' B' R' L2 F U
R F' B' L2 R' F U
R F' B' L2 F R' U
R F' B' R' L2 F U
L2 F2 U2 F' L' B2 U'
L2 F2 U2 F' B2 L' U'
B D2 L F2 B R2 U'
B D2 L B R2 F2 U'
B D2 L B F2 R2 U'
L2 F2 U2 B2 F' L' U'
D2 F2 D B' R' U B'
B' D2 R' U2 R' B' U'
D2 F2 D2 B' L2 R' U
D2 F2 D2 B' R' L2 U
R' F2 B' L2 R' F U
R' F2 B' L2 F R' U
R' F2 B' R' L2 F U
D2 F2 B' R' U2 R' U'
D2 F2 B' D R' U B2
B2 D2 R2 F L' F2 U'
D2 F2 B' D2 L2 R' U
D2 F2 B' D2 R' L2 U
B2 D2 R2 F' U2 R U
R2 F2 B' L2 R' F U
R2 F2 B' L2 F R' U
R2 F2 B' R' L2 F U
R F2 B' L2 R' F U
R F2 B' L2 F R' U
R F2 B' R' L2 F U
B2 D2 F L' R2 F' U'
B2 D2 F R2 L' F' U'
L B L F B R' U'
L B L B R' F U'
L B L B F R' U'
B2 D2 F2 R2 F' L' U'
B D2 F2 L B R2 U'
B' F L2 R F R2 U
B' F L2 R' D F U
B' F L2 R' D' F U
B' F L2 R' D2 F U
B' F L2 R' F U D
B' F L2 R' F U D'
B' F L2 R' F U D2
B' F L2 R' F D U
B' F L2 R' F D' U
B' F L2 R' F D2 U
L2 B U2 F L B U'
B' F L2 D R' F U
B' F L2 D F R' U
B' F L2 D' R' F U
B' F L2 D' F R' U
B' F L2 D2 R' F U
B' F L2 D2 F R' U
B' F L2 F R' U D
B' F L2 F R' U D'
B' F L2 F R' U D2
B' F L2 F R' D U
B' F L2 F R' D' U
B' F L2 F R' D2 U
B' F L2 F D R' U
B' F L2 F D' R' U
B' F L2 F D2 R' U
B' F L2 F' R' F2 U
B' F R L2 F R2 U
B' F R' L2 D F U
B' F R' L2 D' F U
B' F R' L2 D2 F U
B' F R' L2 F U D
B' F R' L2 F U D'
B' F R' L2 F U D2
B' F R' L2 F D U
B' F R' L2 F D' U
B' F R' L2 F D2 U
B' F R' F L2 F U
B' F R' F' L2 F U
B' F R' F2 L2 F U
B2 F U2 L2 B R' U
R' B' L2 R F R2 U
R' B' L2 R' D F U
R' B' L2 R' D' F U
R' B' L2 R' D2 F U
R' B' L2 R' F U D
R' B' L2 R' F U D'
R' B' L2 R' F U D2
R' B' L2 R' F D U
R' B' L2 R' F D' U
R' B' L2 R' F D2 U
B2 F U2 B L2 R' U
B2 F U2 B R' L2 U
R' B' L2 D R' F U
R' B' L2 D F R' U
R' B' L2 D' R' F U
R' B' L2 D' F R' U
R' B' L2 D2 R' F U
R' B' L2 D2 F R' U
R' B' L2 F R' U D
R' B' L2 F R' U D'
R' B' L2 F R' U D2
R' B' L2 F R' D U
R' B' L2 F R' D' U
R' B' L2 F R' D2 U
R' B' L2 F D R' U
R' B' L2 F D' R' U
R' B' L2 F D2 R' U
R' B' L2 F' R' F2 U
U2 B' L2 R F R U
U2 B' L2 R' F R U
U2 B' L2 R2 F R U
R' B' R L2 F R2 U
U2 B' L2 D F R U
U2 B' L2 D' F R U
R2 B' L2 R F R2 U
U2 B' L2 D2 F R U
R2 B' L2 R' D F U
R2 B' L2 R' D' F U
R2 B' L2 R' D2 F U
R2 B' L2 R' F U D
R2 B' L2 R' F U D'
R2 B' L2 R' F U D2
R2 B' L2 R' F D U
R2 B' L2 R' F D' U
R2 B' L2 R' F D2 U
U2 B' L2 F R U D
U2 B' L2 F R U D'
U2 B' L2 F R U D2
U2 B' L2 F R D U
U2 B' L2 F R D' U
U2 B' L2 F R D2 U
U2 B' L2 F D R U
U2 B' L2 F D' R U
U2 B' L2 F D2 R U
D2 B' R F2 L' R2 U
D2 B' R F2 R2 L' U
R2 B' L2 D R' F U
R2 B' L2 D F R' U
R2 B' L2 D' R' F U
R2 B' L2 D' F R' U
R2 B' L2 D2 R' F U
R2 B' L2 D2 F R' U
R2 B' L2 F R' U D
R2 B' L2 F R' U D'
R2 B' L2 F R' U D2
R2 B' L2 F R' D U
R2 B' L2 F R' D' U
R2 B' L2 F R' D2 U
R2 B' L2 F D R' U
R2 B' L2 F D' R' U
R2 B' L2 F D2 R' U
U2 B' R L2 F R U
R2 B' L2 F' R' F2 U
R' B' R' L2 D F U
R' B' R' L2 D' F U
R' B' R' L2 D2 F U
R' B' R' L2 F U D
R' B' R' L2 F U D'
R' B' R' L2 F U D2
R' B' R' L2 F D U
R' B' R' L2 F D' U
R' B' R' L2 F D2 U
U B' L2 R' F U F2
D' B' R' U B2 L B
D' B' R' U' R' U2 B'
R2 B' R L2 F R2 U
R' B' R' F L2 F U
R' B' R' F' L2 F U
R' B' R' F2 L2 F U
D2 B' R' F2 U2 R' U'
R B' L2 R F R2 U
R B' L2 R' D F U
R B' L2 R' D' F U
R B' L2 R' D2 F U
R B' L2 R' F U D
R B' L2 R' F U D'
R B' L2 R' F U D2
R B' L2 R' F D U
R B' L2 R' F D' U
R B' L2 R' F D2 U
U B' L2 F R' U F'
U2 B' R' L2 F R U
R B' L2 D R' F U
R B' L2 D F R' U
R B' L2 D' R' F U
L2 B' R' U2 F B' U'
R B' L2 D' F R' U
L2 B' R' U2 B' F U'
R B' L2 D2 R' F U
R B' L2 D2 F R' U
R B' L2 F R' U D
R B' L2 F R' U D'
R B' L2 F R' U D2
R B' L2 F R' D U
R B' L2 F R' D' U
R B' L2 F R' D2 U
R B' L2 F D R' U
R B' L2 F D' R' U
R B' L2 F D2 R' U
R B' L2 F' R' F2 U
R2 B' R' L2 D F U
R2 B' R' L2 D' F U
R2 B' R' L2 D2 F U
R2 B' R' L2 F U D
R2 B' R' L2 F U D'
R2 B' R' L2 F U D2
R2 B' R' L2 F D U
R2 B' R' L2 F D' U
R2 B' R' L2 F D2 U
D B' R' U L2 D2 B2
D B' R' U' F2 U2 L2
R B' R L2 F R2 U
R2 B' R' F L2 F U
U2 B' R2 L2 F R U
R2 B' R' F' L2 F U
R2 B' R' F2 L2 F U
D B' R' F U L2 B'
U B' R' L2 F U F2
R B' R' L2 D F U
R B' R' L2 D' F U
R B' R' L2 D2 F U
R B' R' L2 F U D
R B' R' L2 F U D'
R B' R' L2 F U D2
R B' R' L2 F D U
R B' R' L2 F D' U
R B' R' L2 F D2 U
B' F' L2 R F R2 U
B' F' L2 R' D F U
B' F' L2 R' D' F U
B' F' L2 R' D2 F U
B' F' L2 R' F U D
B' F' L2 R' F U D'
B' F' L2 R' F U D2
B' F' L2 R' F D U
B' F' L2 R' F D' U
B' F' L2 R' F D2 U
B' F' L2 D R' F U
B' F' L2 D F R' U
F' B' L2 R F R2 U
R B' R' F L2 F U
B' F' L2 D' R' F U
B' F' L2 D' F R' U
F' B' L2 R' D F U
F' B' L2 R' D' F U
F' B' L2 R' D2 F U
F' B' L2 R' F U D
F' B' L2 R' F U D'
F' B' L2 R' F U D2
F' B' L2 R' F D U
F' B' L2 R' F D' U
F' B' L2 R' F D2 U
R B' R' F' L2 F U
B' F' L2 D2 R' F U
B' F' L2 D2 F R' U
R B' R' F2 L2 F U
B' F' L2 F R' U D
B' F' L2 F R' U D'
B' F' L2 F R' U D2
B' F' L2 F R' D U
B' F' L2 F R' D' U
B' F' L2 F R' D2 U
B' F' L2 F D R' U
B' F' L2 F D' R' U
B' F' L2 F D2 R' U
B' F' L2 F' R' F2 U
F2 B' L2 R F R2 U
F2 B' L2 R' D F U
F2 B' L2 R' D' F U
F' B' L2 D R' F U
F2 B' L2 R' D2 F U
F2 B' L2 R' F U D
F2 B' L2 R' F U D'
F2 B' L2 R' F U D2
F2 B' L2 R' F D U
F2 B' L2 R' F D' U
F2 B' L2 R' F D2 U
F' B' L2 D F R' U
F' B' L2 D' R' F U
F' B' L2 D' F R' U
F' B' L2 D2 R' F U
F' B' L2 D2 F R' U
F' B' L2 F R' U D
F' B' L2 F R' U D'
F' B' L2 F R' U D2
F' B' L2 F R' D U
F' B' L2 F R' D' U
F' B' L2 F R' D2 U
F' B' L2 F D R' U
F' B' L2 F D' R' U
F' B' L2 F D2 R' U
F' B' L2 F' R' F2 U
F2 B' L2 D R' F U
B' F' R L2 F R2 U
F2 B' L2 D F R' U
F2 B' L2 D' R' F U
F2 B' L2 D' F R' U
F2 B' L2 D2 R' F U
F2 B' L2 D2 F R' U
F2 B' L2 F R' U D
F2 B' L2 F R' U D'
F2 B' L2 F R' U D2
F2 B' L2 F R' D U
F2 B' L2 F R' D' U
F2 B' L2 F R' D2 U
F2 B' L2 F D R' U
F2 B' L2 F D' R' U
F2 B' L2 F D2 R' U
F2 B' L2 F' R' F2 U
F' B' R L2 F R2 U
F2 B' R L2 F R2 U
B' F' R' L2 D F U
B' F' R' L2 D' F U
B' F' R' L2 D2 F U
B' F' R' L2 F U D
B' F' R' L2 F U D'
B' F' R' L2 F U D2
B' F' R' L2 F D U
B' F' R' L2 F D' U
B' F' R' L2 F D2 U
F B' L2 R F R2 U
F B' L2 R' D F U
F B' L2 R' D' F U
F B' L2 R' D2 F U
F B' L2 R' F U D
F B' L2 R' F U D'
F B' L2 R' F U D2
F B' L2 R' F D U
F B' L2 R' F D' U
F B' L2 R' F D2 U
D2 B' D R' U B2 L
F B' L2 D R' F U
F' B' R' L2 D F U
F' B' R' L2 D' F U
F' B' R' L2 D2 F U
F B' L2 D F R' U
F' B' R' L2 F U D
F' B' R' L2 F U D'
F' B' R' L2 F U D2
F' B' R' L2 F D U
F' B' R' L2 F D' U
F' B' R' L2 F D2 U
B' F' R' F L2 F U
F B' L2 D' R' F U
F B' L2 D' F R' U
B' F' R' F' L2 F U
F B' L2 D2 R' F U
F B' L2 D2 F R' U
B' F' R' F2 L2 F U
F B' L2 F R' U D
F B' L2 F R' U D'
F B' L2 F R' U D2
F B' L2 F R' D U
F B' L2 F R' D' U
F B' L2 F R' D2 U
F B' L2 F D R' U
F B' L2 F D' R' U
F B' L2 F D2 R' U
F B' L2 F' R' F2 U
F2 B' R' L2 D F U
F2 B' R' L2 D' F U
F2 B' R' L2 D2 F U
F2 B' R' L2 F U D
F2 B' R' L2 F U D'
F2 B' R' L2 F U D2
F2 B' R' L2 F D U
F2 B' R' L2 F D' U
F2 B' R' L2 F D2 U
F' B' R' F L2 F U
F' B' R' F' L2 F U
F' B' R' F2 L2 F U
F B' R L2 F R2 U
F2 B' R' F L2 F U
F2 B' R' F' L2 F U
F2 B' R' F2 L2 F U
D' B' D' R' F2 U B'
D' B' D' F2 R' U B'
F B' R' L2 D F U
F B' R' L2 D' F U
F B' R' L2 D2 F U
F B' R' L2 F U D
F B' R' L2 F U D'
F B' R' L2 F U D2
F B' R' L2 F D U
F B' R' L2 F D' U
F B' R' L2 F D2 U
D' B' D2 R' U B' L2
F B' R' F L2 F U
F B' R' F' L2 F U
F B' R' F2 L2 F U
R' B' F L2 R' F U
R' B' F L2 F R' U
R' B' F R' L2 F U
D B' D2 R' U B2 L
R' B' F' L2 R' F U
R' B' F' L2 F R' U
U2 B' F L2 R F U
R' B' F' R' L2 F U
U2 B' F R L2 F U
R2 B' F L2 R' F U
R2 B' F L2 F R' U
R2 B' F R' L2 F U
B2 F' U2 L2 B R' U
R' B' F2 L2 R' F U
R' B' F2 L2 F R' U
R' B' F2 R' L2 F U
D B' F R' U L2 B'
D2 B' F2 R' U2 R' U'
D2 B' F2 D R' U B2
B2 F' U2 B L2 R' U
B2 F' U2 B R' L2 U
D2 B' F2 D2 L2 R' U
D2 B' F2 D2 R' L2 U
R2 B' F' L2 R' F U
R2 B' F' L2 F R' U
R2 B' F' R' L2 F U
R B' F L2 R' F U
R B' F L2 F R' U
R B' F R' L2 F U
R2 B' F2 L2 R' F U
R2 B' F2 L2 F R' U
R2 B' F2 R' L2 F U
R B' F' L2 R' F U
R B' F' L2 F R' U
R B' F' R' L2 F U
R B' F2 L2 R' F U
R B' F2 L2 F R' U
R B' F2 R' L2 F U
B' F2 L2 R F R2 U
B' F2 L2 R' D F U
B' F2 L2 R' D' F U
B' F2 L2 R' D2 F U
B' F2 L2 R' F U D
B' F2 L2 R' F U D'
B' F2 L2 R' F U D2
B' F2 L2 R' F D U
B' F2 L2 R' F D' U
B' F2 L2 R' F D2 U
B' F2 L2 D R' F U
B' F2 L2 D F R' U
B' F2 L2 D' R' F U
B' F2 L2 D' F R' U
B' F2 L2 D2 R' F U
B' F2 L2 D2 F R' U
B' F2 L2 F R' U D
B' F2 L2 F R' U D'
B' F2 L2 F R' U D2
B' F2 L2 F R' D U
B' F2 L2 F R' D' U
B' F2 L2 F R' D2 U
B' F2 L2 F D R' U
B' F2 L2 F D' R' U
B' F2 L2 F D2 R' U
B' F2 L2 F' R' F2 U
B' F2 R L2 F R2 U
B' F2 R' L2 D F U
B' F2 R' L2 D' F U
B' F2 R' L2 D2 F U
B' F2 R' L2 F U D
B' F2 R' L2 F U D'
B' F2 R' L2 F U D2
B' F2 R' L2 F D U
B' F2 R' L2 F D' U
B' F2 R' L2 F D2 U
B' F2 R' F L2 F U
B' F2 R' F' L2 F U
B' F2 R' F2 L2 F U
R' B2 U2 L2 B R' U
R' B2 U2 B L2 R' U
R' B2 U2 B R' L2 U
R2 B2 U2 L2 B R' U
R2 B2 U2 B L2 R' U
R2 B2 U2 B R' L2 U
F' B2 U2 L2 B R' U
R B2 U2 L2 B R' U
B2 F2 U2 L2 B R' U
F2 B2 U2 L2 B R' U
F' B2 U2 B L2 R' U
F' B2 U2 B R' L2 U
R B2 U2 B L2 R' U
R B2 U2 B R' L2 U
B2 F2 U2 B L2 R' U
B2 F2 U2 B R' L2 U
