L2 R B U2 R B
L R B U2 R B2
L R B U2 B2 R
R L B U2 R B2
R L B U2 B2 R
R L B U2 B2 R
D2 L2 R F' B U2
D2 L2 R B F' U2
R L2 B U2 R B
D2 R L2 F' B U2
D2 R L2 B F' U2
D2 R F' L2 B U2
D2 R F' B L2 U2
D2 R B L2 F' U2
D2 R B F' L2 U2
U2 R2 B2 L F B'
U2 R2 B2 L B' F
R' D2 L2 F' R' B
R' D2 F' L2 R' B
R' D2 F' R' L2 B
R' D2 F' R' B L2
R' F' R' B2 L B'
R' F' D2 L2 R' B
R' F' D2 R' L2 B
R' F' D2 R' B L2
R F2 L' F B U2
R F2 L' B F U2
R F2 B L' F U2
R B L U2 R B'
R B L U2 B' R
R B L2 U2 R B
R B F2 L' F U2
L R B L2 U2 B2 R
R L B L' U2 R B2
R L B L' U2 B2 R
R L B L2 U2 R B2
R L B L2 U2 B2 R
L R B U2 R B2 D
L R B U2 R B2 D'
L R B U2 R B2 D2
L R B U2 R' B2 R2
L2 R B U2 R D B
L2 R B U2 R D' B
L2 R B U2 R D2 B
L2 R B U2 R B D
L2 R B U2 R B D'
L2 R B U2 R B D2
L2 R B U2 D R B
L2 R B U2 D' R B
L2 R B U2 D2 R B
L R B U2 B' R B'
L R B U2 B2 R D
L R B U2 B2 R D'
L R B U2 B2 R D2
L R B U2 B2 D R
L2 R B U2 B R B
L R B U2 B2 D' R
L R B U2 B2 D2 R
L2 R B U2 B' R B
L2 R B U2 B2 R B
R L B U2 R B2 D
R L B U2 R B2 D'
R L B U2 R B2 D2
R L B U2 R' B2 R2
L2 R B D U2 R B
R L B U2 B' R B'
R L B U2 B2 R D
R L B U2 B2 R D'
R L B U2 B2 R D2
R L B U2 B2 D R
R L B U2 B2 D' R
R L B U2 B2 D2 R
L2 R B D' U2 R B
L' R B F2 L' F' U2
L2 R B D2 U2 R B
L R B D2 F2 L' U2
R L B D2 F2 L' U2
L R B F2 L' U2 B2
L2 R B F2 L' U2 B'
R L B F2 L' U2 B2
R' L B' D2 L2 F' R
R' L B' D2 F' L2 R
R' L B' D2 F' R L2
R2 L B' D2 L' F L'
R2 L B' D2 F L' F
U2 L F2 B' L' F' R2
U2 L B R2 F B2 L
U2 L B R2 B2 F L
F2 L B' L2 R' F' R'
F' L B' R' F' L' R'
F' L B' R' F' R' L'
F2 L B' R' L2 F' R'
F2 L B' R' F' L2 R'
F2 L B' R' F' R' L2
U2 L B' F2 L' F' R2
R2 L' U2 R' F B U2
R2 L' U2 R' B F U2
R2 L' U2 F R' B U2
D2 L' R B L' F' U2
F2 L' R' F' R' D2 B2
F2 L' R' F' D2 R' B2
R' L' D2 L2 F' R' B'
L' R' D2 L2 F' R' B'
L R' D2 F' R' B' L2
R' L' F R2 U2 R F2
L' R' F R2 U2 R F2
R2 L' F R' B U2 R
R L' F U2 R2 F' R
R L' F D2 B U2 R'
R' L' F' R' D2 B2 L
L' R' F' R' D2 B2 L
L R' F' R' B2 L B
R' L' F' D2 L2 R' B2
R' L' F' D2 R' L2 B2
R' L' F' D2 R' B2 L2
L' R' F' D2 L2 R' B2
L' R' F' D2 R' L2 B2
L' R' F' D2 R' B2 L2
L R' F' D2 R' B' L2
R L' F2 L' F' B U2
R L' F2 L' B F' U2
R L' F2 B L' F' U2
R L' B L' U2 R B
R L' B L2 U2 R B'
R L' B L2 U2 B' R
R L' B F2 L' F' U2
L R' B' D2 L2 F' R
L R' B' D2 F' L2 R
L R' B' D2 F' R L2
F' L' F R B U2 R
F2 L' F2 R' F' R' B
L' R2 U2 R' F B U2
L' R2 U2 R' B F U2
L' R2 U2 F R' B U2
L2 R2 U2 R' F' B U2
L2 R2 U2 R' B F' U2
R2 L2 U2 R' F' B U2
R2 L2 U2 R' B F' U2
L R2 U2 R' B U2 B2
R L2 U2 R2 F' R' B
R L2 D B U2 R B
D2 L2 R D F' B U2
D2 L2 R D B F' U2
D2 L2 R D' F' B U2
D2 L2 R D' B F' U2
R L2 D' B U2 R B
D2 L2 R D2 F' B U2
D2 L2 R D2 B F' U2
D2 L2 R F' D B U2
D2 L2 R F' D' B U2
D2 L2 R F' D2 B U2
D2 L2 R F' B U2 D
D2 L2 R F' B U2 D'
D2 L2 R F' B U2 D2
D2 L2 R F' B D U2
D2 L2 R F' B D' U2
D2 L2 R F' B D2 U2
D2 L2 R B D F' U2
D2 L2 R B D' F' U2
D2 L2 R B D2 F' U2
D2 L2 R B F' U2 D
D2 L2 R B F' U2 D'
D2 L2 R B F' U2 D2
D2 L2 R B F' D U2
D2 L2 R B F' D' U2
D2 L2 R B F' D2 U2
B' L2 R B U2 R B
B2 L2 R B U2 R B
B L2 R B U2 R B
L' R2 F R' B U2 R
F' L2 R' F' L' R' B'
R L2 D2 B U2 R B
F' L2 R' F' R' L' B'
R L2 F2 L' B U2 B2
R L2 F2 B L' U2 B'
R L2 B L' U2 R B'
R L2 B L' U2 B' R
R L2 B U2 R D B
R L2 B U2 R D' B
R L2 B U2 R D2 B
R L2 B U2 R B D
R L2 B U2 R B D'
R L2 B U2 R B D2
R L2 B U2 D R B
R L2 B U2 D' R B
R L2 B U2 D2 R B
R L2 B U2 B R B
R L2 B U2 B' R B
R L2 B U2 B2 R B
R L2 B D U2 R B
R L2 B D' U2 R B
R L2 B D2 U2 R B
R L2 B F2 L' U2 B'
L R2 B' D2 L' F L'
L R2 B' D2 F L' F
U2 L2 F2 L' R2 F B'
U2 L2 F2 L' R2 B' F
U2 L2 F2 L' F R2 B'
U2 L2 F2 L' F B' R2
U2 L2 F2 L' B' R2 F
U2 L2 F2 L' B' F R2
U2 L2 F2 R2 L' F B'
U2 L2 F2 R2 L' B' F
D2 L2 B R F' B U2
D2 L2 B R B F' U2
D2 L2 B' R F' B U2
D2 L2 B' R B F' U2
D2 L2 B2 R F' B U2
D2 L2 B2 R B F' U2
R' U D2 L2 F' R' B
D2 R L F' L B U2
U2 R L U2 R F B'
U2 R L U2 R B' F
U2 R L U2 B' R F
R' U D2 F' L2 R' B
R' U D2 F' R' L2 B
R' U D2 F' R' B L2
B' R L B U2 R B2
B' R L B U2 B2 R
B2 R L B U2 R B2
B2 R L B U2 B2 R
B R L B U2 R B2
B R L B U2 B2 R
D2 R L' B L' F' U2
D2 R L2 D F' B U2
D2 R L2 D B F' U2
D2 R L2 D' F' B U2
D2 R L2 D' B F' U2
D2 R L2 D2 F' B U2
D2 R L2 D2 B F' U2
D2 R L2 F' D B U2
D2 R L2 F' D' B U2
D2 R L2 F' D2 B U2
D2 R L2 F' B U2 D
D2 R L2 F' B U2 D'
D2 R L2 F' B U2 D2
D2 R L2 F' B D U2
D2 R L2 F' B D' U2
D2 R L2 F' B D2 U2
R' U F' R' B2 L B'
D2 R L2 B D F' U2
D2 R L2 B D' F' U2
D2 R L2 B D2 F' U2
D2 R L2 B F' U2 D
D2 R L2 B F' U2 D'
D2 R L2 B F' U2 D2
D2 R L2 B F' D U2
D2 R L2 B F' D' U2
D2 R L2 B F' D2 U2
B' R L2 B U2 R B
B2 R L2 B U2 R B
R' U F' D2 L2 R' B
R' U F' D2 R' L2 B
R' U F' D2 R' B L2
B R L2 B U2 R B
D2 R U2 D2 R2 F' B
D2 R U2 D2 R2 B F'
D2 R D2 U2 R2 F' B
D2 R D2 U2 R2 B F'
D2 R D2 F' U2 R2 F'
D2 R D2 F' B U2 R2
D2 R D2 B U2 R2 B
D2 R D2 B F' U2 R2
D2 R F L2 F2 B U2
D2 R F L2 B F2 U2
D2 R F B L2 F2 U2
D2 R F' L' B L' U2
D2 R F' L2 D B U2
D2 R F' L2 D' B U2
D2 R F' L2 D2 B U2
D2 R F' L2 B U2 D
D2 R F' L2 B U2 D'
D2 R F' L2 B U2 D2
D2 R F' L2 B D U2
D2 R F' L2 B D' U2
D2 R F' L2 B D2 U2
D2 R F' U2 D2 R2 F'
D2 R F' D2 U2 R2 F'
D2 R F' D2 B U2 R2
D2 R F' B L2 U2 D
D2 R F' B L2 U2 D'
D2 R F' B L2 U2 D2
D2 R F' B L2 D U2
D2 R F' B L2 D' U2
D2 R F' B L2 D2 U2
D2 R F' B U2 D2 R2
D2 R F' B D2 U2 R2
D2 R F' B' L2 B2 U2
D2 R F' B2 L2 U2 F
B' R F2 L' F B U2
B' R F2 L' B F U2
D2 R F2 L2 B U2 B2
B2 R F2 L' F B U2
B2 R F2 L' B F U2
U2 R F2 L' F B' U2
U2 R F2 L' B' F U2
B R F2 L' F B U2
B R F2 L' B F U2
D2 R F2 B L2 U2 B'
B' R F2 B L' F U2
D2 R B L F' L U2
B' R B L U2 R B'
B' R B L U2 B' R
B2 R F2 B L' F U2
D2 R B L2 D F' U2
D2 R B L2 D' F' U2
D2 R B L2 D2 F' U2
D2 R B L2 F' U2 D
D2 R B L2 F' U2 D'
D2 R B L2 F' U2 D2
D2 R B L2 F' D U2
D2 R B L2 F' D' U2
D2 R B L2 F' D2 U2
B' R B L2 U2 R B
B2 R B L U2 R B'
B2 R B L U2 B' R
B R F2 B L' F U2
B2 R B L2 U2 R B
D' R B U' R' F2 U'
D' R B U' F2 R' U'
D2 R B U2 D2 R2 B
B R B L U2 R B'
B R B L U2 B' R
B R B L2 U2 R B
D2 R B D2 U2 R2 B
D2 R B D2 F' U2 R2
D2 R B F L2 F2 U2
D2 R B F' L2 U2 D
D2 R B F' L2 U2 D'
D2 R B F' L2 U2 D2
D2 R B F' L2 D U2
D2 R B F' L2 D' U2
D2 R B F' L2 D2 U2
D2 R B F' U2 D2 R2
D2 R B F' D2 U2 R2
D2 R B F2 L2 U2 B'
B' R B F2 L' F U2
D2 R B' L2 F' B2 U2
D2 R B' L2 B2 F' U2
B2 R B F2 L' F U2
B R B F2 L' F U2
D2 R B' F' L2 B2 U2
D2 R B2 L2 F' U2 F2
D2 R B2 F' L2 U2 F
R' U' D2 L2 F' R' B
R' U' D2 F' L2 R' B
R' U' D2 F' R' L2 B
R' U' D2 F' R' B L2
F' R' L F' R' B' L'
F2 R' L F' R' B' L2
F2 R' L' F' R' D2 B2
F2 R' L' F' D2 R' B2
R' U' F' R' B2 L B'
F' R' L2 F' L' R' B'
F' R' L2 F' R' L' B'
R' U' F' D2 L2 R' B
R' U' F' D2 R' L2 B
R' U' F' D2 R' B L2
D2 R' D2 L2 F' B R2
D2 R' D2 L2 B F' R2
B' R' D2 L2 F' R' B
B2 R' D2 L2 F' R' B
F2 R' D2 L' F' R' B
D2 R' D2 F' L2 B R2
D2 R' D2 F' B L2 R2
D2 R' D2 F' B R2 L2
D2 R' D2 B L2 F' R2
B' R' D2 F' L2 R' B
F' R' D2 F' L' R' B
B' R' D2 F' R' L2 B
B' R' D2 F' R' B L2
F' R' D2 F' R' L' B
F' R' D2 F' R' B L'
D2 R' D2 B F' L2 R2
D2 R' D2 B F' R2 L2
B R' D2 L2 F' R' B
B2 R' D2 F' L2 R' B
B2 R' D2 F' R' L2 B
B2 R' D2 F' R' B L2
B R' D2 F' L2 R' B
B R' D2 F' R' L2 B
B R' D2 F' R' B L2
F' R' F' L R' B' L2
F' R' F' R' L B' L2
B' R' F' R' B2 L B'
B2 R' F' R' B2 L B'
D2 R' F' D2 L2 B R2
D2 R' F' D2 B L2 R2
D2 R' F' D2 B R2 L2
B' R' F' D2 L2 R' B
D2 R' F' B D2 L2 R2
D2 R' F' B D2 R2 L2
B' R' F' D2 R' L2 B
B' R' F' D2 R' B L2
F' R' F' D2 L' R' B
F' R' F' D2 R' L' B
F' R' F' D2 R' B L'
B R' F' R' B2 L B'
B2 R' F' D2 L2 R' B
B2 R' F' D2 R' L2 B
B2 R' F' D2 R' B L2
B R' F' D2 L2 R' B
B R' F' D2 R' L2 B
B R' F' D2 R' B L2
D2 R' B D2 L2 F' R2
D2 R' B D2 F' L2 R2
D2 R' B D2 F' R2 L2
D2 R' B F' D2 L2 R2
D2 R' B F' D2 R2 L2
R U2 R2 D2 F' R' B
R U2 R2 F' D2 R' B
L U2 R2 B2 L F B
L U2 R2 B2 L B F
R' U2 D2 L2 F' R' B
R' U2 D2 F' L2 R' B
R' U2 D2 F' R' L2 B
R' U2 D2 F' R' B L2
U2 R2 L F B2 L B
U2 R2 L B' D2 F L'
U2 R2 L B2 F L B
R' U2 F' R' B2 L B'
R' U2 F' D2 L2 R' B
R' U2 F' D2 R' L2 B
R' U2 F' D2 R' B L2
L U2 B R2 B2 L F
U2 R2 F B2 L F B'
U2 R2 F B2 L B' F
U2 R2 F' B2 L F B'
U2 R2 F' B2 L B' F
U2 R2 F2 B2 L F B'
U2 R2 F2 B2 L B' F
U2 R2 B' L F B' L
U2 R2 B' L B' F L
U2 R2 B2 L D F B'
U2 R2 B2 L D B' F
U2 R2 B2 L D' F B'
U2 R2 B2 L D' B' F
U2 R2 B2 L D2 F B'
U2 R2 B2 L D2 B' F
U2 R2 B2 L F D B'
U2 R2 B2 L F D' B'
U2 R2 B2 L F D2 B'
U2 R2 B2 L F B' D
U2 R2 B2 L F B' D'
U2 R2 B2 L F B' D2
U2 R2 B2 L B' D F
U2 R2 B2 L B' D' F
U2 R2 B2 L B' D2 F
U2 R2 B2 L B' F D
U2 R2 B2 L B' F D'
U2 R2 B2 L B' F D2
U2 R2 B2 F L F B'
U2 R2 B2 F L B' F
U2 R2 B2 F' L F B'
U2 R2 B2 F' L B' F
U2 R2 B2 F2 L F B'
U2 R2 B2 F2 L B' F
R' D F' R' D L2 B2
R' D F' R' D B2 L2
R D' B U' R' U' R2
R D' B U2 R D B2
R' D2 L F' L R' B
R' D2 L F' R' L B
L' D2 L2 R B U2 B2
R' D2 L2 F R' F2 B
R' D2 L2 F R' B F2
R' D2 L2 F' R' D B
R' D2 L2 F' R' D' B
R' D2 L2 F' R' D2 B
R' D2 L2 F' R' B D
R' D2 L2 F' R' B D'
R' D2 L2 F' R' B D2
R' D2 L2 F2 R' F B
R' D2 L2 F2 R' B F
L' D2 R L2 B U2 B2
L D2 L2 R F B U2
L D2 L2 R B F U2
L' D2 R F L2 B U2
L' D2 R F B L2 U2
L' D2 R B L2 U2 B'
L' D2 R B F L2 U2
L D2 R L2 F B U2
L D2 R L2 B F U2
L D2 R B L2 U2 B2
R' D2 U L2 F' R' B
R' D2 U F' L2 R' B
R' D2 U F' R' L2 B
R' D2 U F' R' B L2
R' D2 U' L2 F' R' B
R' D2 U' F' L2 R' B
R' D2 U' F' R' L2 B
R' D2 U' F' R' B L2
R' D2 U2 L2 F' R' B
R' D2 U2 F' L2 R' B
R' D2 U2 F' R' L2 B
R' D2 U2 F' R' B L2
F2 U2 L R2 F B' L2
F2 U2 L R2 B' F L2
R' D2 F L2 R' F2 B
R' D2 F L2 R' B F2
R' D2 F L2 F2 R' B
F2 U2 L F R2 B' L2
F2 U2 L F B' L2 R2
F2 U2 L F B' R2 L2
R' D2 F R' L2 F2 B
R' D2 F R' L2 B F2
R' D2 F R' F2 L2 B
R' D2 F R' F2 B L2
R' D2 F R' B L2 F2
R' D2 F R' B F2 L2
F2 U2 L B' R2 F L2
F2 U2 L B' F L2 R2
F2 U2 L B' F R2 L2
F U2 L R2 F B' L'
F U2 L R2 B' F L'
R' D2 F' L' R' B L'
R' D2 F' L2 R' D B
R' D2 F' L2 R' D' B
R' D2 F' L2 R' D2 B
R' D2 F' L2 R' B D
R' D2 F' L2 R' B D'
R' D2 F' L2 R' B D2
R' D2 F' R' L' B L'
R' D2 F' R' L2 D B
R' D2 F' R' L2 D' B
R' D2 F' R' L2 D2 B
R' D2 F' R' L2 B D
R' D2 F' R' L2 B D'
R' D2 F' R' L2 B D2
F U2 L F R2 B' L'
R' D2 F' R' B L2 D
R' D2 F' R' B L2 D'
R' D2 F' R' B L2 D2
R' D2 F' R' B' L2 B2
F U2 L F B' L' R2
F U2 L F B' R2 L'
F U2 L B' R2 F L'
F U2 L B' F L' R2
F U2 L B' F R2 L'
R' D2 F2 R' F L2 B
R' D2 F2 R' F B L2
R' D2 F2 R' B F L2
F2 U2 R2 L F B' L2
F2 U2 R2 L B' F L2
B' U2 R2 B2 L F B'
B' U2 R2 B2 L B' F
F' U2 R2 B L F B'
F' U2 R2 B L B' F
B2 U2 R2 B2 L F B'
B2 U2 R2 B2 L B' F
R D2 B U2 R' B R2
F U2 R2 L F B' L'
F U2 R2 L B' F L'
B U2 R2 B2 L F B'
B U2 R2 B2 L B' F
U2 F L R2 F B' L'
U2 F L R2 B' F L'
U2 F L F R2 B' L'
U2 F L F B' L' R2
U2 F L F B' R2 L'
U2 F L B' R2 F L'
U2 F L B' F L' R2
U2 F L B' F R2 L'
R F L' F L' B U2
R F L' F B L' U2
R F L' B F L' U2
R' F R' F2 B2 L B'
F' U2 B L R2 F B'
F' U2 B L R2 B' F
F' U2 B L F R2 B'
F' U2 B L F B' R2
F' U2 B L B' R2 F
F' U2 B L B' F R2
R' F R' B2 L F2 B'
R' F R' B2 L B' F2
R' F R' B2 F2 L B'
F' U2 B R2 L F B'
F' U2 B R2 L B' F
U2 F R2 L F B' L'
U2 F R2 L B' F L'
L' F U2 L R2 F L'
L' F U2 L F L' R2
L' F U2 L F R2 L'
L' F U2 R2 L F L'
R F D2 B U2 R' B
R F B L' F L' U2
R' F' L R' B2 L B
R' F' L D2 R' B' L2
R' F' L' D2 L2 R' B'
R' F' L' D2 R' L2 B'
R F' L' F B U2 R
R' F' R' L B2 L B
R F' L' B F U2 R
R' F' R' B' L B' L
R' F' R' B2 L D B'
R' F' R' B2 L D' B'
R' F' R' B2 L D2 B'
R' F' R' B2 L B' D
R' F' R' B2 L B' D'
R' F' R' B2 L B' D2
L2 F' R' F' L' R' B'
L2 F' R' F' R' L' B'
L F' R' F' R' B' L'
R' F' D2 L' R' B L'
R' F' D2 L2 R' D B
R' F' D2 L2 R' D' B
R' F' D2 L2 R' D2 B
R' F' D2 L2 R' B D
R' F' D2 L2 R' B D'
R' F' D2 L2 R' B D2
R' F' D2 R' L' B L'
R' F' D2 R' L2 D B
R' F' D2 R' L2 D' B
R' F' D2 R' L2 D2 B
R' F' D2 R' L2 B D
R' F' D2 R' L2 B D'
R' F' D2 R' L2 B D2
R' F' D2 R' B L2 D
R' F' D2 R' B L2 D'
R' F' D2 R' B L2 D2
R' F' D2 R' B' L2 B2
R F' B L U2 B' R'
R F' B L' F U2 R
L F' B' R' F' L' R'
L F' B' R' F' R' L'
U2 F2 L R2 F B' L2
U2 F2 L R2 B' F L2
L' F2 L' R' F' R' B
U2 F2 L F R2 B' L2
U2 F2 L F B' L2 R2
U2 F2 L F B' R2 L2
U2 F2 L B' R2 F L2
U2 F2 L B' F L2 R2
U2 F2 L B' F R2 L2
L2 F2 L' R' F' R' B'
L2 F2 L' B' R' F' R'
R F2 L B L2 U2 B2
R F2 L' D F B U2
R F2 L' D B F U2
R F2 L' D' F B U2
R F2 L' D' B F U2
R F2 L' D2 F B U2
R F2 L' D2 B F U2
R F2 L' F D B U2
R F2 L' F D' B U2
R F2 L' F D2 B U2
R F2 L' F B U2 D
R F2 L' F B U2 D'
R F2 L' F B U2 D2
R F2 L' F B D U2
R F2 L' F B D' U2
R F2 L' F B D2 U2
R F2 L' B D F U2
R F2 L' B D' F U2
R F2 L' B D2 F U2
R F2 L' B F U2 D
R F2 L' B F U2 D'
R F2 L' B F U2 D2
R F2 L' B F D U2
R F2 L' B F D' U2
R F2 L' B F D2 U2
L' F2 R' L' F' R' B
R' F2 R' F B2 L B'
L2 F2 R' L' F' R' B'
R' F2 R' B2 F L B'
L' F2 R2 D2 L' F B
L' F2 R2 D2 L' B F
L' F2 R2 D2 B L' F
U2 F2 R2 L F B' L2
U2 F2 R2 L B' F L2
L' F2 R2 B D2 L' F
L2 F2 R2 D2 L' F B'
L2 F2 R2 D2 L' B' F
L F2 R2 D2 B' L' F
L F2 R2 B' D2 L' F
B' D2 L2 R F' B U2
B' D2 L2 R B F' U2
B2 D2 L2 R F' B U2
B2 D2 L2 R B F' U2
B' D2 R L2 F' B U2
B' D2 R L2 B F' U2
B D2 L2 R F' B U2
B D2 L2 R B F' U2
B' D2 R F' L2 B U2
B2 D2 R L2 F' B U2
B2 D2 R L2 B F' U2
B' D2 R F' B L2 U2
B' D2 R B L2 F' U2
R' F2 D2 R' F L2 B
R' F2 D2 R' F B L2
R' F2 D2 R' B F L2
B' D2 R B F' L2 U2
R' F2 D2 F L2 R' B
R' F2 D2 F R' L2 B
R' F2 D2 F R' B L2
B2 D2 R F' L2 B U2
B2 D2 R F' B L2 U2
B2 D2 R B L2 F' U2
B2 D2 R B F' L2 U2
B D2 R L2 F' B U2
B D2 R L2 B F' U2
D' F2 B R' U' L' F'
B D2 R F' L2 B U2
B D2 R F' B L2 U2
B D2 R B L2 F' U2
B D2 R B F' L2 U2
R F2 B L' D F U2
R F2 B L' D' F U2
R F2 B L' D2 F U2
R F2 B L' F U2 D
R F2 B L' F U2 D'
R F2 B L' F U2 D2
R F2 B L' F D U2
R F2 B L' F D' U2
R F2 B L' F D2 U2
L F2 B' L' R' F' R'
L F2 B' R' L' F' R'
L F2 B' R2 D2 L' F
R F2 B' L' F B2 U2
R F2 B' L' B2 F U2
D2 B L2 R F' B U2
D2 B L2 R B F' U2
R B L U2 R D B'
R B L U2 R D' B'
R B L U2 R D2 B'
R B L U2 R B' D
R B L U2 R B' D'
R B L U2 R B' D2
R B L U2 R' B' R2
R B L U2 D R B'
R B L U2 D B' R
R B L U2 D' R B'
R B L U2 D' B' R
R B L U2 D2 R B'
R B L U2 D2 B' R
R B L U2 B R B2
R B L U2 B' R D
R B L U2 B' R D'
R B L U2 B' R D2
R B L U2 B' D R
R B L U2 B' D' R
R B L U2 B' D2 R
R B L D U2 R B'
R B L D U2 B' R
R B L D' U2 R B'
R B L D' U2 B' R
R B L D2 U2 R B'
R B L D2 U2 B' R
D2 B R L2 F' B U2
D2 B R L2 B F' U2
R B L F' U2 B' R'
D2 B R F' L2 B U2
D2 B R F' B L2 U2
D2 B R B L2 F' U2
D2 B R B F' L2 U2
R B L' F2 L' F' U2
L2 B R B U2 R B
R B L2 U2 R D B
R B L2 U2 R D' B
R B L2 U2 R D2 B
R B L2 U2 R B D
R B L2 U2 R B D'
R B L2 U2 R B D2
R B L2 U2 D R B
R B L2 U2 D' R B
R B L2 U2 D2 R B
R B L2 U2 B R B
R B L2 U2 B' R B
R B L2 U2 B2 R B
R B L2 D U2 R B
R B L2 D' U2 R B
R B L2 D2 U2 R B
R B L2 F2 L' U2 B'
R' B R2 B L U2 B'
L B R B U2 B R
U2 B R2 B2 L F B'
U2 B R2 B2 L B' F
L B R' F' R' B2 L
R B U L U R B'
R B U L U B' R
L B U2 R2 B2 L F
R B U2 L R B' L'
R B U2 L B' L' R
R B U2 L B' R L'
R B U2 R L B' L'
R B U2 R2 D2 R' B
R B U2 D2 R' B R2
D' B F2 R' U' L' F'
R B D2 U2 R' B R2
R B F L' F L' U2
R B F' L U2 B' R'
R B F' L' F U2 R
R B F2 L' D F U2
R B F2 L' D' F U2
R B F2 L' D2 F U2
R B F2 L' F U2 D
R B F2 L' F U2 D'
R B F2 L' F U2 D2
R B F2 L' F D U2
R B F2 L' F D' U2
R B F2 L' F D2 U2
D2 B' L2 R F' B U2
D2 B' L2 R B F' U2
D2 B' R L2 F' B U2
D2 B' R L2 B F' U2
D2 B' R F' L2 B U2
D2 B' R F' B L2 U2
R B' L B2 U2 B R
D2 B' R B L2 F' U2
D2 B' R B F' L2 U2
L2 B' R B U2 R B
R B' L2 B2 U2 R B
L B' R B U2 R B'
L B' R B U2 B' R
L B' R' D2 L2 F' R'
L B' R' D2 F' L2 R'
L B' R' D2 F' R' L2
U2 B' R2 B2 L F B'
U2 B' R2 B2 L B' F
L B' R' F' D2 L2 R'
L B' R' F' D2 R' L2
L B' R2 U2 R' B U2
R' B2 L R2 B U2 B2
L B' F' R' F' L' R'
L B' F' R' F' R' L'
R2 B2 L R F' R' B'
L B' F2 L' R' F' R'
L B' F2 R' L' F' R'
L B' F2 R2 D2 L' F
D2 B2 L2 R F' B U2
D2 B2 L2 R B F' U2
R B' F2 L' F B2 U2
R B' F2 L' B2 F U2
R2 B2 L B' R F' R'
D2 B2 R L2 F' B U2
D2 B2 R L2 B F' U2
D2 B2 R F' L2 B U2
D2 B2 R F' B L2 U2
D2 B2 R B L2 F' U2
D2 B2 R B F' L2 U2
R2 B2 L2 D2 L' F B'
R2 B2 L2 D2 L' B' F
R2 B2 R L F' R' B'
L2 B2 R B U2 R B
R' B2 R2 L B U2 B2
R2 B2 R F' L R' B'
R2 B2 R F' R' L B'
R B2 L2 U2 R F B
R B2 L2 U2 R B F
U2 B2 R2 B2 L F B'
U2 B2 R2 B2 L B' F
