L' R U D2 R2 B'
L' R U D2 B' R2
L' R U B' D2 R2
L' R U' L2 F U2
L2 R U' L' F U2
L' R D' B2 U B
L' R D2 U R2 B'
L' R D2 U B' R2
R L' U D2 R2 B'
R L' U D2 B' R2
R L' U B' D2 R2
R L' U' L2 F U2
B2 L' R U R2 B'
B2 L' R U B' R2
R L' D' B2 U B
R L' D2 U R2 B'
R L' D2 U B' R2
R L2 U' L' F U2
B2 R L' U R2 B'
B2 R L' U B' R2
R U B2 D' R' B
L' D' R B2 U B
L' D2 R U R B'
L' D2 R U B' R
L F U F' R U
R B2 L' U R' B'
B2 R L' B U B2 R2
R U D2 B2 D' R' B
D' R L2 U' L' F U2
B2 R L' B2 U B R2
B R L' B U R' B2
D R L2 U' L' F U2
D2 R U B2 D' R' B
D' R U B2 D' R' B
U' R U' L R' F' U2
U2 R U' L U2 L' B
U2 R U' L U2 B L'
U' R U' R' L F' U2
U' R U' R' F' L U2
D R U B2 D' R' B
B2 R U2 R U' B R
B R U2 R U' B R'
B2 R D L' B2 U B
R U B' U R' F' U'
R' U B2 D' R' F2 B
R' U B2 D' R' B F2
B2 R D B2 L' U B'
R' U B2 D' F2 R' B
R U B2 D' R' D B
R U B2 D' R' D' B
R U B2 D' R' D2 B
R U B2 D' R' B D
R U B2 D' R' B D'
R U B2 D' R' B D2
R U' L U L' U B'
R U' L U' R U' B
R U' L F U' R U'
R U' L F' U L' U
B2 R B L' U R2 B'
B2 R B L' U B' R2
B R B L' U R' B'
B' R B' L' U R' B'
B2 R B' L' U R2 B'
B2 R B' L' U B' R2
D2 R B2 L' U R' B'
D' R B2 L' U R' B'
B2 R B2 L' U R2 B'
B2 R B2 L' U B' R2
D R B2 L' U R' B'
R U' F L U' R U'
R U' F' L U L2 U
R U' F' L U2 D' B2
R U' F' L D F2 U2
R U' F' L D' U2 B2
R U' F2 D' L U2 B'
R U2 R U L U2 B
R U2 R U' B2 R' B'
R U2 R' U L F' U2
R U2 R' U F' L U2
R U2 R2 U' B2 R' B
U R' B2 D' R' F2 B
U R' B2 D' R' B F2
U R' B2 D' F2 R' B
R D L' U D2 R2 B'
R D L' U D2 B' R2
R D L' U B' D2 R2
R D L' U' L2 F U2
R D L' D' B2 U B
R D L' D2 U R2 B'
R D L' D2 U B' R2
L' D R U D R2 B'
L' D R U D B' R2
L' D R U B' D R2
L' D R U2 F2 U' B'
L' D R D U R2 B'
L' D R D U B' R2
R D L2 U' L' F U2
L' D R D2 B2 U B
R D U B2 D' R' B
L D F U F' R U
B' U R B L U L'
R D B2 L' U R' B'
R D' L' U D2 R2 B'
R D' L' U D2 B' R2
R D' L' U B' D2 R2
R D' L' U' L2 F U2
R D' L' D' B2 U B
R D' L' D2 U R2 B'
R D' L' D2 U B' R2
L' D' R U D' R2 B'
L' D' R U D' B' R2
L' D' R D' U R2 B'
L' D' R D' U B' R2
R D' L2 U' L' F U2
L' D' R B2 L U B
L' D' R B2 L' U B
L' D' R B2 L2 U B
L' D' R B2 U D B
L' D' R B2 U D' B
L' D' R B2 U D2 B
L' D' R B2 U B D
L' D' R B2 U B D'
L' D' R B2 U B D2
L' D' R B2 D U B
L' D' R B2 D' U B
L' D' R B2 D2 U B
R D' U B2 D' R' B
L D' F U F' R U
L' D' B' R B' U B
R D' B2 L' U R' B'
R D2 L' U D2 R2 B'
R D2 L' U D2 B' R2
R D2 L' U B' D2 R2
R D2 L' U' L2 F U2
R D2 L' D' B2 U B
L' D2 R U R D B'
L' D2 R U R D' B'
L' D2 R U R D2 B'
L' D2 R U R B' D
L' D2 R U R B' D'
L' D2 R U R B' D2
L' D2 R U R' B' R2
L' D2 R U D R B'
R D2 L' D2 U R2 B'
L' D2 R U D B' R
R D2 L' D2 U B' R2
L' D2 R U D' R B'
L' D2 R U D' B' R
L' D2 R U D2 R B'
L' D2 R U D2 B' R
L' D2 R U B R B2
L' D2 R U B' R D
L' D2 R U B' R D'
L' D2 R U B' R D2
L' D2 R U B' D R
L' D2 R U B' D' R
L' D2 R U B' D2 R
L' D2 R D U R B'
L' D2 R D U B' R
L' D2 R D' U R B'
L' D2 R D' U B' R
L' D2 R D2 U R B'
L' D2 R D2 U B' R
L2 D2 R U' L' F' U2
L' D2 R B U R B2
L' D2 R B U B2 R
R D2 L2 U' L' F U2
L' D2 R B2 U B R
R D2 U B2 D' R' B
L D2 F U F' R U
L' D2 B R U R B2
L' D2 B R U B2 R
R D2 B2 L' U R' B'
L F U F' R U D
L F U F' R U D'
L F U F' R U D2
L F U F' R D U
L F U F' R D' U
L F U F' R D2 U
L F U F' D R U
L F U F' D' R U
L F U F' D2 R U
B2 D L' R U R2 B'
B2 D L' R U B' R2
B2 D R L' U R2 B'
B2 D R L' U B' R2
L F B U F' R U
L F B' U F' R U
L F B2 U F' R U
B2 D' L' R U R2 B'
B2 D' L' R U B' R2
B2 D' R L' U R2 B'
B2 D' R L' U B' R2
B2 D2 L' R U R2 B'
B2 D2 L' R U B' R2
B2 D2 R L' U R2 B'
B2 D2 R L' U B' R2
L' B L R U B2 R'
L' B R L U B2 R'
L' B R U B2 D2 R2
L' B R U' L2 U2 B2
R B L' U B R' B2
L2 B R U' L' F U2
R B L' B U R' B2
F2 D2 B2 L' U' R' B'
R B U2 R U' B R'
L B F U F' R U
L' B' R D' B2 U B2
L2 B' R U' L' F U2
R B' L' B U B2 R'
R B' L' B2 U B R'
L' B' D' R B2 U B2
L' B' D' B2 R U B2
L B' F U F' R U
D2 B2 L' R U R2 B'
D2 B2 L' R U B' R2
R' B2 L' R2 U R B'
R' B2 L' R2 U B' R
D' B2 L' R U R2 B'
D' B2 L' R U B' R2
D B2 L' R U R2 B'
D B2 L' R U B' R2
D2 B2 R L' U R2 B'
D2 B2 R L' U B' R2
R B2 L U' F U2 R'
D' B2 R L' U R2 B'
D' B2 R L' U B' R2
R B2 L' U R B' R2
R B2 L' U R' D B'
R B2 L' U R' D' B'
R B2 L' U R' D2 B'
R B2 L' U R' B' D
R B2 L' U R' B' D'
R B2 L' U R' B' D2
R B2 L' U R2 B' R
R B2 L' U D R' B'
R B2 L' U D' R' B'
R B2 L' U D2 R' B'
L2 B2 R U' L' F U2
R B2 L' D U R' B'
R B2 L' D' U R' B'
R B2 L' D2 U R' B'
D B2 R L' U R2 B'
D B2 R L' U B' R2
R' B2 R2 L' U R B'
R' B2 R2 L' U B' R
R B2 L2 U D2 R' B
R B2 L2 D2 U R' B
R B2 U2 R U' B R2
L' B2 D' B2 R U B'
R B2 D L' U R' B'
U B2 D' R' D' F2 B
U B2 D' R' D' B F2
U B2 D' R' B D' F2
R B2 D' L' U R' B'
R B2 D2 L' U R' B'
L B2 F U F' R U
