D' L' R B R F2
U2 L' D' R2 F2 B'
U2 L' D' R2 B' F2
U2 L' D' F2 R2 B'
U2 L' D' F2 B' R2
U2 L' D' B' R2 F2
U2 L' D' B' F2 R2
D L' D2 F2 R B
D' L' F2 R B R
D L2 B2 R' F' U2
D' R L' B R F2
D' R B L' R F2
D' R B R L' F2
U R2 B2 U L' B'
L' D' R B R F2
U2 D' L' R2 F2 B'
U2 D' L' R2 B' F2
U2 D' L' F2 R2 B'
U2 D' L' F2 B' R2
U2 D' L' B' R2 F2
U2 D' L' B' F2 R2
L' D' F2 R B R
U2 D' R2 L' F2 B'
U2 D' R2 L' B' F2
D' U2 L' R2 F2 B'
D' U2 L' R2 B' F2
D' U2 L' F2 R2 B'
D' U2 L' F2 B' R2
D' U2 L' B' R2 F2
D' U2 L' B' F2 R2
D' U2 R2 L' F2 B'
D' U2 R2 L' B' F2
R B2 R U B' L'
U B2 R2 U L' B'
D R D2 B R2 L' F2
D' R B L R F2 L2
D' R B L' R F2 D
D' R B L' R F2 D'
D' R B L' R F2 D2
D' R B L' R' F2 R2
D' R B L' R2 F2 R'
D' R B L2 R F2 L
D' R B R L F2 L2
D' R B R L' F2 D
D' R B R L' F2 D'
D' R B R L' F2 D2
D' R B R L2 F2 L
D' R B R' L' F2 R2
D' R B R2 L' F2 R'
D2 R B D L' R2 F2
D2 R B D L' F2 R2
D2 R B D R2 L' F2
D' R B' L' R F2 B2
D' R B' L' R B2 F2
D' R B' L' B2 R F2
D' R B' R L' F2 B2
D' R B' R L' B2 F2
D' R B' R B2 L' F2
D R B D2 L' R2 F'
B' R B' R U L' B2
D R B D2 R2 L' F'
B' R B' R U B2 L'
L' U' R2 B L B U
D' R B2 R B' L' F2
D R B2 L2 F U2 L
U R B2 R U L' B'
D' R' L F2 L2 R' B'
D' R' L F2 R' L2 B'
D R' L2 F' B2 R' U2
D R' L2 B2 F' R' U2
L' U' B L B R2 U
D2 R' D L' R2 F2 B
D2 R' D L' R2 B F2
D2 R' D R2 L' F2 B
D2 R' D R2 L' B F2
D2 R' D R2 B L' F2
R U' B2 R U B' L'
L2 U2 L D' F2 R2 B
D R' D2 L' R2 F2 B
D R' D2 L' R2 B F2
D R' D2 R2 L' F2 B
D R' D2 R2 L' B F2
D R' D2 R2 B L' F2
D' R' F2 R' D2 L2 B'
L2 U2 D' L F2 R2 B
D R' B2 L2 F' U2 L
U2 R2 L B2 U L2 B'
D' R2 L' F2 R' B R
B2 R2 L2 U D2 L B'
D' R2 L2 F2 D2 L B'
B2 R2 L2 D2 U L B'
B2 R2 U L' R' B R
B2 R2 U L2 D2 L B'
B2 R2 U R' L' B R
B2 R2 U R' B L' R
B2 R2 U R' B R L'
D R2 L2 B2 R' U2 B
B2 R2 U D2 L B' L2
U R2 U L' D' R2 B'
U R2 U L' D' B' R2
B2 R2 U' R' U2 L' B
B2 R2 U' R' U2 B L'
U R2 U D' L' R2 B'
U R2 U D' L' B' R2
U R2 U D' R2 L' B'
B2 R2 U' R2 U2 L' B'
B2 R2 U' F2 R F' U2
B2 R2 U2 R' U' L' B
B2 R2 U2 R' U' B L'
B' R2 D B' L U L2
R U2 B2 R U B' L'
D' R2 D2 L B' L2 F
B2 R2 D2 L U B' L2
U R2 D' U L' R2 B'
U R2 D' U L' B' R2
U R2 D' U R2 L' B'
B2 R2 D2 U L B' L2
D R2 D2 L' F2 R2 B
L2 D L2 B2 U2 L' B'
L' D R D2 F2 B R2
L' D R D2 B R2 F2
L' D R D2 B F2 R2
L' D R B D2 R2 F'
D' R2 F2 U2 R F' U2
B2 R2 F2 U' R F' U2
U' R2 B L B U L2
L' D R' D2 R2 F2 B
L' D R' D2 R2 B F2
U2 R2 B2 L U L2 B'
U2 R2 B2 L2 U L B'
F2 R2 B2 U D2 L B'
F2 R2 B2 D2 U L B'
U R2 B2 U L' D B'
U R2 B2 U L' D' B'
U R2 B2 U L' D2 B'
U R2 B2 U L' B' D
U R2 B2 U L' B' D'
U R2 B2 U L' B' D2
U R2 B2 U D L' B'
U R2 B2 U D' L' B'
U R2 B2 U D2 L' B'
U R2 B2 U B L' B'
U R2 B2 U B' L' B'
U R2 B2 U B2 L' B'
U R2 B2 D U L' B'
U R2 B2 D' U L' B'
U R2 B2 D2 U L' B'
U2 D L' D2 F2 R B'
U2 D L' D2 F2 B' R
U2 D L' D2 B' F2 R
B2 U R2 U L' R2 B'
B2 U R2 U L' B' R2
B2 U R2 U R2 L' B'
B' U R2 B' U L' B'
L2 D B2 L2 R' F' U2
L2 D B2 R' L2 F' U2
L2 D B2 R' F' L2 U2
L2 D' L R B R F2
L2 D' L F2 R B R
L2 D' R L B R F2
L' D' R B R F2 D
L' D' R B R F2 D'
L' D' R B R F2 D2
L' D' R B R' F2 R2
L' D' R B R2 F2 R'
L' D' R B' R F2 B2
L' D' R B' R B2 F2
R' D' R' U L' R' B
R' D' R' U R' L' B
R' D' R' U R' B L'
L' D' R B2 R F2 B'
L' D' R B2 R B' F2
U2 D B2 L2 U2 L B'
L' D' R2 F2 R' B R
B U B R2 U L' B'
B' U B' R2 U L' B'
U2 D' L F2 L2 R2 B
U2 D' L F2 R2 L2 B
U2 D' L F2 R2 B L2
L2 D' R2 F2 D2 L B'
U2 D' L' R B' R F2
U2 D' L' R' F2 R' B'
U2 D' L' R2 F2 D B'
U2 D' L' R2 F2 D' B'
U2 D' L' R2 F2 D2 B'
U2 D' L' R2 F2 B' D
U2 D' L' R2 F2 B' D'
U2 D' L' R2 F2 B' D2
U2 D' L' R2 B' F2 D
U2 D' L' R2 B' F2 D'
U2 D' L' R2 B' F2 D2
U2 D' L' F R2 F B'
U2 D' L' F R2 B' F
U2 D' L' F B' R2 F
U2 D' L' F2 R B' R
U2 D' L' F2 R2 D B'
U2 D' L' F2 R2 D' B'
U2 D' L' F2 R2 D2 B'
U2 D' L' F2 R2 B' D
U2 D' L' F2 R2 B' D'
U2 D' L' F2 R2 B' D2
U2 D' L' F2 B R2 B2
U2 D' L' F2 B' R2 D
U2 D' L' F2 B' R2 D'
U2 D' L' F2 B' R2 D2
U2 D' L' B R2 F2 B2
U2 D' L' B R2 B2 F2
U2 D' L' B F2 R2 B2
U2 D' L' B' R' F2 R'
U2 D' L' B' R2 F2 D
U2 D' L' B' R2 F2 D'
U2 D' L' B' R2 F2 D2
U2 D' L' B' F R2 F
U2 D' L' B' F2 R2 D
U2 D' L' B' F2 R2 D'
U2 D' L' B' F2 R2 D2
U2 D' L2 R2 F2 L B'
U2 D' L2 F2 L R2 B'
U2 D' L2 F2 L B' R2
L2 D' U2 L F2 R2 B
U2 D' L2 F2 R2 L B'
U2 D' R L' B' R F2
L' D' F R B R F
U2 D' R' L' F2 R' B'
U2 D' R2 L' F2 D B'
U2 D' R2 L' F2 D' B'
U2 D' R2 L' F2 D2 B'
U2 D' R2 L' F2 B' D
U2 D' R2 L' F2 B' D'
U2 D' R2 L' F2 B' D2
U2 D' R2 L' B' F2 D
U2 D' R2 L' B' F2 D'
U2 D' R2 L' B' F2 D2
U2 D' R2 L2 F2 L B'
L' D' F2 R D B R
L' D' F2 R D' B R
L' D' F2 R D2 B R
L' D' F2 R B R D
L' D' F2 R B R D'
L' D' F2 R B R D2
L' D' F2 R B D R
L' D' F2 R B D' R
L' D' F2 R B D2 R
L' D' F2 R B' R B2
L' D' F2 R B2 R B'
L2 D' F2 L R B R
L2 D' F2 R L B R
U2 D' R2 B L' F2 B'
U2 D' R2 B L' B' F2
L' D' F2 B R B R
L' D' F2 B' R B R
U2 D' R2 B' L' F2 B'
U2 D' R2 B' L' B' F2
L2 D' F2 R2 D2 L B'
L' D' F2 B2 R B R
U2 D' R2 B2 L' F2 B'
U2 D' R2 B2 L' B' F2
L' D' B R B R F2
L' D' B F2 R B R
L' D' B' R B R F2
L' D' B' F2 R B R
L' D' B2 R B R F2
L' D' B2 F2 R B R
U2 D' B L' R2 F2 B'
U2 D' B L' R2 B' F2
U2 D' B L' F2 R2 B'
U2 D' B L' F2 B' R2
U2 D' B L' B' R2 F2
U2 D' B L' B' F2 R2
U2 D' B R2 L' F2 B'
U2 D' B R2 L' B' F2
U2 D' B' L' R2 F2 B'
U2 D' B' L' R2 B' F2
U2 D' B' L' F2 R2 B'
U2 D' B' L' F2 B' R2
U2 D' B' L' B' R2 F2
U2 D' B' L' B' F2 R2
U2 D' B' R2 L' F2 B'
U2 D' B' R2 L' B' F2
U2 D' B2 L' R2 F2 B'
U2 D' B2 L' R2 B' F2
U2 D' B2 L' F2 R2 B'
U2 D' B2 L' F2 B' R2
U2 D' B2 L' B' R2 F2
U2 D' B2 L' B' F2 R2
U2 D' B2 R2 L' F2 B'
U2 D' B2 R2 L' B' F2
D' U2 L F2 L2 R2 B
D' U2 L F2 R2 L2 B
D' U2 L F2 R2 B L2
D' U2 L' R B' R F2
D' U2 L' R' F2 R' B'
D' U2 L' R2 F2 D B'
D' U2 L' R2 F2 D' B'
D' U2 L' R2 F2 D2 B'
D' U2 L' R2 F2 B' D
D' U2 L' R2 F2 B' D'
D' U2 L' R2 F2 B' D2
D' U2 L' R2 B' F2 D
D' U2 L' R2 B' F2 D'
D' U2 L' R2 B' F2 D2
L' D2 R D F2 B R2
L' D2 R D B R2 F2
L' D2 R D B F2 R2
D' U2 L' F R2 F B'
D' U2 L' F R2 B' F
D' U2 L' F B' R2 F
L' D2 R B D R2 F2
L' D2 R B D F2 R2
D' U2 L' F2 R B' R
D' U2 L' F2 R2 D B'
D' U2 L' F2 R2 D' B'
D' U2 L' F2 R2 D2 B'
D' U2 L' F2 R2 B' D
D' U2 L' F2 R2 B' D'
D' U2 L' F2 R2 B' D2
D' U2 L' F2 B R2 B2
D' U2 L' F2 B' R2 D
D' U2 L' F2 B' R2 D'
D' U2 L' F2 B' R2 D2
D' U2 L' B R2 F2 B2
D' U2 L' B R2 B2 F2
D' U2 L' B F2 R2 B2
D' U2 L' B' R' F2 R'
D' U2 L' B' R2 F2 D
D' U2 L' B' R2 F2 D'
D' U2 L' B' R2 F2 D2
D' U2 L' B' F R2 F
D' U2 L' B' F2 R2 D
D' U2 L' B' F2 R2 D'
D' U2 L' B' F2 R2 D2
D' U2 L2 R2 F2 L B'
L' D2 R' D R2 F2 B
L' D2 R' D R2 B F2
D' U2 L2 F2 L R2 B'
D' U2 L2 F2 L B' R2
D' U2 L2 F2 R2 L B'
D U2 L' D2 F2 R B'
D U2 L' D2 F2 B' R
D U2 L' D2 B' F2 R
D2 U2 L2 F2 U' L B'
D' U2 R L' B' R F2
B U' B L R2 U L2
U2 D2 L2 F2 U' L B'
B U' B R2 L U L2
D' U2 R' L' F2 R' B'
D' U2 R2 L' F2 D B'
D' U2 R2 L' F2 D' B'
D' U2 R2 L' F2 D2 B'
D' U2 R2 L' F2 B' D
D' U2 R2 L' F2 B' D'
D' U2 R2 L' F2 B' D2
D' U2 R2 L' B' F2 D
D' U2 R2 L' B' F2 D'
D' U2 R2 L' B' F2 D2
D' U2 R2 L2 F2 L B'
D' U2 R2 B L' F2 B'
D' U2 R2 B L' B' F2
D' U2 R2 B' L' F2 B'
D' U2 R2 B' L' B' F2
D' U2 R2 B2 L' F2 B'
D' U2 R2 B2 L' B' F2
B U2 L' B' D' R2 F2
B U2 L' B' D' F2 R2
D' U2 B L' R2 F2 B'
D' U2 B L' R2 B' F2
D' U2 B L' F2 R2 B'
D' U2 B L' F2 B' R2
D' U2 B L' B' R2 F2
D' U2 B L' B' F2 R2
D' U2 B R2 L' F2 B'
D' U2 B R2 L' B' F2
D' U2 B' L' R2 F2 B'
D' U2 B' L' R2 B' F2
D' U2 B' L' F2 R2 B'
D' U2 B' L' F2 B' R2
D' U2 B' L' B' R2 F2
D' U2 B' L' B' F2 R2
D' U2 B' R2 L' F2 B'
D' U2 B' R2 L' B' F2
D' U2 B2 L' R2 F2 B'
D' U2 B2 L' R2 B' F2
D' U2 B2 L' F2 R2 B'
D' U2 B2 L' F2 B' R2
D' U2 B2 L' B' R2 F2
D' U2 B2 L' B' F2 R2
D' U2 B2 R2 L' F2 B'
D' U2 B2 R2 L' B' F2
D U2 B2 L2 U2 L B'
F2 U2 D' F2 L' R2 B'
F2 U2 D' F2 L' B' R2
F2 U2 D' F2 R2 L' B'
B2 U2 D2 L2 U' L B'
F2 D L2 R B2 U2 B'
L' F D' R B R F2
F2 D L2 B2 R U2 B
L' F D' F2 R B R
F2 D R L2 B2 U2 B'
F2 D R B2 L2 F U2
F2 D B2 L2 R U2 B
F2 D B2 R L2 U2 B
L' F' D' R B R F2
L' F' D' F2 R B R
B2 D' R U L' F2 B
B2 D' R U L' B F2
B2 D' R U B L' F2
F2 D' R U2 B R F2
F2 D' U2 F2 L' R2 B'
F2 D' U2 F2 L' B' R2
F2 D' U2 F2 R2 L' B'
D F2 L2 R B2 U2 B'
D' F2 R B' R B2 L
F2 D' F2 L' R B R
F2 D' F2 R L' B R
F2 D' F2 R B L' R
F2 D' F2 R B R L'
D F2 L2 B2 R U2 B
D F2 R L2 B2 U2 B'
D' F2 R2 U2 R' U2 B
D F2 R B2 L2 F U2
D' F2 R2 D2 B2 L B'
D' F2 R2 B2 D2 L B'
D' F2 U2 R U2 R B
L' F2 D' R B R F2
L' F2 D' F2 R B R
U2 F2 D' F2 L' R2 B'
U2 F2 D' F2 L' B' R2
U2 F2 D' F2 R2 L' B'
U' B L B R2 U L2
D F2 B2 L2 R U2 B
D F2 B2 R L2 U2 B
R2 F2 B2 U' R F' U2
D' B L' R B R F2
B2 D2 U2 L2 U' L B'
D' B L' F2 R B R
U2 B L' B' D' R2 F2
U2 B L' B' D' F2 R2
D' B R L' B R F2
R B L' U' B R U
D' B R B L' R F2
D' B R B R L' F2
L' B U' B L R2 U
L' B U' B R2 L U
D' B U2 L' R2 F2 B'
D' B U2 L' R2 B' F2
D' B U2 L' F2 R2 B'
D' B U2 L' F2 B' R2
D' B U2 L' B' R2 F2
D' B U2 L' B' F2 R2
D' B U2 R2 L' F2 B'
D' B U2 R2 L' B' F2
R B U' B R U L'
D' B' L' R B R F2
D' B' L' F2 R B R
D' B' R L' B R F2
D' B' R B L' R F2
D' B' R B R L' F2
R B' R B' U B' L'
U B' R2 B' U L' B'
D' B' U2 L' R2 F2 B'
D' B' U2 L' R2 B' F2
D' B' U2 L' F2 R2 B'
D' B' U2 L' F2 B' R2
D' B' U2 L' B' R2 F2
D' B' U2 L' B' F2 R2
D' B' U2 R2 L' F2 B'
D' B' U2 R2 L' B' F2
R2 B' D B' L U L2
U2 B2 L R2 U L2 B'
D' B2 L' R B R F2
D' B2 L' F2 R B R
U2 B2 L2 R2 U L B'
D' B2 R L' B R F2
D B2 L2 R U2 L B
R2 B2 L2 U D2 L B'
D B2 L2 R' F' U2 L
D' B2 R B L' R F2
D B2 L2 U2 L' B' L2
D' B2 R B R L' F2
R2 B2 L2 D2 U L B'
D B2 R L2 U2 L B
D B2 R' L2 F' U2 L
U2 B2 R2 L U L2 B'
U2 B2 R2 L2 U L B'
R B2 R U D B' L'
R B2 R U D' B' L'
R B2 R U D2 B' L'
R B2 R U B L' B2
R B2 R U B' L' D
R B2 R U B' L' D'
R B2 R U B' L' D2
R B2 R U B' D L'
R B2 R U B' D' L'
R B2 R U B' D2 L'
R B2 R U B2 L' B
L2 B2 R2 U' R F' U2
R B2 R D U B' L'
R B2 R D' U B' L'
R B2 R D2 U B' L'
U B2 R2 U L' D B'
U B2 R2 U L' D' B'
U B2 R2 U L' D2 B'
R2 B2 U L' R' B R
U B2 R2 U L' B' D
U B2 R2 U L' B' D'
U B2 R2 U L' B' D2
U B2 R2 U D L' B'
U B2 R2 U D' L' B'
U B2 R2 U D2 L' B'
U B2 R2 U B L' B'
U B2 R2 U B' L' B'
U B2 R2 U B2 L' B'
R2 B2 U L2 D2 L B'
R2 B2 U R' L' B R
U B2 R2 D U L' B'
R2 B2 U R' B L' R
R2 B2 U R' B R L'
U B2 R2 D' U L' B'
U B2 R2 D2 U L' B'
R2 B2 U D2 L B' L2
D' B2 U2 L' R2 F2 B'
D' B2 U2 L' R2 B' F2
D' B2 U2 L' F2 R2 B'
D' B2 U2 L' F2 B' R2
D' B2 U2 L' B' R2 F2
D' B2 U2 L' B' F2 R2
B2 F2 R2 U' R' U2 B
F2 B2 R2 U' R' U2 B
D' B2 U2 R2 L' F2 B'
D' B2 U2 R2 L' B' F2
U B2 U L' D' F2 B'
U B2 U L' D' B' F2
U B2 U L' B' D' F2
R2 B2 U' R' U2 L' B
R2 B2 U' R' U2 B L'
R2 B2 U' R2 U2 L' B'
U B2 U D' L' F2 B'
U B2 U D' L' B' F2
R2 B2 U' F2 R F' U2
R2 B2 U2 R' U' L' B
R2 B2 U2 R' U' B L'
D B2 U2 D2 L' R2 B'
D B2 U2 D2 L' B' R2
D B2 U2 D2 R2 L' B'
R B2 D R U B' L'
R2 B2 D2 L U B' L2
U B2 D' U L' F2 B'
U B2 D' U L' B' F2
R2 B2 D2 U L B' L2
R B2 D' R U B' L'
D B2 D2 U2 L' R2 B'
D B2 D2 U2 L' B' R2
D B2 D2 U2 R2 L' B'
R B2 D2 R U B' L'
D B2 F2 L2 R U2 B
D B2 F2 R L2 U2 B
R2 B2 F2 U' R F' U2
