R' U B U B'
R' L U L' B U
R' L U B L' U
R' L' U L B U
L' R' U L B U
L R' U L' B U
L2 R' U L2 B U
L R' U B L' U
L2 R' U B L2 U
R' L2 U L2 B U
R' L2 U B L2 U
R' U L B U B'
R' U L' B U B'
R' U L2 B U B'
R' U D B U B'
R' U D' B U B'
R' U D2 B U B'
R' U B U D B'
R' U B U D' B'
R' U B U D2 B'
R' U B U B' D
R' U B U B' D'
R' U B U B' D2
R' U B D U B'
R' U B D' U B'
R' U B D2 U B'
F' R' U B U B'
F2 R' U B U B'
F R' U B U B'
R' D U B U B'
R' D' U B U B'
R' D2 U B U B'
R' F U B U B'
R' F' U B U B'
R' F2 U B U B'
R' U D' B U D2 B'
R' U D' B U B' D
R' U D' B U B' D'
R' U D' B U B' D2
R' U D' B D U B'
R' U D' B D' U B'
R' U D' B D2 U B'
R' U D2 L B U B'
R' U D2 L' B U B'
R' U D2 L2 B U B'
R' U D2 B U D B'
R' U D2 B U D' B'
R' U D2 B U D2 B'
R' U D2 B U B' D
R' U D2 B U B' D'
R' U D2 B U B' D2
R' U D2 B D U B'
R' U D2 B D' U B'
R' U D2 B D2 U B'
R' U B L2 U' F U2
R' U B U R' B' R
R' U B U R2 B' R2
R' U B U D B' D
R' U B U D B' D'
R' U B U D B' D2
R' U B U D' B' D
R' U B U D' B' D'
R' U B U D' B' D2
R' U B U D2 B' D
R' U B U D2 B' D'
R' U B U D2 B' D2
R' U B U B2 D B
R' U B U B2 D' B
R' U B U B2 D2 B
R' U B U' F U2 B'
R' U B U' F' U2 B'
R' U B U' F2 U2 B'
R' U B U2 R U' B'
R' U B U2 R' U' B'
R' U B U2 R2 U' B'
R' U B D U B' D
R' U B D U B' D'
R' U B D U B' D2
R' U B D' U B' D
R' U B D' U B' D'
R' U B D' U B' D2
R' U B D2 U B' D
R' U B D2 U B' D'
R' U B D2 U B' D2
R' U B' L B2 U B'
R' U B' L' B2 U B'
R' U B' L2 B2 U B'
R' U B' U D' B R2
R' U B' D' U B R2
R' U B2 D B' L2 U
U' R D2 F' U' L2 B'
U' R F' U R2 F U2
U' R F' U F R2 U2
U' R F' U' D2 L2 B'
U' R F' D2 U' L2 B'
R' U' R2 F' U F U2
D2 R' L U B' L' U
F' R' L U L' B U
F' R' L U B L' U
F2 R' L U L' B U
F2 R' L U B L' U
F R' L U L' B U
F R' L U B L' U
F' R' L' U L B U
F2 R' L' U L B U
R' U' F R2 F' U' B
R U' D2 F' U' L2 B'
F R' L' U L B U
F' R' L2 U L2 B U
F' R' L2 U B L2 U
F2 R' L2 U L2 B U
F2 R' L2 U B L2 U
D2 R' U L B' U B
F R' L2 U L2 B U
F R' L2 U B L2 U
F' R' U L B U B'
F' R' U L' B U B'
F' R' U L2 B U B'
F2 R' U L B U B'
F2 R' U L' B U B'
F2 R' U L2 B U B'
F' R' U D B U B'
F' R' U D' B U B'
F' R' U D2 B U B'
F2 R' U D B U B'
R U' F' U R2 F U2
F2 R' U D' B U B'
R U' F' U F R2 U2
U' R' U B U' B' U2
F2 R' U D2 B U B'
F' R' U B U D B'
F' R' U B U D' B'
F' R' U B U D2 B'
F' R' U B U B' D
F' R' U B U B' D'
F' R' U B U B' D2
F R' U L B U B'
F' R' U B D U B'
R U' F' U' D2 L2 B'
F' R' U B D' U B'
F' R' U B D2 U B'
R' U' F2 D R2 F' U'
F R' U L' B U B'
F R' U L2 B U B'
F2 R' U B U D B'
F2 R' U B U D' B'
F2 R' U B U D2 B'
F2 R' U B U B' D
F2 R' U B U B' D'
F2 R' U B U B' D2
F2 R' U B D U B'
F2 R' U B D' U B'
F2 R' U B D2 U B'
R U' F' D2 U' L2 B'
F R' U D B U B'
F R' U D' B U B'
D R' U B U R' B'
F R' U D2 B U B'
F R' U B U D B'
F R' U B U D' B'
F R' U B U D2 B'
F R' U B U B' D
F R' U B U B' D'
F R' U B U B' D2
F R' U B D U B'
F R' U B D' U B'
F R' U B D2 U B'
F' R' D U B U B'
F2 R' D U B U B'
F R' D U B U B'
F' R' D' U B U B'
F2 R' D' U B U B'
F R' D' U B U B'
F' R' D2 U B U B'
F2 R' D2 U B U B'
D' R' F L' U L U
F R' D2 U B U B'
F' R' F U B U B'
F2 R' F U B U B'
F R' F U B U B'
F' R' F' U B U B'
F2 R' F' U B U B'
F R' F' U B U B'
F' R' F2 U B U B'
F2 R' F2 U B U B'
F R' F2 U B U B'
R' U2 R2 U F' R2 U'
B2 R' B U' B R' U2
B R' B U L D2 F2
B R' B U D2 L F2
B R' B U D2 F2 L
B R' B U' B2 R' U2
B R' B D' R2 U L
B R' B D2 U L F2
B R' B D2 U F2 L
R U2 D F' B2 U' F
R U2 D B2 F' U' F
R U2 D2 F' U' F L2
R U2 F' U R2 U2 F
R U2 F' U' D2 F L2
R U2 F' U' F D2 L2
R U2 F' D B2 U' F
R U2 F' D2 U' F L2
R' U2 B' U' B2 U B2
R' U2 B' D' R2 D B2
R' U2 B2 U' B' U B
R' D L U L' B U
R' D L U B L' U
R' D L' U L B U
R' D L2 U L2 B U
R' D L2 U B L2 U
R2 D R U B U B'
R' D U L B U B'
R' D U L' B U B'
R' D U L2 B U B'
R' D U B U D B'
R' D U B U D' B'
R' D U B U D2 B'
R' D U B U B' D
R' D U B U B' D'
R' D U B U B' D2
R' D U B D U B'
R' D U B D' U B'
R' D U B D2 U B'
R' D F U B U B'
R D U2 F' B2 U' F
R' D F' U B U B'
R D U2 B2 F' U' F
R' D F2 U B U B'
R' D' L U L' B U
R' D' L U B L' U
R' D' L' U L B U
R' D' L2 U L2 B U
R' D' L2 U B L2 U
R2 D' R U B U B'
L2 D' R' F L' U2 B2
L2 D' R' F' U2 R B2
L2 D' R' F' U2 B2 R
R' D' U L B U B'
R' D' U L' B U B'
R' D' U L2 B U B'
R' D' U B U D B'
R' D' U B U D' B'
R' D' U B U D2 B'
R' D' U B U B' D
R' D' U B U B' D'
R' D' U B U B' D2
R' D' U B D U B'
R' D' U B D' U B'
R' D' U B D2 U B'
R' D' F U B U B'
L2 D' F L' R' U2 B2
L2 D' F L' U2 B2 L
L2 D' F R' L' U2 B2
R' D' F' U B U B'
L2 D' F' R' U2 R2 B2
L2 D' F' R' U2 B2 R2
L2 D' F' U2 B2 L R
L2 D' F' U2 B2 R L
R' D' F2 U B U B'
R D' F2 U2 F U' F'
R' D2 L U L' B U
R' D2 L U B L' U
R' D2 L' U L B U
R' D2 L2 U L2 B U
R' D2 L2 U B L2 U
R2 D2 R U B U B'
L' D2 R' U L B' U
B' U' B R' U B U
R' D2 U L B U B'
R' D2 U L' B U B'
R' D2 U L2 B U B'
R' D2 U B U D B'
R' D2 U B U D' B'
R' D2 U B U D2 B'
R' D2 U B U B' D
R' D2 U B U B' D'
R' D2 U B U B' D2
R' D2 U B D U B'
R' D2 U B D' U B'
R' D2 U B D2 U B'
B2 U' B2 R' U B U
R D2 R2 B U L2 F
R' D2 F U B U B'
R D2 U' F' U' L2 B'
R' D2 F' U B U B'
R D2 U2 F' U' F L2
R' D2 F2 U B U B'
R' F L U L' B U
R' F L U B L' U
D' F L' R' U L U
R' F L' U L B U
R' F L2 U L2 B U
R' F L2 U B L2 U
D' F R' L' U L U
L' F R' U L B U
L2 F R' U L2 B U
L2 F R' U B L2 U
R' F U L B U B'
R' F U L' B U B'
R' F U L2 B U B'
R' F U D B U B'
R' F U D' B U B'
R' F U D2 B U B'
R' F U B U D B'
R' F U B U D' B'
R' F U B U D2 B'
R' F U B U B' D
R' F U B U B' D'
R' F U B U B' D2
R' F U B D U B'
R' F U B D' U B'
R' F U B D2 U B'
R' F D U B U B'
R' F D' U B U B'
R' F D2 U B U B'
R' F' L U L' B U
R' F' L U B L' U
R' F' L' U L B U
R' F' L2 U L2 B U
R' F' L2 U B L2 U
D' F' R' U2 R2 D B2
L' F' R' U L B U
L2 F' R' U L2 B U
L2 F' R' U B L2 U
R' F' U L B U B'
R' F' U L' B U B'
R' F' U L2 B U B'
R' F' U D B U B'
R' F' U D' B U B'
R' F' U D2 B U B'
R' F' U B U D B'
R' F' U B U D' B'
R' F' U B U D2 B'
R' F' U B U B' D
R' F' U B U B' D'
R' F' U B U B' D2
R' F' U B D U B'
R' F' U B D' U B'
R' F' U B D2 U B'
R' F' D U B U B'
R' F' D' U B U B'
B' D' R F' U R F'
L F' D R' U2 B R'
R' F' D2 U B U B'
B' D' R2 U F' L' R
B' D' R2 U F' R L'
B2 D' R2 F' U L R
B2 D' R2 F' U R L
R' F2 L U L' B U
R' F2 L U B L' U
R' F2 L' U L B U
R' F2 L2 U L2 B U
R' F2 L2 U B L2 U
B2 D' F' R2 U L R'
B2 D' F' R2 U R' L
L' F2 R' U L B U
L2 F2 R' U L2 B U
L2 F2 R' U B L2 U
R' F2 U L B U B'
R' F2 U L' B U B'
R' F2 U L2 B U B'
L F2 R' U' R2 F' U'
R' F2 U D B U B'
R' F2 U D' B U B'
R' F2 U D2 B U B'
R' F2 U B U D B'
R' F2 U B U D' B'
R' F2 U B U D2 B'
R' F2 U B U B' D
R' F2 U B U B' D'
R' F2 U B U B' D2
R' F2 U B D U B'
R' F2 U B D' U B'
R' F2 U B D2 U B'
R' F2 D U B U B'
R' F2 D' U B U B'
R' F2 D2 U B U B'
R' B R U' R' B' U2
R' B R' U' R B' U2
R' B R' U' B' R U2
R' B R2 U D2 L2 F
R' B R2 U' R2 B' U2
R' B R2 U' B' R2 U2
R' B R2 D2 U L2 F
R' B U F2 D' L2 F
R' B U' B' U' B U'
R' B U2 L2 U' F L2
R2 B U' R B' U2 R'
R2 B U' B' R U2 R2
D B' U' L B R' U2
R2 B' U' B L R U2
R2 B' U' B R L U2
R B2 D' R2 F2 B U
R B2 D' R2 B F2 U
