B L R' D' B' L2
B L R' B' D' L2
B L D' R' B' L2
B2 L D' B' L2 R'
B2 L D' B' R' L2
B2 L B' R' D' L2
B2 L B' D' L2 R'
B2 L B' D' R' L2
B L' R' D' L2 B'
B2 L' D' L2 B' R'
B L' D' L2 R' B'
B L' D' R' L2 B'
B R' L D' B' L2
B R' L B' D' L2
B R' L' D' L2 B'
B D' L2 D' R' B
B D2 R' D L2 B
B D2 R' D B L2
L' B R' D' L2 B'
L B R' B2 D' L2
L' B D' L2 R' B'
L' B D' R' L2 B'
L' B2 D' L2 B' R'
B2 R L D' B' L2 R'
B2 R L D' B' R' L2
B2 R L B' R' D' L2
B2 R L B' D' L2 R'
B2 R L B' D' R' L2
B R L B' R2 D' L2
B2 R L' D' L2 B' R'
B2 R' L D' B' L2 R'
B2 R' L D' B' R' L2
B R' L U' F2 U B'
B R' L D B' D2 L2
B R' L D' B L2 B2
B R' L D' B' L2 D
B R' L D' B' L2 D'
B R' L D' B' L2 D2
B R' L D' B2 L2 B
B2 R' L B' R' D' L2
B2 R' L B' D' L2 R'
B2 R' L B' D' R' L2
B R' L B' L D' L2
B R' L B' L' D' L2
B R' L B' L2 D' L2
B R' L B' U' F2 U
B R' L B' D' L2 D
B R' L B' D' L2 D'
B R' L B' D' L2 D2
B2 R' L' D' L2 B' R'
B R' L B2 D' L2 B
B R' L B2 D' B L2
B R' L' D' L2 D B'
B R' L' D' L2 D' B'
B R' L' D' L2 D2 B'
B R' L' D' L2 B' D
B R' L' D' L2 B' D'
B R' L' D' L2 B' D2
B R' L' D' B L2 B'
B R' L' D' B' L2 B'
B R' L' D' B2 L2 B'
B R' L' B D' L2 B'
B R' L' B' D' L2 B'
B R' L' B2 D' L2 B'
B R' L2 D' L' B' L'
L' U' F2 U R2 B R'
B R' U' L F2 U B'
L U' F2 U B R' B2
L U' F2 B U R' B2
B R' U' F2 L U B'
D2 R' D L2 D B R'
L U' B F2 U R' B2
B R' D' L D L B'
D R' D' B2 L B' R'
D2 R' D2 B R' D' L2
D2 R' D2 B D' L2 R'
D2 R' D2 B D' R' L2
B R' B L D' B' L2
B R' B L B' D' L2
B R' B L' D' L2 B'
B R' B' L D' B' L2
B R' B' L B' D' L2
B R' B' L' D' L2 B'
B R' B2 L D' B' L2
B R' B2 L B' D' L2
B R' B2 L' D' L2 B'
B2 R2 L D' B' L2 R'
B2 R2 L D' B' R' L2
B R2 L D' R B' L2
B2 R2 L B' R' D' L2
B R2 L D' B' L2 R
B R2 L D' B' R L2
B2 R2 L B' D' L2 R'
B2 R2 L B' D' R' L2
B R2 L B' R D' L2
B2 R2 L' D' L2 B' R'
B R2 L B' D' L2 R
B R2 L B' D' R L2
B R2 L' D' L2 R B'
B R2 L' D' L2 B' R
B R2 L' D' R L2 B'
B' U D2 B2 U' R' B
L' D' L2 R' B' D' R2
L' D' L2 D B R' B2
L' D' L2 B2 D B R'
L' D' R' L2 B' D' R2
F2 U F2 B D2 R' B
F2 U B F2 D2 R' B
L D' R' B' L2 D' R2
B U' L F2 U R' B'
L D' B2 L2 D B R'
B' U' F2 U' L U2 B'
B U' F2 L U R' B'
B U' F2 U D2 R' B
B U' F2 D2 U R' B
F2 U' B' L U2 F2 B'
F2 U' B' L U2 B' F2
B' U2 L U F2 U B'
B' U2 L U2 D' B' L2
B' U2 L U2 B' D' L2
B' U2 L D R2 U2 B'
B' U2 L D' U2 B' L2
B D R' D' B2 L B'
B D R' B2 D' L B'
B2 D' L D L B' R'
B D' L R' D L B'
B D' L D L R' B'
B D' L D R' L B'
B D' L D' L R' B
B D' L D' R' L B
B D' L' D' L' R' B
B D' L' D' R' L' B
B D' L' D' R' B L'
B2 D' L2 D' B' R' B
B D' L2 D' R' D B
B D' L2 D' R' D' B
B D' L2 D' R' D2 B
B D' L2 D' R' B D
B D' L2 D' R' B D'
B D' L2 D' R' B D2
B D' R' L D L B'
U' F2 L U B R' B2
U' F2 L B U R' B2
L' F2 R2 U F2 B R'
L' F2 R2 U B R' F2
L' F2 R2 U B F2 R'
L' F2 U R2 F2 B R'
L' F2 U R2 B R' F2
L' F2 U R2 B F2 R'
U' F2 U B D2 R' B
L F2 U F2 B R' B2
L F2 U B R' F2 B2
L F2 U B R' B2 F2
L F2 U B F2 R' B2
B D2 L R' D L2 B
B D2 L R' D B L2
B D2 L' R' D L2 B
B D2 L' R' D B L2
B D2 L2 R' D L2 B
B D2 L2 R' D B L2
U' F2 B L U R' B'
U' F2 B U D2 R' B
U' F2 B D2 U R' B
B D2 R' L D L2 B
B D2 R' L D B L2
B D2 R' L' D L2 B
B D2 R' L' D B L2
U' F2 B' U' L U2 B'
B D2 R' L2 D L2 B
B D2 R' L2 D B L2
B D2 R' U B2 U' B'
B D2 R' D L' B L'
B D2 R' D L2 D B
B D2 R' D L2 D' B
B D2 R' D L2 D2 B
B D2 R' D L2 B D
B D2 R' D L2 B D'
B D2 R' D L2 B D2
B D2 R' D B L2 D
B D2 R' D B L2 D'
B D2 R' D B L2 D2
B D2 R' D B' L2 B2
B D2 R' D' B D2 L2
B D2 R' D2 B D' L2
B D2 R' B U B U'
B' D2 U B2 U' R' B
B D2 R2 D L2 R B
B D2 R2 D R L2 B
B D2 R2 D R B L2
R' B L R' D' B' L2
L F2 B U R' F2 B2
L F2 B U R' B2 F2
R' B L R' B' D' L2
L F2 B U F2 R' B2
R' B L D' R' B' L2
U' B L F2 U R' B'
L2 B L R' D' L2 B'
R' B L' R' D' L2 B'
L2 B L D' L2 R' B'
L2 B L D' R' L2 B'
R2 B L R' D' B' L2
R2 B L R' B' D' L2
R' B L' D' L2 R' B'
R' B L' D' R' L2 B'
R2 B L D' R' B' L2
L2 B L' R' D' B' L2
L2 B L' R' B' D' L2
L B L R' B2 D' L2
L' B L2 R' D' B' L2
L' B L2 R' B' D' L2
L2 B L' D' R' B' L2
R2 B L' R' D' L2 B'
R B L R' D' B' L2
R B L R' B' D' L2
L' B L2 D' R' B' L2
R2 B L' D' L2 R' B'
R2 B L' D' R' L2 B'
R B L D' R' B' L2
L B L' R' B2 D' L2
R B L' R' D' L2 B'
R' B R' L D' B' L2
R' B R' L B' D' L2
R B L' D' L2 R' B'
R B L' D' R' L2 B'
R' B R' L' D' L2 B'
L B L2 R' B2 D' L2
L' B R' L2 D' B' L2
L' B R' L2 B' D' L2
L' B R' D' L2 D B'
L' B R' D' L2 D' B'
L' B R' D' L2 D2 B'
L' B R' D' L2 B' D
L' B R' D' L2 B' D'
L' B R' D' L2 B' D2
L' B R' D' B L2 B'
L' B R' D' B' L2 B'
L' B R' D' B2 L2 B'
L2 B R' L D' L2 B'
L2 B R' L' D' B' L2
L2 B R' L' B' D' L2
L' B R' B D' L2 B'
L' B R' B' D' L2 B'
L' B R' B2 D' L2 B'
L2 B R' D' L' B' L'
R2 B R' L D' B' L2
R2 B R' L B' D' L2
R2 B R' L' D' L2 B'
L' B R2 D' L2 R B'
L' B R2 D' L2 B' R
L' B R2 D' R L2 B'
L B R B2 R2 D' L2
L B R' L B2 D' L2
L B R' L' B2 D' L2
L B R' L2 B2 D' L2
B2 D2 B' R' B D L2
L B R' U' F2 U B2
L B R' D' L2 D B2
R B R' L D' B' L2
R B R' L B' D' L2
R B R' L' D' L2 B'
L B R' B D' L2 B
L B R' B D' B L2
L B R' B' D' B' L2
L B R' B2 L D' L2
L B R' B2 L' D' L2
L B R' B2 L2 D' L2
L B R' B2 U' F2 U
L B R' B2 D' L2 D
L B R' B2 D' L2 D'
L B R' B2 D' L2 D2
L B R2 B2 R D' L2
L B R2 B2 D' L2 R
L B R2 B2 D' R L2
F2 B L U R' F2 B'
F2 B L U R' B' F2
F2 B L U F2 R' B'
L B U' F2 U R' B2
R' B D' L2 D' R' B
L' B D' L2 R B' R2
L' B D' L2 R' D B'
L' B D' L2 R' D' B'
L' B D' L2 R' D2 B'
L' B D' L2 R' B' D
L' B D' L2 R' B' D'
L' B D' L2 R' B' D2
L' B D' L2 R2 B' R
L' B D' L2 D R' B'
L' B D' L2 D' R' B'
L' B D' L2 D2 R' B'
L' B D' R L2 B' R2
L' B D' R' L2 D B'
L' B D' R' L2 D' B'
L' B D' R' L2 D2 B'
L' B D' R' L2 B' D
L' B D' R' L2 B' D'
L' B D' R' L2 B' D2
L' B D' R' B L2 B'
L' B D' R' B' L2 B'
L' B D' R' B2 L2 B'
L' B D' R2 L2 B' R
L2 B D' L' R' B' L'
L' B D' B L2 B' R'
L2 B D' L2 D2 R' B
L2 B D' R' L' B' L'
R' B D2 R' D L2 B
R' B D2 R' D B L2
L B D R' D' B2 L
L' B D2 R' D L2 B'
R2 B D' L2 D' R' B
L B D' L2 D R' B2
R2 B D2 R' D L2 B
R2 B D2 R' D B L2
R B D' L2 D' R' B
U' B F2 L U R' B'
U' B F2 U D2 R' B
R B D2 R' D L2 B
R B D2 R' D B L2
U' B F2 D2 U R' B
F2 B U F2 D2 R' B
L B F2 U R' F2 B2
L B F2 U R' B2 F2
L B F2 U F2 R' B2
L B' L D' L2 D2 R2
L B' L' D' L2 D' R2
L B' L' D2 R2 D L2
L B' L2 U' F2 U R
L B' U D2 B2 U' R'
L B' U' F2 U' L U2
L B' U' F2 B2 U R'
L B' U' B2 F2 U R'
L B' U2 L U F2 U
L B' U2 L U2 D' L2
L B' U2 L D R2 U2
L B' U2 L D' U2 L2
L B' U2 D L R2 U2
L B' U2 D R2 L U2
L B' U2 D' L U2 L
L' B' D' B' L2 B' R'
L' B' D' B2 L2 R' B'
L' B' D' B2 R' L2 B'
L B' D L' D2 L2 R2
L B' D L' D2 R2 L2
L B' D U2 L R2 U2
L B' D U2 R2 L U2
L B' D B2 R' B2 L
L B' D' L' D2 L' R2
L B' D' L' D2 R2 L'
L B' D' L2 U2 L' U2
L B' D' L2 F2 R F2
F2 B' U' L U2 F2 B'
F2 B' U' L U2 B' F2
L B' D' U2 L U2 L
L B' D' F2 L2 F2 R
L B' D' B2 L2 R' B2
L B' D' B2 R' L2 B2
L B' D' B2 R' B2 L2
L B' D2 U B2 U' R'
U' B' F2 U' L U2 B'
U B' D2 B2 U' R' B
R' B2 L D' B' L2 R'
R' B2 L D' B' R' L2
R' B2 L B' R' D' L2
R' B2 L B' D' L2 R'
R' B2 L B' D' R' L2
L2 B2 L D' L2 B' R'
R' B2 L' D' L2 B' R'
R2 B2 L D' B' L2 R'
R2 B2 L D' B' R' L2
R2 B2 L B' R' D' L2
R2 B2 L B' D' L2 R'
R2 B2 L B' D' R' L2
L2 B2 L' D' B' L2 R'
L2 B2 L' D' B' R' L2
L' B2 L2 D' B' L2 R'
L' B2 L2 D' B' R' L2
L2 B2 L' B' R' D' L2
L2 B2 L' B' D' L2 R'
L2 B2 L' B' D' R' L2
R2 B2 L' D' L2 B' R'
L' B2 L2 B' R' D' L2
L' B2 L2 B' D' L2 R'
L' B2 L2 B' D' R' L2
R B2 L D' B' L2 R'
R B2 L D' B' R' L2
L' B2 R D' L2 B' R'
R B2 L B' R' D' L2
R B2 L B' D' L2 R'
R B2 L B' D' R' L2
B F2 L U R' F2 B'
B F2 L U R' B' F2
B F2 L U F2 R' B'
R B2 L' D' L2 B' R'
L' B2 R' D' L2 B' R'
L' B2 R2 D' L2 B' R'
B' F2 U' L U2 F2 B'
B' F2 U' L U2 B' F2
L' B2 D' L2 R B' R'
L' B2 D' L2 R' B' R'
L' B2 D' L2 R2 B' R'
L' B2 D' L2 D B' R'
L' B2 D' L2 D' B' R'
L' B2 D' L2 D2 B' R'
L' B2 D' L2 B' R' D
L' B2 D' L2 B' R' D'
L' B2 D' L2 B' R' D2
L' B2 D' L2 B' D R'
L' B2 D' L2 B' D' R'
L' B2 D' L2 B' D2 R'
L' B2 D' R L2 B' R'
L' B2 D' R' L2 B' R'
L' B2 D' R2 L2 B' R'
B F2 U F2 D2 R' B
L2 B2 D' L' B' L' R'
L2 B2 D' L' B' R' L'
L' B2 D' B' L2 R' B'
L' B2 D' B' R' L2 B'
L B2 D B' R' B2 L
L B2 D' L2 B' R' B2
L B2 D' B' L2 R' B2
L B2 D' B' R' L2 B2
L B2 D' B' R' B2 L2
