U2 L B' U L' U
U L B' U' B U'
B2 L' U' R' F L
B2 L' U' F L R'
B2 L' U' F R' L
L' U L2 B' U2 L'
L' U' D2 R2 F L
L' U' D2 F L R2
L' U' D2 F R2 L
L' U' F D2 L R2
L' U' F D2 R2 L
D2 R2 D B2 R' F'
L' D F2 U' L F'
L' D F2 U' F' L
L' D2 U' R2 F L
L' D2 U' F L R2
L' D2 U' F R2 L
D2 R2 B2 D R' F' B2
D2 R2 B2 D R' B2 F'
F' U L B' U' B U'
F2 U L B' U' B U'
F U L B' U' B U'
L' D F2 L' U' L2 F'
L' D F2 L' U' F' L2
L' D F2 L2 U' L' F'
L' D F2 U' L D F'
L' D F2 U' L D' F'
L' D F2 U' L D2 F'
L' D F2 U' L F' D
L' D F2 U' L F' D'
L' D F2 U' L F' D2
L' D F2 U' L' F' L2
L' D F2 U' D L F'
L' D F2 U' D F' L
L' D F2 U' D' L F'
L' D F2 U' D' F' L
L' D F2 U' D2 L F'
L' D F2 U' D2 F' L
L' D F2 U' F L F2
L' D F2 U' F' L D
L' D F2 U' F' L D'
L' D F2 U' F' L D2
L' D F2 U' F' D L
L' D F2 U' F' D' L
L' D F2 U' F' D2 L
R2 D F' B2 R' D' F2
L' D F2 D U' L F'
L' D F2 D U' F' L
L' D F2 D' U' L F'
L' D F2 D' U' F' L
L' D F2 D2 U' L F'
L' D F2 D2 U' F' L
R2 D B2 R2 D R F'
R2 D B2 D R F' R2
R2 D B2 F' R' D' F2
L' D' U' F L D' R2
L' D' U' F D' L R2
L' D' U' F D' R2 L
B' U' L' B' U F B
B' U' L' B' U B F
U' D' B2 U R' F' B2
D' U' B2 U R' F' B2
U' D' B2 U R' B2 F'
D' U' B2 U R' B2 F'
R2 D2 R D' F' B2 R'
R2 D2 R D' B2 F' R'
R2 D2 R F' D' B2 R'
R D2 R D F' B2 R'
R D2 R D B2 F' R'
R D2 R F' D B2 R'
L' D2 R2 D F L B2
L' D2 R2 F L D B2
L' D2 R2 F D L B2
R2 D2 R2 D' B2 R' F'
L' D2 U F L R2 B
L' D2 U F R2 L B
L' D2 U' R' F L R'
L' D2 U' R' F R' L
L' D2 U' R2 D F L
L' D2 U' R2 D' F L
L' D2 U' R2 D2 F L
L' D2 U' R2 F L D
L' D2 U' R2 F L D'
L' D2 U' R2 F L D2
L' D2 U' R2 F D L
L' D2 U' R2 F D' L
L' D2 U' R2 F D2 L
L' D2 U' R2 F' L F2
L' D2 U' R2 F2 L F'
L' D2 U' F L R2 D
L' D2 U' F L R2 D'
L' D2 U' F L R2 D2
L' D2 U' F R2 L D
L' D2 U' F R2 L D'
L' D2 U' F R2 L D2
L' D2 U' F R2 D L
L' D2 U' F R2 D' L
L' D2 U' F R2 D2 L
L' D2 U' F' L R2 F2
L' D2 U' F' L F2 R2
L' D2 U' F' R2 L F2
L' D2 U' F' R2 F2 L
L' D2 U' F2 L F' R2
F' U2 L B' U L' U
L' D2 F L R2 D B2
F2 U2 L B' U L' U
L' D2 F R2 L D B2
L' D2 F R2 D L B2
F U2 L B' U L' U
L' D2 F' U' L R2 F2
L' D2 F' U' L F2 R2
L' D2 F' U' R2 L F2
L' D2 F' U' R2 F2 L
L' D2 F' U' F2 L R2
L' D2 F' U' F2 R2 L
L' D2 F2 U' L F' R2
L' D2 F2 U' F' L R2
L' D2 F2 U' F' R2 L
L' F L R2 D B2 R'
U2 F L B' U L' U
D F L' U L2 U2 L'
D F L' U' D2 L R2
D F L' U' D2 R2 L
D F L' D F2 U' L
D F L' D2 U' L R2
D F L' D2 U' R2 L
L' F R2 L D B2 R'
D2 F R2 D B2 R' F'
U F U L F' B' U2
U F U L B' F' U2
U F U F' L B' U2
L' F D F2 U' L F2
L' F D F2 U' F2 L
B D L' F L' U' L2
L' F D2 L R2 D B2
L' F D2 R2 L D B2
L' F D2 R2 D L B2
B2 D R2 D R F' B2
B2 D R2 D R B2 F'
B2 D R2 D B2 R F'
D F B2 L' U' L R'
D F B2 L' U' R' L
L' F' L' U' F2 L2 R
L' F' L' U' F2 R L2
U2 F' L B' U L' U
B2 D F L' U' L R'
B2 D F L' U' R' L
B D F L' F U' L
D2 F' R2 D B2 R' F'
L' F' U L2 U2 L' F2
L' F' U' L' F2 L2 R
L' F' U' L' F2 R L2
L' F' U' F2 D2 L R2
L' F' U' F2 D2 R2 L
U F' U F L B' U2
L2 F2 L U' R F L
U2 F2 L B' U L' U
D2 F2 R2 D B2 R' F'
B' D' B' L U' L' R'
B' D' B' L U' R' L'
L' F2 U L2 U2 L' F'
L' F2 U' D2 L F' R2
L' F2 U' D2 F' L R2
L' F2 U' D2 F' R2 L
L' F2 U' F' D2 L R2
L' F2 U' F' D2 R2 L
U F2 U L F2 B' U2
U F2 U L B' F2 U2
U F2 U F2 L B' U2
L' F2 D F2 U' F L
L' F2 D2 U' L F' R2
L' F2 D2 U' F' L R2
L' F2 D2 U' F' R2 L
B D2 R F' R D B2
F' D2 R2 D B2 R' F'
F2 D2 R2 D B2 R' F'
F D2 R2 D B2 R' F'
L F2 B' R U' R' U'
L' B U L2 B' U2 L
L' B U' D2 R2 F L'
L' B U' D2 F L' R2
L' B U' D2 F R2 L'
B2 F L' U' R' F L
B2 F L' U' F L R'
B2 F L' U' F R' L
L' B D2 U' R2 F L'
L' B D2 U' F L' R2
L' B D2 U' F R2 L'
D' B' L B' U' L' R'
D' B' L B' U' R' L'
L B' R U' R' U' L'
L B' R' U' R U' L'
B2 F' L' U' R' F L
B2 F' L' U' F L R'
B2 F' L' U' F R' L
L B' R2 U' R2 U' L'
L B' R2 U2 L' D B2
L B' R2 U2 D L' B2
L B' R2 U2 D B2 L'
L B' R2 D U2 L' B2
L B' R2 D U2 B2 L'
L B' R2 D' F2 R U2
L B' U' B U' B' L'
L B' U' B' U' L' B
L B' U' B' U' B L'
L B' U' B2 U' L' B2
L B' U' B2 U' B2 L'
L B' U2 L' U' L U
L B' U2 L2 D' L B2
U' B2 L' U R' F B2
U' B2 L' U R' B2 F
U' B2 L' U F R' B2
D' B2 L' U' L R' F
D' B2 L' U' L F R'
D' B2 L' U' R' L F
L B' F2 R U' R' U'
F' B2 L' U' R' F L
F' B2 L' U' F L R'
F' B2 L' U' F R' L
B2 F2 L' U' R' F L
B2 F2 L' U' F L R'
B2 F2 L' U' F R' L
F2 B2 L' U' R' F L
F2 B2 L' U' F L R'
F2 B2 L' U' F R' L
F B2 L' U' R' F L
F B2 L' U' F L R'
F B2 L' U' F R' L
L' B2 U L2 R' B' U2
L' B2 U R' L2 B' U2
D B2 R2 D R F' B2
D B2 R2 D R B2 F'
D B2 R2 D B2 R F'
D B2 F L' U' L R'
D B2 F L' U' R' L
